ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Amalo-Nenezkij avtonomnyj,gorodskaa,4,85,79,744,14,1,11,5,936,943,1136,12,936,12,0,0,1100,5,152,0,Amalo-Nenezkij avtonomnyj
1002,Amalo-Nenezkij avtonomnyj,gorodskaa,5,116,84,903,20,5,9,15,1151,1157,1362,16,1151,16,0,0,1450,10,283,0,Amalo-Nenezkij avtonomnyj
1003,Amalo-Nenezkij avtonomnyj,gorodskaa,13,126,97,908,33,3,6,17,1211,1203,1456,10,1211,10,0,0,1450,18,229,0,Amalo-Nenezkij avtonomnyj
1004,Amalo-Nenezkij avtonomnyj,gorodskaa,14,170,113,1204,37,7,14,11,1542,1570,1856,47,1542,47,0,0,1700,19,111,0,Amalo-Nenezkij avtonomnyj
1005,Amalo-Nenezkij avtonomnyj,gorodskaa,7,140,135,1071,27,7,7,11,1418,1405,1770,11,1419,11,0,0,1550,24,120,0,Amalo-Nenezkij avtonomnyj
1006,Amalo-Nenezkij avtonomnyj,gorodskaa,4,149,107,1061,21,9,11,16,1349,1378,1680,44,1350,44,0,0,1550,15,156,0,Amalo-Nenezkij avtonomnyj
1007,Amalo-Nenezkij avtonomnyj,gorodskaa,9,135,105,910,28,2,5,6,1193,1200,1614,18,1197,18,0,0,1700,11,485,0,Amalo-Nenezkij avtonomnyj
1008,Amalo-Nenezkij avtonomnyj,gorodskaa,3,140,187,1609,25,7,16,12,2012,1999,2240,8,2012,8,0,0,2100,21,80,0,Amalo-Nenezkij avtonomnyj
1009,Amalo-Nenezkij avtonomnyj,gorodskaa,8,137,88,781,25,6,9,10,1065,1064,1360,9,1065,9,0,0,1200,10,126,0,Amalo-Nenezkij avtonomnyj
1010,Amalo-Nenezkij avtonomnyj,gorodskaa,11,153,97,998,32,5,16,11,1323,1323,1508,15,1323,15,0,0,1450,15,112,0,Amalo-Nenezkij avtonomnyj
1011,Amalo-Nenezkij avtonomnyj,gorodskaa,4,91,90,778,15,2,3,8,988,991,1103,11,988,11,0,0,1050,8,51,0,Amalo-Nenezkij avtonomnyj
1012,Amalo-Nenezkij avtonomnyj,gorodskaa,7,72,69,567,11,2,1,6,734,735,903,12,734,12,0,0,850,11,104,0,Amalo-Nenezkij avtonomnyj
1013,Amalo-Nenezkij avtonomnyj,gorodskaa,10,127,93,796,16,11,6,7,1069,1066,1397,9,1069,9,0,0,1250,12,172,0,Amalo-Nenezkij avtonomnyj
1014,Amalo-Nenezkij avtonomnyj,gorodskaa,6,96,87,603,16,1,4,5,822,818,1106,11,824,11,0,0,1050,15,215,0,Amalo-Nenezkij avtonomnyj
1015,Amalo-Nenezkij avtonomnyj,gorodskaa,3,117,89,834,26,8,9,8,1090,1094,1295,11,1090,11,0,0,1300,7,199,0,Amalo-Nenezkij avtonomnyj
1016,Amalo-Nenezkij avtonomnyj,gorodskaa,4,112,79,900,18,2,5,7,1135,1127,1264,8,1135,8,0,0,1200,16,57,0,Amalo-Nenezkij avtonomnyj
1017,Amalo-Nenezkij avtonomnyj,gorodskaa,10,153,94,1167,31,7,11,14,1490,1487,1680,24,1490,24,0,0,1800,27,286,0,Amalo-Nenezkij avtonomnyj
