ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
701,Amurskaa oblast_,rajona,6,202,80,760,8,5,2,5,1020,1068,1799,67,1020,67,0,0,1750,19,663,0,Amurskaa oblast_
702,Amurskaa oblast_,rajona,6,188,83,787,15,6,5,4,1015,1094,1670,86,1015,86,0,0,1750,7,649,0,Amurskaa oblast_
703,Amurskaa oblast_,rajona,11,259,95,931,12,8,6,5,1291,1327,2127,53,1292,53,0,0,2000,17,655,0,Amurskaa oblast_
704,Amurskaa oblast_,rajona,0,6,5,73,0,0,0,0,79,84,144,5,79,5,0,0,140,0,56,0,Amurskaa oblast_
705,Amurskaa oblast_,rajona,0,11,13,106,1,0,0,0,123,131,163,10,123,10,0,0,170,2,37,0,Amurskaa oblast_
706,Amurskaa oblast_,rajona,4,61,37,325,3,3,1,2,378,436,578,60,379,60,0,0,650,2,211,0,Amurskaa oblast_
707,Amurskaa oblast_,rajona,0,10,9,155,1,1,1,0,164,177,301,15,164,15,0,0,300,2,121,0,Amurskaa oblast_
708,Amurskaa oblast_,rajona,1,25,24,229,6,1,0,0,237,286,433,53,237,53,0,0,450,4,160,0,Amurskaa oblast_
709,Amurskaa oblast_,rajona,0,8,12,131,1,0,1,0,134,153,231,20,134,20,0,0,230,1,76,0,Amurskaa oblast_
710,Amurskaa oblast_,rajona,0,4,17,116,0,1,2,0,133,140,193,7,133,7,0,0,170,0,30,0,Amurskaa oblast_
711,Amurskaa oblast_,rajona,1,20,13,214,0,2,0,2,242,252,389,17,242,17,0,0,400,7,141,0,Amurskaa oblast_
712,Amurskaa oblast_,rajona,3,18,26,333,2,1,0,0,362,383,430,25,362,25,0,0,450,4,63,0,Amurskaa oblast_
713,Amurskaa oblast_,rajona,3,116,22,394,4,2,1,0,478,542,767,75,478,75,0,0,800,11,247,0,Amurskaa oblast_
714,Amurskaa oblast_,rajona,2,19,13,113,4,0,0,1,145,152,230,10,145,10,0,0,230,3,75,0,Amurskaa oblast_
715,Amurskaa oblast_,rajona,0,8,7,57,0,0,0,0,69,72,92,5,69,5,0,0,100,2,26,0,Amurskaa oblast_
716,Amurskaa oblast_,rajona,0,43,41,373,2,0,0,0,428,459,620,34,429,34,0,0,640,3,177,0,Amurskaa oblast_
717,Amurskaa oblast_,rajona,8,141,73,418,3,2,3,2,610,650,1253,47,610,47,0,0,1200,7,543,0,Amurskaa oblast_
718,Amurskaa oblast_,rajona,1,115,52,346,5,4,4,0,496,527,1113,36,496,36,0,0,1100,5,568,0,Amurskaa oblast_
719,Amurskaa oblast_,rajona,0,21,10,50,1,1,0,0,83,83,210,2,83,2,0,0,200,2,115,0,Amurskaa oblast_
720,Amurskaa oblast_,rajona,1,43,32,268,2,0,0,0,315,346,568,31,315,31,0,0,630,0,284,0,Amurskaa oblast_
721,Amurskaa oblast_,rajona,1,33,29,167,1,2,2,0,210,235,324,28,210,28,0,0,320,3,82,0,Amurskaa oblast_
722,Amurskaa oblast_,rajona,1,42,15,230,2,3,2,0,279,295,380,20,279,20,0,0,400,4,101,0,Amurskaa oblast_
723,Amurskaa oblast_,rajona,1,28,30,248,4,1,2,0,293,314,513,22,293,22,0,0,520,1,205,0,Amurskaa oblast_
724,Amurskaa oblast_,rajona,3,145,68,436,1,0,2,0,604,655,1208,58,604,58,0,0,1150,7,488,0,Amurskaa oblast_
725,Amurskaa oblast_,rajona,5,125,77,471,5,3,7,0,642,693,1272,65,642,65,0,0,1300,14,593,0,Amurskaa oblast_
726,Amurskaa oblast_,rajona,4,68,46,262,4,2,0,3,352,389,546,39,352,39,0,0,550,2,159,0,Amurskaa oblast_
727,Amurskaa oblast_,rajona,3,46,10,211,0,0,1,2,223,273,411,54,223,54,0,0,450,4,173,0,Amurskaa oblast_
728,Amurskaa oblast_,rajona,2,77,42,317,2,4,0,0,405,444,682,44,405,44,0,0,680,5,231,0,Amurskaa oblast_
801,Amurskaa oblast_,rajona,7,226,94,714,5,6,3,1,1016,1056,1691,48,1016,48,0,0,1800,8,736,0,Amurskaa oblast_
802,Amurskaa oblast_,rajona,2,202,91,713,10,5,1,7,991,1031,1623,55,991,55,0,0,1700,15,654,0,Amurskaa oblast_
803,Amurskaa oblast_,rajona,9,115,76,426,5,2,4,3,603,640,997,42,604,42,0,0,1000,5,354,0,Amurskaa oblast_
804,Amurskaa oblast_,rajona,1,16,6,131,0,1,1,1,150,157,198,7,150,7,0,0,190,0,33,0,Amurskaa oblast_
805,Amurskaa oblast_,rajona,0,33,34,249,2,3,1,0,307,322,393,19,307,19,0,0,390,4,64,0,Amurskaa oblast_
806,Amurskaa oblast_,rajona,1,2,8,108,1,2,0,0,116,122,148,7,116,7,0,0,150,1,27,0,Amurskaa oblast_
807,Amurskaa oblast_,rajona,2,10,19,196,1,0,1,0,214,229,284,16,214,16,0,0,280,1,50,0,Amurskaa oblast_
808,Amurskaa oblast_,rajona,0,7,7,41,0,0,0,0,50,55,72,7,50,7,0,0,70,2,13,0,Amurskaa oblast_
809,Amurskaa oblast_,rajona,2,30,32,153,0,1,0,0,216,218,268,6,216,6,0,0,270,4,48,0,Amurskaa oblast_
810,Amurskaa oblast_,rajona,2,36,82,377,2,0,2,0,484,501,675,28,484,28,0,0,700,11,188,0,Amurskaa oblast_
811,Amurskaa oblast_,rajona,0,37,38,364,1,1,0,0,418,441,625,35,418,35,0,0,650,12,197,0,Amurskaa oblast_
812,Amurskaa oblast_,rajona,2,14,23,211,1,0,1,0,246,252,318,9,246,9,0,0,350,3,95,0,Amurskaa oblast_
813,Amurskaa oblast_,rajona,3,23,29,204,2,3,1,0,258,265,322,10,258,10,0,0,350,3,82,0,Amurskaa oblast_
814,Amurskaa oblast_,rajona,7,46,69,512,7,1,3,1,625,646,927,39,625,39,0,0,1000,18,336,0,Amurskaa oblast_
815,Amurskaa oblast_,rajona,2,86,29,277,1,7,2,2,378,406,522,30,378,30,0,0,550,2,142,0,Amurskaa oblast_
816,Amurskaa oblast_,rajona,0,18,18,129,0,2,1,0,166,168,192,4,166,4,0,0,200,2,30,0,Amurskaa oblast_
817,Amurskaa oblast_,rajona,1,16,31,176,4,0,0,0,218,228,326,11,218,11,0,0,300,1,71,0,Amurskaa oblast_
818,Amurskaa oblast_,rajona,0,29,9,120,1,3,0,0,157,162,232,8,157,8,0,0,230,3,65,0,Amurskaa oblast_
901,Amurskaa oblast_,rajona,0,228,120,627,8,2,2,5,675,992,1821,348,675,44,304,0,1700,31,677,0,Amurskaa oblast_
902,Amurskaa oblast_,rajona,4,183,94,460,6,3,2,6,709,758,1508,62,711,62,0,0,1400,13,627,0,Amurskaa oblast_
903,Amurskaa oblast_,rajona,2,189,108,630,4,7,9,6,921,955,1621,50,922,50,0,0,1400,16,428,0,Amurskaa oblast_
904,Amurskaa oblast_,rajona,6,303,132,784,8,9,6,10,1236,1258,2063,45,1236,45,0,0,1900,23,619,0,Amurskaa oblast_
905,Amurskaa oblast_,rajona,5,199,144,598,6,6,2,4,951,964,1893,47,951,47,0,0,1700,34,702,0,Amurskaa oblast_
906,Amurskaa oblast_,rajona,2,55,62,354,1,1,1,1,436,477,728,45,436,45,0,0,700,4,219,0,Amurskaa oblast_
907,Amurskaa oblast_,rajona,1,15,13,81,2,1,1,0,92,114,136,25,92,7,18,0,150,3,33,0,Amurskaa oblast_
908,Amurskaa oblast_,rajona,0,10,12,84,1,0,0,0,106,107,152,3,106,3,0,0,150,2,41,0,Amurskaa oblast_
909,Amurskaa oblast_,rajona,1,120,75,309,6,1,1,1,477,514,818,53,477,53,0,0,800,16,270,0,Amurskaa oblast_
910,Amurskaa oblast_,rajona,0,99,57,250,4,1,1,3,370,415,610,62,370,62,0,0,600,17,168,0,Amurskaa oblast_
911,Amurskaa oblast_,rajona,7,178,108,405,5,7,0,3,650,713,1184,86,650,86,0,0,1000,23,264,0,Amurskaa oblast_
912,Amurskaa oblast_,rajona,6,97,59,270,6,8,0,2,335,448,726,125,335,125,0,0,600,12,140,0,Amurskaa oblast_
913,Amurskaa oblast_,rajona,0,41,28,129,1,2,1,1,193,203,289,13,193,13,0,0,300,3,94,0,Amurskaa oblast_
914,Amurskaa oblast_,rajona,8,229,120,547,6,6,2,3,816,921,1563,125,816,110,15,0,1450,20,509,0,Amurskaa oblast_
915,Amurskaa oblast_,rajona,2,85,57,307,2,5,2,2,354,462,801,114,354,78,36,0,750,6,282,0,Amurskaa oblast_
916,Amurskaa oblast_,rajona,6,97,58,241,2,0,1,0,287,405,616,126,287,100,26,0,600,8,187,0,Amurskaa oblast_
917,Amurskaa oblast_,rajona,3,65,69,339,3,3,1,1,391,484,684,104,391,104,0,0,650,11,155,0,Amurskaa oblast_
918,Amurskaa oblast_,rajona,0,32,37,110,1,0,0,0,174,180,288,9,174,9,0,0,290,3,107,0,Amurskaa oblast_
919,Amurskaa oblast_,rajona,2,107,88,389,5,0,3,1,605,595,661,0,605,0,0,0,663,10,58,0,Amurskaa oblast_
1001,Amurskaa oblast_,rajona,4,40,25,217,2,1,0,1,279,290,511,20,279,20,0,0,520,9,221,0,Amurskaa oblast_
1002,Amurskaa oblast_,rajona,3,93,62,476,4,5,3,2,599,648,1157,56,599,56,0,0,1140,7,485,0,Amurskaa oblast_
1003,Amurskaa oblast_,rajona,6,158,63,567,11,6,2,6,698,819,1409,139,698,139,0,0,1410,18,573,0,Amurskaa oblast_
1004,Amurskaa oblast_,rajona,0,53,30,175,3,1,0,0,255,262,525,10,255,10,0,0,560,3,295,0,Amurskaa oblast_
1005,Amurskaa oblast_,rajona,1,23,7,42,0,0,1,0,75,74,142,0,75,0,0,0,150,1,75,0,Amurskaa oblast_
1006,Amurskaa oblast_,rajona,1,6,22,120,1,1,0,0,133,151,202,19,133,19,0,0,220,1,68,0,Amurskaa oblast_
1007,Amurskaa oblast_,rajona,0,6,15,130,1,1,0,0,140,153,205,13,140,13,0,0,220,0,67,0,Amurskaa oblast_
1008,Amurskaa oblast_,rajona,0,5,1,23,0,0,0,0,30,29,40,0,30,0,0,0,40,1,10,0,Amurskaa oblast_
1009,Amurskaa oblast_,rajona,2,13,14,90,2,1,1,0,109,123,149,14,109,14,0,0,160,0,37,0,Amurskaa oblast_
1010,Amurskaa oblast_,rajona,0,7,16,221,1,6,1,0,234,252,373,22,234,22,0,0,380,4,124,0,Amurskaa oblast_
1011,Amurskaa oblast_,rajona,0,3,3,37,2,1,0,0,37,46,86,9,37,9,0,0,90,0,44,0,Amurskaa oblast_
1012,Amurskaa oblast_,rajona,2,14,9,123,2,1,1,0,147,152,213,7,147,7,0,0,220,2,66,0,Amurskaa oblast_
1013,Amurskaa oblast_,rajona,0,4,8,25,1,1,0,0,4,39,43,35,4,0,35,0,150,0,111,0,Amurskaa oblast_
1014,Amurskaa oblast_,rajona,3,8,15,169,4,0,5,0,210,204,296,13,210,13,0,0,330,19,107,0,Amurskaa oblast_
1015,Amurskaa oblast_,rajona,2,38,32,200,0,0,3,2,250,277,411,33,250,33,0,0,450,6,167,0,Amurskaa oblast_
1016,Amurskaa oblast_,rajona,0,58,33,278,3,1,3,2,362,378,632,19,362,19,0,0,650,3,269,0,Amurskaa oblast_
1017,Amurskaa oblast_,rajona,0,0,5,46,0,0,0,0,49,51,73,3,49,3,0,0,70,1,18,0,Amurskaa oblast_
1018,Amurskaa oblast_,rajona,1,19,13,72,0,2,0,0,93,107,161,15,93,15,0,0,170,1,62,0,Amurskaa oblast_
1019,Amurskaa oblast_,rajona,1,4,7,73,1,0,0,0,75,86,140,11,75,11,0,0,140,0,54,0,Amurskaa oblast_
1020,Amurskaa oblast_,rajona,0,1,0,20,0,0,0,0,21,21,33,0,21,0,0,0,30,0,9,0,Amurskaa oblast_
1021,Amurskaa oblast_,rajona,0,0,6,31,0,0,0,0,36,37,43,1,36,1,0,0,43,0,6,0,Amurskaa oblast_
