ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
612,Arhangel_skaa oblast_,Zemla,2,9,114,1508,8,4,3,1,1339,1649,1661,318,1339,29,289,0,3500,8,1843,0,Arhangel_skaa oblast_
613,Arhangel_skaa oblast_,Zemla,0,18,17,186,7,0,1,1,232,230,232,0,232,0,0,0,1100,2,868,0,Arhangel_skaa oblast_
614,Arhangel_skaa oblast_,Zemla,0,5,0,30,0,1,0,0,36,36,36,0,36,0,0,0,61,0,25,0,Arhangel_skaa oblast_
615,Arhangel_skaa oblast_,Zemla,0,0,3,8,0,2,1,0,14,14,14,0,14,0,0,0,20,0,6,0,Arhangel_skaa oblast_
616,Arhangel_skaa oblast_,Zemla,0,0,0,6,0,0,0,0,6,6,6,0,6,0,0,0,10,0,4,0,Arhangel_skaa oblast_
617,Arhangel_skaa oblast_,Zemla,0,0,0,8,0,0,0,0,8,8,8,0,8,0,0,0,10,0,2,0,Arhangel_skaa oblast_
820,Arhangel_skaa oblast_,1,9,147,98,1399,33,16,20,7,1729,1729,2609,14,1731,14,0,0,2650,14,905,0,Arhangel_skaa oblast_
821,Arhangel_skaa oblast_,1,14,155,97,1371,32,13,7,14,1693,1703,2518,26,1693,26,0,0,2200,16,481,0,Arhangel_skaa oblast_
822,Arhangel_skaa oblast_,1,6,137,111,1326,47,12,14,27,1659,1680,2591,45,1663,45,0,0,2600,24,892,0,Arhangel_skaa oblast_
823,Arhangel_skaa oblast_,1,15,109,73,1125,36,9,11,15,1368,1393,2128,35,1368,35,0,0,2100,10,697,0,Arhangel_skaa oblast_
824,Arhangel_skaa oblast_,1,10,120,41,909,22,12,13,14,1134,1141,1662,14,1139,14,0,0,1700,7,547,0,Arhangel_skaa oblast_
825,Arhangel_skaa oblast_,1,6,58,37,597,11,7,7,19,741,742,1107,9,742,9,0,0,1100,8,349,0,Arhangel_skaa oblast_
826,Arhangel_skaa oblast_,1,11,106,94,975,21,9,10,20,1239,1246,2006,21,1239,21,0,0,2050,14,790,0,Arhangel_skaa oblast_
827,Arhangel_skaa oblast_,1,12,106,77,898,23,7,10,17,1130,1150,1851,28,1130,28,0,0,1850,8,692,0,Arhangel_skaa oblast_
828,Arhangel_skaa oblast_,1,9,134,105,1155,29,17,21,30,1476,1500,2255,31,1477,31,0,0,2300,7,792,0,Arhangel_skaa oblast_
829,Arhangel_skaa oblast_,1,11,118,83,1033,30,10,10,40,1321,1335,2007,26,1321,26,0,0,2050,12,703,0,Arhangel_skaa oblast_
830,Arhangel_skaa oblast_,1,4,124,63,783,23,12,11,16,1032,1036,1605,13,1032,13,0,0,1650,9,605,0,Arhangel_skaa oblast_
831,Arhangel_skaa oblast_,1,7,138,107,1382,26,6,10,27,1688,1703,2841,29,1688,29,0,0,2750,14,1033,0,Arhangel_skaa oblast_
832,Arhangel_skaa oblast_,1,11,86,76,813,15,7,10,14,1024,1032,1559,16,1024,16,0,0,1550,8,510,0,Arhangel_skaa oblast_
833,Arhangel_skaa oblast_,1,11,122,92,1087,38,9,16,29,1400,1404,2208,19,1401,19,0,0,2250,15,830,0,Arhangel_skaa oblast_
834,Arhangel_skaa oblast_,1,13,105,69,870,20,8,11,14,1100,1110,1712,19,1110,19,0,0,1700,9,571,0,Arhangel_skaa oblast_
835,Arhangel_skaa oblast_,1,9,110,86,958,19,3,8,24,1204,1217,1770,21,1206,21,0,0,1750,8,523,0,Arhangel_skaa oblast_
836,Arhangel_skaa oblast_,1,9,122,62,1124,27,12,19,23,1387,1398,2142,22,1387,22,0,0,2150,11,741,0,Arhangel_skaa oblast_
837,Arhangel_skaa oblast_,1,5,60,37,577,19,3,10,16,717,727,1050,13,718,13,0,0,1050,3,319,0,Arhangel_skaa oblast_
838,Arhangel_skaa oblast_,1,11,166,99,1251,30,15,16,24,1593,1612,2367,37,1596,37,0,0,2400,18,767,0,Arhangel_skaa oblast_
839,Arhangel_skaa oblast_,1,10,75,53,819,19,7,11,15,1008,1009,1531,11,1008,11,0,0,1600,10,581,0,Arhangel_skaa oblast_
840,Arhangel_skaa oblast_,1,7,106,71,929,25,5,9,21,1173,1173,1721,9,1173,9,0,0,1700,9,518,0,Arhangel_skaa oblast_
841,Arhangel_skaa oblast_,1,15,135,127,1301,50,14,18,16,1650,1676,2809,39,1652,39,0,0,2850,13,1159,0,Arhangel_skaa oblast_
842,Arhangel_skaa oblast_,1,21,140,87,1271,34,8,14,14,1584,1589,2344,19,1584,19,0,0,2350,14,747,0,Arhangel_skaa oblast_
843,Arhangel_skaa oblast_,1,5,117,62,920,25,6,7,23,1173,1165,1750,7,1179,7,0,0,1750,15,564,0,Arhangel_skaa oblast_
844,Arhangel_skaa oblast_,1,3,73,61,787,23,5,13,16,975,981,1438,13,975,13,0,0,1450,7,462,0,Arhangel_skaa oblast_
845,Arhangel_skaa oblast_,1,13,116,77,1073,33,3,14,15,1348,1344,2160,17,1348,17,0,0,2200,21,835,0,Arhangel_skaa oblast_
846,Arhangel_skaa oblast_,1,7,150,88,1259,40,11,14,16,1578,1585,2307,27,1578,27,0,0,2350,20,745,0,Arhangel_skaa oblast_
847,Arhangel_skaa oblast_,1,7,77,51,818,21,2,6,13,985,995,1525,17,985,17,0,0,1600,7,598,0,Arhangel_skaa oblast_
848,Arhangel_skaa oblast_,1,9,103,82,891,18,9,14,14,1132,1140,1637,18,1132,18,0,0,1650,10,500,0,Arhangel_skaa oblast_
849,Arhangel_skaa oblast_,1,2,31,23,190,2,1,2,2,256,253,290,0,256,0,0,0,275,3,19,0,Arhangel_skaa oblast_
850,Arhangel_skaa oblast_,1,0,3,2,67,2,0,0,1,75,75,75,0,75,0,0,0,76,0,1,0,Arhangel_skaa oblast_
851,Arhangel_skaa oblast_,1,3,16,17,142,1,0,2,0,182,181,182,0,182,0,0,0,182,1,0,0,Arhangel_skaa oblast_
852,Arhangel_skaa oblast_,1,7,141,104,1291,37,11,12,20,1612,1623,2537,19,1614,19,0,0,2600,8,967,0,Arhangel_skaa oblast_
853,Arhangel_skaa oblast_,1,3,92,74,876,29,10,9,12,1087,1105,1750,21,1087,21,0,0,1750,3,642,0,Arhangel_skaa oblast_
854,Arhangel_skaa oblast_,1,10,129,83,945,27,14,13,16,1239,1237,1779,12,1243,12,0,0,1750,14,495,0,Arhangel_skaa oblast_
855,Arhangel_skaa oblast_,1,21,173,117,1236,28,15,12,13,1621,1615,2610,10,1621,10,0,0,2650,16,1019,0,Arhangel_skaa oblast_
856,Arhangel_skaa oblast_,1,1,5,5,116,0,1,0,2,120,130,241,10,120,10,0,0,240,0,110,0,Arhangel_skaa oblast_
863,Arhangel_skaa oblast_,1,20,127,86,916,17,8,14,18,1168,1206,1819,42,1168,42,0,0,1850,4,640,0,Arhangel_skaa oblast_
864,Arhangel_skaa oblast_,1,7,68,47,625,18,6,5,13,782,789,1214,17,789,17,0,0,1200,10,394,0,Arhangel_skaa oblast_
865,Arhangel_skaa oblast_,1,15,120,109,1109,22,8,12,17,1400,1412,2267,35,1400,35,0,0,2300,23,865,0,Arhangel_skaa oblast_
866,Arhangel_skaa oblast_,1,1,32,28,309,12,2,4,3,389,391,600,7,389,7,0,0,550,5,154,0,Arhangel_skaa oblast_
867,Arhangel_skaa oblast_,1,18,147,100,1444,27,6,6,19,1755,1767,2756,23,1755,23,0,0,2800,11,1022,0,Arhangel_skaa oblast_
786,Arhangel_skaa oblast_,2,6,94,65,793,15,9,7,3,979,992,1405,20,980,20,0,0,1200,7,200,0,Arhangel_skaa oblast_
787,Arhangel_skaa oblast_,2,1,8,12,84,4,2,2,1,115,114,115,0,115,0,0,0,150,1,35,0,Arhangel_skaa oblast_
788,Arhangel_skaa oblast_,2,10,107,99,1108,17,4,7,6,1349,1358,2149,21,1351,21,0,0,2100,12,728,0,Arhangel_skaa oblast_
789,Arhangel_skaa oblast_,2,13,126,78,1077,24,13,14,15,1345,1360,1985,24,1346,24,0,0,2100,9,730,0,Arhangel_skaa oblast_
790,Arhangel_skaa oblast_,2,10,101,97,931,19,9,13,17,1192,1197,1983,21,1192,21,0,0,2000,16,787,0,Arhangel_skaa oblast_
791,Arhangel_skaa oblast_,2,12,138,84,1119,32,6,15,17,1414,1423,2120,23,1414,23,0,0,2150,14,713,0,Arhangel_skaa oblast_
792,Arhangel_skaa oblast_,2,11,155,107,1202,30,5,20,17,1553,1547,2193,10,1553,10,0,0,2250,16,687,0,Arhangel_skaa oblast_
793,Arhangel_skaa oblast_,2,16,132,102,1116,21,9,15,16,1433,1427,1996,9,1433,9,0,0,2000,15,558,0,Arhangel_skaa oblast_
794,Arhangel_skaa oblast_,2,8,125,73,1008,29,11,15,19,1274,1288,1824,23,1274,23,0,0,1900,9,603,0,Arhangel_skaa oblast_
795,Arhangel_skaa oblast_,2,9,108,103,1116,33,11,7,13,1386,1400,2002,24,1387,24,0,0,2050,10,639,0,Arhangel_skaa oblast_
796,Arhangel_skaa oblast_,2,11,103,121,1154,26,10,11,7,1363,1443,2395,89,1365,89,0,0,2500,9,1046,0,Arhangel_skaa oblast_
797,Arhangel_skaa oblast_,2,12,88,102,1001,27,9,7,13,1253,1259,2167,18,1255,18,0,0,2200,12,927,0,Arhangel_skaa oblast_
798,Arhangel_skaa oblast_,2,12,136,139,1373,31,13,16,20,1729,1740,2825,35,1731,35,0,0,2800,24,1034,0,Arhangel_skaa oblast_
799,Arhangel_skaa oblast_,2,4,37,38,496,14,4,8,14,607,615,1053,13,607,13,0,0,1050,5,430,0,Arhangel_skaa oblast_
800,Arhangel_skaa oblast_,2,11,143,136,1407,27,13,15,24,1770,1776,2692,18,1772,18,0,0,2900,12,1110,0,Arhangel_skaa oblast_
801,Arhangel_skaa oblast_,2,9,94,65,600,17,9,14,11,822,819,1404,6,855,6,0,0,1450,9,589,0,Arhangel_skaa oblast_
802,Arhangel_skaa oblast_,2,8,59,77,622,18,8,5,12,803,809,1431,12,803,12,0,0,1450,6,635,0,Arhangel_skaa oblast_
803,Arhangel_skaa oblast_,2,6,147,96,1186,23,14,12,25,1474,1509,2553,45,1476,45,0,0,2600,10,1079,0,Arhangel_skaa oblast_
804,Arhangel_skaa oblast_,2,16,111,64,938,35,4,14,26,1198,1208,1858,15,1198,15,0,0,1800,5,587,0,Arhangel_skaa oblast_
805,Arhangel_skaa oblast_,2,4,68,62,660,17,12,7,11,846,841,1560,3,846,3,0,0,1550,8,701,0,Arhangel_skaa oblast_
806,Arhangel_skaa oblast_,2,12,127,102,1310,39,13,9,22,1625,1634,2524,21,1625,21,0,0,2750,12,1104,0,Arhangel_skaa oblast_
807,Arhangel_skaa oblast_,2,11,112,85,1106,29,6,20,15,1381,1384,2403,19,1381,19,0,0,2550,16,1150,0,Arhangel_skaa oblast_
808,Arhangel_skaa oblast_,2,15,135,100,1158,34,14,15,21,1493,1492,2398,16,1493,16,0,0,2500,17,991,0,Arhangel_skaa oblast_
