ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
588,Aroslavskaa oblast_,Pervomajskaa,2,85,28,329,0,1,0,0,248,445,543,202,248,202,0,0,580,5,130,0,Aroslavskaa oblast_
589,Aroslavskaa oblast_,Pervomajskaa,2,30,18,441,1,1,0,3,273,496,549,225,273,225,0,0,560,2,62,0,Aroslavskaa oblast_
592,Aroslavskaa oblast_,Pervomajskaa,0,23,20,236,2,1,2,0,77,284,343,208,77,208,0,0,470,1,185,0,Aroslavskaa oblast_
593,Aroslavskaa oblast_,Pervomajskaa,2,28,10,98,1,0,0,0,109,139,210,33,109,33,0,0,230,3,88,0,Aroslavskaa oblast_
594,Aroslavskaa oblast_,Pervomajskaa,0,29,16,229,0,4,1,0,175,279,385,109,175,109,0,0,420,5,136,0,Aroslavskaa oblast_
595,Aroslavskaa oblast_,Pervomajskaa,0,11,9,95,1,1,0,0,62,117,192,55,62,55,0,0,190,0,73,0,Aroslavskaa oblast_
596,Aroslavskaa oblast_,Pervomajskaa,0,12,9,119,0,0,2,1,65,143,209,78,65,78,0,0,220,0,77,0,Aroslavskaa oblast_
597,Aroslavskaa oblast_,Pervomajskaa,1,23,21,139,5,0,1,0,128,190,227,63,128,63,0,0,270,1,79,0,Aroslavskaa oblast_
598,Aroslavskaa oblast_,Pervomajskaa,6,41,27,256,2,2,1,0,203,335,463,136,203,136,0,0,500,4,161,0,Aroslavskaa oblast_
599,Aroslavskaa oblast_,Pervomajskaa,1,21,23,171,1,0,5,1,127,223,276,98,127,98,0,0,290,2,65,0,Aroslavskaa oblast_
600,Aroslavskaa oblast_,Pervomajskaa,2,14,13,113,0,0,0,0,71,142,203,71,71,71,0,0,210,0,68,0,Aroslavskaa oblast_
601,Aroslavskaa oblast_,Pervomajskaa,1,7,10,128,5,0,0,1,77,152,220,75,77,75,0,0,190,0,38,0,Aroslavskaa oblast_
602,Aroslavskaa oblast_,Pervomajskaa,1,12,23,154,4,0,2,2,161,198,306,39,161,39,0,0,300,2,100,0,Aroslavskaa oblast_
603,Aroslavskaa oblast_,Pervomajskaa,1,11,58,286,0,0,3,3,183,362,449,186,183,186,0,0,470,7,101,0,Aroslavskaa oblast_
604,Aroslavskaa oblast_,Pervomajskaa,1,2,7,80,1,0,1,0,46,92,168,47,46,47,0,0,170,1,77,0,Aroslavskaa oblast_
605,Aroslavskaa oblast_,Pervomajskaa,4,132,69,562,3,2,5,6,703,783,1195,89,704,89,0,0,1100,9,307,0,Aroslavskaa oblast_
606,Aroslavskaa oblast_,Pervomajskaa,9,207,108,818,9,7,4,3,1085,1165,1678,92,1086,92,0,0,1700,12,522,0,Aroslavskaa oblast_
607,Aroslavskaa oblast_,Pervomajskaa,3,96,30,284,2,1,3,0,384,419,595,42,384,42,0,0,620,7,194,0,Aroslavskaa oblast_
608,Aroslavskaa oblast_,Pervomajskaa,4,39,34,262,3,5,1,0,267,348,568,84,268,84,0,0,570,3,218,0,Aroslavskaa oblast_
357,Aroslavskaa oblast_,gorodskaa,14,184,96,906,20,9,14,15,1235,1258,1825,33,1235,33,0,0,1550,10,282,0,Aroslavskaa oblast_
358,Aroslavskaa oblast_,gorodskaa,12,225,143,1334,66,21,32,20,1715,1853,2448,168,1720,168,0,0,2110,30,222,0,Aroslavskaa oblast_
359,Aroslavskaa oblast_,gorodskaa,6,111,75,642,12,3,9,11,794,869,1421,87,794,87,0,0,1200,12,319,0,Aroslavskaa oblast_
360,Aroslavskaa oblast_,gorodskaa,4,121,81,679,6,5,8,4,858,908,1474,62,860,62,0,0,1250,12,328,0,Aroslavskaa oblast_
361,Aroslavskaa oblast_,gorodskaa,3,139,81,764,26,3,14,11,973,1041,1699,80,975,80,0,0,1350,12,295,0,Aroslavskaa oblast_
362,Aroslavskaa oblast_,gorodskaa,6,111,67,721,15,7,7,11,897,945,1431,56,898,56,0,0,1200,8,246,0,Aroslavskaa oblast_
363,Aroslavskaa oblast_,gorodskaa,14,162,58,691,17,6,15,23,948,986,1776,57,950,57,0,0,1550,19,543,0,Aroslavskaa oblast_
364,Aroslavskaa oblast_,gorodskaa,5,131,80,648,10,11,11,8,867,904,1488,51,867,51,0,0,1300,14,382,0,Aroslavskaa oblast_
365,Aroslavskaa oblast_,gorodskaa,15,126,83,747,28,4,7,16,970,1026,1716,69,984,69,0,0,1500,13,447,0,Aroslavskaa oblast_
366,Aroslavskaa oblast_,gorodskaa,9,169,80,806,20,3,13,21,1075,1121,1847,57,1075,57,0,0,1550,11,418,0,Aroslavskaa oblast_
367,Aroslavskaa oblast_,gorodskaa,7,187,115,1016,21,8,9,11,1330,1374,2152,57,1333,57,0,0,1700,13,310,0,Aroslavskaa oblast_
368,Aroslavskaa oblast_,gorodskaa,8,168,90,804,16,6,17,6,1071,1115,1692,55,1071,55,0,0,1480,11,354,0,Aroslavskaa oblast_
369,Aroslavskaa oblast_,gorodskaa,9,129,67,701,15,2,5,13,907,941,1522,49,907,49,0,0,1350,15,394,0,Aroslavskaa oblast_
370,Aroslavskaa oblast_,gorodskaa,11,131,81,729,25,10,5,9,979,1001,1580,35,979,35,0,0,1450,13,436,0,Aroslavskaa oblast_
371,Aroslavskaa oblast_,gorodskaa,6,113,72,763,13,6,13,14,961,1000,1567,50,962,50,0,0,1400,11,388,0,Aroslavskaa oblast_
372,Aroslavskaa oblast_,gorodskaa,2,133,70,687,15,5,5,15,898,932,1514,42,898,42,0,0,1350,8,410,0,Aroslavskaa oblast_
373,Aroslavskaa oblast_,gorodskaa,5,143,65,694,16,4,3,14,895,944,1476,57,895,57,0,0,1300,8,348,0,Aroslavskaa oblast_
374,Aroslavskaa oblast_,gorodskaa,9,80,75,585,14,1,3,9,756,776,1545,31,756,31,0,0,1370,11,583,0,Aroslavskaa oblast_
375,Aroslavskaa oblast_,gorodskaa,9,135,97,837,26,7,10,15,1091,1136,1665,51,1091,51,0,0,1380,6,238,0,Aroslavskaa oblast_
376,Aroslavskaa oblast_,gorodskaa,7,123,66,793,13,8,14,21,1005,1045,1613,48,1005,48,0,0,1380,8,327,0,Aroslavskaa oblast_
896,Aroslavskaa oblast_,gorodskaa,0,28,26,242,5,3,4,4,194,312,312,118,194,118,0,0,315,0,3,0,Aroslavskaa oblast_
644,Aroslavskaa oblast_,Posehonskaa,3,24,40,283,2,0,1,1,195,354,500,161,195,161,0,0,510,2,154,0,Aroslavskaa oblast_
645,Aroslavskaa oblast_,Posehonskaa,0,3,10,45,0,0,1,0,41,59,85,18,41,18,0,0,90,0,31,0,Aroslavskaa oblast_
646,Aroslavskaa oblast_,Posehonskaa,1,6,3,79,3,1,0,0,44,93,120,49,44,49,0,0,130,0,37,0,Aroslavskaa oblast_
647,Aroslavskaa oblast_,Posehonskaa,2,9,15,160,5,0,1,0,94,192,242,100,94,100,0,0,260,2,66,0,Aroslavskaa oblast_
648,Aroslavskaa oblast_,Posehonskaa,2,23,16,232,5,3,1,1,217,283,380,70,217,70,0,0,400,4,113,0,Aroslavskaa oblast_
649,Aroslavskaa oblast_,Posehonskaa,2,32,15,346,1,1,1,1,179,399,539,222,179,222,0,0,500,2,99,0,Aroslavskaa oblast_
650,Aroslavskaa oblast_,Posehonskaa,2,36,29,292,2,2,2,0,199,365,444,167,199,167,0,0,460,1,94,0,Aroslavskaa oblast_
651,Aroslavskaa oblast_,Posehonskaa,1,4,14,107,1,0,0,1,38,128,161,91,38,91,0,0,150,1,21,0,Aroslavskaa oblast_
652,Aroslavskaa oblast_,Posehonskaa,0,7,5,98,0,1,0,0,63,111,153,48,63,48,0,0,160,0,49,0,Aroslavskaa oblast_
653,Aroslavskaa oblast_,Posehonskaa,1,18,23,119,2,0,0,1,78,164,201,86,78,86,0,0,180,0,16,0,Aroslavskaa oblast_
654,Aroslavskaa oblast_,Posehonskaa,0,15,17,116,2,1,1,1,92,153,220,63,92,63,0,0,220,2,65,0,Aroslavskaa oblast_
655,Aroslavskaa oblast_,Posehonskaa,2,30,28,180,3,2,0,0,147,245,346,99,147,99,0,0,360,1,114,0,Aroslavskaa oblast_
656,Aroslavskaa oblast_,Posehonskaa,2,21,29,134,1,1,0,0,102,188,250,88,102,88,0,0,240,2,50,0,Aroslavskaa oblast_
657,Aroslavskaa oblast_,Posehonskaa,1,20,31,223,0,5,2,1,149,283,388,138,149,138,0,0,360,4,73,0,Aroslavskaa oblast_
658,Aroslavskaa oblast_,Posehonskaa,5,72,30,378,7,4,2,0,254,498,641,246,254,246,0,0,670,2,170,0,Aroslavskaa oblast_
659,Aroslavskaa oblast_,Posehonskaa,0,13,24,159,1,2,0,0,85,199,263,115,85,115,0,0,270,1,70,0,Aroslavskaa oblast_
660,Aroslavskaa oblast_,Posehonskaa,1,22,25,148,1,1,0,0,103,198,269,95,103,95,0,0,270,0,72,0,Aroslavskaa oblast_
661,Aroslavskaa oblast_,Posehonskaa,0,9,18,116,2,2,0,2,99,149,215,53,99,53,0,0,260,3,108,0,Aroslavskaa oblast_
662,Aroslavskaa oblast_,Posehonskaa,0,4,12,73,2,2,0,2,81,95,147,16,81,16,0,0,180,2,83,0,Aroslavskaa oblast_
663,Aroslavskaa oblast_,Posehonskaa,3,22,22,183,3,1,3,0,90,237,331,147,90,147,0,0,340,0,103,0,Aroslavskaa oblast_
664,Aroslavskaa oblast_,Posehonskaa,1,8,9,90,1,2,0,1,69,112,159,43,69,43,0,0,150,0,38,0,Aroslavskaa oblast_
665,Aroslavskaa oblast_,Posehonskaa,8,176,86,637,9,11,4,2,845,933,1356,106,845,106,0,0,1350,18,399,0,Aroslavskaa oblast_
666,Aroslavskaa oblast_,Posehonskaa,2,19,19,130,4,1,0,0,156,175,213,20,156,20,0,0,210,1,34,0,Aroslavskaa oblast_
667,Aroslavskaa oblast_,Posehonskaa,6,127,88,517,14,5,4,7,647,768,1098,130,648,130,0,0,1040,9,262,0,Aroslavskaa oblast_
668,Aroslavskaa oblast_,Posehonskaa,10,152,60,559,8,12,5,7,736,813,1119,84,736,84,0,0,1100,7,280,0,Aroslavskaa oblast_
669,Aroslavskaa oblast_,Posehonskaa,8,127,66,498,10,9,1,1,662,720,1028,72,662,72,0,0,1000,14,266,0,Aroslavskaa oblast_
670,Aroslavskaa oblast_,Rostovskaa,9,203,118,931,14,13,4,16,1275,1308,2281,41,1275,41,0,0,2200,8,884,0,Aroslavskaa oblast_
671,Aroslavskaa oblast_,Rostovskaa,9,183,122,1124,18,16,10,20,1461,1502,2582,55,1461,55,0,0,2400,14,884,0,Aroslavskaa oblast_
672,Aroslavskaa oblast_,Rostovskaa,12,253,127,1259,31,19,12,16,1677,1729,2727,66,1677,66,0,0,2650,14,907,0,Aroslavskaa oblast_
673,Aroslavskaa oblast_,Rostovskaa,12,106,93,653,8,7,8,8,844,895,1616,56,844,56,0,0,1500,5,600,0,Aroslavskaa oblast_
674,Aroslavskaa oblast_,Rostovskaa,11,140,68,860,26,6,6,4,1090,1121,1853,43,1090,43,0,0,1750,12,617,0,Aroslavskaa oblast_
675,Aroslavskaa oblast_,Rostovskaa,3,93,70,677,11,3,4,4,822,865,1651,55,823,55,0,0,1600,12,722,0,Aroslavskaa oblast_
676,Aroslavskaa oblast_,Rostovskaa,15,204,119,1065,17,8,13,17,1396,1458,2740,74,1396,74,0,0,2700,12,1230,0,Aroslavskaa oblast_
677,Aroslavskaa oblast_,Rostovskaa,6,60,48,466,15,2,4,12,584,613,1251,34,584,34,0,0,1200,5,582,0,Aroslavskaa oblast_
678,Aroslavskaa oblast_,Rostovskaa,6,184,109,1088,20,14,14,17,1331,1452,2435,138,1332,138,0,0,2300,17,830,0,Aroslavskaa oblast_
679,Aroslavskaa oblast_,Rostovskaa,11,193,133,1131,17,9,10,14,1462,1518,2395,67,1463,67,0,0,2250,11,720,0,Aroslavskaa oblast_
680,Aroslavskaa oblast_,Rostovskaa,15,209,117,1074,29,17,15,10,1405,1486,2358,98,1405,98,0,0,2250,17,747,0,Aroslavskaa oblast_
681,Aroslavskaa oblast_,Rostovskaa,12,248,111,1305,27,12,15,15,1700,1745,2793,60,1701,60,0,0,2650,15,889,0,Aroslavskaa oblast_
682,Aroslavskaa oblast_,Rostovskaa,1,18,22,167,1,4,0,2,143,215,360,73,143,73,0,0,350,1,134,0,Aroslavskaa oblast_
683,Aroslavskaa oblast_,Rostovskaa,0,19,23,187,3,1,0,0,180,233,358,56,180,56,0,0,350,3,114,0,Aroslavskaa oblast_
684,Aroslavskaa oblast_,Rostovskaa,0,16,5,79,5,2,1,1,72,109,176,38,72,38,0,0,180,1,70,0,Aroslavskaa oblast_
685,Aroslavskaa oblast_,Rostovskaa,3,47,32,255,5,2,2,3,239,349,544,113,239,113,0,0,530,3,178,0,Aroslavskaa oblast_
686,Aroslavskaa oblast_,Rostovskaa,5,28,25,225,4,3,0,1,148,291,413,143,148,143,0,0,370,0,79,0,Aroslavskaa oblast_
687,Aroslavskaa oblast_,Rostovskaa,0,24,20,191,1,1,1,1,212,239,367,31,212,31,0,0,350,4,107,0,Aroslavskaa oblast_
688,Aroslavskaa oblast_,Rostovskaa,4,55,89,420,7,1,4,6,501,586,968,91,501,91,0,0,950,6,358,0,Aroslavskaa oblast_
689,Aroslavskaa oblast_,Rostovskaa,1,9,7,59,1,6,0,2,71,85,163,14,71,14,0,0,170,0,85,0,Aroslavskaa oblast_
690,Aroslavskaa oblast_,Rostovskaa,0,20,13,107,5,2,0,0,101,147,220,46,101,46,0,0,220,0,73,0,Aroslavskaa oblast_
691,Aroslavskaa oblast_,Rostovskaa,0,4,8,64,0,0,0,0,67,76,135,9,67,9,0,0,140,0,64,0,Aroslavskaa oblast_
692,Aroslavskaa oblast_,Rostovskaa,0,6,5,69,1,2,1,0,69,84,111,16,69,16,0,0,105,1,20,0,Aroslavskaa oblast_
693,Aroslavskaa oblast_,Rostovskaa,2,44,19,175,2,3,1,0,200,246,370,48,200,48,0,0,360,2,112,0,Aroslavskaa oblast_
694,Aroslavskaa oblast_,Rostovskaa,0,8,9,118,1,2,0,0,104,138,202,34,104,34,0,0,195,0,57,0,Aroslavskaa oblast_
695,Aroslavskaa oblast_,Rostovskaa,0,2,1,37,3,0,1,0,21,44,78,23,21,23,0,0,70,0,26,0,Aroslavskaa oblast_
696,Aroslavskaa oblast_,Rostovskaa,3,40,26,301,6,3,1,5,284,385,624,105,284,105,0,0,570,4,181,0,Aroslavskaa oblast_
697,Aroslavskaa oblast_,Rostovskaa,11,155,85,851,16,5,6,9,1031,1138,2124,117,1031,117,0,0,2000,10,852,0,Aroslavskaa oblast_
698,Aroslavskaa oblast_,Rostovskaa,6,164,92,831,7,8,6,9,1027,1123,1864,111,1027,111,0,0,1800,15,662,0,Aroslavskaa oblast_
699,Aroslavskaa oblast_,Rostovskaa,0,8,4,106,1,0,0,0,91,119,213,32,91,32,0,0,220,4,97,0,Aroslavskaa oblast_
700,Aroslavskaa oblast_,Rostovskaa,3,19,15,169,1,5,3,1,183,216,330,33,183,33,0,0,320,0,104,0,Aroslavskaa oblast_
701,Aroslavskaa oblast_,Rostovskaa,3,34,30,356,3,7,2,1,342,436,657,97,342,97,0,0,640,3,201,0,Aroslavskaa oblast_
702,Aroslavskaa oblast_,Rostovskaa,0,17,37,205,5,1,2,0,243,267,426,27,243,27,0,0,410,3,140,0,Aroslavskaa oblast_
703,Aroslavskaa oblast_,Rostovskaa,0,16,5,126,1,1,1,1,107,151,226,44,107,44,0,0,200,0,49,0,Aroslavskaa oblast_
704,Aroslavskaa oblast_,Rostovskaa,0,71,39,348,1,4,0,5,413,468,724,55,413,55,0,0,720,0,252,0,Aroslavskaa oblast_
705,Aroslavskaa oblast_,Rostovskaa,3,123,33,357,3,1,1,9,477,530,965,58,477,58,0,0,950,5,415,0,Aroslavskaa oblast_
706,Aroslavskaa oblast_,Rostovskaa,2,46,24,295,4,3,2,0,352,376,796,30,352,30,0,0,800,6,418,0,Aroslavskaa oblast_
707,Aroslavskaa oblast_,Rostovskaa,6,121,55,684,7,10,7,9,845,899,1562,64,845,64,0,0,1500,10,591,0,Aroslavskaa oblast_
708,Aroslavskaa oblast_,Rostovskaa,17,228,62,1059,36,8,13,13,1398,1436,2063,49,1398,49,0,0,2000,11,553,0,Aroslavskaa oblast_
709,Aroslavskaa oblast_,Rostovskaa,7,186,82,912,25,11,17,5,1193,1245,2023,62,1193,62,0,0,2000,10,745,0,Aroslavskaa oblast_
710,Aroslavskaa oblast_,Rostovskaa,1,21,24,259,3,2,0,0,263,310,437,47,263,47,0,0,400,0,90,0,Aroslavskaa oblast_
711,Aroslavskaa oblast_,Rostovskaa,7,208,126,1126,14,10,8,10,1482,1509,2488,44,1482,44,0,0,2400,17,874,0,Aroslavskaa oblast_
712,Aroslavskaa oblast_,Rostovskaa,3,73,43,424,7,3,1,1,398,555,946,160,398,160,0,0,930,3,372,0,Aroslavskaa oblast_
713,Aroslavskaa oblast_,Rostovskaa,7,24,20,258,2,1,0,0,287,312,476,25,287,25,0,0,450,0,138,0,Aroslavskaa oblast_
714,Aroslavskaa oblast_,Rostovskaa,5,116,69,904,13,9,5,3,1035,1124,2073,102,1035,102,0,0,2000,13,863,0,Aroslavskaa oblast_
715,Aroslavskaa oblast_,Rostovskaa,4,82,47,593,7,0,2,3,655,738,1409,92,655,92,0,0,1350,9,603,0,Aroslavskaa oblast_
716,Aroslavskaa oblast_,Rostovskaa,1,20,13,145,3,0,2,2,167,186,303,21,167,21,0,0,300,2,112,0,Aroslavskaa oblast_
