ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Astrahanskaa oblast_,Kamyzakskaa,7,135,43,342,5,3,3,4,525,542,1042,30,525,30,0,0,1070,13,515,0,Astrahanskaa oblast_
1002,Astrahanskaa oblast_,Kamyzakskaa,5,125,35,409,1,4,2,6,559,587,1166,35,559,35,0,0,1190,7,596,0,Astrahanskaa oblast_
1003,Astrahanskaa oblast_,Kamyzakskaa,3,52,8,385,1,4,3,1,455,457,645,7,455,7,0,0,669,5,207,0,Astrahanskaa oblast_
1004,Astrahanskaa oblast_,Kamyzakskaa,5,151,55,823,16,7,3,6,1061,1066,1922,20,1061,20,0,0,1950,15,869,0,Astrahanskaa oblast_
1005,Astrahanskaa oblast_,Kamyzakskaa,2,99,32,340,10,3,3,3,481,492,867,18,481,18,0,0,890,7,391,0,Astrahanskaa oblast_
1006,Astrahanskaa oblast_,Kamyzakskaa,1,75,27,276,6,5,3,4,385,397,761,17,385,17,0,0,770,5,368,0,Astrahanskaa oblast_
1007,Astrahanskaa oblast_,Kamyzakskaa,2,57,15,212,3,0,1,1,287,291,536,9,287,9,0,0,529,5,233,0,Astrahanskaa oblast_
1008,Astrahanskaa oblast_,Kamyzakskaa,5,139,31,539,10,16,4,7,717,751,1365,48,717,48,0,0,1360,14,595,0,Astrahanskaa oblast_
1009,Astrahanskaa oblast_,Kamyzakskaa,3,194,30,872,16,9,7,8,1108,1139,1872,43,1108,43,0,0,1920,12,769,0,Astrahanskaa oblast_
1010,Astrahanskaa oblast_,Kamyzakskaa,8,182,55,528,8,8,4,7,791,800,1611,22,791,22,0,0,1640,13,827,0,Astrahanskaa oblast_
1011,Astrahanskaa oblast_,Kamyzakskaa,4,37,30,364,1,6,2,1,386,445,822,63,386,63,0,0,830,4,381,0,Astrahanskaa oblast_
1012,Astrahanskaa oblast_,Kamyzakskaa,0,14,8,132,2,4,0,0,151,160,227,9,151,9,0,0,230,0,70,0,Astrahanskaa oblast_
1013,Astrahanskaa oblast_,Kamyzakskaa,0,52,8,330,7,6,1,2,377,406,759,32,377,32,0,0,770,3,361,0,Astrahanskaa oblast_
1014,Astrahanskaa oblast_,Kamyzakskaa,0,72,9,335,5,3,0,1,390,425,696,41,390,41,0,0,700,6,269,0,Astrahanskaa oblast_
1015,Astrahanskaa oblast_,Kamyzakskaa,0,2,1,57,0,1,0,0,55,61,93,7,55,7,0,0,93,1,31,0,Astrahanskaa oblast_
1016,Astrahanskaa oblast_,Kamyzakskaa,0,6,2,87,0,0,0,0,80,95,131,15,80,15,0,0,134,0,39,0,Astrahanskaa oblast_
1017,Astrahanskaa oblast_,Kamyzakskaa,7,186,43,866,7,4,6,8,1064,1127,1653,72,1064,72,0,0,1690,9,554,0,Astrahanskaa oblast_
1018,Astrahanskaa oblast_,Kamyzakskaa,0,31,49,537,2,1,0,1,560,621,830,63,560,63,0,0,850,2,227,0,Astrahanskaa oblast_
