ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
612,Belgorodskaa oblast_,Ivnanskaa,3,30,20,497,1,2,0,0,457,553,611,100,457,100,0,0,600,4,43,0,Belgorodskaa oblast_
613,Belgorodskaa oblast_,Ivnanskaa,1,49,39,889,1,4,3,2,818,988,1067,175,818,175,0,0,1120,5,127,0,Belgorodskaa oblast_
614,Belgorodskaa oblast_,Ivnanskaa,1,31,26,648,2,2,6,1,615,717,798,104,615,104,0,0,780,2,61,0,Belgorodskaa oblast_
615,Belgorodskaa oblast_,Ivnanskaa,0,15,12,366,0,1,1,0,362,395,425,36,362,36,0,0,420,3,22,0,Belgorodskaa oblast_
616,Belgorodskaa oblast_,Ivnanskaa,1,38,7,646,1,4,3,1,624,701,771,77,624,77,0,0,750,0,49,0,Belgorodskaa oblast_
617,Belgorodskaa oblast_,Ivnanskaa,1,22,8,360,4,1,0,2,326,398,437,77,326,77,0,0,430,5,27,0,Belgorodskaa oblast_
618,Belgorodskaa oblast_,Ivnanskaa,4,147,39,1135,9,12,2,3,1235,1351,1636,125,1235,125,0,0,1570,9,210,0,Belgorodskaa oblast_
619,Belgorodskaa oblast_,Ivnanskaa,4,79,53,946,5,8,2,1,999,1098,1509,103,999,103,0,0,1470,4,368,0,Belgorodskaa oblast_
620,Belgorodskaa oblast_,Ivnanskaa,13,96,41,866,10,4,7,0,849,1037,1384,198,849,198,0,0,1300,10,253,0,Belgorodskaa oblast_
621,Belgorodskaa oblast_,Ivnanskaa,1,144,40,1090,3,12,10,3,1171,1303,1728,140,1171,140,0,0,1680,8,369,0,Belgorodskaa oblast_
622,Belgorodskaa oblast_,Ivnanskaa,0,3,3,135,0,0,0,0,125,141,148,16,125,16,0,0,150,0,9,0,Belgorodskaa oblast_
623,Belgorodskaa oblast_,Ivnanskaa,0,5,4,390,0,1,0,0,379,400,424,26,379,26,0,0,415,5,10,0,Belgorodskaa oblast_
624,Belgorodskaa oblast_,Ivnanskaa,3,27,17,545,2,1,1,0,539,596,629,59,539,59,0,0,630,2,32,0,Belgorodskaa oblast_
625,Belgorodskaa oblast_,Ivnanskaa,1,70,58,774,7,1,4,2,756,917,1148,176,756,176,0,0,1130,15,198,0,Belgorodskaa oblast_
626,Belgorodskaa oblast_,Ivnanskaa,2,60,29,1013,4,6,2,1,934,1117,1422,195,934,195,0,0,1400,12,271,0,Belgorodskaa oblast_
627,Belgorodskaa oblast_,Ivnanskaa,0,26,17,348,1,1,0,1,324,394,508,77,324,77,0,0,480,7,79,0,Belgorodskaa oblast_
628,Belgorodskaa oblast_,Ivnanskaa,1,14,13,318,0,1,1,1,296,349,390,54,296,54,0,0,380,1,30,0,Belgorodskaa oblast_
629,Belgorodskaa oblast_,Ivnanskaa,12,63,18,725,1,5,3,2,690,829,940,178,690,178,0,0,900,39,32,0,Belgorodskaa oblast_
630,Belgorodskaa oblast_,Ivnanskaa,4,24,15,515,1,2,2,0,440,563,610,124,440,124,0,0,580,1,16,0,Belgorodskaa oblast_
631,Belgorodskaa oblast_,Ivnanskaa,2,12,12,309,0,0,0,1,293,336,386,47,293,47,0,0,390,4,50,0,Belgorodskaa oblast_
632,Belgorodskaa oblast_,Ivnanskaa,1,31,11,346,1,2,0,0,324,392,425,70,324,70,0,0,420,2,26,0,Belgorodskaa oblast_
633,Belgorodskaa oblast_,Ivnanskaa,0,9,9,200,1,0,1,2,152,222,245,71,152,71,0,0,240,1,17,0,Belgorodskaa oblast_
634,Belgorodskaa oblast_,Ivnanskaa,1,42,10,399,2,2,0,0,410,456,505,49,410,49,0,0,495,3,36,0,Belgorodskaa oblast_
635,Belgorodskaa oblast_,Korocanskaa,8,136,61,855,10,14,6,3,988,1093,1461,117,988,117,0,0,1490,12,385,0,Belgorodskaa oblast_
636,Belgorodskaa oblast_,Korocanskaa,11,111,61,794,12,7,3,1,930,1000,1312,79,930,79,0,0,1310,9,301,0,Belgorodskaa oblast_
