ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
318,Branskaa oblast_,Dat_kovskaa,11,214,101,1200,17,9,8,10,1256,1570,2364,337,1256,337,0,0,2100,23,507,0,Branskaa oblast_
319,Branskaa oblast_,Dat_kovskaa,0,68,60,529,6,4,5,2,606,674,928,90,606,90,0,0,910,22,214,0,Branskaa oblast_
320,Branskaa oblast_,Dat_kovskaa,2,114,57,875,9,5,6,3,1025,1071,1361,61,1040,61,0,0,1310,15,209,0,Branskaa oblast_
321,Branskaa oblast_,Dat_kovskaa,1,78,70,785,2,7,1,1,833,945,1518,112,833,112,0,0,1520,0,575,0,Branskaa oblast_
322,Branskaa oblast_,Dat_kovskaa,3,93,59,503,6,5,2,0,640,671,1094,40,640,40,0,0,1080,9,400,0,Branskaa oblast_
323,Branskaa oblast_,Dat_kovskaa,6,142,43,945,9,12,6,3,1128,1166,1609,52,1130,52,0,0,1610,14,428,0,Branskaa oblast_
324,Branskaa oblast_,Dat_kovskaa,3,78,27,362,5,1,1,3,496,480,711,43,496,43,0,0,700,59,161,0,Branskaa oblast_
325,Branskaa oblast_,Dat_kovskaa,9,205,86,1072,19,14,9,12,1302,1426,2247,147,1302,147,0,0,2300,23,851,0,Branskaa oblast_
326,Branskaa oblast_,Dat_kovskaa,6,105,47,737,3,0,7,2,863,907,1327,59,863,59,0,0,1300,15,378,0,Branskaa oblast_
327,Branskaa oblast_,Dat_kovskaa,3,64,42,437,2,2,1,5,491,556,770,71,491,71,0,0,730,6,168,0,Branskaa oblast_
328,Branskaa oblast_,Dat_kovskaa,8,135,49,765,10,9,10,4,896,990,1360,102,896,102,0,0,1340,8,342,0,Branskaa oblast_
329,Branskaa oblast_,Dat_kovskaa,2,52,14,264,3,1,0,0,321,336,412,18,323,18,0,0,380,3,39,0,Branskaa oblast_
330,Branskaa oblast_,Dat_kovskaa,4,75,21,548,3,3,4,0,635,658,882,29,635,29,0,0,860,6,196,0,Branskaa oblast_
331,Branskaa oblast_,Dat_kovskaa,6,94,47,673,5,11,3,2,762,841,1127,102,762,102,0,0,1100,23,236,0,Branskaa oblast_
332,Branskaa oblast_,Dat_kovskaa,6,72,78,613,4,5,3,3,698,784,1101,99,698,99,0,0,1060,13,263,0,Branskaa oblast_
333,Branskaa oblast_,Dat_kovskaa,19,161,83,818,23,17,17,4,1070,1142,1649,90,1070,90,0,0,1690,18,530,0,Branskaa oblast_
334,Branskaa oblast_,Dat_kovskaa,2,75,25,476,3,7,1,2,633,591,748,11,633,11,0,0,700,53,56,0,Branskaa oblast_
335,Branskaa oblast_,Dat_kovskaa,6,232,77,1423,14,16,11,12,1787,1791,2081,50,1787,50,0,0,2120,46,283,0,Branskaa oblast_
336,Branskaa oblast_,Dat_kovskaa,1,35,56,803,3,5,5,2,687,910,1356,233,687,233,0,0,1600,10,680,0,Branskaa oblast_
337,Branskaa oblast_,Dat_kovskaa,13,167,89,917,31,15,8,5,1101,1245,1980,168,1101,168,0,0,2120,24,851,0,Branskaa oblast_
338,Branskaa oblast_,Dat_kovskaa,1,16,7,206,1,0,0,0,214,231,321,19,214,19,0,0,350,2,117,0,Branskaa oblast_
339,Branskaa oblast_,Dat_kovskaa,7,105,62,826,12,6,4,0,817,1022,1763,213,818,213,0,0,1860,8,829,0,Branskaa oblast_
340,Branskaa oblast_,Dat_kovskaa,3,61,36,594,3,7,1,3,652,708,823,60,652,60,0,0,880,4,168,0,Branskaa oblast_
341,Branskaa oblast_,Dat_kovskaa,9,165,82,1285,14,4,4,3,1294,1566,2475,290,1294,290,0,0,2670,18,1086,0,Branskaa oblast_
342,Branskaa oblast_,Dat_kovskaa,5,44,28,568,2,4,1,1,612,653,768,41,612,41,0,0,850,0,197,0,Branskaa oblast_
343,Branskaa oblast_,Dat_kovskaa,9,159,112,944,15,5,5,5,1178,1254,2126,86,1178,86,0,0,2200,10,936,0,Branskaa oblast_
344,Branskaa oblast_,Dat_kovskaa,5,106,60,850,5,4,7,4,1027,1041,1292,33,1027,33,0,0,1290,19,230,0,Branskaa oblast_
345,Branskaa oblast_,Dat_kovskaa,5,60,59,553,3,3,5,7,643,695,871,55,643,55,0,0,900,3,202,0,Branskaa oblast_
346,Branskaa oblast_,Dat_kovskaa,7,107,53,1300,8,6,1,2,1394,1484,1810,90,1394,90,0,0,1790,0,306,0,Branskaa oblast_
347,Branskaa oblast_,Dat_kovskaa,4,62,38,632,6,1,0,3,700,746,1226,56,701,56,0,0,1280,10,523,0,Branskaa oblast_
348,Branskaa oblast_,Dat_kovskaa,2,21,28,282,1,5,1,0,293,340,442,50,293,50,0,0,450,3,107,0,Branskaa oblast_
349,Branskaa oblast_,Dat_kovskaa,6,117,62,729,11,7,6,2,905,940,1489,46,905,46,0,0,1580,11,629,0,Branskaa oblast_
350,Branskaa oblast_,Dat_kovskaa,4,54,23,188,2,4,2,1,283,278,366,0,283,0,0,0,400,5,117,0,Branskaa oblast_
351,Branskaa oblast_,Dat_kovskaa,6,121,95,753,6,3,5,1,885,990,1353,115,885,115,0,0,1470,10,470,0,Branskaa oblast_
352,Branskaa oblast_,Dat_kovskaa,1,48,15,221,2,3,2,1,219,293,386,76,219,76,0,0,410,2,115,0,Branskaa oblast_
353,Branskaa oblast_,Dat_kovskaa,1,4,12,152,2,2,0,1,137,174,224,43,137,43,0,0,210,6,30,0,Branskaa oblast_
354,Branskaa oblast_,Dat_kovskaa,0,14,9,214,1,0,1,0,201,239,328,41,201,41,0,0,310,3,68,0,Branskaa oblast_
355,Branskaa oblast_,Dat_kovskaa,0,50,31,349,4,3,2,0,412,439,591,29,412,29,0,0,630,2,189,0,Branskaa oblast_
356,Branskaa oblast_,Dat_kovskaa,4,118,58,932,3,9,2,3,1111,1129,1606,28,1111,28,0,0,1700,10,561,0,Branskaa oblast_
357,Branskaa oblast_,Dat_kovskaa,0,5,27,174,2,0,0,0,192,208,234,16,192,16,0,0,220,0,12,0,Branskaa oblast_
358,Branskaa oblast_,Dat_kovskaa,1,138,70,1305,10,13,1,3,1444,1541,1853,137,1444,137,0,0,1890,40,309,0,Branskaa oblast_
359,Branskaa oblast_,Dat_kovskaa,9,109,103,1132,2,10,6,5,1225,1376,1644,156,1225,156,0,0,1600,5,219,0,Branskaa oblast_
360,Branskaa oblast_,Dat_kovskaa,0,10,14,201,1,1,0,0,229,227,241,3,229,3,0,0,240,5,8,0,Branskaa oblast_
361,Branskaa oblast_,Dat_kovskaa,5,162,92,1476,11,8,7,4,1648,1765,2140,142,1648,142,0,0,2100,25,310,0,Branskaa oblast_
362,Branskaa oblast_,Dat_kovskaa,8,177,95,1466,18,14,10,1,1772,1789,2186,24,1772,24,0,0,2190,7,394,0,Branskaa oblast_
363,Branskaa oblast_,Dat_kovskaa,10,142,73,1726,12,9,2,0,1933,1974,1997,57,1933,57,0,0,2000,16,10,0,Branskaa oblast_
364,Branskaa oblast_,Jiratinskaa,2,37,19,599,3,3,1,0,593,664,721,77,593,77,0,0,720,6,50,0,Branskaa oblast_
365,Branskaa oblast_,Jiratinskaa,1,11,18,266,1,0,0,0,260,297,315,41,260,41,0,0,320,4,19,0,Branskaa oblast_
366,Branskaa oblast_,Jiratinskaa,4,44,17,475,6,1,4,3,530,554,645,24,530,24,0,0,660,0,106,0,Branskaa oblast_
367,Branskaa oblast_,Jiratinskaa,8,70,37,723,7,6,4,2,774,857,973,90,774,90,0,0,1000,7,136,0,Branskaa oblast_
368,Branskaa oblast_,Jiratinskaa,0,7,9,159,1,0,2,5,172,183,201,11,172,11,0,0,200,0,17,0,Branskaa oblast_
369,Branskaa oblast_,Jiratinskaa,0,8,8,132,2,1,4,0,126,155,164,29,126,29,0,0,160,0,5,0,Branskaa oblast_
370,Branskaa oblast_,Jiratinskaa,0,14,4,163,1,3,0,0,135,185,205,50,135,50,0,0,200,0,15,0,Branskaa oblast_
371,Branskaa oblast_,Jiratinskaa,1,20,14,183,2,0,0,3,215,223,244,10,215,10,0,0,250,2,25,0,Branskaa oblast_
372,Branskaa oblast_,Jiratinskaa,1,26,10,210,4,1,0,0,239,252,275,13,239,13,0,0,260,0,8,0,Branskaa oblast_
373,Branskaa oblast_,Jiratinskaa,1,12,24,276,1,0,0,0,286,314,348,31,286,31,0,0,360,3,43,0,Branskaa oblast_
374,Branskaa oblast_,Jiratinskaa,0,12,11,218,1,1,0,0,213,243,260,30,213,30,0,0,270,0,27,0,Branskaa oblast_
375,Branskaa oblast_,Jiratinskaa,1,23,12,170,0,0,2,0,169,208,225,40,169,40,0,0,240,1,31,0,Branskaa oblast_
376,Branskaa oblast_,Jiratinskaa,4,9,4,239,0,1,0,0,195,257,274,62,195,62,0,0,300,0,43,0,Branskaa oblast_
377,Branskaa oblast_,Jiratinskaa,0,3,9,227,0,0,0,0,237,239,252,3,237,3,0,0,260,1,20,0,Branskaa oblast_
378,Branskaa oblast_,Jukovskaa,3,121,45,896,8,5,2,4,927,1084,1505,167,927,167,0,0,1470,10,376,0,Branskaa oblast_
379,Branskaa oblast_,Jukovskaa,4,159,55,826,7,1,5,4,1023,1061,1553,55,1023,55,0,0,1500,17,422,0,Branskaa oblast_
380,Branskaa oblast_,Jukovskaa,5,75,31,595,10,5,4,3,684,728,896,51,684,51,0,0,850,7,115,0,Branskaa oblast_
381,Branskaa oblast_,Jukovskaa,5,117,58,839,9,9,5,2,917,1044,1382,135,917,135,0,0,1350,8,298,0,Branskaa oblast_
382,Branskaa oblast_,Jukovskaa,5,122,62,817,11,13,7,4,946,1041,1410,109,946,109,0,0,1350,14,295,0,Branskaa oblast_
383,Branskaa oblast_,Jukovskaa,1,73,26,592,5,3,10,0,635,710,815,85,635,85,0,0,750,10,30,0,Branskaa oblast_
384,Branskaa oblast_,Jukovskaa,7,117,71,837,5,12,1,5,981,1055,1572,87,981,87,0,0,1550,13,482,0,Branskaa oblast_
385,Branskaa oblast_,Jukovskaa,3,123,44,802,14,11,4,6,949,1007,1205,67,949,67,0,0,1100,9,84,0,Branskaa oblast_
386,Branskaa oblast_,Jukovskaa,5,44,37,475,2,8,8,6,518,585,809,77,518,77,0,0,720,10,125,0,Branskaa oblast_
387,Branskaa oblast_,Jukovskaa,3,69,41,558,6,4,3,2,652,686,962,47,652,47,0,0,930,13,231,0,Branskaa oblast_
388,Branskaa oblast_,Jukovskaa,3,96,32,655,3,1,2,0,633,792,1042,173,633,173,0,0,860,14,54,0,Branskaa oblast_
389,Branskaa oblast_,Jukovskaa,6,128,44,649,9,5,6,0,644,847,1172,210,644,210,0,0,1160,7,306,0,Branskaa oblast_
390,Branskaa oblast_,Jukovskaa,3,60,47,572,3,0,1,1,658,687,825,33,658,33,0,0,800,4,109,0,Branskaa oblast_
391,Branskaa oblast_,Jukovskaa,1,3,7,209,1,3,0,1,187,225,237,40,187,40,0,0,235,2,8,0,Branskaa oblast_
392,Branskaa oblast_,Jukovskaa,1,45,25,250,1,0,1,1,261,324,507,65,261,65,0,0,500,2,174,0,Branskaa oblast_
393,Branskaa oblast_,Jukovskaa,9,102,91,1114,7,5,6,1,1132,1335,1893,222,1132,222,0,0,1830,19,476,0,Branskaa oblast_
394,Branskaa oblast_,Jukovskaa,2,16,8,255,2,0,0,0,230,283,352,55,230,55,0,0,330,2,45,0,Branskaa oblast_
395,Branskaa oblast_,Jukovskaa,0,44,30,350,1,1,4,1,401,431,559,37,402,37,0,0,530,7,91,0,Branskaa oblast_
396,Branskaa oblast_,Jukovskaa,2,32,12,213,1,0,3,0,244,263,337,26,244,26,0,0,340,7,70,0,Branskaa oblast_
397,Branskaa oblast_,Jukovskaa,0,20,9,239,2,0,0,0,221,270,321,54,221,54,0,0,310,5,35,0,Branskaa oblast_
398,Branskaa oblast_,Jukovskaa,3,34,26,353,1,4,0,0,354,421,486,68,354,68,0,0,490,1,68,0,Branskaa oblast_
399,Branskaa oblast_,Jukovskaa,2,11,22,219,3,5,1,0,230,263,307,38,230,38,0,0,330,5,62,0,Branskaa oblast_
400,Branskaa oblast_,Jukovskaa,0,8,10,163,0,0,2,0,159,183,249,26,159,26,0,0,250,2,65,0,Branskaa oblast_
401,Branskaa oblast_,Jukovskaa,0,8,10,156,1,0,3,1,164,179,222,20,164,20,0,0,210,5,26,0,Branskaa oblast_
402,Branskaa oblast_,Jukovskaa,0,8,6,102,0,1,0,2,103,119,147,16,103,16,0,0,145,0,26,0,Branskaa oblast_
403,Branskaa oblast_,Jukovskaa,0,40,26,400,5,2,0,0,395,473,506,81,395,81,0,0,510,3,34,0,Branskaa oblast_
404,Branskaa oblast_,Jukovskaa,0,58,25,460,3,2,1,1,470,550,682,89,470,89,0,0,685,9,126,0,Branskaa oblast_
405,Branskaa oblast_,Jukovskaa,1,38,36,526,3,3,1,1,537,609,749,80,537,80,0,0,750,8,133,0,Branskaa oblast_
406,Branskaa oblast_,Jukovskaa,7,97,82,691,17,3,3,1,746,901,1118,171,746,171,0,0,1150,16,233,0,Branskaa oblast_
407,Branskaa oblast_,Jukovskaa,0,9,14,129,1,0,1,0,131,154,192,25,131,25,0,0,190,2,34,0,Branskaa oblast_
408,Branskaa oblast_,Jukovskaa,1,70,39,414,4,3,1,1,492,533,718,50,492,50,0,0,730,9,188,0,Branskaa oblast_
409,Branskaa oblast_,Jukovskaa,0,46,11,340,0,2,1,0,348,400,488,57,348,57,0,0,490,5,85,0,Branskaa oblast_
410,Branskaa oblast_,Jukovskaa,0,10,7,148,1,1,0,0,134,167,190,39,134,39,0,0,190,6,17,0,Branskaa oblast_
411,Branskaa oblast_,Jukovskaa,1,23,43,281,1,2,1,1,304,353,416,52,304,52,0,0,420,3,64,0,Branskaa oblast_
412,Branskaa oblast_,Jukovskaa,4,90,104,1069,5,4,10,9,1279,1295,1340,48,1279,48,0,0,1340,32,13,0,Branskaa oblast_
413,Branskaa oblast_,Zlynkovskaa,2,18,9,221,2,3,3,1,210,259,284,52,210,52,0,0,280,3,18,0,Branskaa oblast_
414,Branskaa oblast_,Zlynkovskaa,4,93,50,556,9,1,5,0,656,718,999,80,656,80,0,0,990,18,254,0,Branskaa oblast_
415,Branskaa oblast_,Zlynkovskaa,9,90,40,482,10,5,1,2,501,639,767,146,501,146,0,0,770,8,123,0,Branskaa oblast_
416,Branskaa oblast_,Zlynkovskaa,1,51,16,1387,1,1,1,1,1382,1459,1570,80,1382,80,0,0,1550,3,88,0,Branskaa oblast_
417,Branskaa oblast_,Zlynkovskaa,4,73,35,1225,5,7,5,5,1315,1359,1529,56,1315,56,0,0,1500,12,129,0,Branskaa oblast_
418,Branskaa oblast_,Zlynkovskaa,4,100,33,856,7,9,5,4,988,1018,1266,38,988,38,0,0,1250,8,224,0,Branskaa oblast_
419,Branskaa oblast_,Zlynkovskaa,2,5,3,155,0,0,0,0,155,165,184,24,155,24,0,0,180,14,1,0,Branskaa oblast_
420,Branskaa oblast_,Zlynkovskaa,1,11,11,290,0,0,0,3,280,316,318,36,280,36,0,0,320,0,4,0,Branskaa oblast_
421,Branskaa oblast_,Zlynkovskaa,1,4,6,259,0,1,0,2,245,273,282,29,245,29,0,0,280,1,6,0,Branskaa oblast_
422,Branskaa oblast_,Zlynkovskaa,1,5,10,320,2,1,0,1,315,340,347,25,315,25,0,0,340,0,0,0,Branskaa oblast_
423,Branskaa oblast_,Zlynkovskaa,0,3,4,216,0,2,0,1,165,226,236,65,165,65,0,0,230,4,0,0,Branskaa oblast_
424,Branskaa oblast_,Zlynkovskaa,0,2,6,100,1,2,0,0,100,111,128,13,100,13,0,0,130,2,17,0,Branskaa oblast_
425,Branskaa oblast_,Zlynkovskaa,1,4,15,200,2,3,2,1,200,228,247,28,200,28,0,0,250,0,22,0,Branskaa oblast_
426,Branskaa oblast_,Zlynkovskaa,3,8,9,222,1,5,4,2,219,254,262,35,219,35,0,0,260,0,6,0,Branskaa oblast_
427,Branskaa oblast_,Zlynkovskaa,1,18,30,291,3,3,3,0,323,349,369,27,323,27,0,0,360,1,10,0,Branskaa oblast_
428,Branskaa oblast_,Zlynkovskaa,1,2,5,216,1,0,1,0,219,226,234,8,219,8,0,0,230,1,3,0,Branskaa oblast_
429,Branskaa oblast_,Karacevskaa,8,128,62,890,10,6,7,1,1075,1112,1290,47,1075,47,0,0,1440,10,318,0,Branskaa oblast_
430,Branskaa oblast_,Karacevskaa,4,132,48,680,9,8,3,2,837,886,920,55,837,55,0,0,950,6,58,0,Branskaa oblast_
431,Branskaa oblast_,Karacevskaa,1,107,103,577,6,1,3,2,710,800,991,93,710,93,0,0,1050,3,247,0,Branskaa oblast_
432,Branskaa oblast_,Karacevskaa,9,134,94,867,15,9,7,3,1088,1138,1611,75,1088,75,0,0,1830,25,667,0,Branskaa oblast_
433,Branskaa oblast_,Karacevskaa,6,201,80,1120,13,10,5,5,1340,1440,1931,122,1340,122,0,0,2100,22,638,0,Branskaa oblast_
434,Branskaa oblast_,Karacevskaa,5,71,47,657,6,6,6,3,745,801,1021,70,745,70,0,0,1120,14,305,0,Branskaa oblast_
435,Branskaa oblast_,Karacevskaa,9,110,48,620,10,6,3,2,744,808,963,80,744,80,0,0,1100,16,276,0,Branskaa oblast_
436,Branskaa oblast_,Karacevskaa,7,71,55,548,6,4,4,3,660,698,832,46,660,46,0,0,850,8,144,0,Branskaa oblast_
437,Branskaa oblast_,Karacevskaa,4,93,41,622,11,9,3,1,767,784,1170,26,767,26,0,0,1270,9,477,0,Branskaa oblast_
438,Branskaa oblast_,Karacevskaa,3,114,35,661,11,14,7,2,819,847,1226,40,819,40,0,0,1300,12,441,0,Branskaa oblast_
439,Branskaa oblast_,Karacevskaa,4,55,16,329,4,1,1,0,399,410,435,16,399,16,0,0,480,5,65,0,Branskaa oblast_
440,Branskaa oblast_,Karacevskaa,3,90,20,434,2,4,1,6,540,560,700,34,540,34,0,0,740,14,166,0,Branskaa oblast_
