ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
147,Cecenskaa Respublika,Itum-Kalinskaa,8,28,5,1464,1,4,8,11,1519,1529,1553,12,1519,12,0,0,1547,2,16,0,Cecenskaa Respublika
148,Cecenskaa Respublika,Itum-Kalinskaa,6,23,2,563,1,2,6,8,601,611,637,13,601,13,0,0,631,3,17,0,Cecenskaa Respublika
149,Cecenskaa Respublika,Itum-Kalinskaa,7,9,3,232,1,1,4,4,261,261,286,2,261,2,0,0,286,2,23,0,Cecenskaa Respublika
150,Cecenskaa Respublika,Itum-Kalinskaa,2,18,4,244,0,2,1,3,271,274,284,5,271,5,0,0,284,2,8,0,Cecenskaa Respublika
151,Cecenskaa Respublika,Itum-Kalinskaa,3,19,2,304,2,1,2,3,334,336,359,3,334,3,0,0,358,1,21,0,Cecenskaa Respublika
152,Cecenskaa Respublika,Itum-Kalinskaa,2,23,6,297,1,2,4,9,336,344,356,10,336,10,0,0,356,2,10,0,Cecenskaa Respublika
153,Cecenskaa Respublika,Itum-Kalinskaa,4,29,5,115,1,5,3,7,168,169,178,2,168,2,0,0,178,1,8,0,Cecenskaa Respublika
154,Cecenskaa Respublika,Itum-Kalinskaa,2,7,3,213,2,3,1,5,235,236,245,3,235,3,0,0,245,2,7,0,Cecenskaa Respublika
155,Cecenskaa Respublika,Itum-Kalinskaa,4,6,2,100,1,2,2,4,122,121,134,0,122,0,0,0,134,1,12,0,Cecenskaa Respublika
156,Cecenskaa Respublika,Itum-Kalinskaa,9,5,2,165,2,0,1,6,190,190,201,1,190,1,0,0,201,1,10,0,Cecenskaa Respublika
157,Cecenskaa Respublika,Itum-Kalinskaa,0,1,1,5,0,1,2,0,10,10,16,0,10,0,0,0,16,0,6,0,Cecenskaa Respublika
158,Cecenskaa Respublika,Itum-Kalinskaa,1,7,2,9,1,1,1,2,24,24,32,0,24,0,0,0,32,0,8,0,Cecenskaa Respublika
159,Cecenskaa Respublika,Itum-Kalinskaa,1,3,0,13,2,1,2,1,24,23,32,0,24,0,0,0,32,1,8,0,Cecenskaa Respublika
160,Cecenskaa Respublika,Kurcaloevskaa,39,120,2,2305,4,6,10,11,2485,2497,2562,14,2485,14,0,0,2512,2,13,0,Cecenskaa Respublika
161,Cecenskaa Respublika,Kurcaloevskaa,25,224,3,2034,3,3,2,12,2289,2306,2370,18,2289,18,0,0,2324,1,17,0,Cecenskaa Respublika
162,Cecenskaa Respublika,Kurcaloevskaa,11,18,2,2667,1,6,3,6,2709,2714,2785,6,2709,6,0,0,2731,1,16,0,Cecenskaa Respublika
163,Cecenskaa Respublika,Kurcaloevskaa,18,31,1,1892,2,2,6,4,1943,1956,2011,15,1943,15,0,0,1972,2,14,0,Cecenskaa Respublika
164,Cecenskaa Respublika,Kurcaloevskaa,14,75,0,2073,0,5,7,5,2168,2179,2232,14,2168,14,0,0,2189,3,7,0,Cecenskaa Respublika
165,Cecenskaa Respublika,Kurcaloevskaa,0,10,2,1674,7,1,1,3,1691,1698,2104,25,1716,25,0,0,2196,18,455,0,Cecenskaa Respublika
166,Cecenskaa Respublika,Kurcaloevskaa,0,18,0,1739,1,1,1,2,1755,1762,2026,32,1755,32,0,0,2114,25,327,0,Cecenskaa Respublika
167,Cecenskaa Respublika,Kurcaloevskaa,28,62,2,1688,2,1,1,5,1781,1789,1835,10,1781,10,0,0,1799,2,8,0,Cecenskaa Respublika
168,Cecenskaa Respublika,Kurcaloevskaa,17,23,4,1948,0,2,5,2,1993,2001,2053,10,1993,10,0,0,2013,2,10,0,Cecenskaa Respublika
169,Cecenskaa Respublika,Kurcaloevskaa,21,48,3,2308,1,2,11,3,2379,2397,2460,19,2379,19,0,0,2412,1,14,0,Cecenskaa Respublika
170,Cecenskaa Respublika,Kurcaloevskaa,28,52,2,2470,0,4,3,12,2560,2571,2630,13,2560,13,0,0,2579,2,6,0,Cecenskaa Respublika
171,Cecenskaa Respublika,Kurcaloevskaa,11,86,2,1786,1,3,10,5,1892,1904,1954,15,1892,15,0,0,1916,3,9,0,Cecenskaa Respublika
172,Cecenskaa Respublika,Kurcaloevskaa,19,20,1,2019,1,4,2,6,2062,2072,2125,11,2062,11,0,0,2084,1,11,0,Cecenskaa Respublika
173,Cecenskaa Respublika,Kurcaloevskaa,11,21,1,2584,4,2,2,7,2617,2632,2696,16,2617,16,0,0,2644,1,11,0,Cecenskaa Respublika
174,Cecenskaa Respublika,Kurcaloevskaa,17,68,2,2197,2,2,3,8,2288,2299,2366,14,2288,14,0,0,2320,3,18,0,Cecenskaa Respublika
175,Cecenskaa Respublika,Kurcaloevskaa,13,34,1,2060,1,0,8,2,2108,2119,2183,14,2108,14,0,0,2141,3,19,0,Cecenskaa Respublika
176,Cecenskaa Respublika,Kurcaloevskaa,26,44,1,1377,2,2,6,2,1450,1460,1498,11,1450,11,0,0,1469,1,8,0,Cecenskaa Respublika
177,Cecenskaa Respublika,Kurcaloevskaa,9,25,2,683,1,1,9,3,715,733,770,20,715,20,0,0,755,2,20,0,Cecenskaa Respublika
178,Cecenskaa Respublika,Kurcaloevskaa,5,15,0,539,0,3,2,4,564,568,592,7,564,7,0,0,581,3,10,0,Cecenskaa Respublika
179,Cecenskaa Respublika,Kurcaloevskaa,16,34,1,1279,0,4,4,5,1340,1343,1384,5,1340,5,0,0,1357,2,12,0,Cecenskaa Respublika
180,Cecenskaa Respublika,Kurcaloevskaa,3,19,1,386,1,5,3,6,421,424,437,4,421,4,0,0,429,1,4,0,Cecenskaa Respublika
