ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
53,Celabinskaa oblast_,gorodskaa,10,199,95,884,25,12,11,6,1184,1242,2065,78,1184,78,0,0,1530,20,268,0,Celabinskaa oblast_
54,Celabinskaa oblast_,gorodskaa,19,186,124,1023,16,14,19,13,1378,1414,2326,67,1378,67,0,0,1770,31,325,0,Celabinskaa oblast_
55,Celabinskaa oblast_,gorodskaa,6,87,65,434,12,9,3,3,606,619,1045,26,606,26,0,0,780,13,148,0,Celabinskaa oblast_
56,Celabinskaa oblast_,gorodskaa,11,155,92,999,23,11,15,9,1246,1315,1990,86,1246,86,0,0,1500,17,168,0,Celabinskaa oblast_
57,Celabinskaa oblast_,gorodskaa,5,122,74,631,17,14,10,9,848,882,1389,51,848,51,0,0,1050,17,151,0,Celabinskaa oblast_
58,Celabinskaa oblast_,gorodskaa,14,174,85,839,9,9,5,5,1113,1140,1877,45,1115,45,0,0,1400,18,240,0,Celabinskaa oblast_
59,Celabinskaa oblast_,gorodskaa,8,95,54,553,9,11,3,5,709,738,1143,42,709,42,0,0,830,13,79,0,Celabinskaa oblast_
60,Celabinskaa oblast_,gorodskaa,11,129,83,549,16,7,5,3,785,803,1544,41,785,41,0,0,1160,23,334,0,Celabinskaa oblast_
61,Celabinskaa oblast_,gorodskaa,5,69,55,477,3,7,8,7,600,631,1276,47,600,47,0,0,960,16,313,0,Celabinskaa oblast_
62,Celabinskaa oblast_,gorodskaa,4,73,63,432,9,8,5,1,578,595,1186,25,578,25,0,0,890,8,287,0,Celabinskaa oblast_
63,Celabinskaa oblast_,gorodskaa,11,163,101,786,13,9,8,8,1023,1099,2076,104,1023,104,0,0,1570,28,443,0,Celabinskaa oblast_
64,Celabinskaa oblast_,gorodskaa,4,81,55,486,8,8,7,4,625,653,1265,43,625,43,0,0,950,15,282,0,Celabinskaa oblast_
65,Celabinskaa oblast_,gorodskaa,0,56,55,367,4,1,3,0,476,486,988,21,476,21,0,0,720,11,223,0,Celabinskaa oblast_
66,Celabinskaa oblast_,gorodskaa,11,154,94,926,19,17,15,16,1233,1252,2211,37,1233,37,0,0,1640,18,370,0,Celabinskaa oblast_
67,Celabinskaa oblast_,gorodskaa,3,100,50,511,8,12,10,4,692,698,1410,18,692,18,0,0,1070,12,360,0,Celabinskaa oblast_
68,Celabinskaa oblast_,gorodskaa,10,97,49,528,11,6,6,3,686,710,1241,35,686,35,0,0,950,11,229,0,Celabinskaa oblast_
69,Celabinskaa oblast_,gorodskaa,14,99,78,682,12,11,7,4,854,907,1520,80,854,80,0,0,1130,27,196,0,Celabinskaa oblast_
70,Celabinskaa oblast_,gorodskaa,6,170,110,965,14,10,12,6,1183,1293,2139,137,1183,137,0,0,1540,27,220,0,Celabinskaa oblast_
71,Celabinskaa oblast_,gorodskaa,10,137,80,929,16,10,13,6,1146,1201,1862,63,1146,63,0,0,1420,8,211,0,Celabinskaa oblast_
72,Celabinskaa oblast_,gorodskaa,8,151,76,917,19,14,10,3,1160,1198,1892,49,1160,49,0,0,1430,11,221,0,Celabinskaa oblast_
73,Celabinskaa oblast_,gorodskaa,4,82,34,595,9,9,15,1,718,749,1156,49,718,49,0,0,870,18,103,0,Celabinskaa oblast_
74,Celabinskaa oblast_,gorodskaa,8,98,43,478,15,6,10,7,637,665,1170,42,637,42,0,0,870,14,191,0,Celabinskaa oblast_
75,Celabinskaa oblast_,gorodskaa,2,83,41,488,7,5,4,8,600,638,1035,48,600,48,0,0,770,10,122,0,Celabinskaa oblast_
76,Celabinskaa oblast_,gorodskaa,4,118,72,830,19,6,11,8,1042,1068,1771,44,1042,44,0,0,1340,18,254,0,Celabinskaa oblast_
77,Celabinskaa oblast_,gorodskaa,11,159,50,863,23,11,11,11,1103,1139,1914,52,1103,52,0,0,1550,16,395,0,Celabinskaa oblast_
78,Celabinskaa oblast_,gorodskaa,11,171,106,941,17,11,17,8,1228,1282,2005,65,1228,65,0,0,1520,11,227,0,Celabinskaa oblast_
79,Celabinskaa oblast_,gorodskaa,6,159,56,887,22,3,9,10,1090,1152,1843,80,1090,80,0,0,1390,18,220,0,Celabinskaa oblast_
80,Celabinskaa oblast_,gorodskaa,11,120,59,733,14,2,12,6,947,957,1579,30,947,30,0,0,1190,20,213,0,Celabinskaa oblast_
81,Celabinskaa oblast_,gorodskaa,17,141,75,770,18,11,16,9,1023,1057,1601,49,1023,49,0,0,1210,15,138,0,Celabinskaa oblast_
82,Celabinskaa oblast_,gorodskaa,15,132,55,817,18,9,15,8,1023,1069,1766,63,1023,63,0,0,1350,17,264,0,Celabinskaa oblast_
83,Celabinskaa oblast_,gorodskaa,12,117,63,755,11,5,9,3,920,975,1520,58,920,58,0,0,1160,3,182,0,Celabinskaa oblast_
84,Celabinskaa oblast_,gorodskaa,12,111,58,658,12,6,8,8,820,873,1388,67,820,67,0,0,1040,14,153,0,Celabinskaa oblast_
85,Celabinskaa oblast_,gorodskaa,17,149,73,961,27,12,14,10,1219,1263,1874,67,1219,67,0,0,1430,23,144,0,Celabinskaa oblast_
86,Celabinskaa oblast_,gorodskaa,10,144,53,1014,16,15,18,14,1247,1284,1919,46,1247,46,0,0,1460,9,167,0,Celabinskaa oblast_
87,Celabinskaa oblast_,gorodskaa,8,134,70,940,16,10,14,18,1186,1210,1773,51,1186,51,0,0,1350,27,113,0,Celabinskaa oblast_
88,Celabinskaa oblast_,gorodskaa,14,131,63,898,15,10,12,15,1102,1158,1811,73,1102,73,0,0,1390,17,215,0,Celabinskaa oblast_
89,Celabinskaa oblast_,gorodskaa,3,73,29,460,5,1,2,3,562,576,975,22,562,22,0,0,730,8,146,0,Celabinskaa oblast_
90,Celabinskaa oblast_,gorodskaa,10,216,76,1090,28,20,24,9,1440,1473,2230,55,1444,55,0,0,1670,22,167,4,Celabinskaa oblast_
91,Celabinskaa oblast_,gorodskaa,21,230,87,1121,27,15,21,15,1521,1537,2267,42,1521,42,0,0,1710,26,147,0,Celabinskaa oblast_
92,Celabinskaa oblast_,gorodskaa,21,225,84,1222,27,19,13,24,1621,1635,2376,38,1621,38,0,0,1800,24,141,0,Celabinskaa oblast_
