ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
6,Cukotskij avtonomnyj,Anadyrskaa,1,31,30,339,3,2,1,3,416,410,534,0,416,0,0,0,574,6,158,0,Cukotskij avtonomnyj
7,Cukotskij avtonomnyj,Anadyrskaa,6,70,66,687,17,3,4,6,840,859,1242,30,840,30,0,0,1116,11,246,0,Cukotskij avtonomnyj
8,Cukotskij avtonomnyj,Anadyrskaa,0,31,37,421,3,3,2,1,496,498,579,6,496,6,0,0,567,4,65,0,Cukotskij avtonomnyj
9,Cukotskij avtonomnyj,Anadyrskaa,1,15,40,417,4,3,2,2,458,484,497,31,458,31,0,0,500,5,11,0,Cukotskij avtonomnyj
10,Cukotskij avtonomnyj,Anadyrskaa,0,6,7,195,2,1,0,1,163,212,213,49,163,9,40,0,215,0,3,0,Cukotskij avtonomnyj
11,Cukotskij avtonomnyj,Anadyrskaa,1,0,5,49,2,1,0,0,51,58,60,9,51,5,4,0,60,2,0,0,Cukotskij avtonomnyj
12,Cukotskij avtonomnyj,Anadyrskaa,0,0,6,92,1,0,0,0,71,99,99,28,71,0,28,0,101,0,2,0,Cukotskij avtonomnyj
13,Cukotskij avtonomnyj,Anadyrskaa,0,5,8,446,4,2,0,0,367,465,490,110,367,18,92,0,491,12,14,0,Cukotskij avtonomnyj
14,Cukotskij avtonomnyj,Anadyrskaa,2,2,9,96,1,1,0,0,98,111,112,14,98,1,13,0,114,1,2,0,Cukotskij avtonomnyj
15,Cukotskij avtonomnyj,Anadyrskaa,0,14,27,305,5,1,0,2,249,354,380,106,249,8,98,0,455,1,100,0,Cukotskij avtonomnyj
16,Cukotskij avtonomnyj,Anadyrskaa,0,1,3,40,0,0,0,0,39,44,44,5,39,0,5,0,44,0,0,0,Cukotskij avtonomnyj
17,Cukotskij avtonomnyj,Anadyrskaa,3,60,76,491,7,2,4,1,551,644,821,105,551,27,78,0,824,12,168,0,Cukotskij avtonomnyj
