ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
801,Cuvasskaa Respublika,Komsomol_skaa,6,163,56,778,10,4,2,2,955,1021,1219,81,955,81,0,0,1314,15,278,0,Cuvasskaa Respublika
802,Cuvasskaa Respublika,Komsomol_skaa,8,155,38,661,7,3,9,5,853,886,1032,53,853,53,0,0,1086,20,180,0,Cuvasskaa Respublika
803,Cuvasskaa Respublika,Komsomol_skaa,3,150,43,808,14,9,6,4,1025,1037,1230,29,1025,29,0,0,1337,17,283,0,Cuvasskaa Respublika
804,Cuvasskaa Respublika,Komsomol_skaa,3,19,16,122,4,4,0,0,158,168,173,12,158,12,0,0,184,2,14,0,Cuvasskaa Respublika
805,Cuvasskaa Respublika,Komsomol_skaa,1,80,21,318,5,2,2,1,407,430,460,32,407,32,0,0,518,9,79,0,Cuvasskaa Respublika
806,Cuvasskaa Respublika,Komsomol_skaa,2,8,6,122,1,1,1,1,139,142,155,3,139,3,0,0,162,0,20,0,Cuvasskaa Respublika
807,Cuvasskaa Respublika,Komsomol_skaa,2,3,0,88,0,0,0,0,89,93,97,4,89,4,0,0,108,0,15,0,Cuvasskaa Respublika
808,Cuvasskaa Respublika,Komsomol_skaa,2,43,15,352,4,0,0,1,377,417,438,54,377,54,0,0,462,14,31,0,Cuvasskaa Respublika
809,Cuvasskaa Respublika,Komsomol_skaa,0,7,3,188,0,0,0,0,178,198,207,24,178,24,0,0,239,4,37,0,Cuvasskaa Respublika
810,Cuvasskaa Respublika,Komsomol_skaa,1,7,3,235,0,0,0,1,228,247,255,24,228,24,0,0,312,5,60,0,Cuvasskaa Respublika
811,Cuvasskaa Respublika,Komsomol_skaa,0,3,1,115,0,1,1,0,109,121,126,15,109,15,0,0,134,3,10,0,Cuvasskaa Respublika
812,Cuvasskaa Respublika,Komsomol_skaa,3,9,8,127,4,0,1,0,133,152,155,19,133,19,0,0,182,0,30,0,Cuvasskaa Respublika
813,Cuvasskaa Respublika,Komsomol_skaa,1,23,6,192,1,2,0,0,206,225,239,24,206,24,0,0,256,5,26,0,Cuvasskaa Respublika
814,Cuvasskaa Respublika,Komsomol_skaa,1,20,1,168,2,0,0,0,179,192,196,14,179,14,0,0,195,1,2,0,Cuvasskaa Respublika
815,Cuvasskaa Respublika,Komsomol_skaa,0,22,4,261,2,0,1,0,252,290,309,41,252,41,0,0,324,3,31,0,Cuvasskaa Respublika
816,Cuvasskaa Respublika,Komsomol_skaa,0,3,11,263,1,3,0,0,234,281,289,47,234,47,0,0,313,0,32,0,Cuvasskaa Respublika
817,Cuvasskaa Respublika,Komsomol_skaa,3,59,16,307,3,1,2,0,368,391,412,31,368,31,0,0,433,8,34,0,Cuvasskaa Respublika
818,Cuvasskaa Respublika,Komsomol_skaa,0,15,1,172,1,1,0,0,179,190,196,13,179,13,0,0,212,2,20,0,Cuvasskaa Respublika
819,Cuvasskaa Respublika,Komsomol_skaa,1,69,27,734,4,4,2,0,742,841,860,106,742,106,0,0,903,7,55,0,Cuvasskaa Respublika
820,Cuvasskaa Respublika,Komsomol_skaa,1,21,19,471,5,3,0,0,483,520,543,46,483,46,0,0,579,9,50,0,Cuvasskaa Respublika
821,Cuvasskaa Respublika,Komsomol_skaa,1,8,7,148,0,0,0,0,146,164,175,20,146,20,0,0,208,2,42,0,Cuvasskaa Respublika
822,Cuvasskaa Respublika,Komsomol_skaa,2,6,1,79,0,0,0,1,80,89,101,9,80,9,0,0,112,0,23,0,Cuvasskaa Respublika
823,Cuvasskaa Respublika,Komsomol_skaa,7,153,20,821,11,5,3,2,968,1022,1114,65,968,65,0,0,1180,11,147,0,Cuvasskaa Respublika
824,Cuvasskaa Respublika,Komsomol_skaa,5,113,11,752,5,5,1,1,835,893,907,63,835,63,0,0,955,5,57,0,Cuvasskaa Respublika
825,Cuvasskaa Respublika,Komsomol_skaa,3,184,11,780,11,4,4,5,956,1002,1291,58,956,58,0,0,1366,12,352,0,Cuvasskaa Respublika
826,Cuvasskaa Respublika,Komsomol_skaa,0,31,19,396,0,0,3,0,431,449,461,21,431,21,0,0,503,3,51,0,Cuvasskaa Respublika
827,Cuvasskaa Respublika,Komsomol_skaa,0,92,15,415,3,7,7,6,537,545,571,17,537,17,0,0,609,9,55,0,Cuvasskaa Respublika
828,Cuvasskaa Respublika,Komsomol_skaa,2,47,25,414,3,3,2,1,460,497,570,39,460,39,0,0,567,2,68,0,Cuvasskaa Respublika
829,Cuvasskaa Respublika,Komsomol_skaa,0,24,19,298,5,1,1,0,303,348,359,47,303,47,0,0,364,2,14,0,Cuvasskaa Respublika
830,Cuvasskaa Respublika,Komsomol_skaa,0,25,3,185,2,0,0,0,177,215,226,43,177,43,0,0,233,5,13,0,Cuvasskaa Respublika
831,Cuvasskaa Respublika,Komsomol_skaa,0,18,11,198,1,1,0,0,208,229,237,24,208,24,0,0,255,3,23,0,Cuvasskaa Respublika
832,Cuvasskaa Respublika,Komsomol_skaa,0,11,2,83,1,0,2,0,95,99,105,7,95,7,0,0,120,3,18,0,Cuvasskaa Respublika
833,Cuvasskaa Respublika,Komsomol_skaa,1,16,5,136,2,1,0,2,145,163,173,25,145,25,0,0,187,7,17,0,Cuvasskaa Respublika
834,Cuvasskaa Respublika,Komsomol_skaa,2,54,28,305,6,2,1,2,377,400,422,34,377,34,0,0,520,11,109,0,Cuvasskaa Respublika
835,Cuvasskaa Respublika,Komsomol_skaa,1,16,1,79,0,1,0,0,88,98,102,10,88,10,0,0,128,0,30,0,Cuvasskaa Respublika
836,Cuvasskaa Respublika,Komsomol_skaa,1,37,19,266,2,2,0,0,306,327,343,27,306,27,0,0,393,6,60,0,Cuvasskaa Respublika
837,Cuvasskaa Respublika,Komsomol_skaa,0,22,27,292,1,1,0,0,325,343,359,23,325,23,0,0,397,5,49,0,Cuvasskaa Respublika
838,Cuvasskaa Respublika,Komsomol_skaa,0,51,19,519,2,3,0,2,564,596,621,34,564,34,0,0,692,2,94,0,Cuvasskaa Respublika
839,Cuvasskaa Respublika,Komsomol_skaa,0,23,5,260,2,5,0,0,280,295,331,35,280,35,0,0,364,20,49,0,Cuvasskaa Respublika
840,Cuvasskaa Respublika,Komsomol_skaa,0,19,24,196,2,1,2,0,226,244,266,20,226,20,0,0,300,2,54,0,Cuvasskaa Respublika
901,Cuvasskaa Respublika,Krasnoarmejskaa,8,241,101,1226,17,8,6,9,1596,1616,1797,46,1597,46,0,0,2030,26,387,0,Cuvasskaa Respublika
902,Cuvasskaa Respublika,Krasnoarmejskaa,2,208,62,919,16,3,6,3,1166,1219,1357,64,1166,64,0,0,1431,11,201,0,Cuvasskaa Respublika
