ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
99,Evrejskaa avtonomnaa,Birobidjanskaa,0,31,16,116,4,0,0,2,158,169,268,12,158,12,0,0,271,1,101,0,Evrejskaa avtonomnaa
100,Evrejskaa avtonomnaa,Birobidjanskaa,2,47,10,161,2,0,3,1,218,226,373,11,218,11,0,0,374,3,145,0,Evrejskaa avtonomnaa
101,Evrejskaa avtonomnaa,Birobidjanskaa,2,143,74,497,4,2,1,4,721,727,1208,22,721,22,0,0,1010,16,267,0,Evrejskaa avtonomnaa
102,Evrejskaa avtonomnaa,Birobidjanskaa,6,107,57,320,4,4,0,2,491,500,928,17,491,17,0,0,850,8,342,0,Evrejskaa avtonomnaa
103,Evrejskaa avtonomnaa,Birobidjanskaa,0,38,14,118,1,1,1,2,157,175,247,20,157,20,0,0,231,2,54,0,Evrejskaa avtonomnaa
104,Evrejskaa avtonomnaa,Birobidjanskaa,0,30,10,95,1,0,0,2,136,138,224,6,136,6,0,0,243,4,101,0,Evrejskaa avtonomnaa
105,Evrejskaa avtonomnaa,Birobidjanskaa,0,16,9,61,0,0,0,0,88,86,208,4,88,4,0,0,239,6,147,0,Evrejskaa avtonomnaa
106,Evrejskaa avtonomnaa,Birobidjanskaa,0,15,11,130,1,1,0,1,144,159,219,16,144,16,0,0,236,1,76,0,Evrejskaa avtonomnaa
107,Evrejskaa avtonomnaa,Birobidjanskaa,0,8,12,64,0,0,0,0,85,84,94,3,85,3,0,0,96,4,8,0,Evrejskaa avtonomnaa
108,Evrejskaa avtonomnaa,Birobidjanskaa,0,2,1,59,2,0,0,1,64,65,100,3,64,3,0,0,107,2,40,0,Evrejskaa avtonomnaa
109,Evrejskaa avtonomnaa,Birobidjanskaa,0,37,21,213,2,0,1,0,266,274,386,17,266,17,0,0,426,9,143,0,Evrejskaa avtonomnaa
110,Evrejskaa avtonomnaa,Birobidjanskaa,0,31,27,277,2,0,2,0,314,339,502,27,314,27,0,0,559,2,218,0,Evrejskaa avtonomnaa
111,Evrejskaa avtonomnaa,Birobidjanskaa,1,12,16,95,1,0,0,0,125,125,203,3,125,3,0,0,199,3,71,0,Evrejskaa avtonomnaa
112,Evrejskaa avtonomnaa,Birobidjanskaa,2,13,18,154,0,0,2,1,177,190,307,16,177,16,0,0,337,3,144,0,Evrejskaa avtonomnaa
113,Evrejskaa avtonomnaa,Birobidjanskaa,5,19,19,297,1,4,1,1,317,347,489,35,317,35,0,0,514,5,162,0,Evrejskaa avtonomnaa
114,Evrejskaa avtonomnaa,Birobidjanskaa,0,18,13,161,0,1,1,0,189,194,264,10,189,10,0,0,289,5,90,0,Evrejskaa avtonomnaa
115,Evrejskaa avtonomnaa,Birobidjanskaa,0,3,8,51,1,0,0,0,57,63,98,8,57,8,0,0,105,2,40,0,Evrejskaa avtonomnaa
116,Evrejskaa avtonomnaa,Birobidjanskaa,0,15,6,95,0,0,0,0,112,116,198,7,112,7,0,0,185,3,66,0,Evrejskaa avtonomnaa
117,Evrejskaa avtonomnaa,Birobidjanskaa,0,9,5,114,1,0,0,0,118,129,197,11,118,11,0,0,200,0,71,0,Evrejskaa avtonomnaa
118,Evrejskaa avtonomnaa,Birobidjanskaa,2,39,19,200,1,1,0,0,255,262,420,13,255,13,0,0,440,6,172,0,Evrejskaa avtonomnaa
119,Evrejskaa avtonomnaa,Birobidjanskaa,1,29,11,206,1,0,1,0,190,249,323,64,191,64,0,0,330,5,75,0,Evrejskaa avtonomnaa
120,Evrejskaa avtonomnaa,Birobidjanskaa,0,6,1,98,1,0,0,0,97,106,131,9,97,9,0,0,147,0,41,0,Evrejskaa avtonomnaa
