ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
225,Habarovskij kraj,gorodskaa,7,209,112,695,15,9,11,4,1069,1062,1767,14,1069,14,0,0,1800,21,717,0,Habarovskij kraj
226,Habarovskij kraj,gorodskaa,1,84,60,292,5,1,5,1,451,449,746,8,451,8,0,0,750,10,291,0,Habarovskij kraj
227,Habarovskij kraj,gorodskaa,13,194,105,705,20,8,10,5,1063,1060,1732,10,1063,10,0,0,1650,13,577,0,Habarovskij kraj
228,Habarovskij kraj,gorodskaa,8,230,149,674,12,7,7,7,1093,1094,1641,26,1094,26,0,0,1600,25,480,0,Habarovskij kraj
229,Habarovskij kraj,gorodskaa,4,220,105,635,25,7,9,7,996,1012,1402,30,996,30,0,0,1350,14,324,0,Habarovskij kraj
230,Habarovskij kraj,gorodskaa,7,233,114,842,20,7,9,13,1239,1245,1763,28,1240,28,0,0,1750,22,482,0,Habarovskij kraj
231,Habarovskij kraj,gorodskaa,10,210,115,717,17,5,10,9,1095,1093,1590,23,1095,23,0,0,1550,25,432,0,Habarovskij kraj
232,Habarovskij kraj,gorodskaa,13,335,169,1049,21,6,9,14,1619,1616,2189,22,1619,22,0,0,2200,25,559,0,Habarovskij kraj
233,Habarovskij kraj,gorodskaa,11,354,176,1041,18,10,10,15,1641,1635,2307,27,1643,27,0,0,2150,33,480,0,Habarovskij kraj
235,Habarovskij kraj,gorodskaa,8,356,178,1120,27,18,17,11,1737,1735,2446,31,1737,31,0,0,2450,33,682,0,Habarovskij kraj
236,Habarovskij kraj,gorodskaa,2,128,65,503,10,5,4,7,696,724,1161,37,696,37,0,0,1150,9,417,0,Habarovskij kraj
237,Habarovskij kraj,gorodskaa,13,264,167,1106,40,15,20,16,1655,1641,2248,18,1656,18,0,0,2300,32,626,0,Habarovskij kraj
238,Habarovskij kraj,gorodskaa,8,254,138,899,10,10,10,9,1328,1338,2018,40,1328,40,0,0,2000,30,632,0,Habarovskij kraj
239,Habarovskij kraj,gorodskaa,15,298,133,1025,23,9,7,10,1428,1520,2184,121,1446,121,0,0,2150,29,583,0,Habarovskij kraj
240,Habarovskij kraj,gorodskaa,11,359,170,1057,33,15,9,8,1688,1662,2360,10,1688,10,0,0,2350,36,652,0,Habarovskij kraj
241,Habarovskij kraj,gorodskaa,12,252,88,756,10,16,9,13,1163,1156,1689,25,1188,25,0,0,1700,32,487,0,Habarovskij kraj
242,Habarovskij kraj,gorodskaa,5,59,54,290,7,4,5,2,424,426,693,11,424,11,0,0,660,9,225,0,Habarovskij kraj
243,Habarovskij kraj,gorodskaa,8,129,81,506,16,6,7,5,738,758,1038,36,738,36,0,0,1000,16,226,0,Habarovskij kraj
244,Habarovskij kraj,gorodskaa,8,265,120,847,26,6,8,5,1268,1285,1768,47,1268,47,0,0,1750,30,435,0,Habarovskij kraj
245,Habarovskij kraj,gorodskaa,7,343,146,1050,25,14,15,21,1581,1621,2193,74,1581,74,0,0,2150,34,495,0,Habarovskij kraj
246,Habarovskij kraj,gorodskaa,10,272,149,887,17,15,12,13,1353,1375,1952,47,1355,47,0,0,1950,25,548,0,Habarovskij kraj
247,Habarovskij kraj,gorodskaa,10,387,225,1316,30,11,14,15,1968,2008,2686,70,1968,70,0,0,2650,30,612,0,Habarovskij kraj
248,Habarovskij kraj,gorodskaa,4,119,60,334,5,1,1,2,508,526,1077,30,508,30,0,0,1000,12,462,0,Habarovskij kraj
249,Habarovskij kraj,gorodskaa,10,325,138,1096,29,9,14,14,1650,1635,2250,22,1651,22,0,0,2300,37,627,0,Habarovskij kraj
250,Habarovskij kraj,gorodskaa,10,338,136,1143,27,8,11,4,1689,1677,2293,28,1689,28,0,0,2300,40,583,0,Habarovskij kraj
251,Habarovskij kraj,gorodskaa,16,319,153,1067,25,10,13,22,1605,1625,2182,44,1605,44,0,0,2200,24,551,0,Habarovskij kraj
