ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
149,Hanty-Mansijskij avtonomnyj,gorodskaa,5,138,109,798,15,6,6,4,1086,1081,1707,12,1086,12,0,0,1700,17,602,0,Hanty-Mansijskij avtonomnyj
499,Hanty-Mansijskij avtonomnyj,gorodskaa,2,103,55,528,12,3,3,3,710,709,810,8,710,8,0,0,800,9,82,0,Hanty-Mansijskij avtonomnyj
571,Hanty-Mansijskij avtonomnyj,gorodskaa,7,129,63,604,7,5,5,4,816,824,1260,15,816,15,0,0,1200,7,369,0,Hanty-Mansijskij avtonomnyj
581,Hanty-Mansijskij avtonomnyj,gorodskaa,3,119,55,613,13,10,4,5,823,822,1204,6,823,6,0,0,1200,7,371,0,Hanty-Mansijskij avtonomnyj
587,Hanty-Mansijskij avtonomnyj,gorodskaa,4,124,55,778,24,6,7,7,1002,1005,1291,17,1002,17,0,0,1400,14,381,0,Hanty-Mansijskij avtonomnyj
588,Hanty-Mansijskij avtonomnyj,gorodskaa,3,109,65,786,15,4,8,6,975,996,1581,37,975,37,0,0,1600,16,588,0,Hanty-Mansijskij avtonomnyj
589,Hanty-Mansijskij avtonomnyj,gorodskaa,6,118,74,669,20,12,5,5,905,909,1350,17,905,17,0,0,1400,13,478,0,Hanty-Mansijskij avtonomnyj
590,Hanty-Mansijskij avtonomnyj,gorodskaa,3,98,69,701,16,7,6,4,906,904,1496,8,906,8,0,0,1500,10,586,0,Hanty-Mansijskij avtonomnyj
591,Hanty-Mansijskij avtonomnyj,gorodskaa,10,99,61,790,14,13,4,6,994,997,1530,15,994,15,0,0,1500,12,491,0,Hanty-Mansijskij avtonomnyj
592,Hanty-Mansijskij avtonomnyj,gorodskaa,7,124,95,751,24,7,3,9,977,1020,1683,58,977,58,0,0,1700,15,665,0,Hanty-Mansijskij avtonomnyj
593,Hanty-Mansijskij avtonomnyj,gorodskaa,6,98,58,834,15,9,4,7,1019,1031,1556,26,1019,26,0,0,1700,14,655,0,Hanty-Mansijskij avtonomnyj
594,Hanty-Mansijskij avtonomnyj,gorodskaa,10,158,93,966,28,8,9,16,1262,1288,1861,44,1262,44,0,0,2000,18,694,0,Hanty-Mansijskij avtonomnyj
595,Hanty-Mansijskij avtonomnyj,gorodskaa,2,114,64,749,13,7,6,6,970,961,1572,6,970,6,0,0,1600,15,624,0,Hanty-Mansijskij avtonomnyj
596,Hanty-Mansijskij avtonomnyj,gorodskaa,4,149,88,828,20,1,7,4,1108,1101,1663,6,1108,6,0,0,1600,13,486,0,Hanty-Mansijskij avtonomnyj
597,Hanty-Mansijskij avtonomnyj,gorodskaa,5,134,91,851,20,5,7,15,1150,1128,1796,9,1150,9,0,0,1800,31,641,0,Hanty-Mansijskij avtonomnyj
598,Hanty-Mansijskij avtonomnyj,gorodskaa,2,135,88,728,16,6,7,3,984,985,1658,12,984,12,0,0,1700,11,704,0,Hanty-Mansijskij avtonomnyj
599,Hanty-Mansijskij avtonomnyj,gorodskaa,4,126,93,784,17,6,5,6,1042,1041,1632,12,1042,12,0,0,1700,13,646,0,Hanty-Mansijskij avtonomnyj
600,Hanty-Mansijskij avtonomnyj,gorodskaa,6,126,67,883,22,3,6,13,1116,1126,1514,17,1117,17,0,0,1500,7,366,0,Hanty-Mansijskij avtonomnyj
601,Hanty-Mansijskij avtonomnyj,gorodskaa,8,141,106,945,23,5,12,10,1251,1250,1837,21,1251,21,0,0,2100,22,828,0,Hanty-Mansijskij avtonomnyj
602,Hanty-Mansijskij avtonomnyj,gorodskaa,8,158,80,986,34,9,4,15,1293,1294,1754,13,1293,13,0,0,2000,12,694,0,Hanty-Mansijskij avtonomnyj
