ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
428,Irkutskaa oblast_,Zalarinskaa,5,115,64,803,3,6,1,2,982,999,1918,31,982,31,0,0,1900,14,887,0,Irkutskaa oblast_
429,Irkutskaa oblast_,Zalarinskaa,4,82,38,358,2,7,3,1,484,495,1137,18,484,18,0,0,1000,7,498,0,Irkutskaa oblast_
430,Irkutskaa oblast_,Zalarinskaa,6,120,52,584,3,0,1,1,767,767,1600,13,767,13,0,0,1600,13,820,0,Irkutskaa oblast_
431,Irkutskaa oblast_,Zalarinskaa,3,191,61,723,5,3,3,2,943,991,1813,61,943,61,0,0,1700,13,696,0,Irkutskaa oblast_
432,Irkutskaa oblast_,Zalarinskaa,2,68,44,468,1,5,3,3,580,594,1353,20,580,20,0,0,1300,6,700,0,Irkutskaa oblast_
433,Irkutskaa oblast_,Zalarinskaa,4,40,73,405,6,2,4,2,224,536,831,336,224,336,0,0,800,24,240,0,Irkutskaa oblast_
434,Irkutskaa oblast_,Zalarinskaa,0,19,17,81,0,1,0,0,95,118,200,23,95,23,0,0,200,0,82,0,Irkutskaa oblast_
435,Irkutskaa oblast_,Zalarinskaa,3,23,18,211,0,0,1,0,233,256,373,26,233,26,0,0,350,3,91,0,Irkutskaa oblast_
436,Irkutskaa oblast_,Zalarinskaa,0,9,6,151,1,1,0,0,132,168,192,36,132,36,0,0,180,0,12,0,Irkutskaa oblast_
437,Irkutskaa oblast_,Zalarinskaa,0,9,6,70,0,0,0,0,82,85,163,3,82,3,0,0,160,0,75,0,Irkutskaa oblast_
438,Irkutskaa oblast_,Zalarinskaa,2,15,10,132,2,2,0,0,153,163,271,14,153,14,0,0,280,4,113,0,Irkutskaa oblast_
439,Irkutskaa oblast_,Zalarinskaa,0,7,3,49,0,0,0,0,51,59,84,8,51,8,0,0,80,0,21,0,Irkutskaa oblast_
440,Irkutskaa oblast_,Zalarinskaa,0,15,4,83,0,0,0,0,93,102,159,9,93,9,0,0,150,0,48,0,Irkutskaa oblast_
441,Irkutskaa oblast_,Zalarinskaa,0,8,6,74,2,0,0,0,83,90,109,7,83,7,0,0,100,0,10,0,Irkutskaa oblast_
442,Irkutskaa oblast_,Zalarinskaa,2,37,29,290,2,1,0,0,337,361,566,28,337,28,0,0,550,4,185,0,Irkutskaa oblast_
443,Irkutskaa oblast_,Zalarinskaa,2,18,24,224,3,2,0,2,224,275,496,53,224,53,0,0,500,2,223,0,Irkutskaa oblast_
444,Irkutskaa oblast_,Zalarinskaa,0,42,27,305,0,1,0,2,354,377,746,30,354,30,0,0,750,7,366,0,Irkutskaa oblast_
445,Irkutskaa oblast_,Zalarinskaa,1,29,11,65,3,0,0,0,109,109,230,0,109,0,0,0,230,0,121,0,Irkutskaa oblast_
446,Irkutskaa oblast_,Zalarinskaa,0,4,9,67,2,0,0,0,75,82,141,7,75,7,0,0,140,0,58,0,Irkutskaa oblast_
447,Irkutskaa oblast_,Zalarinskaa,1,6,7,46,1,0,0,0,46,61,93,15,46,15,0,0,90,0,29,0,Irkutskaa oblast_
448,Irkutskaa oblast_,Zalarinskaa,0,15,1,114,0,1,0,0,136,131,213,0,136,0,0,0,200,5,64,0,Irkutskaa oblast_
449,Irkutskaa oblast_,Zalarinskaa,0,14,25,248,0,0,2,1,257,290,411,35,257,35,0,0,400,2,108,0,Irkutskaa oblast_
450,Irkutskaa oblast_,Zalarinskaa,0,7,21,143,0,0,0,0,112,171,227,59,112,59,0,0,220,0,49,0,Irkutskaa oblast_
451,Irkutskaa oblast_,Zalarinskaa,0,8,8,28,0,1,0,0,42,45,61,3,42,3,0,0,60,0,15,0,Irkutskaa oblast_
452,Irkutskaa oblast_,Zalarinskaa,1,5,12,55,3,0,0,2,69,78,119,10,69,10,0,0,120,1,41,0,Irkutskaa oblast_
453,Irkutskaa oblast_,Zalarinskaa,0,11,17,210,0,1,0,0,191,239,397,55,191,55,0,0,350,7,104,0,Irkutskaa oblast_
454,Irkutskaa oblast_,Zalarinskaa,1,5,14,80,0,0,0,0,75,100,244,25,75,25,0,0,250,0,150,0,Irkutskaa oblast_
455,Irkutskaa oblast_,Zalarinskaa,1,13,2,145,0,0,1,0,125,162,262,38,125,38,0,0,250,1,87,0,Irkutskaa oblast_
456,Irkutskaa oblast_,Zalarinskaa,0,12,9,107,1,1,0,0,107,130,204,25,107,25,0,0,200,2,68,0,Irkutskaa oblast_
457,Irkutskaa oblast_,Zalarinskaa,4,25,25,233,1,4,2,0,262,294,483,32,262,32,0,0,450,0,156,0,Irkutskaa oblast_
458,Irkutskaa oblast_,Zalarinskaa,0,21,19,210,2,3,0,0,245,255,465,10,245,10,0,0,450,0,195,0,Irkutskaa oblast_
459,Irkutskaa oblast_,Zalarinskaa,0,5,13,84,0,0,0,0,94,102,187,9,94,9,0,0,180,1,77,0,Irkutskaa oblast_
460,Irkutskaa oblast_,Zalarinskaa,3,38,33,232,6,1,0,0,301,313,582,18,301,18,0,0,580,6,261,0,Irkutskaa oblast_
461,Irkutskaa oblast_,Zalarinskaa,1,10,7,95,1,2,0,1,110,117,235,7,110,7,0,0,230,0,113,0,Irkutskaa oblast_
462,Irkutskaa oblast_,Zalarinskaa,0,2,4,57,2,0,0,0,65,65,95,0,65,0,0,0,95,0,30,0,Irkutskaa oblast_
463,Irkutskaa oblast_,Zalarinskaa,1,37,29,353,0,1,0,0,400,421,823,23,400,23,0,0,850,2,427,0,Irkutskaa oblast_
464,Irkutskaa oblast_,Zalarinskaa,1,35,27,225,1,0,1,0,283,290,560,11,283,11,0,0,550,4,256,0,Irkutskaa oblast_
465,Irkutskaa oblast_,Zalarinskaa,1,4,9,97,1,0,0,0,92,112,238,20,92,20,0,0,220,0,108,0,Irkutskaa oblast_
466,Irkutskaa oblast_,Zalarinskaa,4,178,53,594,5,6,5,0,785,845,1693,77,785,77,0,0,1700,17,838,0,Irkutskaa oblast_
467,Irkutskaa oblast_,Zalarinskaa,3,106,66,439,2,0,1,2,590,619,1542,41,590,41,0,0,1500,12,869,0,Irkutskaa oblast_
468,Irkutskaa oblast_,Zalarinskaa,1,5,17,61,1,0,0,0,75,85,141,12,75,12,0,0,140,2,53,0,Irkutskaa oblast_
469,Irkutskaa oblast_,Zalarinskaa,1,21,13,221,0,0,0,0,241,256,434,18,241,18,0,0,450,3,191,0,Irkutskaa oblast_
470,Irkutskaa oblast_,Zalarinskaa,0,9,4,55,1,0,0,2,64,71,134,10,64,10,0,0,130,3,56,0,Irkutskaa oblast_
471,Irkutskaa oblast_,gorodskaa,3,102,51,391,3,0,5,0,548,555,1051,11,548,11,0,0,1030,4,471,0,Irkutskaa oblast_
472,Irkutskaa oblast_,gorodskaa,4,108,46,361,5,5,0,6,518,535,1176,30,518,30,0,0,900,13,352,0,Irkutskaa oblast_
473,Irkutskaa oblast_,gorodskaa,3,144,58,468,6,5,5,4,665,693,1098,37,665,37,0,0,1040,9,338,0,Irkutskaa oblast_
474,Irkutskaa oblast_,gorodskaa,4,110,57,427,6,3,4,3,595,614,1047,27,595,27,0,0,1020,8,398,0,Irkutskaa oblast_
475,Irkutskaa oblast_,gorodskaa,2,88,50,358,5,7,2,2,505,514,1022,17,505,17,0,0,990,8,468,0,Irkutskaa oblast_
476,Irkutskaa oblast_,gorodskaa,1,125,42,377,4,4,2,6,545,561,1034,24,545,24,0,0,1100,8,531,0,Irkutskaa oblast_
477,Irkutskaa oblast_,gorodskaa,2,145,54,394,7,5,2,0,596,609,1019,21,596,21,0,0,990,8,373,0,Irkutskaa oblast_
478,Irkutskaa oblast_,gorodskaa,4,104,53,356,0,1,1,0,514,519,1124,13,514,13,0,0,1080,8,553,0,Irkutskaa oblast_
479,Irkutskaa oblast_,gorodskaa,2,91,37,333,2,1,0,0,462,466,1188,12,462,12,0,0,1180,8,706,0,Irkutskaa oblast_
480,Irkutskaa oblast_,gorodskaa,1,88,62,297,2,2,1,0,449,453,1197,8,449,8,0,0,1210,4,753,0,Irkutskaa oblast_
481,Irkutskaa oblast_,gorodskaa,4,137,65,550,2,3,5,4,751,770,1340,31,751,31,0,0,1280,12,498,0,Irkutskaa oblast_
482,Irkutskaa oblast_,gorodskaa,2,113,63,453,2,2,2,2,620,639,1364,25,620,25,0,0,1270,6,625,0,Irkutskaa oblast_
