ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
419,Ivanovskaa oblast_,Ivanovskaa,0,35,14,198,3,0,1,2,220,253,380,35,221,35,0,0,370,2,114,0,Ivanovskaa oblast_
420,Ivanovskaa oblast_,Ivanovskaa,3,10,10,174,3,0,2,0,152,202,322,51,152,51,0,0,330,1,127,0,Ivanovskaa oblast_
421,Ivanovskaa oblast_,Ivanovskaa,2,31,23,210,5,0,2,3,243,276,387,35,243,35,0,0,350,2,72,0,Ivanovskaa oblast_
422,Ivanovskaa oblast_,Ivanovskaa,4,61,20,370,26,2,16,8,483,507,727,31,483,31,0,0,660,7,146,0,Ivanovskaa oblast_
423,Ivanovskaa oblast_,Ivanovskaa,3,71,15,372,13,1,2,6,454,483,696,33,454,33,0,0,630,4,143,0,Ivanovskaa oblast_
424,Ivanovskaa oblast_,Ivanovskaa,6,53,33,414,10,3,3,8,445,530,763,93,445,93,0,0,660,8,122,0,Ivanovskaa oblast_
425,Ivanovskaa oblast_,Ivanovskaa,3,18,17,144,3,1,0,9,124,195,277,73,124,73,0,0,260,2,63,0,Ivanovskaa oblast_
426,Ivanovskaa oblast_,Ivanovskaa,1,63,33,339,7,3,4,5,322,455,781,136,322,136,0,0,700,3,242,0,Ivanovskaa oblast_
427,Ivanovskaa oblast_,Ivanovskaa,1,13,12,79,0,0,1,1,88,107,147,19,88,19,0,0,130,0,23,0,Ivanovskaa oblast_
428,Ivanovskaa oblast_,Ivanovskaa,7,68,57,344,5,4,3,1,449,489,770,47,449,47,0,0,700,7,204,0,Ivanovskaa oblast_
429,Ivanovskaa oblast_,Ivanovskaa,0,40,35,308,4,3,3,2,363,395,622,32,363,32,0,0,590,0,195,0,Ivanovskaa oblast_
430,Ivanovskaa oblast_,Ivanovskaa,0,7,17,133,1,1,2,1,49,162,228,113,49,113,0,0,220,0,58,0,Ivanovskaa oblast_
431,Ivanovskaa oblast_,Ivanovskaa,5,21,45,329,4,2,0,4,325,410,482,102,325,102,0,0,450,17,23,0,Ivanovskaa oblast_
432,Ivanovskaa oblast_,Ivanovskaa,4,57,35,369,6,2,6,11,429,490,761,70,429,70,0,0,720,9,221,0,Ivanovskaa oblast_
433,Ivanovskaa oblast_,Ivanovskaa,10,91,64,522,13,4,3,1,645,708,1080,75,645,75,0,0,970,12,250,0,Ivanovskaa oblast_
434,Ivanovskaa oblast_,Ivanovskaa,3,87,71,580,16,5,6,6,629,774,1202,154,629,154,0,0,1050,9,267,0,Ivanovskaa oblast_
435,Ivanovskaa oblast_,Ivanovskaa,0,12,8,129,1,0,0,2,111,152,211,41,111,41,0,0,200,0,48,0,Ivanovskaa oblast_
436,Ivanovskaa oblast_,Ivanovskaa,5,86,46,615,16,3,9,7,710,787,1342,90,710,90,0,0,1250,13,450,0,Ivanovskaa oblast_
437,Ivanovskaa oblast_,Ivanovskaa,6,100,44,571,13,4,13,8,689,759,1318,77,689,77,0,0,1150,7,384,0,Ivanovskaa oblast_
438,Ivanovskaa oblast_,Ivanovskaa,1,37,50,449,5,3,1,5,507,551,739,47,507,47,0,0,650,3,96,0,Ivanovskaa oblast_
439,Ivanovskaa oblast_,Ivanovskaa,5,40,32,482,8,5,5,2,545,579,650,41,545,41,0,0,620,7,34,0,Ivanovskaa oblast_
440,Ivanovskaa oblast_,Ivanovskaa,5,58,37,259,5,1,2,0,355,367,551,21,355,21,0,0,500,9,124,0,Ivanovskaa oblast_
441,Ivanovskaa oblast_,Ivanovskaa,1,35,17,170,5,3,1,5,202,237,342,36,202,36,0,0,320,1,82,0,Ivanovskaa oblast_
442,Ivanovskaa oblast_,Ivanovskaa,0,10,13,74,2,2,0,1,71,102,143,31,71,31,0,0,140,0,38,0,Ivanovskaa oblast_
