ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
277,Kabardino-Balkarskaa Respublika,Urvanskaa,5,97,14,2430,1,5,3,2,2468,2557,2740,89,2468,89,0,0,2800,0,243,0,Kabardino-Balkarskaa Respublika
278,Kabardino-Balkarskaa Respublika,Urvanskaa,3,60,23,1467,3,5,5,3,1547,1569,1688,22,1547,22,0,0,1715,0,146,0,Kabardino-Balkarskaa Respublika
279,Kabardino-Balkarskaa Respublika,Urvanskaa,2,46,6,634,1,5,3,0,667,697,773,30,667,30,0,0,780,0,83,0,Kabardino-Balkarskaa Respublika
280,Kabardino-Balkarskaa Respublika,Urvanskaa,2,27,7,694,0,2,2,0,718,734,802,16,718,16,0,0,824,0,90,0,Kabardino-Balkarskaa Respublika
281,Kabardino-Balkarskaa Respublika,Urvanskaa,3,81,5,1502,0,3,2,1,1571,1597,1689,26,1571,26,0,0,1740,0,143,0,Kabardino-Balkarskaa Respublika
282,Kabardino-Balkarskaa Respublika,Urvanskaa,3,67,4,1421,1,3,3,1,1419,1503,1621,84,1419,84,0,0,1650,0,147,0,Kabardino-Balkarskaa Respublika
283,Kabardino-Balkarskaa Respublika,Urvanskaa,4,69,2,2247,0,5,13,2,2329,2342,2490,13,2329,13,0,0,2560,0,218,0,Kabardino-Balkarskaa Respublika
284,Kabardino-Balkarskaa Respublika,Urvanskaa,3,54,3,1370,2,3,15,3,1450,1453,1577,3,1450,3,0,0,1600,0,147,0,Kabardino-Balkarskaa Respublika
285,Kabardino-Balkarskaa Respublika,Urvanskaa,3,51,4,1491,3,6,5,2,1565,1565,1698,0,1565,0,0,0,1730,0,165,0,Kabardino-Balkarskaa Respublika
286,Kabardino-Balkarskaa Respublika,Urvanskaa,4,89,2,2229,2,9,7,4,2339,2346,2544,7,2339,7,0,0,2595,0,249,0,Kabardino-Balkarskaa Respublika
287,Kabardino-Balkarskaa Respublika,Urvanskaa,3,53,8,1850,3,4,4,3,1928,1928,2115,0,1928,0,0,0,2140,0,212,0,Kabardino-Balkarskaa Respublika
288,Kabardino-Balkarskaa Respublika,Urvanskaa,3,56,8,875,2,2,3,2,940,951,1055,11,940,11,0,0,1060,0,109,0,Kabardino-Balkarskaa Respublika
