ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
331,Kaliningradskaa oblast_,Zentral_naa,3,183,55,919,73,11,25,53,1299,1322,2276,32,1301,32,0,0,2000,9,667,0,Kaliningradskaa oblast_
332,Kaliningradskaa oblast_,Zentral_naa,6,150,63,870,69,7,21,55,1218,1241,2021,30,1219,30,0,0,2000,7,751,0,Kaliningradskaa oblast_
333,Kaliningradskaa oblast_,Zentral_naa,6,94,36,504,34,4,8,24,663,710,1300,55,663,55,0,0,1000,8,282,0,Kaliningradskaa oblast_
334,Kaliningradskaa oblast_,Zentral_naa,12,193,47,1108,62,16,50,42,1523,1530,2638,21,1523,21,0,0,2500,14,956,0,Kaliningradskaa oblast_
335,Kaliningradskaa oblast_,Zentral_naa,8,125,53,761,30,8,18,34,1035,1037,1993,15,1035,15,0,0,1900,13,850,0,Kaliningradskaa oblast_
336,Kaliningradskaa oblast_,Zentral_naa,14,134,75,818,61,13,17,21,1130,1153,2210,30,1130,30,0,0,2000,7,840,0,Kaliningradskaa oblast_
337,Kaliningradskaa oblast_,Zentral_naa,16,162,64,1039,56,15,25,41,1399,1418,2435,33,1404,33,0,0,2500,14,1063,0,Kaliningradskaa oblast_
338,Kaliningradskaa oblast_,Zentral_naa,10,153,61,930,46,10,23,39,1252,1272,2224,35,1252,35,0,0,2000,15,713,0,Kaliningradskaa oblast_
339,Kaliningradskaa oblast_,Zentral_naa,17,141,65,1004,59,10,22,43,1344,1361,2378,26,1345,26,0,0,2200,9,829,0,Kaliningradskaa oblast_
340,Kaliningradskaa oblast_,Zentral_naa,11,166,56,1001,54,13,12,20,1332,1333,2293,15,1334,15,0,0,2000,14,651,0,Kaliningradskaa oblast_
341,Kaliningradskaa oblast_,Zentral_naa,10,147,63,1013,55,13,27,37,1340,1365,2469,38,1341,38,0,0,2200,13,821,0,Kaliningradskaa oblast_
342,Kaliningradskaa oblast_,Zentral_naa,11,154,60,983,43,7,22,19,1263,1299,2603,53,1266,53,0,0,2200,17,881,0,Kaliningradskaa oblast_
343,Kaliningradskaa oblast_,Zentral_naa,6,117,56,912,27,5,13,21,1142,1157,2224,21,1142,21,0,0,2000,6,837,0,Kaliningradskaa oblast_
344,Kaliningradskaa oblast_,Zentral_naa,5,170,107,1145,30,11,12,16,1445,1496,2757,65,1445,65,0,0,2500,14,990,0,Kaliningradskaa oblast_
345,Kaliningradskaa oblast_,Zentral_naa,3,145,78,915,36,12,10,12,1203,1211,2076,18,1204,18,0,0,2000,10,778,0,Kaliningradskaa oblast_
