ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Kalujskaa oblast_,Moskovskaa,5,61,44,464,8,3,9,5,588,599,944,18,588,18,0,0,800,7,194,0,Kalujskaa oblast_
1002,Kalujskaa oblast_,Moskovskaa,7,147,62,1099,20,11,16,24,1383,1386,2091,16,1383,16,0,0,2000,13,601,0,Kalujskaa oblast_
1003,Kalujskaa oblast_,Moskovskaa,17,203,116,1217,26,13,12,16,1607,1620,2497,34,1607,34,0,0,2300,21,659,0,Kalujskaa oblast_
1004,Kalujskaa oblast_,Moskovskaa,8,193,111,1222,40,11,17,19,1611,1621,2530,31,1615,31,0,0,2400,21,754,0,Kalujskaa oblast_
1005,Kalujskaa oblast_,Moskovskaa,8,152,80,997,20,11,11,6,1262,1285,1961,34,1262,34,0,0,2000,11,704,0,Kalujskaa oblast_
1006,Kalujskaa oblast_,Moskovskaa,11,132,103,1230,21,4,16,12,1526,1529,2231,17,1526,17,0,0,2000,14,457,0,Kalujskaa oblast_
1007,Kalujskaa oblast_,Moskovskaa,10,167,102,1105,22,13,15,9,1407,1443,2254,39,1407,39,0,0,2200,3,754,0,Kalujskaa oblast_
1008,Kalujskaa oblast_,Moskovskaa,8,176,81,1135,30,13,13,13,1466,1469,2292,18,1467,18,0,0,2100,15,615,0,Kalujskaa oblast_
1009,Kalujskaa oblast_,Moskovskaa,10,181,90,1058,24,4,10,15,1388,1392,2139,18,1389,18,0,0,2000,14,593,0,Kalujskaa oblast_
1010,Kalujskaa oblast_,Moskovskaa,9,100,80,690,25,4,9,13,917,930,1359,20,917,20,0,0,1200,7,263,0,Kalujskaa oblast_
1011,Kalujskaa oblast_,Moskovskaa,9,142,113,914,13,11,6,6,1206,1214,2020,24,1208,24,0,0,2000,16,768,0,Kalujskaa oblast_
1012,Kalujskaa oblast_,Moskovskaa,7,102,123,1052,20,12,8,10,1325,1334,2107,26,1325,26,0,0,2300,17,949,0,Kalujskaa oblast_
1013,Kalujskaa oblast_,Moskovskaa,8,150,106,1034,28,15,9,8,1339,1358,2156,40,1339,40,0,0,2000,21,621,0,Kalujskaa oblast_
1014,Kalujskaa oblast_,Moskovskaa,10,139,124,1066,14,24,12,10,1380,1399,2326,39,1380,39,0,0,2300,20,881,0,Kalujskaa oblast_
1015,Kalujskaa oblast_,Moskovskaa,15,186,90,1237,30,8,12,20,1586,1598,2514,23,1586,23,0,0,2300,11,691,0,Kalujskaa oblast_
1016,Kalujskaa oblast_,Moskovskaa,5,155,93,1016,15,7,11,13,1284,1315,2263,42,1285,42,0,0,2000,11,673,0,Kalujskaa oblast_
1017,Kalujskaa oblast_,Moskovskaa,6,98,81,677,17,7,10,10,899,906,1456,18,900,18,0,0,1300,11,382,0,Kalujskaa oblast_
1018,Kalujskaa oblast_,Moskovskaa,8,155,109,934,24,5,10,23,1248,1268,2053,34,1248,34,0,0,2100,14,818,0,Kalujskaa oblast_
1019,Kalujskaa oblast_,Moskovskaa,9,121,108,737,27,10,9,8,1016,1029,1793,29,1018,29,0,0,1700,16,653,0,Kalujskaa oblast_
1020,Kalujskaa oblast_,Moskovskaa,13,197,134,1295,38,17,24,29,1740,1747,2723,27,1740,27,0,0,2500,20,733,0,Kalujskaa oblast_
1021,Kalujskaa oblast_,Moskovskaa,17,209,104,1169,32,16,12,31,1568,1590,2424,40,1573,40,0,0,2100,18,487,0,Kalujskaa oblast_
1022,Kalujskaa oblast_,Moskovskaa,8,104,58,544,11,9,8,13,754,755,1041,9,754,9,0,0,1000,8,237,0,Kalujskaa oblast_
1023,Kalujskaa oblast_,Moskovskaa,12,132,93,1009,27,20,15,18,1317,1326,2116,30,1318,30,0,0,2000,21,652,0,Kalujskaa oblast_
1024,Kalujskaa oblast_,Moskovskaa,15,156,138,1145,33,12,17,18,1343,1534,2422,208,1343,208,0,0,2200,17,649,0,Kalujskaa oblast_
1025,Kalujskaa oblast_,Moskovskaa,14,161,115,1141,23,10,25,13,1474,1502,2423,38,1474,38,0,0,2300,10,788,0,Kalujskaa oblast_
1026,Kalujskaa oblast_,Moskovskaa,7,77,56,674,15,3,12,8,821,852,1385,39,822,39,0,0,1300,8,439,0,Kalujskaa oblast_
1027,Kalujskaa oblast_,Moskovskaa,9,137,81,895,23,14,19,18,1186,1196,1881,20,1196,20,0,0,1700,10,484,0,Kalujskaa oblast_
1028,Kalujskaa oblast_,Moskovskaa,9,101,77,641,13,5,11,14,848,871,1327,39,848,39,0,0,1300,16,413,0,Kalujskaa oblast_
1029,Kalujskaa oblast_,Moskovskaa,6,99,69,673,24,11,11,16,906,909,1415,18,907,18,0,0,1300,15,375,0,Kalujskaa oblast_
1030,Kalujskaa oblast_,Moskovskaa,13,135,83,867,18,10,12,21,1129,1159,1873,54,1129,54,0,0,1700,24,517,0,Kalujskaa oblast_
1031,Kalujskaa oblast_,Moskovskaa,12,108,70,896,18,7,20,20,1116,1151,1956,43,1116,43,0,0,1700,8,541,0,Kalujskaa oblast_
1032,Kalujskaa oblast_,Moskovskaa,8,131,101,907,25,11,15,12,1189,1210,1946,30,1189,30,0,0,2000,9,781,0,Kalujskaa oblast_
1033,Kalujskaa oblast_,Moskovskaa,10,102,89,773,23,7,15,17,1018,1036,1828,33,1019,33,0,0,1800,15,748,0,Kalujskaa oblast_
1034,Kalujskaa oblast_,Moskovskaa,13,143,95,1058,27,15,17,19,1348,1387,2329,53,1348,53,0,0,2200,14,799,0,Kalujskaa oblast_
1035,Kalujskaa oblast_,Moskovskaa,3,107,52,608,12,5,8,14,792,809,1327,27,792,27,0,0,1200,10,381,0,Kalujskaa oblast_
1036,Kalujskaa oblast_,Moskovskaa,12,168,100,1082,29,14,24,18,1435,1447,2262,20,1435,20,0,0,2100,8,645,0,Kalujskaa oblast_
1037,Kalujskaa oblast_,Moskovskaa,12,203,92,1127,25,16,18,24,1464,1517,2206,61,1464,61,0,0,2000,8,475,0,Kalujskaa oblast_
1038,Kalujskaa oblast_,Moskovskaa,19,172,74,1148,21,13,20,21,1465,1488,2263,40,1468,40,0,0,2200,17,692,0,Kalujskaa oblast_
1039,Kalujskaa oblast_,Moskovskaa,24,139,76,935,23,10,12,25,1221,1244,1977,38,1222,38,0,0,1900,15,640,0,Kalujskaa oblast_
1040,Kalujskaa oblast_,Moskovskaa,11,177,101,1126,32,20,18,33,1493,1518,2304,43,1493,43,0,0,2200,18,664,0,Kalujskaa oblast_
1041,Kalujskaa oblast_,Moskovskaa,19,201,109,1216,36,16,12,25,1602,1634,2271,51,1602,51,0,0,2300,19,647,0,Kalujskaa oblast_
