ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
150,Kamcatskij kraj,Ust_-Kamcatskaa,9,96,54,487,3,6,4,2,542,661,829,137,542,134,3,0,865,18,186,0,Kamcatskij kraj
151,Kamcatskij kraj,Ust_-Kamcatskaa,0,7,8,42,0,1,0,0,57,58,64,3,57,3,0,0,90,2,30,0,Kamcatskij kraj
152,Kamcatskij kraj,Ust_-Kamcatskaa,3,153,100,447,8,6,7,2,561,726,1095,182,561,182,0,0,955,17,212,0,Kamcatskij kraj
153,Kamcatskij kraj,Ust_-Kamcatskaa,1,78,53,272,3,1,4,0,307,412,612,116,307,116,0,0,565,11,142,0,Kamcatskij kraj
154,Kamcatskij kraj,Ust_-Kamcatskaa,6,86,53,316,1,5,3,2,356,472,785,132,356,132,0,0,650,16,162,0,Kamcatskij kraj
155,Kamcatskij kraj,Ust_-Kamcatskaa,2,200,112,869,29,7,8,5,1113,1232,1284,132,1113,43,89,0,1335,13,90,0,Kamcatskij kraj
156,Kamcatskij kraj,Ust_-Kamcatskaa,8,236,145,888,19,11,8,0,1236,1315,1816,103,1238,103,0,0,1830,24,489,0,Kamcatskij kraj
157,Kamcatskij kraj,Ust_-Kamcatskaa,7,141,78,442,7,5,2,2,568,684,1021,127,569,116,11,0,1140,11,444,0,Kamcatskij kraj
158,Kamcatskij kraj,Ust_-Kamcatskaa,0,13,19,106,4,2,1,0,112,145,168,36,112,36,0,0,170,3,22,0,Kamcatskij kraj
168,Kamcatskij kraj,Karaginskaa,7,38,72,277,10,3,2,1,386,410,519,27,386,27,0,0,530,3,117,0,Kamcatskij kraj
169,Kamcatskij kraj,Karaginskaa,0,5,3,45,0,0,2,0,55,55,73,0,55,0,0,0,55,0,0,0,Kamcatskij kraj
170,Kamcatskij kraj,Karaginskaa,2,25,13,122,3,1,2,4,167,172,215,9,167,9,0,0,255,4,79,0,Kamcatskij kraj
171,Kamcatskij kraj,Karaginskaa,2,97,101,883,13,7,7,9,1002,1119,1564,131,1002,100,31,0,1555,14,422,0,Kamcatskij kraj
172,Kamcatskij kraj,Karaginskaa,0,4,34,242,4,0,3,1,263,288,365,28,263,15,13,0,380,3,89,0,Kamcatskij kraj
173,Kamcatskij kraj,Karaginskaa,0,10,3,58,0,0,1,1,69,73,119,4,69,4,0,0,125,0,52,0,Kamcatskij kraj
174,Kamcatskij kraj,Olutorskaa,1,4,26,167,0,0,0,1,186,199,233,13,186,13,0,0,360,0,161,0,Kamcatskij kraj
175,Kamcatskij kraj,Olutorskaa,0,8,13,74,0,0,0,0,95,95,140,0,95,0,0,0,175,0,80,0,Kamcatskij kraj
176,Kamcatskij kraj,Olutorskaa,1,88,101,746,4,1,2,6,807,949,1330,154,807,93,61,0,1165,12,204,0,Kamcatskij kraj
177,Kamcatskij kraj,Olutorskaa,0,11,17,274,2,2,1,0,266,307,360,41,266,20,21,0,520,0,213,0,Kamcatskij kraj
178,Kamcatskij kraj,Olutorskaa,1,11,15,174,2,4,0,1,200,208,251,9,200,9,0,0,400,1,191,0,Kamcatskij kraj
179,Kamcatskij kraj,Olutorskaa,0,3,10,147,3,1,2,2,121,168,173,47,121,20,27,0,290,0,122,0,Kamcatskij kraj
180,Kamcatskij kraj,Olutorskaa,1,12,6,114,2,2,0,1,87,138,138,51,87,5,46,0,205,0,67,0,Kamcatskij kraj
181,Kamcatskij kraj,Olutorskaa,0,19,21,213,1,0,1,3,238,258,280,21,238,5,16,0,385,1,126,0,Kamcatskij kraj
182,Kamcatskij kraj,Penjinskaa,0,1,0,44,0,1,0,0,48,46,48,0,48,0,0,0,50,2,2,0,Kamcatskij kraj
183,Kamcatskij kraj,Penjinskaa,2,15,34,322,1,0,1,0,335,375,428,47,335,39,8,0,565,7,183,0,Kamcatskij kraj
184,Kamcatskij kraj,Penjinskaa,0,2,14,118,1,0,1,0,126,136,137,11,126,2,9,0,190,1,53,0,Kamcatskij kraj
185,Kamcatskij kraj,Penjinskaa,5,74,85,494,6,7,2,5,380,678,698,302,380,21,281,0,903,4,221,0,Kamcatskij kraj
186,Kamcatskij kraj,Penjinskaa,0,1,2,38,1,1,0,0,43,43,43,0,43,0,0,0,50,0,7,0,Kamcatskij kraj
187,Kamcatskij kraj,Penjinskaa,0,5,6,160,2,0,0,0,153,173,176,20,153,11,9,0,245,0,72,0,Kamcatskij kraj
188,Kamcatskij kraj,Penjinskaa,1,6,14,133,0,1,2,1,154,158,160,6,154,6,0,0,220,2,60,0,Kamcatskij kraj
159,Kamcatskij kraj,Aleutskaa,2,16,45,363,7,3,1,5,420,442,499,32,421,32,0,0,610,10,157,0,Kamcatskij kraj
144,Kamcatskij kraj,Bystrinskaa,11,176,176,1091,21,12,9,5,1035,1501,1755,480,1035,76,404,0,1670,14,155,0,Kamcatskij kraj
145,Kamcatskij kraj,Bystrinskaa,0,13,33,216,4,0,0,0,255,266,299,12,255,12,0,0,450,1,183,0,Kamcatskij kraj
75,Kamcatskij kraj,Vilucinskaa,2,142,74,664,8,1,4,1,896,896,1220,8,896,8,0,0,1283,8,379,0,Kamcatskij kraj
76,Kamcatskij kraj,Vilucinskaa,1,190,81,754,8,3,5,4,1050,1046,1454,10,1050,10,0,0,1449,14,389,0,Kamcatskij kraj
77,Kamcatskij kraj,Vilucinskaa,3,144,53,562,8,0,7,1,779,778,1131,8,779,8,0,0,1142,9,355,0,Kamcatskij kraj
78,Kamcatskij kraj,Vilucinskaa,4,149,58,505,6,3,2,1,733,728,1039,6,733,6,0,0,1000,11,261,0,Kamcatskij kraj
79,Kamcatskij kraj,Vilucinskaa,2,147,68,641,12,4,1,1,885,876,1095,8,885,8,0,0,997,17,104,0,Kamcatskij kraj
80,Kamcatskij kraj,Vilucinskaa,3,181,56,502,9,2,3,3,760,759,1131,16,760,16,0,0,1184,17,408,0,Kamcatskij kraj
81,Kamcatskij kraj,Vilucinskaa,4,154,53,483,9,3,7,4,700,717,1083,26,700,26,0,0,1134,9,408,0,Kamcatskij kraj
82,Kamcatskij kraj,Vilucinskaa,0,169,59,520,11,4,9,4,779,776,1109,7,780,7,0,0,1141,10,354,0,Kamcatskij kraj
83,Kamcatskij kraj,Vilucinskaa,2,247,104,725,11,5,12,4,1119,1110,1469,17,1121,17,0,0,1322,26,184,0,Kamcatskij kraj
84,Kamcatskij kraj,Vilucinskaa,1,184,59,459,5,7,3,7,722,725,1097,9,722,9,0,0,1154,6,423,0,Kamcatskij kraj
85,Kamcatskij kraj,Vilucinskaa,3,130,61,543,15,4,5,5,763,766,1047,10,763,10,0,0,1078,7,305,0,Kamcatskij kraj
86,Kamcatskij kraj,Vilucinskaa,4,162,53,437,3,0,1,2,653,662,1048,20,654,20,0,0,1080,11,406,0,Kamcatskij kraj
87,Kamcatskij kraj,Vilucinskaa,2,175,61,502,12,5,7,6,763,770,1181,22,764,22,0,0,1178,15,392,0,Kamcatskij kraj
88,Kamcatskij kraj,Vilucinskaa,0,21,16,88,1,1,1,0,126,128,201,2,126,2,0,0,181,0,53,0,Kamcatskij kraj
89,Kamcatskij kraj,Vilucinskaa,1,135,65,385,4,4,5,3,612,602,927,9,612,9,0,0,980,19,359,0,Kamcatskij kraj
90,Kamcatskij kraj,Vilucinskaa,2,181,59,474,5,5,6,1,725,733,1103,18,725,18,0,0,1160,10,417,0,Kamcatskij kraj
91,Kamcatskij kraj,Elizovskaa,7,303,118,1149,23,6,10,5,1601,1621,2640,36,1601,36,0,0,2630,16,993,0,Kamcatskij kraj
92,Kamcatskij kraj,Elizovskaa,2,92,66,384,2,2,1,1,544,550,821,12,544,12,0,0,880,6,324,0,Kamcatskij kraj
93,Kamcatskij kraj,Elizovskaa,2,200,78,614,9,3,9,7,912,922,1428,25,912,25,0,0,1400,15,463,0,Kamcatskij kraj
94,Kamcatskij kraj,Elizovskaa,1,28,13,105,1,1,1,1,148,151,204,4,148,4,0,0,210,1,58,0,Kamcatskij kraj
95,Kamcatskij kraj,Elizovskaa,10,271,123,1124,24,6,7,15,1588,1580,2353,24,1588,24,0,0,2400,32,788,0,Kamcatskij kraj
96,Kamcatskij kraj,Elizovskaa,10,375,172,1303,17,10,14,8,1899,1909,3115,32,1900,32,0,0,3120,22,1188,0,Kamcatskij kraj
97,Kamcatskij kraj,Elizovskaa,6,224,111,842,7,5,6,8,1196,1209,2099,27,1196,27,0,0,2100,14,877,0,Kamcatskij kraj
98,Kamcatskij kraj,Elizovskaa,0,87,37,432,5,2,0,3,553,566,811,20,553,20,0,0,850,7,277,0,Kamcatskij kraj
99,Kamcatskij kraj,Elizovskaa,1,58,26,265,2,2,1,3,319,358,587,42,319,42,0,0,590,3,229,0,Kamcatskij kraj
100,Kamcatskij kraj,Elizovskaa,6,182,82,674,8,9,9,11,970,981,1432,17,970,17,0,0,1400,6,413,0,Kamcatskij kraj
101,Kamcatskij kraj,Elizovskaa,5,291,137,1233,31,8,12,16,1699,1733,2355,46,1701,46,0,0,2110,12,363,0,Kamcatskij kraj
102,Kamcatskij kraj,Elizovskaa,4,309,123,1225,22,11,15,18,1691,1727,2541,50,1691,50,0,0,2600,14,859,0,Kamcatskij kraj
103,Kamcatskij kraj,Elizovskaa,7,171,80,796,14,4,3,1,1075,1076,1563,10,1075,10,0,0,1600,9,515,0,Kamcatskij kraj
104,Kamcatskij kraj,Elizovskaa,8,245,118,972,15,8,11,14,1389,1391,2066,18,1389,18,0,0,2090,16,683,0,Kamcatskij kraj
105,Kamcatskij kraj,Elizovskaa,11,230,104,838,15,5,5,11,1207,1219,1900,23,1207,23,0,0,2000,11,770,0,Kamcatskij kraj
106,Kamcatskij kraj,Elizovskaa,4,195,72,628,7,6,5,10,938,927,1440,6,938,6,0,0,1330,17,386,0,Kamcatskij kraj
107,Kamcatskij kraj,Elizovskaa,9,224,86,874,17,10,10,14,1150,1244,1919,108,1151,108,0,0,1800,14,541,0,Kamcatskij kraj
108,Kamcatskij kraj,Elizovskaa,8,194,84,745,14,1,6,6,1059,1058,1801,18,1059,18,0,0,1750,19,673,0,Kamcatskij kraj
