ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Karacaevo-Cerkesskaa Respublika,gorodskaa,11,307,52,1215,21,12,5,5,1566,1628,2260,86,1566,86,0,0,2150,24,498,0,Karacaevo-Cerkesskaa Respublika
2,Karacaevo-Cerkesskaa Respublika,gorodskaa,0,232,0,1340,0,0,0,3,1535,1575,1894,40,1535,40,0,0,1750,0,175,0,Karacaevo-Cerkesskaa Respublika
3,Karacaevo-Cerkesskaa Respublika,gorodskaa,3,38,29,864,6,5,5,1,930,951,1091,24,930,24,0,0,1025,3,71,0,Karacaevo-Cerkesskaa Respublika
4,Karacaevo-Cerkesskaa Respublika,gorodskaa,8,60,36,1151,5,11,3,5,1244,1279,1332,35,1244,35,0,0,1775,0,496,0,Karacaevo-Cerkesskaa Respublika
5,Karacaevo-Cerkesskaa Respublika,gorodskaa,9,54,40,1206,1,13,12,5,1268,1340,1396,72,1268,72,0,0,1450,0,110,0,Karacaevo-Cerkesskaa Respublika
6,Karacaevo-Cerkesskaa Respublika,gorodskaa,6,50,37,1107,8,13,5,5,1169,1231,1296,62,1169,62,0,0,1275,0,44,0,Karacaevo-Cerkesskaa Respublika
7,Karacaevo-Cerkesskaa Respublika,gorodskaa,7,195,24,730,15,8,0,3,975,982,1919,23,975,23,0,0,1725,16,727,0,Karacaevo-Cerkesskaa Respublika
8,Karacaevo-Cerkesskaa Respublika,gorodskaa,10,73,55,1642,7,18,9,10,1745,1824,1957,79,1745,79,0,0,1825,0,1,0,Karacaevo-Cerkesskaa Respublika
9,Karacaevo-Cerkesskaa Respublika,gorodskaa,2,74,50,1344,3,30,2,5,1468,1510,1736,42,1468,42,0,0,1650,0,140,0,Karacaevo-Cerkesskaa Respublika
10,Karacaevo-Cerkesskaa Respublika,gorodskaa,2,141,23,694,10,2,4,10,858,886,1011,42,858,42,0,0,1005,14,105,0,Karacaevo-Cerkesskaa Respublika
11,Karacaevo-Cerkesskaa Respublika,gorodskaa,8,61,46,1368,10,8,6,6,1473,1513,1715,47,1473,47,0,0,1600,7,80,0,Karacaevo-Cerkesskaa Respublika
12,Karacaevo-Cerkesskaa Respublika,gorodskaa,12,101,39,1860,8,8,2,10,1939,2040,2168,104,1939,104,0,0,2050,3,7,0,Karacaevo-Cerkesskaa Respublika
13,Karacaevo-Cerkesskaa Respublika,gorodskaa,2,31,21,831,17,8,2,5,818,917,1006,109,818,109,0,0,1225,10,298,0,Karacaevo-Cerkesskaa Respublika
14,Karacaevo-Cerkesskaa Respublika,gorodskaa,8,194,28,877,13,12,8,10,1060,1150,1362,103,1125,103,0,0,1300,13,72,0,Karacaevo-Cerkesskaa Respublika
15,Karacaevo-Cerkesskaa Respublika,gorodskaa,1,32,28,985,3,16,2,4,1025,1071,1262,46,1025,46,0,0,1225,0,154,0,Karacaevo-Cerkesskaa Respublika
16,Karacaevo-Cerkesskaa Respublika,gorodskaa,3,16,12,360,2,0,3,4,392,400,553,14,392,14,0,0,475,6,69,0,Karacaevo-Cerkesskaa Respublika
17,Karacaevo-Cerkesskaa Respublika,gorodskaa,2,45,32,1016,11,12,4,6,1061,1128,1311,67,1061,67,0,0,1225,0,97,0,Karacaevo-Cerkesskaa Respublika
18,Karacaevo-Cerkesskaa Respublika,gorodskaa,2,113,25,606,12,7,4,12,698,781,964,96,698,96,0,0,925,13,131,0,Karacaevo-Cerkesskaa Respublika
19,Karacaevo-Cerkesskaa Respublika,gorodskaa,1,58,40,1381,1,4,2,1,881,1488,1533,607,881,607,0,0,1775,0,287,0,Karacaevo-Cerkesskaa Respublika
20,Karacaevo-Cerkesskaa Respublika,gorodskaa,4,121,18,614,13,9,25,11,689,815,999,133,689,133,0,0,925,7,103,0,Karacaevo-Cerkesskaa Respublika
