ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
192,Kirovskaa oblast_,Zuevskaa,6,90,75,317,1,6,5,1,464,501,850,44,464,44,0,0,750,7,242,0,Kirovskaa oblast_
193,Kirovskaa oblast_,Zuevskaa,5,117,80,356,7,6,3,3,545,577,969,43,545,43,0,0,800,11,212,0,Kirovskaa oblast_
194,Kirovskaa oblast_,Zuevskaa,3,98,45,494,5,1,5,2,567,653,924,88,567,88,0,0,800,2,145,0,Kirovskaa oblast_
195,Kirovskaa oblast_,Zuevskaa,5,57,44,256,8,0,5,1,321,376,704,63,321,63,0,0,600,8,216,0,Kirovskaa oblast_
196,Kirovskaa oblast_,Zuevskaa,7,126,114,607,12,8,5,4,781,883,1457,122,781,122,0,0,1150,20,247,0,Kirovskaa oblast_
197,Kirovskaa oblast_,Zuevskaa,8,149,69,554,9,5,5,5,724,804,1076,87,724,87,0,0,900,7,89,0,Kirovskaa oblast_
198,Kirovskaa oblast_,Zuevskaa,8,109,67,431,6,5,6,5,596,637,972,48,596,48,0,0,800,7,156,0,Kirovskaa oblast_
199,Kirovskaa oblast_,Zuevskaa,1,118,85,407,14,7,6,3,590,641,1079,64,590,64,0,0,900,13,246,0,Kirovskaa oblast_
200,Kirovskaa oblast_,Zuevskaa,5,70,58,353,4,1,2,2,454,495,1007,49,454,49,0,0,850,8,347,0,Kirovskaa oblast_
201,Kirovskaa oblast_,Zuevskaa,2,68,46,386,5,4,5,2,449,518,864,76,449,76,0,0,750,7,225,0,Kirovskaa oblast_
202,Kirovskaa oblast_,Zuevskaa,3,57,30,281,6,4,0,2,331,383,725,55,331,55,0,0,650,3,264,0,Kirovskaa oblast_
203,Kirovskaa oblast_,Zuevskaa,4,50,36,171,3,0,2,0,215,266,385,56,215,56,0,0,350,5,79,0,Kirovskaa oblast_
204,Kirovskaa oblast_,Zuevskaa,1,72,42,380,6,4,0,1,400,506,805,107,400,107,0,0,750,1,243,0,Kirovskaa oblast_
205,Kirovskaa oblast_,Zuevskaa,0,14,17,165,0,2,0,0,158,198,282,42,158,42,0,0,300,2,100,0,Kirovskaa oblast_
206,Kirovskaa oblast_,Zuevskaa,5,108,55,575,8,2,1,3,659,757,1170,104,659,104,0,0,1000,6,237,0,Kirovskaa oblast_
207,Kirovskaa oblast_,Zuevskaa,2,10,4,82,2,1,0,0,94,101,168,8,94,8,0,0,150,1,48,0,Kirovskaa oblast_
208,Kirovskaa oblast_,Zuevskaa,3,86,39,338,1,2,1,4,429,474,739,51,429,51,0,0,650,6,170,0,Kirovskaa oblast_
209,Kirovskaa oblast_,Zuevskaa,0,6,9,57,0,2,1,0,51,75,119,24,51,24,0,0,130,0,55,0,Kirovskaa oblast_
210,Kirovskaa oblast_,Zuevskaa,2,6,12,173,4,0,1,1,135,199,275,65,135,65,0,0,250,1,50,0,Kirovskaa oblast_
211,Kirovskaa oblast_,Zuevskaa,2,17,23,151,3,2,0,0,123,198,246,77,123,77,0,0,250,2,50,0,Kirovskaa oblast_
212,Kirovskaa oblast_,Zuevskaa,6,108,41,321,4,1,0,1,411,482,613,75,411,75,0,0,550,4,64,0,Kirovskaa oblast_
213,Kirovskaa oblast_,Zuevskaa,2,89,46,364,2,0,1,1,474,505,807,32,474,32,0,0,700,1,194,0,Kirovskaa oblast_
214,Kirovskaa oblast_,Zuevskaa,0,14,18,128,8,2,0,0,124,170,267,47,124,47,0,0,250,1,79,0,Kirovskaa oblast_
215,Kirovskaa oblast_,Zuevskaa,0,19,14,70,2,0,0,1,84,106,165,22,84,22,0,0,150,0,44,0,Kirovskaa oblast_
216,Kirovskaa oblast_,Zuevskaa,1,13,13,77,1,0,0,0,92,105,156,14,92,14,0,0,150,1,44,0,Kirovskaa oblast_
217,Kirovskaa oblast_,Zuevskaa,0,10,7,85,0,0,1,0,95,103,137,10,95,10,0,0,130,2,25,0,Kirovskaa oblast_
218,Kirovskaa oblast_,Zuevskaa,5,80,41,299,2,3,0,1,413,431,611,26,413,26,0,0,550,8,111,0,Kirovskaa oblast_
219,Kirovskaa oblast_,Zuevskaa,1,12,24,167,1,2,1,0,163,208,324,48,163,48,0,0,300,3,89,0,Kirovskaa oblast_
220,Kirovskaa oblast_,Kiknurskaa,7,197,96,554,15,4,4,3,743,880,1307,142,743,142,0,0,1495,5,610,0,Kirovskaa oblast_
221,Kirovskaa oblast_,Kiknurskaa,5,292,85,675,9,11,7,2,1029,1086,1640,73,1029,73,0,0,1865,16,763,0,Kirovskaa oblast_
222,Kirovskaa oblast_,Kiknurskaa,5,181,89,541,4,8,9,1,646,838,1364,203,646,203,0,0,1535,11,686,0,Kirovskaa oblast_
223,Kirovskaa oblast_,Kiknurskaa,0,13,6,61,0,2,0,0,54,82,112,29,54,29,0,0,103,1,20,0,Kirovskaa oblast_
224,Kirovskaa oblast_,Kiknurskaa,1,8,6,91,0,0,0,0,87,106,160,20,87,20,0,0,175,1,68,0,Kirovskaa oblast_
225,Kirovskaa oblast_,Kiknurskaa,0,26,11,195,0,1,0,1,168,234,278,66,168,66,0,0,309,0,75,0,Kirovskaa oblast_
226,Kirovskaa oblast_,Kiknurskaa,1,24,13,141,1,0,0,1,148,181,223,34,148,34,0,0,256,1,74,0,Kirovskaa oblast_
227,Kirovskaa oblast_,Kiknurskaa,2,49,27,212,3,1,2,0,212,296,367,85,212,85,0,0,378,1,81,0,Kirovskaa oblast_
228,Kirovskaa oblast_,Kiknurskaa,1,18,20,130,3,0,0,0,92,172,223,82,92,82,0,0,267,2,93,0,Kirovskaa oblast_
229,Kirovskaa oblast_,Kiknurskaa,4,30,26,196,2,1,0,1,170,260,365,93,170,93,0,0,425,3,162,0,Kirovskaa oblast_
230,Kirovskaa oblast_,Kiknurskaa,3,14,19,106,2,0,2,1,114,147,169,34,114,34,0,0,174,1,26,0,Kirovskaa oblast_
231,Kirovskaa oblast_,Kiknurskaa,1,29,39,275,4,6,2,2,207,358,491,159,207,159,0,0,574,8,208,0,Kirovskaa oblast_
232,Kirovskaa oblast_,Kiknurskaa,7,39,29,250,5,7,0,1,199,338,419,139,199,139,0,0,547,0,209,0,Kirovskaa oblast_
233,Kirovskaa oblast_,Kiknurskaa,0,23,7,112,0,5,0,0,103,147,197,44,103,44,0,0,237,0,90,0,Kirovskaa oblast_
234,Kirovskaa oblast_,Kil_mezskaa,2,99,80,335,2,5,6,4,462,533,880,78,462,78,0,0,780,7,240,0,Kirovskaa oblast_
