ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
139,Kostromskaa oblast_,Kostromskaa,4,116,93,590,11,3,8,12,785,837,1279,59,785,59,0,0,1200,7,356,0,Kostromskaa oblast_
140,Kostromskaa oblast_,Kostromskaa,13,131,89,613,9,3,14,12,852,884,1722,42,852,42,0,0,1700,10,806,0,Kostromskaa oblast_
141,Kostromskaa oblast_,Kostromskaa,9,139,82,692,13,7,13,7,915,962,1675,59,915,59,0,0,1600,12,626,0,Kostromskaa oblast_
142,Kostromskaa oblast_,Kostromskaa,0,46,29,244,4,3,2,1,316,329,673,17,316,17,0,0,650,4,317,0,Kostromskaa oblast_
143,Kostromskaa oblast_,Kostromskaa,7,181,85,806,21,11,17,7,1105,1135,1775,40,1105,40,0,0,1700,10,555,0,Kostromskaa oblast_
144,Kostromskaa oblast_,Kostromskaa,14,218,97,1051,29,12,10,10,1430,1441,2149,22,1430,22,0,0,2130,11,678,0,Kostromskaa oblast_
145,Kostromskaa oblast_,Kostromskaa,7,152,60,565,16,9,9,8,813,826,1235,20,813,20,0,0,1000,7,167,0,Kostromskaa oblast_
146,Kostromskaa oblast_,Kostromskaa,2,26,18,241,5,1,3,1,270,297,535,29,270,29,0,0,500,2,201,0,Kostromskaa oblast_
147,Kostromskaa oblast_,Kostromskaa,0,19,7,54,0,1,4,1,78,86,167,8,78,8,0,0,167,0,81,0,Kostromskaa oblast_
148,Kostromskaa oblast_,Kostromskaa,1,41,18,210,4,1,3,3,274,281,498,10,274,10,0,0,450,3,166,0,Kostromskaa oblast_
149,Kostromskaa oblast_,Kostromskaa,0,11,15,86,0,0,1,0,89,113,179,25,89,25,0,0,140,1,26,0,Kostromskaa oblast_
150,Kostromskaa oblast_,Kostromskaa,7,83,61,358,4,5,1,4,483,523,816,46,483,46,0,0,800,6,271,0,Kostromskaa oblast_
151,Kostromskaa oblast_,Kostromskaa,11,249,146,1016,14,6,20,10,1437,1472,2345,52,1437,52,0,0,2341,17,852,0,Kostromskaa oblast_
152,Kostromskaa oblast_,Kostromskaa,3,44,38,298,8,4,7,0,371,402,785,33,371,33,0,0,750,2,346,0,Kostromskaa oblast_
153,Kostromskaa oblast_,Kostromskaa,7,98,93,643,19,10,12,8,811,890,1479,84,811,84,0,0,1300,5,405,0,Kostromskaa oblast_
154,Kostromskaa oblast_,Kostromskaa,9,168,109,815,14,12,17,15,1150,1159,1900,23,1151,23,0,0,1850,14,676,0,Kostromskaa oblast_
155,Kostromskaa oblast_,Kostromskaa,1,40,36,245,8,5,5,4,327,344,658,21,327,21,0,0,650,4,302,0,Kostromskaa oblast_
156,Kostromskaa oblast_,Kostromskaa,5,82,56,384,15,3,2,5,535,552,972,19,535,19,0,0,950,2,396,0,Kostromskaa oblast_
157,Kostromskaa oblast_,Kostromskaa,3,117,41,397,9,1,5,3,554,576,957,26,554,26,0,0,900,4,320,0,Kostromskaa oblast_
158,Kostromskaa oblast_,Kostromskaa,2,15,22,144,2,0,2,1,113,188,328,78,113,78,0,0,285,3,94,0,Kostromskaa oblast_
159,Kostromskaa oblast_,Kostromskaa,1,44,21,203,8,4,2,11,282,294,420,14,282,14,0,0,375,2,79,0,Kostromskaa oblast_
160,Kostromskaa oblast_,Kostromskaa,2,27,30,246,2,3,1,0,262,311,621,49,262,49,0,0,600,0,289,0,Kostromskaa oblast_
161,Kostromskaa oblast_,Kostromskaa,8,74,24,239,5,5,1,0,339,356,632,25,339,25,0,0,600,8,236,0,Kostromskaa oblast_
162,Kostromskaa oblast_,Kostromskaa,10,140,84,586,13,3,7,12,823,855,1259,37,824,37,0,0,1200,5,339,0,Kostromskaa oblast_
163,Kostromskaa oblast_,Kostromskaa,5,108,62,589,13,8,6,3,764,794,1267,39,764,39,0,0,1200,9,397,0,Kostromskaa oblast_
164,Kostromskaa oblast_,Kostromskaa,0,19,20,87,2,1,1,0,115,130,227,16,115,16,0,0,230,1,99,0,Kostromskaa oblast_
165,Kostromskaa oblast_,Kostromskaa,4,95,86,495,7,1,4,5,681,697,1086,25,681,25,0,0,1000,9,294,0,Kostromskaa oblast_
166,Kostromskaa oblast_,Kostromskaa,0,18,12,184,3,2,1,1,208,221,321,14,208,14,0,0,295,1,73,0,Kostromskaa oblast_
167,Kostromskaa oblast_,Kostromskaa,14,134,70,889,11,10,10,11,960,1149,1919,198,960,198,0,0,1800,9,642,0,Kostromskaa oblast_
168,Kostromskaa oblast_,Kostromskaa,0,37,27,239,2,0,1,4,299,310,495,14,299,14,0,0,450,3,137,0,Kostromskaa oblast_
169,Kostromskaa oblast_,Kostromskaa,1,41,33,227,4,7,1,1,303,315,521,15,303,15,0,0,500,3,182,0,Kostromskaa oblast_
170,Kostromskaa oblast_,Kostromskaa,2,50,53,365,3,0,3,3,455,479,725,30,455,30,0,0,650,6,165,0,Kostromskaa oblast_
171,Kostromskaa oblast_,Kostromskaa,7,133,83,658,15,5,7,13,898,921,1597,27,898,27,0,0,1500,4,575,0,Kostromskaa oblast_
172,Kostromskaa oblast_,Kostromskaa,1,54,42,226,3,2,2,2,331,332,548,3,331,3,0,0,500,2,166,0,Kostromskaa oblast_
173,Kostromskaa oblast_,Kostromskaa,3,63,24,261,1,0,0,4,325,356,598,33,325,33,0,0,500,2,142,0,Kostromskaa oblast_
174,Kostromskaa oblast_,1,10,122,64,697,22,3,14,17,935,949,1713,24,935,24,0,0,1500,10,541,0,Kostromskaa oblast_
175,Kostromskaa oblast_,1,8,184,116,955,22,4,19,18,1005,1326,2106,336,1005,336,0,0,2000,15,659,0,Kostromskaa oblast_
176,Kostromskaa oblast_,1,14,134,82,724,15,6,10,15,987,1000,1908,25,987,25,0,0,1500,12,488,0,Kostromskaa oblast_
177,Kostromskaa oblast_,1,13,103,65,634,32,11,15,27,870,900,1508,37,872,37,0,0,1000,7,91,0,Kostromskaa oblast_
178,Kostromskaa oblast_,1,8,147,103,817,20,4,11,17,1109,1127,2033,24,1109,24,0,0,2000,6,867,0,Kostromskaa oblast_
179,Kostromskaa oblast_,1,7,164,74,707,13,6,11,7,962,989,1854,31,963,31,0,0,1500,4,506,0,Kostromskaa oblast_
180,Kostromskaa oblast_,1,10,170,121,861,26,16,17,8,1198,1229,2148,40,1198,40,0,0,2000,9,762,0,Kostromskaa oblast_
181,Kostromskaa oblast_,1,15,141,96,782,17,6,14,26,1089,1097,1978,25,1089,25,0,0,2000,17,886,0,Kostromskaa oblast_
182,Kostromskaa oblast_,1,17,192,120,952,23,21,18,20,1358,1363,2432,24,1358,24,0,0,2000,19,618,0,Kostromskaa oblast_
183,Kostromskaa oblast_,1,5,117,61,667,20,5,7,8,874,890,1433,18,874,18,0,0,1000,2,108,0,Kostromskaa oblast_
184,Kostromskaa oblast_,1,6,172,122,788,31,7,15,25,1140,1166,2273,38,1141,39,0,0,2000,12,820,0,Kostromskaa oblast_
185,Kostromskaa oblast_,1,7,164,109,841,20,14,10,7,1159,1172,2206,26,1159,26,0,0,2000,13,815,0,Kostromskaa oblast_
186,Kostromskaa oblast_,1,2,67,47,359,5,3,7,1,488,491,942,9,488,9,0,0,900,6,403,0,Kostromskaa oblast_
187,Kostromskaa oblast_,1,11,197,110,996,29,9,9,14,1336,1375,2240,52,1342,52,0,0,2000,13,606,0,Kostromskaa oblast_
188,Kostromskaa oblast_,1,8,195,155,1025,16,8,11,14,1401,1432,2557,45,1401,45,0,0,2000,14,554,0,Kostromskaa oblast_
189,Kostromskaa oblast_,1,5,159,112,840,19,14,10,12,1140,1171,2268,37,1140,37,0,0,2000,6,823,0,Kostromskaa oblast_
190,Kostromskaa oblast_,1,4,120,74,479,17,7,8,5,713,714,1160,10,713,10,0,0,1000,9,277,0,Kostromskaa oblast_
191,Kostromskaa oblast_,1,15,228,126,1110,37,11,17,29,1557,1573,2500,31,1557,31,0,0,2000,15,412,0,Kostromskaa oblast_
192,Kostromskaa oblast_,1,8,159,80,742,17,9,11,14,1018,1040,1691,34,1018,34,0,0,1500,12,448,0,Kostromskaa oblast_
193,Kostromskaa oblast_,1,9,160,121,955,17,7,23,19,1301,1311,2126,22,1301,22,0,0,2000,12,677,0,Kostromskaa oblast_
194,Kostromskaa oblast_,1,8,87,77,698,10,4,14,9,891,907,1696,25,891,25,0,0,1500,9,584,0,Kostromskaa oblast_
195,Kostromskaa oblast_,1,9,166,140,970,26,8,15,15,1304,1349,2462,54,1304,54,0,0,2000,9,642,0,Kostromskaa oblast_
196,Kostromskaa oblast_,1,7,97,63,596,20,3,19,14,806,819,1401,17,807,17,0,0,1000,4,176,0,Kostromskaa oblast_
197,Kostromskaa oblast_,1,18,174,113,1045,25,8,11,13,1366,1407,2336,50,1366,50,0,0,2000,9,584,0,Kostromskaa oblast_
198,Kostromskaa oblast_,1,5,147,85,653,20,7,11,7,928,935,1690,15,929,15,0,0,1500,8,556,0,Kostromskaa oblast_
199,Kostromskaa oblast_,1,5,161,72,748,16,10,21,25,1047,1058,1710,21,1048,21,0,0,1500,10,431,0,Kostromskaa oblast_
200,Kostromskaa oblast_,1,13,186,111,1007,26,12,21,21,1376,1397,2364,35,1376,35,0,0,2000,14,589,0,Kostromskaa oblast_
201,Kostromskaa oblast_,1,6,152,98,761,19,16,6,16,1059,1074,1909,30,1059,30,0,0,2000,15,911,0,Kostromskaa oblast_
202,Kostromskaa oblast_,1,11,283,148,1379,26,12,24,30,1886,1913,3053,39,1886,39,0,0,3000,12,1075,0,Kostromskaa oblast_
203,Kostromskaa oblast_,1,8,164,119,842,19,5,14,23,1179,1194,1961,30,1179,30,0,0,1500,15,291,0,Kostromskaa oblast_
204,Kostromskaa oblast_,1,10,118,56,557,17,9,7,3,752,777,1278,30,752,30,0,0,1000,5,218,0,Kostromskaa oblast_
205,Kostromskaa oblast_,1,13,183,110,846,23,9,14,18,1189,1216,2055,36,1189,36,0,0,2000,9,775,0,Kostromskaa oblast_
206,Kostromskaa oblast_,1,5,104,75,589,10,6,5,8,424,802,1175,380,425,380,0,0,1000,2,195,0,Kostromskaa oblast_
207,Kostromskaa oblast_,1,6,115,71,1406,29,4,11,12,1624,1654,1980,41,1624,41,0,0,2000,11,335,0,Kostromskaa oblast_
208,Kostromskaa oblast_,1,11,193,92,937,40,16,23,36,1318,1348,2108,36,1318,36,0,0,2000,6,646,0,Kostromskaa oblast_
209,Kostromskaa oblast_,1,11,149,78,769,15,4,11,16,960,1053,1838,110,962,110,0,0,1500,17,428,0,Kostromskaa oblast_
210,Kostromskaa oblast_,1,12,206,134,1093,36,10,25,28,1527,1544,2511,32,1527,32,0,0,2000,15,441,0,Kostromskaa oblast_
211,Kostromskaa oblast_,1,5,82,46,434,22,1,7,8,591,605,1165,21,591,21,0,0,1000,7,388,0,Kostromskaa oblast_
212,Kostromskaa oblast_,1,9,173,87,881,20,7,21,13,1197,1211,2065,28,1197,28,0,0,2000,14,775,0,Kostromskaa oblast_
213,Kostromskaa oblast_,1,7,116,34,468,23,1,4,9,652,662,1092,18,652,18,0,0,1000,8,330,0,Kostromskaa oblast_
214,Kostromskaa oblast_,1,13,248,135,1217,42,17,28,36,1732,1736,2728,22,1732,22,0,0,2500,18,746,0,Kostromskaa oblast_
215,Kostromskaa oblast_,1,19,319,116,1351,61,11,31,25,1913,1933,2896,38,1914,38,0,0,2500,18,548,0,Kostromskaa oblast_
216,Kostromskaa oblast_,1,21,231,141,1317,31,12,24,39,1803,1816,2875,22,1803,22,0,0,2500,9,675,0,Kostromskaa oblast_
217,Kostromskaa oblast_,1,24,244,119,1177,46,16,15,20,1648,1661,2650,33,1649,33,0,0,2000,20,318,0,Kostromskaa oblast_
221,Kostromskaa oblast_,1,2,39,33,231,5,2,7,0,308,319,504,14,308,14,0,0,500,3,178,0,Kostromskaa oblast_
222,Kostromskaa oblast_,1,2,86,53,467,16,5,3,6,617,638,1210,28,617,28,0,0,1000,7,355,0,Kostromskaa oblast_
223,Kostromskaa oblast_,1,8,63,47,336,9,6,4,3,455,476,786,22,455,22,0,0,600,1,123,0,Kostromskaa oblast_
224,Kostromskaa oblast_,1,12,226,137,1171,38,12,16,29,1598,1641,2684,61,1598,61,0,0,2500,18,841,0,Kostromskaa oblast_
226,Kostromskaa oblast_,1,6,148,72,788,25,1,9,17,1029,1066,1923,45,1029,45,0,0,2000,8,926,0,Kostromskaa oblast_
227,Kostromskaa oblast_,1,6,129,92,720,19,9,12,10,987,997,1696,25,988,25,0,0,1500,15,487,0,Kostromskaa oblast_
228,Kostromskaa oblast_,1,12,172,118,952,17,16,14,22,1293,1323,2462,42,1293,42,0,0,2000,12,665,0,Kostromskaa oblast_
229,Kostromskaa oblast_,1,9,156,135,830,20,13,13,12,1177,1188,1977,22,1178,22,0,0,2000,11,800,0,Kostromskaa oblast_
230,Kostromskaa oblast_,1,23,186,131,1156,30,17,20,19,1556,1582,2865,42,1557,42,0,0,2500,16,901,0,Kostromskaa oblast_
231,Kostromskaa oblast_,1,2,81,51,469,10,8,1,7,590,629,1269,44,591,44,0,0,1000,5,365,0,Kostromskaa oblast_
232,Kostromskaa oblast_,1,14,164,130,1010,16,8,14,19,1368,1375,2468,22,1369,22,0,0,2000,15,609,0,Kostromskaa oblast_
233,Kostromskaa oblast_,1,6,70,49,412,9,5,3,7,557,561,1054,14,557,14,0,0,1000,10,429,0,Kostromskaa oblast_
234,Kostromskaa oblast_,1,14,155,118,929,19,14,14,16,1231,1279,2465,61,1231,61,0,0,2000,13,708,0,Kostromskaa oblast_
235,Kostromskaa oblast_,1,8,149,86,874,23,10,12,28,1178,1190,1892,23,1178,23,0,0,1500,11,299,0,Kostromskaa oblast_
236,Kostromskaa oblast_,1,10,187,119,1050,43,15,21,35,1451,1480,2390,39,1451,39,0,0,2000,10,510,0,Kostromskaa oblast_
