ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1011,Krasnoarskij kraj,Bol_semurtinskaa,5,157,97,959,9,11,8,5,1192,1251,2432,73,1192,73,0,0,2300,14,1035,0,Krasnoarskij kraj
1012,Krasnoarskij kraj,Bol_semurtinskaa,8,176,71,892,9,8,2,4,1131,1170,2096,53,1131,53,0,0,2000,14,816,0,Krasnoarskij kraj
1013,Krasnoarskij kraj,Bol_semurtinskaa,9,169,108,1090,18,13,7,5,1341,1419,2508,100,1342,100,0,0,2394,22,952,0,Krasnoarskij kraj
1014,Krasnoarskij kraj,Bol_semurtinskaa,7,29,55,624,6,2,5,0,524,728,1207,208,524,208,0,0,1352,4,620,0,Krasnoarskij kraj
1015,Krasnoarskij kraj,Bol_semurtinskaa,0,13,7,75,0,3,0,0,92,98,130,6,92,6,0,0,154,0,56,0,Krasnoarskij kraj
1016,Krasnoarskij kraj,Bol_semurtinskaa,1,10,9,128,0,0,0,1,138,149,247,12,138,12,0,0,251,1,101,0,Krasnoarskij kraj
1017,Krasnoarskij kraj,Bol_semurtinskaa,3,30,29,323,2,4,0,0,317,391,686,77,317,77,0,0,734,3,340,0,Krasnoarskij kraj
1018,Krasnoarskij kraj,Bol_semurtinskaa,0,9,9,141,0,1,0,1,155,161,268,9,155,9,0,0,291,3,127,0,Krasnoarskij kraj
1019,Krasnoarskij kraj,Bol_semurtinskaa,3,14,9,241,3,0,2,0,246,272,387,26,246,26,0,0,423,0,151,0,Krasnoarskij kraj
1020,Krasnoarskij kraj,Bol_semurtinskaa,0,5,6,83,0,0,0,0,84,94,125,10,84,10,0,0,129,0,35,0,Krasnoarskij kraj
1021,Krasnoarskij kraj,Bol_semurtinskaa,1,14,11,156,2,0,0,3,177,187,292,15,177,15,0,0,317,5,125,0,Krasnoarskij kraj
1022,Krasnoarskij kraj,Bol_semurtinskaa,0,0,7,62,1,1,1,1,67,73,104,6,67,6,0,0,126,0,53,0,Krasnoarskij kraj
1023,Krasnoarskij kraj,Bol_semurtinskaa,1,13,14,161,1,1,1,0,150,192,309,42,150,42,0,0,390,0,198,0,Krasnoarskij kraj
1025,Krasnoarskij kraj,Bol_semurtinskaa,2,14,26,206,6,0,0,1,239,255,405,21,239,21,0,0,447,5,187,0,Krasnoarskij kraj
1026,Krasnoarskij kraj,Bol_semurtinskaa,2,35,36,269,1,1,0,2,247,346,553,101,247,101,0,0,581,2,233,0,Krasnoarskij kraj
1027,Krasnoarskij kraj,Bol_semurtinskaa,0,17,9,151,1,1,0,1,164,180,304,21,164,21,0,0,320,5,135,0,Krasnoarskij kraj
1028,Krasnoarskij kraj,Bol_semurtinskaa,1,10,14,222,0,1,1,0,210,249,372,40,210,40,0,0,386,1,136,0,Krasnoarskij kraj
1029,Krasnoarskij kraj,Bol_semurtinskaa,0,1,6,58,1,1,0,0,62,67,96,6,62,6,0,0,94,1,26,0,Krasnoarskij kraj
1030,Krasnoarskij kraj,Bol_semurtinskaa,2,7,4,56,0,0,1,0,56,70,93,14,56,14,0,0,101,0,31,0,Krasnoarskij kraj
1031,Krasnoarskij kraj,Bol_semurtinskaa,0,2,3,44,0,0,0,0,39,49,88,10,39,10,0,0,104,0,55,0,Krasnoarskij kraj
1032,Krasnoarskij kraj,Bol_semurtinskaa,1,34,15,237,5,5,0,0,252,297,457,47,252,47,0,0,497,2,198,0,Krasnoarskij kraj
1033,Krasnoarskij kraj,Bol_semurtinskaa,0,9,7,116,1,3,0,0,117,136,184,19,117,19,0,0,214,0,78,0,Krasnoarskij kraj
1034,Krasnoarskij kraj,Bol_semurtinskaa,0,2,2,34,0,0,0,0,33,38,45,5,33,5,0,0,64,0,26,0,Krasnoarskij kraj
1035,Krasnoarskij kraj,Bol_semurtinskaa,1,34,28,353,2,4,0,0,370,422,582,55,370,55,0,0,635,3,210,0,Krasnoarskij kraj
1036,Krasnoarskij kraj,Bol_semurtinskaa,0,2,7,56,1,0,0,0,57,66,107,9,57,9,0,0,131,0,65,0,Krasnoarskij kraj
1038,Krasnoarskij kraj,Bol_semurtinskaa,4,29,16,185,4,1,0,0,215,239,355,29,215,29,0,0,378,5,134,0,Krasnoarskij kraj
1039,Krasnoarskij kraj,Bol_semurtinskaa,0,19,12,91,2,0,0,0,108,124,190,17,108,17,0,0,211,1,86,0,Krasnoarskij kraj
1040,Krasnoarskij kraj,Bol_semurtinskaa,1,18,12,141,1,2,0,0,137,175,257,39,137,39,0,0,283,1,107,0,Krasnoarskij kraj
