ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Krasnodarskij kraj,Goraceklucevskaa,15,131,53,1598,13,16,11,22,1681,1859,2161,189,1681,189,0,0,1950,11,80,0,Krasnodarskij kraj
1002,Krasnodarskij kraj,Goraceklucevskaa,7,62,59,840,10,10,9,1,940,998,1231,86,940,86,0,0,1050,28,24,0,Krasnodarskij kraj
1003,Krasnodarskij kraj,Goraceklucevskaa,15,95,80,1099,17,18,17,7,1312,1348,1654,43,1312,43,0,0,1500,7,145,0,Krasnodarskij kraj
1004,Krasnodarskij kraj,Goraceklucevskaa,17,102,105,1259,10,36,14,9,1471,1552,1929,90,1471,90,0,0,1700,9,139,0,Krasnodarskij kraj
1005,Krasnodarskij kraj,Goraceklucevskaa,10,140,73,1064,16,9,6,14,1269,1332,1641,79,1269,79,0,0,1550,16,202,0,Krasnodarskij kraj
1006,Krasnodarskij kraj,Goraceklucevskaa,13,101,88,1186,14,13,16,34,1366,1465,1862,125,1366,125,0,0,1700,26,209,0,Krasnodarskij kraj
1007,Krasnodarskij kraj,Goraceklucevskaa,19,318,95,1669,27,28,18,14,2130,2188,2614,77,2130,77,0,0,2400,19,193,0,Krasnodarskij kraj
1008,Krasnodarskij kraj,Goraceklucevskaa,13,97,98,1110,12,15,13,14,1244,1372,1716,144,1244,144,0,0,1600,16,212,0,Krasnodarskij kraj
1009,Krasnodarskij kraj,Goraceklucevskaa,23,152,161,1782,14,14,12,15,2113,2173,2641,79,2113,79,0,0,2550,19,358,0,Krasnodarskij kraj
1010,Krasnodarskij kraj,Goraceklucevskaa,8,241,115,1096,24,17,11,17,1443,1529,2515,106,1443,106,0,0,2250,20,701,0,Krasnodarskij kraj
1011,Krasnodarskij kraj,Goraceklucevskaa,4,66,31,325,4,3,4,3,429,440,590,17,429,17,0,0,550,6,104,0,Krasnodarskij kraj
1012,Krasnodarskij kraj,Goraceklucevskaa,11,111,91,1487,5,12,12,9,1627,1738,2124,128,1627,128,0,0,1950,17,195,0,Krasnodarskij kraj
1013,Krasnodarskij kraj,Goraceklucevskaa,10,128,97,995,17,10,12,9,1254,1278,1817,43,1254,43,0,0,1650,19,353,0,Krasnodarskij kraj
1014,Krasnodarskij kraj,Goraceklucevskaa,6,210,104,1153,16,14,18,8,1320,1529,2159,221,1320,221,0,0,2200,12,659,0,Krasnodarskij kraj
1015,Krasnodarskij kraj,Goraceklucevskaa,1,17,7,97,2,0,0,1,120,125,148,5,120,5,0,0,125,0,0,0,Krasnodarskij kraj
1016,Krasnodarskij kraj,Goraceklucevskaa,1,30,41,493,4,0,1,0,540,570,634,37,540,37,0,0,630,7,53,0,Krasnodarskij kraj
