ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
54,Kurganskaa oblast_,Zapadnaa,6,173,78,764,13,10,7,9,1025,1060,1877,46,1025,46,0,0,1800,11,729,0,Kurganskaa oblast_
55,Kurganskaa oblast_,Zapadnaa,5,147,106,812,18,15,7,7,1124,1117,2025,16,1125,16,0,0,1900,23,759,0,Kurganskaa oblast_
56,Kurganskaa oblast_,Zapadnaa,5,167,86,821,15,5,12,4,1113,1115,1931,17,1113,17,0,0,1800,15,670,0,Kurganskaa oblast_
57,Kurganskaa oblast_,Zapadnaa,6,177,86,825,16,14,5,6,1115,1135,1954,25,1115,25,0,0,1800,5,660,0,Kurganskaa oblast_
58,Kurganskaa oblast_,Zapadnaa,7,119,92,880,5,8,10,5,1113,1126,1787,27,1113,27,0,0,1700,14,560,0,Kurganskaa oblast_
59,Kurganskaa oblast_,Zapadnaa,11,159,75,750,22,10,4,6,1020,1037,1809,28,1020,28,0,0,1700,11,652,0,Kurganskaa oblast_
60,Kurganskaa oblast_,Zapadnaa,11,224,129,1059,15,12,17,11,1451,1478,2419,30,1451,30,0,0,2300,3,819,0,Kurganskaa oblast_
61,Kurganskaa oblast_,Zapadnaa,7,186,113,863,19,15,11,4,1191,1218,1984,37,1191,37,0,0,1900,10,672,0,Kurganskaa oblast_
62,Kurganskaa oblast_,Zapadnaa,9,158,106,939,18,10,8,19,1262,1267,2126,23,1262,23,0,0,2000,18,715,0,Kurganskaa oblast_
63,Kurganskaa oblast_,Zapadnaa,8,170,111,1022,19,14,7,9,1343,1360,2184,24,1343,24,0,0,2100,7,733,0,Kurganskaa oblast_
64,Kurganskaa oblast_,Zapadnaa,4,204,137,1154,20,11,8,16,1527,1554,2404,37,1527,37,0,0,2300,10,736,0,Kurganskaa oblast_
65,Kurganskaa oblast_,Zapadnaa,7,177,81,1042,21,11,7,10,1336,1356,2213,27,1336,27,0,0,2100,7,737,0,Kurganskaa oblast_
66,Kurganskaa oblast_,Zapadnaa,14,241,139,1151,26,15,10,14,1591,1610,2447,38,1591,38,0,0,2200,19,571,0,Kurganskaa oblast_
67,Kurganskaa oblast_,Zapadnaa,13,291,131,1350,40,10,13,12,1858,1860,3072,18,1858,18,0,0,2900,16,1024,0,Kurganskaa oblast_
