ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
535,Kurskaa oblast_,Korenevskaa,9,90,103,731,7,9,5,1,925,955,1525,42,925,42,0,0,1400,12,433,0,Kurskaa oblast_
536,Kurskaa oblast_,Korenevskaa,9,200,140,1110,17,10,3,5,1453,1494,2158,59,1453,59,0,0,2000,18,488,0,Kurskaa oblast_
537,Kurskaa oblast_,Korenevskaa,4,66,51,409,9,2,2,1,491,544,821,60,491,60,0,0,800,7,249,0,Kurskaa oblast_
538,Kurskaa oblast_,Korenevskaa,0,52,61,369,3,2,1,3,458,491,766,36,458,36,0,0,700,3,206,0,Kurskaa oblast_
539,Kurskaa oblast_,Korenevskaa,0,16,5,178,0,0,2,0,170,201,315,35,170,35,0,0,300,4,95,0,Kurskaa oblast_
540,Kurskaa oblast_,Korenevskaa,0,2,4,57,1,0,0,0,54,64,102,10,54,10,0,0,90,0,26,0,Kurskaa oblast_
541,Kurskaa oblast_,Korenevskaa,0,6,2,134,0,0,0,0,132,142,197,10,132,10,0,0,180,0,38,0,Kurskaa oblast_
542,Kurskaa oblast_,Korenevskaa,1,5,13,64,1,0,0,1,66,85,146,21,66,21,0,0,130,2,43,0,Kurskaa oblast_
543,Kurskaa oblast_,Korenevskaa,1,31,25,227,3,1,1,0,248,289,444,42,248,42,0,0,400,1,110,0,Kurskaa oblast_
544,Kurskaa oblast_,Korenevskaa,4,62,67,511,5,2,2,4,600,657,883,69,600,69,0,0,800,12,131,0,Kurskaa oblast_
545,Kurskaa oblast_,Korenevskaa,2,48,78,493,2,2,5,2,570,632,914,74,570,74,0,0,850,12,206,0,Kurskaa oblast_
546,Kurskaa oblast_,Korenevskaa,1,11,24,128,1,1,0,2,159,168,214,10,159,10,0,0,200,1,31,0,Kurskaa oblast_
547,Kurskaa oblast_,Korenevskaa,3,16,7,143,0,3,0,0,131,172,206,41,131,41,0,0,200,0,28,0,Kurskaa oblast_
548,Kurskaa oblast_,Korenevskaa,0,12,16,268,3,1,0,0,263,300,429,40,263,40,0,0,400,3,97,0,Kurskaa oblast_
549,Kurskaa oblast_,Korenevskaa,1,21,25,316,2,0,0,0,297,365,633,70,297,70,0,0,550,2,183,0,Kurskaa oblast_
550,Kurskaa oblast_,Korenevskaa,2,19,24,333,1,2,1,1,341,383,602,43,341,43,0,0,550,1,166,0,Kurskaa oblast_
551,Kurskaa oblast_,Korenevskaa,3,19,10,217,1,1,1,0,214,252,372,40,214,40,0,0,350,2,96,0,Kurskaa oblast_
552,Kurskaa oblast_,Korenevskaa,0,41,24,364,0,7,0,0,316,436,620,121,316,121,0,0,580,1,143,0,Kurskaa oblast_
553,Kurskaa oblast_,Korenevskaa,4,7,14,104,2,0,0,0,100,131,185,34,100,34,0,0,150,3,16,0,Kurskaa oblast_
554,Kurskaa oblast_,Korenevskaa,0,18,29,215,1,1,1,0,238,265,434,31,238,31,0,0,400,4,131,0,Kurskaa oblast_
555,Kurskaa oblast_,Korenevskaa,1,5,10,83,0,0,0,0,84,99,150,15,84,15,0,0,140,0,41,0,Kurskaa oblast_
556,Kurskaa oblast_,Korenevskaa,1,20,22,171,2,2,0,1,179,219,394,43,179,43,0,0,350,3,128,0,Kurskaa oblast_
557,Kurskaa oblast_,Korenevskaa,1,40,35,314,2,0,1,0,338,393,627,57,338,57,0,0,600,2,205,0,Kurskaa oblast_
558,Kurskaa oblast_,Korenevskaa,0,23,10,230,1,2,0,0,243,266,417,24,243,24,0,0,400,1,133,0,Kurskaa oblast_
559,Kurskaa oblast_,Korenevskaa,0,9,7,111,2,0,0,0,112,129,229,17,112,17,0,0,200,0,71,0,Kurskaa oblast_
560,Kurskaa oblast_,Korenevskaa,2,18,29,276,1,2,1,0,254,329,541,82,254,82,0,0,500,7,164,0,Kurskaa oblast_
1,Kurskaa oblast_,Jeleznodorojnaa,8,104,51,896,16,13,9,3,1054,1100,1904,57,1055,57,0,0,1767,11,655,0,Kurskaa oblast_
2,Kurskaa oblast_,Jeleznodorojnaa,5,128,62,845,22,10,4,10,1038,1086,1898,58,1041,58,0,0,1740,10,641,0,Kurskaa oblast_
3,Kurskaa oblast_,Jeleznodorojnaa,7,63,57,624,13,4,1,5,721,774,1383,64,721,64,0,0,1234,11,449,0,Kurskaa oblast_
4,Kurskaa oblast_,Jeleznodorojnaa,13,154,83,1115,19,7,14,9,1395,1414,2463,30,1395,30,0,0,2263,11,838,0,Kurskaa oblast_
5,Kurskaa oblast_,Jeleznodorojnaa,10,92,46,578,15,4,6,4,717,755,1311,44,717,44,0,0,1184,6,423,0,Kurskaa oblast_
6,Kurskaa oblast_,Jeleznodorojnaa,7,51,40,570,9,4,2,4,648,687,1388,47,648,47,0,0,1257,8,562,0,Kurskaa oblast_
7,Kurskaa oblast_,Jeleznodorojnaa,9,173,73,1155,24,11,14,11,1428,1470,2446,52,1428,52,0,0,2237,10,757,0,Kurskaa oblast_
8,Kurskaa oblast_,Jeleznodorojnaa,3,75,40,547,14,4,4,0,660,687,1062,33,660,33,0,0,928,6,235,0,Kurskaa oblast_
9,Kurskaa oblast_,Jeleznodorojnaa,5,121,58,835,13,4,11,8,1031,1055,1793,41,1031,41,0,0,1648,17,576,0,Kurskaa oblast_
10,Kurskaa oblast_,Jeleznodorojnaa,11,130,82,984,11,4,3,3,1172,1228,2139,64,1172,64,0,0,1922,8,686,0,Kurskaa oblast_
11,Kurskaa oblast_,Jeleznodorojnaa,4,123,58,1038,13,4,4,14,1187,1258,2076,79,1187,79,0,0,1857,8,591,0,Kurskaa oblast_
