ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
471,Leningradskaa oblast_,Kingiseppskaa,10,115,69,815,13,9,9,14,1006,1054,1676,54,1006,54,0,0,1600,6,540,0,Leningradskaa oblast_
472,Leningradskaa oblast_,Kingiseppskaa,9,95,59,829,17,12,10,10,1023,1041,1503,31,1024,31,0,0,1400,13,345,0,Leningradskaa oblast_
473,Leningradskaa oblast_,Kingiseppskaa,7,109,67,812,26,5,6,12,1037,1044,1662,20,1038,20,0,0,1400,13,342,0,Leningradskaa oblast_
474,Leningradskaa oblast_,Kingiseppskaa,6,93,58,792,22,5,6,7,948,989,1574,55,950,55,0,0,1400,14,395,0,Leningradskaa oblast_
475,Leningradskaa oblast_,Kingiseppskaa,6,72,67,689,12,4,6,6,814,862,1317,56,814,56,0,0,1100,8,230,0,Leningradskaa oblast_
476,Leningradskaa oblast_,Kingiseppskaa,4,35,14,230,5,0,2,0,276,290,459,14,276,14,0,0,400,0,110,0,Leningradskaa oblast_
477,Leningradskaa oblast_,Kingiseppskaa,3,110,68,926,26,14,20,11,1148,1178,1720,60,1148,60,0,0,1500,30,292,0,Leningradskaa oblast_
478,Leningradskaa oblast_,Kingiseppskaa,6,98,60,904,20,6,7,9,1087,1110,1687,39,1087,39,0,0,1500,16,374,0,Leningradskaa oblast_
479,Leningradskaa oblast_,Kingiseppskaa,8,136,63,980,27,8,15,34,1278,1271,2034,42,1280,42,0,0,2000,49,678,0,Leningradskaa oblast_
480,Leningradskaa oblast_,Kingiseppskaa,7,103,45,869,15,11,7,10,1031,1067,1720,56,1031,56,0,0,1500,20,413,0,Leningradskaa oblast_
481,Leningradskaa oblast_,Kingiseppskaa,10,147,78,917,29,12,13,12,1194,1218,1807,37,1194,37,0,0,1500,13,269,0,Leningradskaa oblast_
482,Leningradskaa oblast_,Kingiseppskaa,5,89,55,856,19,6,6,9,1018,1045,1593,36,1019,36,0,0,1500,9,445,0,Leningradskaa oblast_
