ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Lipezkaa oblast_,Izmalkovskaa,0,34,5,247,1,3,0,0,232,290,329,58,232,58,0,0,300,0,10,0,Lipezkaa oblast_
1002,Lipezkaa oblast_,Izmalkovskaa,1,10,3,120,0,1,0,0,124,135,157,12,124,12,0,0,150,1,14,0,Lipezkaa oblast_
1003,Lipezkaa oblast_,Izmalkovskaa,0,7,8,237,2,2,0,0,194,256,272,62,194,62,0,0,260,0,4,0,Lipezkaa oblast_
1004,Lipezkaa oblast_,Izmalkovskaa,0,4,4,221,0,1,0,0,179,230,245,51,179,51,0,0,230,0,0,0,Lipezkaa oblast_
1005,Lipezkaa oblast_,Izmalkovskaa,0,34,13,161,2,1,0,0,181,211,237,31,181,31,0,0,220,1,8,0,Lipezkaa oblast_
1006,Lipezkaa oblast_,Izmalkovskaa,0,8,2,252,0,0,2,0,225,264,276,42,225,42,0,0,276,3,9,0,Lipezkaa oblast_
1007,Lipezkaa oblast_,Izmalkovskaa,1,3,4,100,1,0,0,0,84,109,120,25,84,25,0,0,120,0,11,0,Lipezkaa oblast_
1008,Lipezkaa oblast_,Izmalkovskaa,0,15,0,334,0,0,0,0,241,349,370,108,241,108,0,0,370,0,21,0,Lipezkaa oblast_
1009,Lipezkaa oblast_,Izmalkovskaa,1,15,11,525,4,1,0,1,491,558,641,98,491,98,0,0,610,31,21,0,Lipezkaa oblast_
1010,Lipezkaa oblast_,Izmalkovskaa,2,19,10,293,1,2,1,0,252,328,353,76,252,76,0,0,330,0,2,0,Lipezkaa oblast_
1011,Lipezkaa oblast_,Izmalkovskaa,0,21,8,227,1,0,1,0,226,258,260,32,226,32,0,0,260,0,2,0,Lipezkaa oblast_
1012,Lipezkaa oblast_,Izmalkovskaa,3,59,16,485,1,5,0,1,483,570,657,96,483,96,0,0,657,9,78,0,Lipezkaa oblast_
1013,Lipezkaa oblast_,Izmalkovskaa,2,31,18,361,0,1,0,0,317,413,465,99,317,99,0,0,440,3,24,0,Lipezkaa oblast_
1014,Lipezkaa oblast_,Izmalkovskaa,0,8,5,206,1,0,0,0,133,220,241,88,133,88,0,0,230,1,9,0,Lipezkaa oblast_
1015,Lipezkaa oblast_,Izmalkovskaa,0,5,2,115,0,1,0,0,115,123,131,9,115,9,0,0,131,1,7,0,Lipezkaa oblast_
1016,Lipezkaa oblast_,Izmalkovskaa,0,6,3,147,0,0,0,0,128,156,156,28,128,28,0,0,156,0,0,0,Lipezkaa oblast_
1017,Lipezkaa oblast_,Izmalkovskaa,1,20,2,224,0,0,2,0,194,249,268,56,194,56,0,0,260,1,10,0,Lipezkaa oblast_
1018,Lipezkaa oblast_,Izmalkovskaa,0,2,12,467,0,0,0,0,434,481,495,47,434,47,0,0,495,0,14,0,Lipezkaa oblast_
1019,Lipezkaa oblast_,Izmalkovskaa,0,7,0,102,0,2,0,0,95,111,115,16,95,16,0,0,115,0,4,0,Lipezkaa oblast_
1020,Lipezkaa oblast_,Izmalkovskaa,4,39,23,634,6,10,2,3,672,721,801,54,672,54,0,0,801,5,75,0,Lipezkaa oblast_
1021,Lipezkaa oblast_,Izmalkovskaa,1,15,4,512,0,2,1,0,478,535,565,58,479,58,0,0,565,1,28,0,Lipezkaa oblast_
1022,Lipezkaa oblast_,Izmalkovskaa,0,2,2,188,0,0,0,0,137,192,195,55,137,55,0,0,195,0,3,0,Lipezkaa oblast_
1023,Lipezkaa oblast_,Izmalkovskaa,1,9,5,296,0,0,0,0,262,311,334,49,262,49,0,0,320,0,9,0,Lipezkaa oblast_
1024,Lipezkaa oblast_,Izmalkovskaa,1,9,7,268,6,1,0,0,230,292,320,63,230,63,0,0,310,1,17,0,Lipezkaa oblast_
1025,Lipezkaa oblast_,Izmalkovskaa,0,7,5,74,0,0,0,0,75,86,91,11,75,11,0,0,90,0,4,0,Lipezkaa oblast_
1026,Lipezkaa oblast_,Izmalkovskaa,0,4,2,128,0,0,0,0,103,134,146,31,103,31,0,0,146,0,12,0,Lipezkaa oblast_
1027,Lipezkaa oblast_,Izmalkovskaa,4,27,14,372,2,1,1,0,346,421,476,83,346,83,0,0,430,8,1,0,Lipezkaa oblast_
