ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Magadanskaa oblast_,Magadanskaa,14,311,115,1393,38,10,12,24,1911,1917,2606,35,1911,35,0,0,2349,29,403,0,Magadanskaa oblast_
2,Magadanskaa oblast_,Magadanskaa,15,308,120,1341,43,9,22,16,1835,1874,2800,66,1836,66,0,0,2708,27,806,0,Magadanskaa oblast_
3,Magadanskaa oblast_,Magadanskaa,8,252,97,1163,23,9,15,16,1565,1583,2241,35,1565,35,0,0,2272,17,672,0,Magadanskaa oblast_
4,Magadanskaa oblast_,Magadanskaa,7,243,115,1125,21,9,13,16,1524,1549,2477,46,1526,46,0,0,2627,21,1055,0,Magadanskaa oblast_
5,Magadanskaa oblast_,Magadanskaa,5,101,53,664,16,7,14,5,854,865,1206,20,854,20,0,0,1154,9,280,0,Magadanskaa oblast_
6,Magadanskaa oblast_,Magadanskaa,1,54,39,273,3,2,2,2,374,376,702,9,374,9,0,0,670,7,287,0,Magadanskaa oblast_
7,Magadanskaa oblast_,Magadanskaa,1,76,42,323,7,4,3,0,398,456,786,64,398,64,0,0,750,6,288,0,Magadanskaa oblast_
8,Magadanskaa oblast_,Magadanskaa,21,257,93,1263,44,9,12,25,1703,1724,2502,38,1703,38,0,0,2445,17,704,0,Magadanskaa oblast_
9,Magadanskaa oblast_,Magadanskaa,8,238,94,1143,33,8,7,17,1534,1548,2326,35,1534,35,0,0,2400,21,831,0,Magadanskaa oblast_
10,Magadanskaa oblast_,Magadanskaa,4,238,104,1112,33,6,11,10,1486,1518,2271,54,1486,54,0,0,2362,22,822,0,Magadanskaa oblast_
11,Magadanskaa oblast_,Magadanskaa,8,260,113,1298,25,5,13,17,1727,1739,2398,37,1730,37,0,0,2502,25,735,0,Magadanskaa oblast_
12,Magadanskaa oblast_,Magadanskaa,10,263,139,1286,37,12,14,17,1757,1778,2733,43,1757,43,0,0,2658,22,858,0,Magadanskaa oblast_
13,Magadanskaa oblast_,Magadanskaa,8,333,118,1420,26,9,18,19,1935,1951,2665,34,1936,35,0,0,2657,18,686,0,Magadanskaa oblast_
14,Magadanskaa oblast_,Magadanskaa,3,114,46,461,13,8,7,2,655,654,1048,7,656,7,0,0,1032,8,369,0,Magadanskaa oblast_
15,Magadanskaa oblast_,Magadanskaa,8,204,79,801,19,9,12,10,1131,1142,1633,24,1131,24,0,0,1635,13,480,0,Magadanskaa oblast_
16,Magadanskaa oblast_,Magadanskaa,13,243,119,1080,17,10,9,9,1474,1500,2209,36,1474,36,0,0,2302,10,792,0,Magadanskaa oblast_
17,Magadanskaa oblast_,Magadanskaa,6,245,104,1128,24,3,12,7,1466,1529,2114,78,1466,78,0,0,2269,15,725,0,Magadanskaa oblast_
18,Magadanskaa oblast_,Magadanskaa,8,213,143,1259,21,8,19,11,1681,1682,2514,33,1684,33,0,0,2558,32,841,0,Magadanskaa oblast_
19,Magadanskaa oblast_,Magadanskaa,12,269,120,1234,32,5,6,7,1681,1685,2540,32,1681,32,0,0,2688,28,975,0,Magadanskaa oblast_
20,Magadanskaa oblast_,Magadanskaa,10,272,120,1164,20,15,11,18,1614,1630,2297,41,1615,41,0,0,2362,25,706,0,Magadanskaa oblast_
21,Magadanskaa oblast_,Magadanskaa,4,173,87,736,15,6,9,9,1009,1039,1582,40,1009,40,0,0,1570,10,521,0,Magadanskaa oblast_
22,Magadanskaa oblast_,Magadanskaa,4,60,38,317,2,1,3,5,412,430,787,24,412,24,0,0,800,6,364,0,Magadanskaa oblast_
23,Magadanskaa oblast_,Magadanskaa,8,238,149,1259,34,17,10,6,1717,1721,2590,34,1717,34,0,0,2568,30,817,0,Magadanskaa oblast_
24,Magadanskaa oblast_,Magadanskaa,9,293,126,1155,27,11,8,12,1629,1641,2465,33,1630,33,0,0,2488,21,825,0,Magadanskaa oblast_
25,Magadanskaa oblast_,Magadanskaa,3,175,106,887,18,8,8,10,1210,1215,1895,26,1210,26,0,0,2000,21,764,0,Magadanskaa oblast_
26,Magadanskaa oblast_,Magadanskaa,2,46,26,227,2,1,1,3,306,308,604,6,306,6,0,0,600,4,288,0,Magadanskaa oblast_
27,Magadanskaa oblast_,Magadanskaa,1,229,100,875,8,5,7,3,1206,1228,1901,38,1206,38,0,0,1924,16,680,0,Magadanskaa oblast_
28,Magadanskaa oblast_,Magadanskaa,15,281,137,1274,26,9,8,14,1759,1764,2579,33,1761,33,0,0,2719,28,925,0,Magadanskaa oblast_
