ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
379,Moskovskaa oblast_,gorodskaa,5,102,40,563,10,3,8,8,726,739,1246,18,726,18,0,0,1100,5,356,0,Moskovskaa oblast_
380,Moskovskaa oblast_,gorodskaa,6,121,37,614,5,2,5,5,773,795,1415,27,773,27,0,0,1100,5,300,0,Moskovskaa oblast_
381,Moskovskaa oblast_,gorodskaa,10,135,42,660,18,7,9,10,858,891,1503,35,858,35,0,0,1150,2,257,0,Moskovskaa oblast_
382,Moskovskaa oblast_,gorodskaa,1,59,22,451,10,5,5,3,543,556,825,17,543,17,0,0,600,4,40,0,Moskovskaa oblast_
383,Moskovskaa oblast_,gorodskaa,9,192,43,712,25,7,10,19,1020,1017,1793,9,1020,9,0,0,1300,12,271,0,Moskovskaa oblast_
384,Moskovskaa oblast_,gorodskaa,3,164,31,668,15,4,8,24,903,917,1610,24,903,24,0,0,1200,10,273,0,Moskovskaa oblast_
385,Moskovskaa oblast_,gorodskaa,5,141,45,630,9,4,9,4,825,847,1360,31,825,31,0,0,1600,9,743,1,Moskovskaa oblast_
386,Moskovskaa oblast_,gorodskaa,7,142,41,691,28,5,6,8,922,928,1547,22,922,22,0,0,1150,16,206,0,Moskovskaa oblast_
387,Moskovskaa oblast_,gorodskaa,6,114,69,683,19,6,5,9,909,911,1464,16,909,16,0,0,1300,14,375,0,Moskovskaa oblast_
388,Moskovskaa oblast_,gorodskaa,8,116,29,592,14,2,2,9,759,772,1387,19,759,19,0,0,1200,6,422,0,Moskovskaa oblast_
389,Moskovskaa oblast_,gorodskaa,7,115,47,542,14,6,8,10,724,749,1208,32,724,32,0,0,950,7,194,0,Moskovskaa oblast_
390,Moskovskaa oblast_,gorodskaa,5,96,26,412,10,4,4,7,534,564,951,37,534,37,0,0,700,7,129,0,Moskovskaa oblast_
391,Moskovskaa oblast_,gorodskaa,9,130,33,678,16,7,9,17,893,899,1501,17,893,17,0,0,1150,11,240,0,Moskovskaa oblast_
392,Moskovskaa oblast_,gorodskaa,7,169,53,751,15,6,11,14,1002,1026,1658,43,1002,43,0,0,1300,19,255,0,Moskovskaa oblast_
393,Moskovskaa oblast_,gorodskaa,4,161,27,633,8,3,6,23,852,865,1486,23,852,23,0,0,1100,10,225,0,Moskovskaa oblast_
394,Moskovskaa oblast_,gorodskaa,5,109,42,509,13,6,5,10,695,699,1094,14,695,14,0,0,900,10,191,0,Moskovskaa oblast_
395,Moskovskaa oblast_,gorodskaa,3,99,41,498,18,8,7,16,670,690,1124,27,670,27,0,0,800,7,103,0,Moskovskaa oblast_
396,Moskovskaa oblast_,gorodskaa,2,106,54,622,14,6,4,4,796,812,1249,29,796,29,0,0,1200,13,375,0,Moskovskaa oblast_
397,Moskovskaa oblast_,gorodskaa,3,94,48,664,12,2,7,4,811,834,1471,32,811,32,0,0,1100,9,257,0,Moskovskaa oblast_
398,Moskovskaa oblast_,gorodskaa,6,94,46,494,8,2,4,7,628,661,1102,40,629,40,0,0,800,7,131,0,Moskovskaa oblast_
399,Moskovskaa oblast_,gorodskaa,7,156,50,689,28,7,9,7,913,953,1547,54,913,54,0,0,1200,14,233,0,Moskovskaa oblast_
400,Moskovskaa oblast_,gorodskaa,6,108,28,539,15,9,4,9,716,718,1115,8,716,8,0,0,800,6,76,0,Moskovskaa oblast_
401,Moskovskaa oblast_,gorodskaa,8,164,44,716,20,4,10,9,962,975,1615,25,962,25,0,0,1400,12,413,0,Moskovskaa oblast_
402,Moskovskaa oblast_,gorodskaa,7,165,49,729,16,5,4,6,979,981,1600,15,979,15,0,0,1350,13,356,0,Moskovskaa oblast_
403,Moskovskaa oblast_,gorodskaa,4,171,31,899,18,3,11,13,1141,1150,1409,16,1141,16,0,0,1300,7,143,0,Moskovskaa oblast_
404,Moskovskaa oblast_,gorodskaa,5,111,39,658,17,3,10,14,858,857,1507,10,858,10,0,0,1250,11,382,0,Moskovskaa oblast_
405,Moskovskaa oblast_,gorodskaa,7,149,59,730,16,3,5,8,940,977,1655,49,940,49,0,0,1300,12,311,0,Moskovskaa oblast_
406,Moskovskaa oblast_,gorodskaa,13,186,36,760,21,1,7,9,1011,1033,1748,28,1014,28,0,0,1300,6,258,0,Moskovskaa oblast_
407,Moskovskaa oblast_,gorodskaa,5,177,59,880,23,5,10,12,1122,1171,1695,55,1122,55,0,0,1400,6,223,0,Moskovskaa oblast_
408,Moskovskaa oblast_,gorodskaa,4,195,49,846,37,12,13,17,1158,1173,1731,21,1158,21,0,0,1450,6,271,0,Moskovskaa oblast_
409,Moskovskaa oblast_,gorodskaa,4,137,28,713,13,6,4,8,903,913,1228,10,903,10,0,0,1000,0,87,0,Moskovskaa oblast_
410,Moskovskaa oblast_,gorodskaa,9,174,35,642,23,7,12,10,905,912,1434,13,905,13,0,0,1100,6,182,0,Moskovskaa oblast_
411,Moskovskaa oblast_,gorodskaa,1,143,28,644,13,4,13,16,850,862,1330,19,850,19,0,0,1100,7,231,0,Moskovskaa oblast_
412,Moskovskaa oblast_,gorodskaa,7,150,22,493,21,3,3,15,718,714,1204,6,718,6,0,0,1000,10,276,0,Moskovskaa oblast_
413,Moskovskaa oblast_,gorodskaa,12,144,46,730,14,4,8,15,939,973,1501,43,939,43,0,0,1300,9,317,1,Moskovskaa oblast_
414,Moskovskaa oblast_,gorodskaa,8,156,46,736,17,6,7,10,958,986,1571,32,958,32,0,0,1250,4,260,0,Moskovskaa oblast_
415,Moskovskaa oblast_,gorodskaa,6,200,63,840,15,3,9,19,1096,1155,1788,70,1096,70,0,0,1350,11,184,0,Moskovskaa oblast_
416,Moskovskaa oblast_,gorodskaa,6,164,39,761,17,12,15,13,1008,1027,1651,25,1010,25,0,0,1400,6,363,2,Moskovskaa oblast_
417,Moskovskaa oblast_,gorodskaa,5,122,43,582,9,6,5,6,719,778,1322,72,719,72,0,0,1000,13,209,0,Moskovskaa oblast_
418,Moskovskaa oblast_,gorodskaa,9,185,62,771,11,8,7,11,994,1064,1689,74,994,74,0,0,1300,4,232,0,Moskovskaa oblast_
419,Moskovskaa oblast_,gorodskaa,4,131,33,640,20,4,6,8,807,846,1327,45,807,45,0,0,1100,6,248,0,Moskovskaa oblast_
420,Moskovskaa oblast_,gorodskaa,10,183,57,827,7,7,9,11,1059,1111,1722,60,1059,60,0,0,1300,8,181,0,Moskovskaa oblast_
421,Moskovskaa oblast_,gorodskaa,8,152,40,807,19,6,9,17,958,1058,1545,109,958,109,0,0,1400,9,333,0,Moskovskaa oblast_
422,Moskovskaa oblast_,gorodskaa,1,110,45,518,4,2,1,5,661,686,982,32,661,32,0,0,800,7,107,0,Moskovskaa oblast_
423,Moskovskaa oblast_,gorodskaa,3,67,27,428,8,1,9,13,549,556,801,15,549,15,0,0,600,8,36,0,Moskovskaa oblast_
424,Moskovskaa oblast_,gorodskaa,7,191,66,846,33,3,6,12,1149,1164,1476,36,1149,36,0,0,1700,21,515,0,Moskovskaa oblast_
