ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Murmanskaa oblast_,Murmanskaa,6,83,69,813,17,7,5,13,1003,1013,1450,17,1003,17,0,0,1600,7,580,0,Murmanskaa oblast_
2,Murmanskaa oblast_,Murmanskaa,8,54,67,539,11,6,4,9,690,698,1170,13,690,13,0,0,1200,5,497,0,Murmanskaa oblast_
3,Murmanskaa oblast_,Murmanskaa,10,111,110,1024,34,4,12,15,1313,1320,2032,23,1314,23,0,0,1750,16,413,0,Murmanskaa oblast_
4,Murmanskaa oblast_,Murmanskaa,1,93,90,1113,28,2,4,10,1347,1341,1511,13,1347,13,0,0,2000,19,640,0,Murmanskaa oblast_
5,Murmanskaa oblast_,Murmanskaa,8,77,76,1002,24,7,5,17,1215,1216,1748,19,1215,19,0,0,1700,18,466,0,Murmanskaa oblast_
6,Murmanskaa oblast_,Murmanskaa,10,111,93,1025,32,9,9,19,1311,1308,2002,18,1311,18,0,0,1850,21,521,0,Murmanskaa oblast_
7,Murmanskaa oblast_,Murmanskaa,8,109,95,987,23,8,9,23,1264,1262,2015,19,1268,19,0,0,1850,21,563,0,Murmanskaa oblast_
8,Murmanskaa oblast_,Murmanskaa,5,97,90,938,30,3,15,20,1200,1198,1862,9,1201,9,0,0,1750,11,540,0,Murmanskaa oblast_
9,Murmanskaa oblast_,Murmanskaa,5,107,77,969,24,5,14,19,1214,1220,1857,21,1214,21,0,0,1750,15,515,0,Murmanskaa oblast_
10,Murmanskaa oblast_,Murmanskaa,5,73,75,832,19,8,8,6,1014,1026,1589,20,1014,20,0,0,1500,8,466,0,Murmanskaa oblast_
11,Murmanskaa oblast_,Murmanskaa,4,59,67,656,15,8,10,9,826,828,1422,14,826,14,0,0,1300,12,460,0,Murmanskaa oblast_
12,Murmanskaa oblast_,Murmanskaa,5,64,78,943,20,6,13,13,1134,1142,1876,19,1134,19,0,0,1750,11,597,0,Murmanskaa oblast_
13,Murmanskaa oblast_,Murmanskaa,10,89,75,908,22,5,6,13,1120,1128,1829,17,1120,17,0,0,1700,9,563,0,Murmanskaa oblast_
14,Murmanskaa oblast_,Murmanskaa,7,70,76,804,22,7,9,9,984,1004,1836,34,984,34,0,0,1700,14,682,0,Murmanskaa oblast_
15,Murmanskaa oblast_,Murmanskaa,10,68,80,934,26,8,8,12,1125,1146,1911,33,1125,33,0,0,1900,12,742,0,Murmanskaa oblast_
16,Murmanskaa oblast_,Murmanskaa,13,92,91,808,18,9,16,19,1048,1066,1894,29,1050,29,0,0,1800,11,721,0,Murmanskaa oblast_
17,Murmanskaa oblast_,Murmanskaa,13,109,71,973,28,6,12,12,1219,1224,1750,16,1219,16,0,0,1750,11,515,0,Murmanskaa oblast_
18,Murmanskaa oblast_,Murmanskaa,12,89,97,915,37,7,8,18,1184,1183,1929,21,1184,21,0,0,1800,22,595,0,Murmanskaa oblast_
19,Murmanskaa oblast_,Murmanskaa,9,74,80,765,28,5,10,16,980,987,1755,17,980,17,0,0,1650,10,653,0,Murmanskaa oblast_
20,Murmanskaa oblast_,Murmanskaa,11,67,44,680,18,7,13,11,839,851,1404,24,839,24,0,0,1350,12,487,0,Murmanskaa oblast_
21,Murmanskaa oblast_,Murmanskaa,10,94,87,1041,33,8,13,18,1290,1304,2124,30,1290,30,0,0,2000,16,680,0,Murmanskaa oblast_
22,Murmanskaa oblast_,Murmanskaa,7,73,69,853,33,11,4,15,1049,1065,1874,30,1049,30,0,0,1750,14,671,0,Murmanskaa oblast_
23,Murmanskaa oblast_,Murmanskaa,12,95,86,935,28,11,10,11,1185,1188,2000,26,1185,26,0,0,1850,23,639,0,Murmanskaa oblast_
24,Murmanskaa oblast_,Murmanskaa,11,106,90,1041,37,7,9,17,1305,1318,1862,26,1305,26,0,0,1900,13,569,0,Murmanskaa oblast_
25,Murmanskaa oblast_,Murmanskaa,12,127,93,1055,22,10,19,15,1346,1353,2202,26,1346,26,0,0,1900,19,528,0,Murmanskaa oblast_
26,Murmanskaa oblast_,Murmanskaa,12,85,89,980,37,11,13,16,1246,1243,1927,21,1246,21,0,0,1900,24,633,0,Murmanskaa oblast_
27,Murmanskaa oblast_,Murmanskaa,10,62,70,809,25,8,12,8,986,1004,1694,33,987,33,0,0,1550,15,530,0,Murmanskaa oblast_
28,Murmanskaa oblast_,Murmanskaa,10,93,87,1013,19,10,16,17,1246,1265,1990,40,1246,40,0,0,1900,21,614,0,Murmanskaa oblast_
29,Murmanskaa oblast_,Murmanskaa,10,84,81,771,24,4,7,8,970,989,1628,26,970,26,0,0,1650,7,654,0,Murmanskaa oblast_
30,Murmanskaa oblast_,Murmanskaa,8,80,84,853,19,6,7,11,1061,1068,1848,22,1061,22,0,0,1750,15,667,0,Murmanskaa oblast_
31,Murmanskaa oblast_,Murmanskaa,8,46,58,538,26,5,5,9,673,695,1501,28,674,28,0,0,1400,6,698,0,Murmanskaa oblast_
32,Murmanskaa oblast_,Murmanskaa,6,65,71,714,31,1,11,9,894,908,1588,26,894,26,0,0,1600,12,680,0,Murmanskaa oblast_
33,Murmanskaa oblast_,Murmanskaa,7,54,65,602,17,6,3,6,749,760,1551,18,749,18,0,0,1450,7,683,0,Murmanskaa oblast_
34,Murmanskaa oblast_,Murmanskaa,8,51,72,666,19,5,6,6,817,833,1551,23,817,23,0,0,1450,7,610,0,Murmanskaa oblast_
35,Murmanskaa oblast_,Murmanskaa,5,75,52,710,20,8,7,9,863,886,1348,31,863,31,0,0,1400,8,506,0,Murmanskaa oblast_
36,Murmanskaa oblast_,Murmanskaa,5,76,57,577,13,4,6,9,738,747,1244,13,738,13,0,0,1100,4,349,0,Murmanskaa oblast_
37,Murmanskaa oblast_,Murmanskaa,1,58,40,833,9,3,4,1,956,949,1579,3,956,3,0,0,1550,10,591,0,Murmanskaa oblast_
38,Murmanskaa oblast_,Murmanskaa,16,108,54,729,41,5,16,22,984,991,1642,23,984,23,0,0,1600,16,593,0,Murmanskaa oblast_
39,Murmanskaa oblast_,Murmanskaa,6,98,66,800,33,5,14,24,1040,1046,1632,19,1040,19,0,0,1550,13,491,0,Murmanskaa oblast_
41,Murmanskaa oblast_,Murmanskaa,12,99,58,618,26,8,7,11,827,839,1415,16,827,16,0,0,1350,4,507,0,Murmanskaa oblast_
42,Murmanskaa oblast_,Murmanskaa,7,157,83,923,63,8,15,14,1258,1270,1870,20,1258,20,0,0,1750,8,472,0,Murmanskaa oblast_
43,Murmanskaa oblast_,Murmanskaa,7,98,33,615,28,4,14,22,808,821,1287,18,808,18,0,0,1150,5,324,0,Murmanskaa oblast_
44,Murmanskaa oblast_,Murmanskaa,7,98,53,566,37,8,18,25,810,812,1176,11,811,11,0,0,1200,9,378,0,Murmanskaa oblast_
45,Murmanskaa oblast_,Murmanskaa,13,153,82,1117,64,9,17,41,1514,1496,1862,5,1514,5,0,0,1700,23,180,1,Murmanskaa oblast_
46,Murmanskaa oblast_,Murmanskaa,10,96,57,694,43,3,12,24,916,939,1463,31,917,31,0,0,1300,8,352,0,Murmanskaa oblast_
47,Murmanskaa oblast_,Murmanskaa,14,100,48,783,55,3,18,27,1043,1048,1575,23,1043,23,0,0,1450,18,384,0,Murmanskaa oblast_
48,Murmanskaa oblast_,Murmanskaa,8,94,49,765,42,6,11,20,989,995,1518,26,989,26,0,0,1350,20,335,0,Murmanskaa oblast_
49,Murmanskaa oblast_,Murmanskaa,12,128,71,926,54,10,17,33,1237,1251,1828,25,1237,25,0,0,1750,11,488,0,Murmanskaa oblast_
