ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
41,Nenezkij avtonomnyj,Nar_an-Marskaa,3,71,45,364,7,2,2,1,482,495,906,17,482,17,0,0,700,4,201,0,Nenezkij avtonomnyj
42,Nenezkij avtonomnyj,Nar_an-Marskaa,4,106,54,451,6,2,2,3,617,628,1079,13,617,13,0,0,800,2,170,0,Nenezkij avtonomnyj
43,Nenezkij avtonomnyj,Nar_an-Marskaa,11,183,93,802,9,4,9,5,1091,1116,1960,31,1092,31,0,0,1500,6,377,0,Nenezkij avtonomnyj
44,Nenezkij avtonomnyj,Nar_an-Marskaa,4,82,44,380,4,5,6,6,529,531,928,5,529,5,0,0,750,3,216,0,Nenezkij avtonomnyj
45,Nenezkij avtonomnyj,Nar_an-Marskaa,12,221,148,976,31,8,3,11,1317,1410,2446,111,1317,111,0,0,1850,18,422,0,Nenezkij avtonomnyj
46,Nenezkij avtonomnyj,Nar_an-Marskaa,5,82,50,453,10,3,8,3,611,614,829,7,611,7,0,0,1100,4,482,0,Nenezkij avtonomnyj
47,Nenezkij avtonomnyj,Nar_an-Marskaa,9,192,108,1058,25,5,10,11,1400,1418,2461,31,1400,31,0,0,2200,13,769,0,Nenezkij avtonomnyj
48,Nenezkij avtonomnyj,Nar_an-Marskaa,15,191,80,940,33,11,15,10,1284,1295,1975,20,1284,20,0,0,1900,9,596,0,Nenezkij avtonomnyj
49,Nenezkij avtonomnyj,Nar_an-Marskaa,13,193,106,856,25,10,6,7,1201,1216,2178,25,1201,25,0,0,1700,10,474,0,Nenezkij avtonomnyj
50,Nenezkij avtonomnyj,Nar_an-Marskaa,8,212,97,875,12,5,10,5,1204,1224,2009,29,1204,29,0,0,1900,9,667,0,Nenezkij avtonomnyj
51,Nenezkij avtonomnyj,Nar_an-Marskaa,5,88,27,322,9,3,3,4,459,461,727,10,459,10,0,0,600,8,131,0,Nenezkij avtonomnyj
