ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
437,Nijegorodskaa oblast_,Vadskaa,4,164,99,1336,15,7,13,7,1534,1645,2209,122,1534,122,0,0,2100,11,444,0,Nijegorodskaa oblast_
438,Nijegorodskaa oblast_,Vadskaa,8,173,117,1046,7,6,10,2,1143,1369,1842,232,1143,232,0,0,1800,6,425,0,Nijegorodskaa oblast_
439,Nijegorodskaa oblast_,Vadskaa,3,166,61,865,9,10,13,13,1029,1140,1518,118,1029,118,0,0,1400,7,253,0,Nijegorodskaa oblast_
440,Nijegorodskaa oblast_,Vadskaa,3,10,146,305,45,4,3,0,523,516,523,0,523,0,0,0,530,7,7,0,Nijegorodskaa oblast_
441,Nijegorodskaa oblast_,Vadskaa,3,34,13,240,1,1,1,3,232,296,321,67,232,67,0,0,310,3,11,0,Nijegorodskaa oblast_
442,Nijegorodskaa oblast_,Vadskaa,3,40,30,322,5,5,2,0,348,407,518,62,348,62,0,0,500,3,90,0,Nijegorodskaa oblast_
443,Nijegorodskaa oblast_,Vadskaa,1,34,11,130,2,3,1,0,148,182,234,37,148,37,0,0,250,3,65,0,Nijegorodskaa oblast_
444,Nijegorodskaa oblast_,Vadskaa,1,25,15,275,1,2,2,2,306,323,356,17,306,17,0,0,360,0,37,0,Nijegorodskaa oblast_
445,Nijegorodskaa oblast_,Vadskaa,0,15,7,160,0,1,1,1,154,185,205,33,154,33,0,0,190,2,3,0,Nijegorodskaa oblast_
446,Nijegorodskaa oblast_,Vadskaa,2,19,19,220,2,4,2,1,224,269,294,46,224,46,0,0,300,1,30,0,Nijegorodskaa oblast_
447,Nijegorodskaa oblast_,Vadskaa,0,19,14,111,0,2,1,0,108,147,174,39,108,39,0,0,150,0,3,0,Nijegorodskaa oblast_
448,Nijegorodskaa oblast_,Vadskaa,3,22,29,305,3,5,2,0,308,369,457,65,308,65,0,0,450,4,77,0,Nijegorodskaa oblast_
449,Nijegorodskaa oblast_,Vadskaa,3,28,33,378,3,3,0,1,403,449,602,50,403,50,0,0,560,4,107,0,Nijegorodskaa oblast_
450,Nijegorodskaa oblast_,Vadskaa,3,20,28,339,5,1,2,2,342,400,447,58,342,58,0,0,430,0,30,0,Nijegorodskaa oblast_
451,Nijegorodskaa oblast_,Vadskaa,1,37,38,351,2,5,2,0,365,436,471,74,365,74,0,0,450,3,11,0,Nijegorodskaa oblast_
452,Nijegorodskaa oblast_,Vadskaa,3,64,30,316,1,0,0,1,365,415,463,53,365,53,0,0,470,3,52,0,Nijegorodskaa oblast_
453,Nijegorodskaa oblast_,Vadskaa,0,25,28,259,0,3,1,0,299,316,348,17,299,17,0,0,330,0,14,0,Nijegorodskaa oblast_
454,Nijegorodskaa oblast_,Vadskaa,0,6,5,79,0,0,0,1,82,91,122,9,82,9,0,0,110,0,19,0,Nijegorodskaa oblast_
460,Nijegorodskaa oblast_,Varnavinskaa,7,125,66,818,12,10,10,2,842,1050,1290,222,842,222,0,0,1300,14,236,0,Nijegorodskaa oblast_
461,Nijegorodskaa oblast_,Varnavinskaa,7,142,102,963,12,7,4,5,1049,1242,1503,205,1049,205,0,0,1550,12,296,0,Nijegorodskaa oblast_
