ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
879,Omskaa oblast_,Krutinskaa,10,176,77,768,11,11,3,1,977,1057,1422,87,977,87,0,0,1400,7,336,0,Omskaa oblast_
880,Omskaa oblast_,Krutinskaa,6,98,46,436,3,4,0,2,504,595,706,97,504,97,0,0,780,6,179,0,Omskaa oblast_
881,Omskaa oblast_,Krutinskaa,4,143,84,606,10,6,2,4,755,859,1170,117,755,117,0,0,1180,13,308,0,Omskaa oblast_
882,Omskaa oblast_,Krutinskaa,9,201,105,767,12,11,4,3,932,1112,1561,201,932,201,0,0,1580,21,447,0,Omskaa oblast_
883,Omskaa oblast_,Krutinskaa,3,64,24,445,4,4,1,2,448,547,628,105,448,105,0,0,615,6,62,0,Omskaa oblast_
886,Omskaa oblast_,Krutinskaa,0,9,15,62,0,0,0,0,80,86,92,7,80,7,0,0,89,1,2,0,Omskaa oblast_
887,Omskaa oblast_,Krutinskaa,0,7,27,91,2,4,0,1,127,132,144,6,127,6,0,0,171,1,38,0,Omskaa oblast_
889,Omskaa oblast_,Krutinskaa,2,72,43,473,3,5,1,0,507,599,612,93,507,93,0,0,660,1,60,0,Omskaa oblast_
890,Omskaa oblast_,Krutinskaa,1,0,4,78,1,0,0,0,76,84,84,8,76,8,0,0,84,0,0,0,Omskaa oblast_
891,Omskaa oblast_,Krutinskaa,0,1,11,107,0,0,0,6,123,125,131,3,123,3,0,0,130,1,4,0,Omskaa oblast_
892,Omskaa oblast_,Krutinskaa,0,2,4,68,2,0,0,0,69,76,76,7,69,7,0,0,80,0,4,0,Omskaa oblast_
893,Omskaa oblast_,Krutinskaa,1,21,9,216,1,0,0,0,171,248,259,80,171,80,0,0,260,3,9,0,Omskaa oblast_
