ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
341,Orenburgskaa oblast_,gorodskaa,0,86,32,393,7,6,2,4,534,530,840,6,534,6,0,0,700,10,160,0,Orenburgskaa oblast_
342,Orenburgskaa oblast_,gorodskaa,8,210,87,912,7,10,5,8,1208,1247,1971,50,1208,50,0,0,1500,11,242,0,Orenburgskaa oblast_
343,Orenburgskaa oblast_,gorodskaa,4,148,56,710,8,1,5,9,925,941,1448,30,925,30,0,0,1100,14,145,0,Orenburgskaa oblast_
344,Orenburgskaa oblast_,gorodskaa,8,168,95,755,14,8,8,3,807,1059,1456,258,807,258,0,0,1200,6,135,0,Orenburgskaa oblast_
345,Orenburgskaa oblast_,gorodskaa,10,201,68,815,8,7,6,6,1097,1121,1712,35,1097,35,0,0,1500,11,368,0,Orenburgskaa oblast_
346,Orenburgskaa oblast_,gorodskaa,1,99,58,376,2,2,2,3,534,543,843,14,534,14,0,0,700,5,152,0,Orenburgskaa oblast_
347,Orenburgskaa oblast_,gorodskaa,8,138,77,740,13,8,3,6,985,993,1450,22,985,22,0,0,1200,14,193,0,Orenburgskaa oblast_
348,Orenburgskaa oblast_,gorodskaa,6,127,56,597,5,5,3,2,780,801,1295,30,780,30,0,0,1000,9,190,0,Orenburgskaa oblast_
349,Orenburgskaa oblast_,gorodskaa,5,145,73,618,9,5,3,3,836,861,1326,35,836,35,0,0,1000,10,129,0,Orenburgskaa oblast_
350,Orenburgskaa oblast_,gorodskaa,4,127,38,432,6,3,9,4,600,623,1008,28,600,28,0,0,1000,5,372,0,Orenburgskaa oblast_
351,Orenburgskaa oblast_,gorodskaa,1,51,26,335,4,5,3,9,416,434,710,21,416,21,0,0,600,3,163,0,Orenburgskaa oblast_
352,Orenburgskaa oblast_,gorodskaa,11,175,80,731,9,8,16,9,1031,1039,1639,16,1031,30,0,0,1200,8,139,0,Orenburgskaa oblast_
353,Orenburgskaa oblast_,gorodskaa,9,140,49,573,3,6,4,4,656,788,1272,146,656,146,0,0,1000,14,198,0,Orenburgskaa oblast_
354,Orenburgskaa oblast_,gorodskaa,0,101,42,339,8,3,0,0,490,493,806,8,490,8,0,0,600,5,102,0,Orenburgskaa oblast_
355,Orenburgskaa oblast_,gorodskaa,3,86,41,500,10,4,3,11,629,658,965,34,629,34,0,0,800,5,137,0,Orenburgskaa oblast_
356,Orenburgskaa oblast_,gorodskaa,8,268,134,1104,18,9,11,11,1498,1563,2473,87,1498,87,0,0,2000,22,415,0,Orenburgskaa oblast_
357,Orenburgskaa oblast_,gorodskaa,9,170,84,741,12,5,9,8,994,1038,1644,56,994,56,0,0,1300,12,250,0,Orenburgskaa oblast_
358,Orenburgskaa oblast_,gorodskaa,8,128,62,652,8,5,3,5,854,871,1300,27,854,27,0,0,1000,10,119,0,Orenburgskaa oblast_
359,Orenburgskaa oblast_,gorodskaa,3,153,79,730,8,9,7,5,976,994,1670,28,976,29,0,0,1500,10,495,0,Orenburgskaa oblast_
360,Orenburgskaa oblast_,gorodskaa,7,113,51,511,10,6,1,3,674,702,1115,37,674,37,0,0,1000,9,289,0,Orenburgskaa oblast_
361,Orenburgskaa oblast_,gorodskaa,3,179,61,620,13,7,4,2,877,889,1375,25,877,25,0,0,1200,13,298,0,Orenburgskaa oblast_
362,Orenburgskaa oblast_,gorodskaa,4,249,105,1042,16,11,13,14,1422,1454,2297,54,1422,54,0,0,2000,22,524,0,Orenburgskaa oblast_
363,Orenburgskaa oblast_,gorodskaa,7,272,85,1167,11,10,11,12,1558,1575,2551,29,1558,29,0,0,2000,12,413,0,Orenburgskaa oblast_
364,Orenburgskaa oblast_,gorodskaa,8,188,62,794,11,13,8,8,1063,1092,1846,45,1063,45,0,0,1500,16,392,0,Orenburgskaa oblast_
365,Orenburgskaa oblast_,gorodskaa,6,190,61,797,16,15,4,4,1077,1093,1577,19,1077,19,0,0,1500,3,404,0,Orenburgskaa oblast_
366,Orenburgskaa oblast_,gorodskaa,7,230,86,813,8,10,7,5,1147,1166,1865,29,1147,29,0,0,1500,10,324,0,Orenburgskaa oblast_
367,Orenburgskaa oblast_,gorodskaa,10,203,109,979,14,5,9,3,1308,1332,2180,35,1308,35,0,0,2000,11,657,0,Orenburgskaa oblast_
368,Orenburgskaa oblast_,gorodskaa,0,45,21,193,3,8,0,1,263,271,482,10,263,10,0,0,400,2,127,0,Orenburgskaa oblast_
369,Orenburgskaa oblast_,gorodskaa,11,205,87,946,7,13,16,5,1252,1290,2005,52,1252,52,0,0,2000,14,696,0,Orenburgskaa oblast_
370,Orenburgskaa oblast_,gorodskaa,0,107,34,469,7,5,7,2,636,631,964,7,636,7,0,0,700,12,57,0,Orenburgskaa oblast_
371,Orenburgskaa oblast_,gorodskaa,6,187,75,822,11,8,5,6,1108,1120,1803,31,1108,31,0,0,1500,19,361,0,Orenburgskaa oblast_
372,Orenburgskaa oblast_,gorodskaa,3,128,62,636,10,4,2,5,812,850,1247,48,812,48,0,0,1000,10,140,0,Orenburgskaa oblast_
373,Orenburgskaa oblast_,gorodskaa,1,138,65,536,5,7,4,4,742,760,1194,24,742,24,0,0,1000,6,234,0,Orenburgskaa oblast_
374,Orenburgskaa oblast_,gorodskaa,4,91,31,403,6,6,5,3,530,549,933,25,530,25,0,0,700,6,145,0,Orenburgskaa oblast_
375,Orenburgskaa oblast_,gorodskaa,9,199,77,976,19,9,8,5,1249,1302,2034,58,1249,58,0,0,1700,5,393,0,Orenburgskaa oblast_
376,Orenburgskaa oblast_,gorodskaa,9,214,92,1110,16,12,10,6,1378,1469,2211,106,1378,106,0,0,1700,15,216,0,Orenburgskaa oblast_
