ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
369,Orlovskaa oblast_,Krasnozorenskaa,5,130,50,719,8,6,6,1,777,925,1382,155,777,155,0,0,1400,7,468,0,Orlovskaa oblast_
370,Orlovskaa oblast_,Krasnozorenskaa,1,34,13,321,1,2,0,0,267,372,401,105,267,105,0,0,410,0,38,0,Orlovskaa oblast_
371,Orlovskaa oblast_,Krasnozorenskaa,1,22,4,252,1,2,0,0,195,282,303,91,195,91,0,0,300,4,14,0,Orlovskaa oblast_
372,Orlovskaa oblast_,Krasnozorenskaa,1,42,24,356,1,7,0,1,381,432,511,59,381,59,0,0,520,8,80,0,Orlovskaa oblast_
373,Orlovskaa oblast_,Krasnozorenskaa,5,44,13,284,1,1,1,0,249,349,426,103,249,103,0,0,430,3,78,0,Orlovskaa oblast_
374,Orlovskaa oblast_,Krasnozorenskaa,1,17,21,224,1,2,0,0,134,266,336,133,135,133,0,0,340,1,72,0,Orlovskaa oblast_
375,Orlovskaa oblast_,Krasnozorenskaa,4,21,19,196,2,3,0,0,161,245,279,84,161,84,0,0,280,0,35,0,Orlovskaa oblast_
376,Orlovskaa oblast_,Krasnozorenskaa,0,17,5,128,1,2,0,1,114,154,181,40,114,40,0,0,185,0,31,0,Orlovskaa oblast_
377,Orlovskaa oblast_,Krasnozorenskaa,0,23,14,147,1,1,0,0,140,186,216,46,140,46,0,0,215,0,29,0,Orlovskaa oblast_
378,Orlovskaa oblast_,Krasnozorenskaa,0,7,9,290,2,0,0,0,254,308,336,54,254,54,0,0,330,0,22,0,Orlovskaa oblast_
379,Orlovskaa oblast_,Krasnozorenskaa,4,52,19,334,5,6,0,2,378,422,462,48,378,48,0,0,470,4,44,0,Orlovskaa oblast_
380,Orlovskaa oblast_,Krasnozorenskaa,2,6,1,138,0,0,0,0,109,147,153,38,109,38,0,0,160,0,13,0,Orlovskaa oblast_
381,Orlovskaa oblast_,Krasnozorenskaa,0,34,12,120,1,0,0,0,112,167,180,55,112,55,0,0,180,0,13,0,Orlovskaa oblast_
382,Orlovskaa oblast_,Krasnozorenskaa,0,9,5,105,0,1,0,0,80,120,143,41,80,41,0,0,140,1,19,0,Orlovskaa oblast_
383,Orlovskaa oblast_,Kromskaa,7,46,35,571,8,7,4,1,463,679,747,221,463,221,0,0,770,5,86,0,Orlovskaa oblast_
384,Orlovskaa oblast_,Kromskaa,5,20,19,352,2,2,1,0,348,401,438,60,348,60,0,0,426,7,18,0,Orlovskaa oblast_
385,Orlovskaa oblast_,Kromskaa,2,9,8,170,3,1,3,0,100,196,247,112,100,112,0,0,272,16,60,0,Orlovskaa oblast_
386,Orlovskaa oblast_,Kromskaa,1,65,21,267,2,4,1,1,315,362,478,48,315,48,0,0,484,1,121,0,Orlovskaa oblast_
387,Orlovskaa oblast_,Kromskaa,2,38,32,318,0,1,1,0,307,392,506,91,307,91,0,0,510,6,112,0,Orlovskaa oblast_
388,Orlovskaa oblast_,Kromskaa,5,116,28,492,4,7,0,0,565,652,1057,94,565,94,0,0,1068,7,409,0,Orlovskaa oblast_
389,Orlovskaa oblast_,Kromskaa,6,87,34,320,1,1,1,0,382,450,543,75,382,75,0,0,553,7,96,0,Orlovskaa oblast_
390,Orlovskaa oblast_,Kromskaa,0,50,31,253,1,0,1,0,240,336,411,99,240,99,0,0,433,3,94,0,Orlovskaa oblast_
391,Orlovskaa oblast_,Kromskaa,7,99,40,503,0,4,2,0,542,655,909,118,542,118,0,0,933,5,273,0,Orlovskaa oblast_
392,Orlovskaa oblast_,Kromskaa,1,45,31,237,2,1,2,0,252,319,454,68,252,68,0,0,463,1,143,0,Orlovskaa oblast_
393,Orlovskaa oblast_,Kromskaa,3,33,31,294,3,1,2,1,330,368,437,44,330,44,0,0,458,6,84,0,Orlovskaa oblast_
394,Orlovskaa oblast_,Kromskaa,0,33,31,343,0,4,0,1,326,412,462,97,326,97,0,0,491,11,68,0,Orlovskaa oblast_
395,Orlovskaa oblast_,Kromskaa,2,16,14,184,0,1,1,0,198,218,249,26,198,26,0,0,248,6,24,0,Orlovskaa oblast_
396,Orlovskaa oblast_,Kromskaa,0,7,4,124,0,3,0,0,113,138,155,32,113,32,0,0,161,7,16,0,Orlovskaa oblast_
397,Orlovskaa oblast_,Kromskaa,0,12,6,92,0,0,0,0,71,110,127,39,71,39,0,0,121,0,11,0,Orlovskaa oblast_
398,Orlovskaa oblast_,Kromskaa,3,15,4,224,1,4,0,0,210,251,282,41,210,41,0,0,285,0,34,0,Orlovskaa oblast_
399,Orlovskaa oblast_,Kromskaa,1,28,12,184,2,1,0,1,191,229,255,38,191,38,0,0,252,0,23,0,Orlovskaa oblast_
400,Orlovskaa oblast_,Kromskaa,0,41,9,207,1,0,1,1,200,260,283,60,200,60,0,0,289,0,29,0,Orlovskaa oblast_
401,Orlovskaa oblast_,Kromskaa,0,36,30,202,4,1,0,0,235,273,315,38,235,38,0,0,331,0,58,0,Orlovskaa oblast_
402,Orlovskaa oblast_,Kromskaa,8,144,53,662,11,5,7,5,799,895,1205,102,799,102,0,0,1215,6,314,0,Orlovskaa oblast_
403,Orlovskaa oblast_,Kromskaa,12,195,110,1270,16,9,5,1,1551,1618,1995,85,1551,85,0,0,2060,18,424,0,Orlovskaa oblast_
404,Orlovskaa oblast_,Kromskaa,7,110,54,490,6,3,1,3,634,674,1016,48,634,48,0,0,1055,8,373,0,Orlovskaa oblast_
405,Orlovskaa oblast_,Kromskaa,5,136,73,1007,13,7,8,5,1198,1254,1550,70,1198,70,0,0,1618,14,350,0,Orlovskaa oblast_
406,Orlovskaa oblast_,Kromskaa,1,16,15,184,1,2,1,1,173,221,269,54,173,54,0,0,269,6,42,0,Orlovskaa oblast_
407,Orlovskaa oblast_,Kromskaa,0,28,17,199,1,6,0,0,179,251,294,76,179,76,0,0,291,4,36,0,Orlovskaa oblast_
408,Orlovskaa oblast_,Kromskaa,1,42,17,276,0,2,0,3,229,341,402,113,229,113,0,0,405,1,63,0,Orlovskaa oblast_
409,Orlovskaa oblast_,Kromskaa,2,36,9,241,0,2,1,2,220,293,324,74,220,74,0,0,331,1,37,0,Orlovskaa oblast_
411,Orlovskaa oblast_,Kromskaa,1,26,15,255,2,0,0,1,289,300,313,12,289,12,0,0,328,1,27,0,Orlovskaa oblast_
412,Orlovskaa oblast_,Kromskaa,0,7,3,120,0,1,0,0,116,131,149,15,116,15,0,0,140,0,9,0,Orlovskaa oblast_
413,Orlovskaa oblast_,Kromskaa,0,18,14,185,3,1,0,1,132,222,266,93,132,93,0,0,270,3,45,0,Orlovskaa oblast_
414,Orlovskaa oblast_,Kromskaa,1,14,13,207,0,2,0,0,188,237,247,49,188,49,0,0,263,0,26,0,Orlovskaa oblast_
