ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
352,Penzenskaa oblast_,Bessonovskaa,0,26,11,246,2,1,0,0,243,286,288,43,243,43,0,0,300,0,14,0,Penzenskaa oblast_
353,Penzenskaa oblast_,Bessonovskaa,2,58,65,794,18,7,9,3,891,956,1057,68,891,68,0,0,1000,3,41,0,Penzenskaa oblast_
354,Penzenskaa oblast_,Bessonovskaa,10,93,87,2073,17,10,5,7,2103,2302,2533,216,2103,216,0,0,2500,17,181,0,Penzenskaa oblast_
355,Penzenskaa oblast_,Bessonovskaa,8,71,56,648,3,5,3,3,710,797,1419,96,710,96,0,0,1400,9,594,0,Penzenskaa oblast_
356,Penzenskaa oblast_,Bessonovskaa,2,50,24,840,7,3,1,2,834,929,1009,98,834,98,0,0,1000,3,68,0,Penzenskaa oblast_
357,Penzenskaa oblast_,Bessonovskaa,7,102,61,1290,11,6,6,4,1358,1487,1606,138,1358,138,0,0,1520,9,24,0,Penzenskaa oblast_
358,Penzenskaa oblast_,Bessonovskaa,9,75,60,934,12,10,8,4,814,1112,1282,305,816,305,0,0,1300,7,179,0,Penzenskaa oblast_
359,Penzenskaa oblast_,Bessonovskaa,5,73,48,618,8,6,7,7,670,772,1509,109,670,109,0,0,1500,7,721,0,Penzenskaa oblast_
360,Penzenskaa oblast_,Bessonovskaa,2,63,46,889,9,7,5,8,846,1029,1237,190,846,190,0,0,1250,7,214,0,Penzenskaa oblast_
361,Penzenskaa oblast_,Bessonovskaa,3,93,98,1090,7,6,3,2,1154,1302,1443,175,1154,175,0,0,1450,27,121,0,Penzenskaa oblast_
362,Penzenskaa oblast_,Bessonovskaa,0,45,25,435,4,3,1,1,450,514,547,70,450,70,0,0,530,6,10,0,Penzenskaa oblast_
363,Penzenskaa oblast_,Bessonovskaa,6,59,43,992,4,5,4,6,1062,1119,1158,70,1062,70,0,0,1150,13,18,0,Penzenskaa oblast_
364,Penzenskaa oblast_,Bessonovskaa,8,46,30,545,5,6,9,5,574,654,731,93,574,93,0,0,750,13,83,0,Penzenskaa oblast_
365,Penzenskaa oblast_,Bessonovskaa,1,26,27,605,2,1,3,2,619,667,677,52,619,52,0,0,700,4,29,0,Penzenskaa oblast_
366,Penzenskaa oblast_,Bessonovskaa,6,42,37,765,3,4,2,6,795,865,892,79,795,79,0,0,920,9,46,0,Penzenskaa oblast_
367,Penzenskaa oblast_,Bessonovskaa,4,49,32,546,2,8,3,5,445,649,801,213,445,213,0,0,800,9,142,0,Penzenskaa oblast_
368,Penzenskaa oblast_,Bessonovskaa,3,39,40,488,2,2,2,1,452,577,903,130,452,130,0,0,910,5,328,0,Penzenskaa oblast_
369,Penzenskaa oblast_,Bessonovskaa,1,34,22,684,9,8,1,1,668,760,774,98,668,98,0,0,770,6,4,0,Penzenskaa oblast_
370,Penzenskaa oblast_,Bessonovskaa,0,10,10,519,6,3,0,3,447,551,562,105,447,105,0,0,580,1,28,0,Penzenskaa oblast_
371,Penzenskaa oblast_,Bessonovskaa,5,69,48,767,8,7,4,2,861,910,1016,74,861,74,0,0,1000,25,65,0,Penzenskaa oblast_
