ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Permskij kraj,Dobranskaa,12,174,112,1364,27,17,13,26,1630,1745,2811,156,1630,156,0,0,2300,41,514,0,Permskij kraj
1002,Permskij kraj,Dobranskaa,8,197,110,1310,39,17,11,27,1655,1719,2652,92,1655,92,0,0,2200,28,453,0,Permskij kraj
1003,Permskij kraj,Dobranskaa,14,190,119,1386,36,5,10,16,1735,1776,2612,67,1735,67,0,0,2200,26,398,0,Permskij kraj
1004,Permskij kraj,Dobranskaa,22,204,93,1289,32,15,14,19,1651,1688,2542,53,1651,53,0,0,2200,16,496,0,Permskij kraj
1005,Permskij kraj,Dobranskaa,16,200,107,1395,32,13,15,18,1702,1796,2695,120,1704,120,0,0,2200,26,376,0,Permskij kraj
1006,Permskij kraj,Dobranskaa,12,219,137,1341,33,18,22,23,1788,1805,2824,60,1788,60,0,0,2300,43,452,0,Permskij kraj
1007,Permskij kraj,Dobranskaa,18,168,104,1261,35,14,4,17,1588,1621,2504,59,1588,59,0,0,2100,26,453,0,Permskij kraj
1008,Permskij kraj,Dobranskaa,7,119,60,674,14,3,10,9,845,896,1419,74,845,74,0,0,1200,23,281,0,Permskij kraj
1009,Permskij kraj,Dobranskaa,2,79,67,639,16,8,3,7,772,821,1385,69,772,69,0,0,1200,20,359,0,Permskij kraj
1010,Permskij kraj,Dobranskaa,1,57,63,609,11,7,3,4,691,755,1285,73,691,73,0,0,1100,9,336,0,Permskij kraj
1011,Permskij kraj,Dobranskaa,10,139,102,1011,17,7,8,8,1232,1302,2094,90,1232,90,0,0,1900,20,578,0,Permskij kraj
1012,Permskij kraj,Dobranskaa,4,39,36,294,6,1,3,5,327,388,685,65,327,65,0,0,600,4,208,0,Permskij kraj
1013,Permskij kraj,Dobranskaa,14,131,66,1007,24,10,13,11,1209,1276,2072,84,1210,84,0,0,1800,17,506,0,Permskij kraj
1014,Permskij kraj,Dobranskaa,14,144,97,1170,26,7,7,11,1441,1476,2293,47,1441,47,0,0,1900,12,412,0,Permskij kraj
1015,Permskij kraj,Dobranskaa,16,219,90,1316,31,12,15,19,1693,1718,2657,41,1693,41,0,0,2200,16,466,0,Permskij kraj
1016,Permskij kraj,Dobranskaa,8,118,57,657,15,9,6,8,836,878,1446,60,837,60,0,0,1200,18,303,0,Permskij kraj
1017,Permskij kraj,Dobranskaa,11,113,42,695,22,6,12,6,847,907,1379,73,847,73,0,0,1050,13,130,0,Permskij kraj
1018,Permskij kraj,Dobranskaa,3,59,60,489,9,4,4,3,595,631,1065,51,595,51,0,0,850,15,204,0,Permskij kraj
1019,Permskij kraj,Dobranskaa,0,4,11,78,3,0,0,3,66,99,124,34,66,34,0,0,150,1,50,0,Permskij kraj
1020,Permskij kraj,Dobranskaa,1,7,12,187,1,0,1,3,156,212,332,60,156,60,0,0,350,4,134,0,Permskij kraj
1021,Permskij kraj,Dobranskaa,0,16,21,340,8,2,1,5,283,393,535,113,283,113,0,0,450,3,54,0,Permskij kraj
1022,Permskij kraj,Dobranskaa,1,21,20,242,6,1,1,1,290,293,426,10,290,10,0,0,410,7,110,0,Permskij kraj
1023,Permskij kraj,Dobranskaa,3,35,40,311,6,2,1,1,369,399,641,36,369,36,0,0,500,6,95,0,Permskij kraj
1024,Permskij kraj,Dobranskaa,4,36,49,437,4,2,3,2,458,537,804,85,458,85,0,0,700,6,157,0,Permskij kraj
1025,Permskij kraj,Dobranskaa,0,3,7,46,1,0,1,0,53,58,89,5,53,5,0,0,80,0,22,0,Permskij kraj
1026,Permskij kraj,Dobranskaa,1,5,6,94,2,0,0,2,98,110,149,12,98,12,0,0,140,0,30,0,Permskij kraj
1027,Permskij kraj,Dobranskaa,0,13,13,276,2,2,0,2,264,308,413,47,264,27,20,0,320,3,9,0,Permskij kraj
1028,Permskij kraj,Dobranskaa,1,6,9,126,2,0,1,0,120,145,183,26,120,26,0,0,150,1,4,0,Permskij kraj
1029,Permskij kraj,Dobranskaa,0,6,11,41,0,0,0,1,40,59,71,19,40,19,0,0,80,0,21,0,Permskij kraj
1030,Permskij kraj,Dobranskaa,0,7,13,78,2,0,1,0,87,101,161,14,87,14,0,0,150,0,49,0,Permskij kraj
1031,Permskij kraj,Dobranskaa,0,4,10,65,1,0,0,0,71,80,117,11,71,11,0,0,110,2,28,0,Permskij kraj
1032,Permskij kraj,Dobranskaa,4,16,19,199,2,3,1,0,225,244,390,20,225,20,0,0,300,1,55,0,Permskij kraj
1033,Permskij kraj,Dobranskaa,1,10,8,79,1,0,0,0,99,99,141,1,99,1,0,0,120,1,20,0,Permskij kraj
1034,Permskij kraj,Dobranskaa,1,5,17,107,0,0,0,1,106,131,204,26,106,26,0,0,150,1,18,0,Permskij kraj
1035,Permskij kraj,Dobranskaa,2,8,8,103,3,1,0,0,122,125,182,6,122,6,0,0,200,3,72,0,Permskij kraj
1036,Permskij kraj,Dobranskaa,3,17,19,162,2,2,0,0,139,205,291,67,139,67,0,0,250,1,44,0,Permskij kraj
1037,Permskij kraj,Dobranskaa,0,21,10,165,1,3,1,0,185,201,270,17,185,17,0,0,240,1,38,0,Permskij kraj
1038,Permskij kraj,Dobranskaa,0,10,16,264,8,2,1,3,276,304,434,32,276,32,0,0,350,4,42,0,Permskij kraj
1039,Permskij kraj,Dobranskaa,9,94,67,741,24,5,4,5,884,949,1523,79,884,79,0,0,1200,14,237,0,Permskij kraj
1040,Permskij kraj,Dobranskaa,3,10,19,104,0,1,0,1,129,138,213,9,129,9,0,0,200,0,62,0,Permskij kraj
1101,Permskij kraj,Elovskaa,0,17,23,218,1,2,1,0,203,262,381,60,203,60,0,0,335,1,72,0,Permskij kraj
1102,Permskij kraj,Elovskaa,1,55,23,272,3,6,0,2,307,362,586,58,307,58,0,0,485,3,120,0,Permskij kraj
1103,Permskij kraj,Elovskaa,3,118,82,474,7,5,3,4,643,696,1204,66,643,66,0,0,1000,13,291,0,Permskij kraj
1104,Permskij kraj,Elovskaa,7,155,57,524,8,4,5,2,684,762,1194,91,684,91,0,0,1020,13,245,0,Permskij kraj
1105,Permskij kraj,Elovskaa,10,158,83,783,11,15,8,9,1013,1077,1718,79,1014,79,0,0,1450,15,357,0,Permskij kraj
1106,Permskij kraj,Elovskaa,1,26,34,93,3,0,0,0,129,157,236,30,129,30,0,0,200,2,41,0,Permskij kraj
1107,Permskij kraj,Elovskaa,2,22,31,188,2,4,0,1,216,250,379,36,216,36,0,0,300,2,48,0,Permskij kraj
1108,Permskij kraj,Elovskaa,1,6,15,149,3,2,0,1,168,177,280,10,168,10,0,0,245,1,67,0,Permskij kraj
1109,Permskij kraj,Elovskaa,1,8,14,121,2,0,0,0,126,146,190,21,126,21,0,0,175,1,28,0,Permskij kraj
1110,Permskij kraj,Elovskaa,3,8,9,102,2,0,1,0,93,125,162,32,93,32,0,0,145,0,20,0,Permskij kraj
1111,Permskij kraj,Elovskaa,1,3,15,82,1,0,2,0,78,104,138,28,78,28,0,0,130,2,24,0,Permskij kraj
1112,Permskij kraj,Elovskaa,1,10,15,155,2,2,0,2,108,187,264,81,108,81,0,0,235,2,46,0,Permskij kraj
