ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Primorskij kraj,gorodskaa,11,170,98,625,7,12,4,9,866,936,1924,90,869,90,0,0,1900,20,941,0,Primorskij kraj
1002,Primorskij kraj,gorodskaa,3,121,49,247,5,0,1,0,422,426,844,14,422,14,0,0,800,10,364,0,Primorskij kraj
1003,Primorskij kraj,gorodskaa,1,163,61,343,9,1,7,2,577,587,1111,21,577,21,0,0,1100,11,502,0,Primorskij kraj
1004,Primorskij kraj,gorodskaa,12,260,73,568,16,9,3,7,930,948,1775,35,930,35,0,0,1800,17,835,0,Primorskij kraj
1005,Primorskij kraj,gorodskaa,13,325,95,625,16,11,7,8,1084,1100,1909,28,1084,28,0,0,1900,12,788,0,Primorskij kraj
1006,Primorskij kraj,gorodskaa,8,262,81,576,13,10,7,7,947,964,1709,33,947,33,0,0,1700,16,720,0,Primorskij kraj
1007,Primorskij kraj,gorodskaa,13,266,61,570,7,8,6,7,918,938,1710,30,918,30,0,0,1700,10,752,0,Primorskij kraj
1008,Primorskij kraj,gorodskaa,5,221,65,482,9,10,9,8,803,809,1601,21,804,21,0,0,1600,15,775,0,Primorskij kraj
1009,Primorskij kraj,gorodskaa,10,248,54,614,12,8,2,7,934,955,1719,34,934,34,0,0,1700,13,732,0,Primorskij kraj
1010,Primorskij kraj,gorodskaa,7,235,70,485,17,9,5,5,817,833,1680,32,817,32,0,0,1700,16,851,0,Primorskij kraj
1011,Primorskij kraj,gorodskaa,12,228,59,500,16,6,7,10,833,838,1753,20,833,20,0,0,1700,15,847,0,Primorskij kraj
1012,Primorskij kraj,gorodskaa,20,283,83,646,20,13,6,11,1072,1082,1828,31,1073,31,0,0,1800,21,696,0,Primorskij kraj
1013,Primorskij kraj,gorodskaa,8,235,60,484,8,6,5,5,794,811,1805,40,794,40,0,0,1850,23,1016,0,Primorskij kraj
1014,Primorskij kraj,gorodskaa,9,218,84,559,14,10,4,7,899,905,1859,28,899,28,0,0,1800,22,873,0,Primorskij kraj
1015,Primorskij kraj,gorodskaa,10,270,74,553,20,12,7,7,944,953,1716,22,944,22,0,0,1750,13,784,0,Primorskij kraj
1016,Primorskij kraj,gorodskaa,10,244,98,494,9,3,5,9,879,872,1655,16,879,16,0,0,1650,23,753,2,Primorskij kraj
1017,Primorskij kraj,gorodskaa,6,256,108,567,12,7,4,1,958,961,1865,23,958,23,0,0,1900,20,919,0,Primorskij kraj
1018,Primorskij kraj,gorodskaa,6,229,82,568,7,4,6,12,895,914,1839,38,895,38,0,0,1850,19,917,0,Primorskij kraj
1019,Primorskij kraj,gorodskaa,15,227,94,556,6,4,8,3,894,913,1821,35,894,35,0,0,1800,16,871,0,Primorskij kraj
1020,Primorskij kraj,gorodskaa,7,138,29,394,4,4,2,1,564,579,1070,24,564,24,0,0,1050,9,462,0,Primorskij kraj
1021,Primorskij kraj,gorodskaa,4,179,63,562,6,13,4,1,808,832,1596,44,808,44,0,0,1600,20,748,0,Primorskij kraj
1022,Primorskij kraj,gorodskaa,3,138,51,421,6,3,5,1,589,628,1127,48,589,48,0,0,1100,9,463,0,Primorskij kraj
1023,Primorskij kraj,gorodskaa,5,89,26,190,4,5,1,2,314,322,599,10,314,10,0,0,550,2,226,0,Primorskij kraj
1024,Primorskij kraj,gorodskaa,2,24,14,121,3,0,1,1,134,166,438,34,134,34,0,0,400,2,232,0,Primorskij kraj
1080,Primorskij kraj,gorodskaa,0,12,13,56,0,0,1,2,32,84,88,53,32,53,0,0,100,1,15,0,Primorskij kraj
1101,Primorskij kraj,gorodskaa,6,204,62,581,10,4,5,8,836,880,1369,62,836,62,0,0,1300,18,402,0,Primorskij kraj
1102,Primorskij kraj,gorodskaa,6,224,60,530,11,5,8,6,816,850,1299,48,816,48,0,0,1350,14,486,0,Primorskij kraj
1103,Primorskij kraj,gorodskaa,4,218,73,636,10,7,6,1,928,955,1352,38,928,38,0,0,1350,11,384,0,Primorskij kraj
1104,Primorskij kraj,gorodskaa,9,226,60,537,9,9,3,4,835,857,1241,31,835,31,0,0,1320,9,454,0,Primorskij kraj
1105,Primorskij kraj,gorodskaa,1,134,44,341,4,11,6,2,543,543,847,14,543,14,0,0,870,14,313,0,Primorskij kraj
1106,Primorskij kraj,gorodskaa,4,227,68,386,9,8,7,5,638,714,1277,86,638,86,0,0,1250,10,526,0,Primorskij kraj
1107,Primorskij kraj,gorodskaa,3,195,61,428,13,10,5,8,707,723,1212,35,707,35,0,0,1250,19,508,0,Primorskij kraj
1108,Primorskij kraj,gorodskaa,7,201,62,422,7,3,4,3,676,709,1097,38,676,38,0,0,1100,5,386,0,Primorskij kraj
1109,Primorskij kraj,gorodskaa,8,173,56,355,2,6,8,1,597,609,1037,22,597,22,0,0,1080,10,461,0,Primorskij kraj
1110,Primorskij kraj,gorodskaa,5,165,72,427,3,5,4,4,658,685,1217,45,658,45,0,0,1260,18,557,0,Primorskij kraj
1111,Primorskij kraj,gorodskaa,5,202,66,455,7,7,6,3,733,751,1328,29,733,29,0,0,1390,11,628,0,Primorskij kraj
1112,Primorskij kraj,gorodskaa,5,171,63,435,11,5,4,1,650,695,1226,61,650,61,0,0,1290,16,579,0,Primorskij kraj
1113,Primorskij kraj,gorodskaa,6,186,65,385,8,6,4,1,628,661,1158,38,629,38,0,0,1200,5,533,0,Primorskij kraj
1114,Primorskij kraj,gorodskaa,4,196,48,374,5,3,4,2,609,636,1042,43,609,43,0,0,1080,16,428,0,Primorskij kraj
1115,Primorskij kraj,gorodskaa,7,218,65,431,5,7,2,2,722,737,1189,31,722,31,0,0,1220,16,467,0,Primorskij kraj
1116,Primorskij kraj,gorodskaa,1,160,53,289,6,4,0,0,505,513,993,23,505,23,0,0,1040,15,512,0,Primorskij kraj
1117,Primorskij kraj,gorodskaa,3,127,69,389,4,7,5,3,577,607,1083,48,577,48,0,0,1130,18,505,0,Primorskij kraj
1118,Primorskij kraj,gorodskaa,2,82,35,234,2,5,2,3,346,365,648,31,346,31,0,0,690,12,313,0,Primorskij kraj
1119,Primorskij kraj,gorodskaa,0,19,16,129,0,0,0,0,154,164,327,15,154,15,0,0,330,5,161,0,Primorskij kraj
1120,Primorskij kraj,gorodskaa,2,20,4,49,0,0,0,0,72,75,114,3,72,3,0,0,110,0,35,0,Primorskij kraj
