ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
610,Pskovskaa oblast_,Nevel_skaa,13,122,45,597,10,4,5,17,750,813,1286,70,750,70,0,0,1300,7,480,0,Pskovskaa oblast_
611,Pskovskaa oblast_,Nevel_skaa,7,81,55,562,7,4,3,3,675,722,1407,56,675,56,0,0,1300,9,569,0,Pskovskaa oblast_
612,Pskovskaa oblast_,Nevel_skaa,5,71,53,598,10,6,3,11,718,757,1287,44,718,44,0,0,1250,5,488,0,Pskovskaa oblast_
613,Pskovskaa oblast_,Nevel_skaa,3,74,66,629,8,8,3,9,690,800,1373,119,690,119,0,0,1300,9,491,0,Pskovskaa oblast_
614,Pskovskaa oblast_,Nevel_skaa,9,102,36,599,8,9,6,8,734,777,1191,51,734,51,0,0,1200,8,415,0,Pskovskaa oblast_
615,Pskovskaa oblast_,Nevel_skaa,2,102,61,583,17,5,2,6,740,778,1180,46,740,46,0,0,1300,8,514,0,Pskovskaa oblast_
616,Pskovskaa oblast_,Nevel_skaa,5,123,55,651,12,5,5,8,838,864,1400,36,838,36,0,0,1300,10,426,0,Pskovskaa oblast_
617,Pskovskaa oblast_,Nevel_skaa,5,90,74,648,8,7,2,7,741,841,1383,110,741,110,0,0,1300,10,449,0,Pskovskaa oblast_
618,Pskovskaa oblast_,Nevel_skaa,7,91,63,578,12,3,4,6,741,764,1151,34,741,34,0,0,1250,11,475,0,Pskovskaa oblast_
619,Pskovskaa oblast_,Nevel_skaa,6,104,40,652,5,6,3,10,786,826,1200,44,786,44,0,0,1200,4,370,0,Pskovskaa oblast_
620,Pskovskaa oblast_,Nevel_skaa,4,22,18,197,0,2,2,1,200,246,336,48,200,48,0,0,350,2,102,0,Pskovskaa oblast_
621,Pskovskaa oblast_,Nevel_skaa,2,26,15,213,2,5,0,0,94,263,330,169,94,169,0,0,350,0,87,0,Pskovskaa oblast_
622,Pskovskaa oblast_,Nevel_skaa,5,67,26,311,3,6,4,8,379,430,575,57,379,57,0,0,520,6,84,0,Pskovskaa oblast_
