ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Razanskaa oblast_,Aleksandro-Nevskaa,3,65,35,318,3,1,2,2,385,429,689,48,385,48,0,0,700,4,267,0,Razanskaa oblast_
2,Razanskaa oblast_,Aleksandro-Nevskaa,3,54,28,345,5,3,3,4,407,445,615,42,407,42,0,0,625,4,176,0,Razanskaa oblast_
3,Razanskaa oblast_,Aleksandro-Nevskaa,2,41,33,270,7,2,4,0,316,359,570,47,316,47,0,0,568,4,205,0,Razanskaa oblast_
4,Razanskaa oblast_,Aleksandro-Nevskaa,0,59,26,374,2,5,4,0,378,470,644,99,378,99,0,0,644,7,167,0,Razanskaa oblast_
5,Razanskaa oblast_,Aleksandro-Nevskaa,3,27,19,330,3,3,2,1,365,388,567,46,365,46,0,0,579,23,168,0,Razanskaa oblast_
6,Razanskaa oblast_,Aleksandro-Nevskaa,6,2,15,323,1,0,2,0,224,349,456,127,224,127,0,0,456,2,105,0,Razanskaa oblast_
7,Razanskaa oblast_,Aleksandro-Nevskaa,2,6,5,306,0,0,0,0,296,319,384,41,296,41,0,0,386,18,49,0,Razanskaa oblast_
8,Razanskaa oblast_,Aleksandro-Nevskaa,0,10,10,212,0,0,0,0,218,232,262,23,218,23,0,0,257,9,16,0,Razanskaa oblast_
9,Razanskaa oblast_,Aleksandro-Nevskaa,0,7,8,391,2,0,1,1,294,410,538,158,294,158,0,0,557,42,105,0,Razanskaa oblast_
10,Razanskaa oblast_,Aleksandro-Nevskaa,1,5,5,168,0,0,0,2,179,181,237,26,179,26,0,0,229,24,24,0,Razanskaa oblast_
11,Razanskaa oblast_,Aleksandro-Nevskaa,0,4,5,105,0,0,0,0,60,114,157,58,60,58,0,0,157,4,39,0,Razanskaa oblast_
12,Razanskaa oblast_,Aleksandro-Nevskaa,0,8,10,322,0,1,0,0,277,341,357,64,277,64,0,0,360,0,19,0,Razanskaa oblast_
13,Razanskaa oblast_,Aleksandro-Nevskaa,1,13,22,377,1,2,0,0,381,416,518,38,381,38,0,0,540,3,121,0,Razanskaa oblast_
14,Razanskaa oblast_,Aleksandro-Nevskaa,2,8,8,241,0,2,1,1,199,263,328,80,199,80,0,0,341,16,62,0,Razanskaa oblast_
15,Razanskaa oblast_,Aleksandro-Nevskaa,0,8,8,257,0,2,0,0,207,275,299,68,207,68,0,0,295,0,20,0,Razanskaa oblast_
16,Razanskaa oblast_,Aleksandro-Nevskaa,1,9,9,299,0,1,0,0,252,319,348,67,252,67,0,0,343,0,24,0,Razanskaa oblast_
17,Razanskaa oblast_,Aleksandro-Nevskaa,0,10,6,217,2,1,0,0,195,236,265,41,195,41,0,0,271,0,35,0,Razanskaa oblast_
18,Razanskaa oblast_,Aleksandro-Nevskaa,1,2,10,216,2,1,1,1,130,234,267,104,130,104,0,0,259,0,25,0,Razanskaa oblast_
19,Razanskaa oblast_,Aleksandro-Nevskaa,1,17,10,391,3,1,0,0,332,423,496,102,332,102,0,0,513,11,79,0,Razanskaa oblast_
20,Razanskaa oblast_,Aleksandro-Nevskaa,0,9,10,174,2,0,0,0,144,195,218,52,144,52,0,0,239,1,43,0,Razanskaa oblast_
21,Razanskaa oblast_,Aleksandro-Nevskaa,1,6,6,261,0,0,0,0,199,274,294,78,199,78,0,0,309,3,32,0,Razanskaa oblast_
22,Razanskaa oblast_,Aleksandro-Nevskaa,0,7,6,158,3,0,0,0,140,174,184,34,140,34,0,0,185,0,11,0,Razanskaa oblast_
290,Razanskaa oblast_,Pitelinskaa,1,37,7,135,2,2,0,0,121,184,213,64,121,64,0,0,190,1,5,0,Razanskaa oblast_
291,Razanskaa oblast_,Pitelinskaa,0,7,8,130,3,0,0,0,129,148,205,23,129,23,0,0,200,4,48,0,Razanskaa oblast_
292,Razanskaa oblast_,Pitelinskaa,2,26,13,136,0,0,0,0,130,177,232,47,130,47,0,0,230,0,53,0,Razanskaa oblast_
293,Razanskaa oblast_,Pitelinskaa,3,47,33,293,1,2,1,0,334,380,520,51,334,51,0,0,500,5,115,0,Razanskaa oblast_
294,Razanskaa oblast_,Pitelinskaa,0,3,7,70,0,0,0,0,57,80,105,23,57,23,0,0,100,0,20,0,Razanskaa oblast_
295,Razanskaa oblast_,Pitelinskaa,0,3,5,49,0,3,0,0,45,60,75,15,45,15,0,0,70,0,10,0,Razanskaa oblast_
296,Razanskaa oblast_,Pitelinskaa,0,18,6,72,1,1,0,0,81,98,133,17,81,17,0,0,120,0,22,0,Razanskaa oblast_
297,Razanskaa oblast_,Pitelinskaa,1,6,10,76,0,0,2,0,82,95,134,13,82,13,0,0,130,0,35,0,Razanskaa oblast_
298,Razanskaa oblast_,Pitelinskaa,0,16,8,62,0,0,0,0,74,86,109,12,74,12,0,0,90,0,4,0,Razanskaa oblast_
299,Razanskaa oblast_,Pitelinskaa,2,21,15,151,2,7,1,1,171,200,304,30,171,30,0,0,290,1,89,0,Razanskaa oblast_
300,Razanskaa oblast_,Pitelinskaa,2,31,18,189,1,0,2,0,174,243,348,70,174,70,0,0,310,1,66,0,Razanskaa oblast_
301,Razanskaa oblast_,Pitelinskaa,1,4,9,109,0,0,0,1,79,124,150,45,79,45,0,0,130,0,6,0,Razanskaa oblast_
302,Razanskaa oblast_,Pitelinskaa,0,7,11,81,0,0,0,1,84,100,133,17,84,17,0,0,120,1,19,0,Razanskaa oblast_
303,Razanskaa oblast_,Pitelinskaa,0,107,30,379,8,3,3,2,472,532,756,60,472,60,0,0,700,0,168,0,Razanskaa oblast_
304,Razanskaa oblast_,Pitelinskaa,2,42,21,287,4,0,0,2,314,358,516,47,314,47,0,0,470,3,109,0,Razanskaa oblast_
305,Razanskaa oblast_,Pitelinskaa,3,73,31,221,5,3,0,3,297,339,487,45,297,45,0,0,450,3,108,0,Razanskaa oblast_
306,Razanskaa oblast_,Pronskaa,3,35,33,423,3,1,4,0,416,502,546,88,416,88,0,0,540,2,36,0,Razanskaa oblast_
307,Razanskaa oblast_,Pronskaa,1,16,14,237,1,2,0,0,239,271,345,34,239,34,0,0,350,2,77,0,Razanskaa oblast_
308,Razanskaa oblast_,Pronskaa,0,51,38,418,5,2,0,0,488,514,692,34,488,34,0,0,700,8,178,0,Razanskaa oblast_
309,Razanskaa oblast_,Pronskaa,0,20,13,61,0,1,1,0,71,96,131,26,71,26,0,0,120,1,23,0,Razanskaa oblast_
310,Razanskaa oblast_,Pronskaa,2,13,14,171,1,2,0,0,160,203,287,46,160,46,0,0,280,3,74,0,Razanskaa oblast_
311,Razanskaa oblast_,Pronskaa,0,5,4,62,1,0,0,0,53,72,90,19,53,19,0,0,90,0,18,0,Razanskaa oblast_
312,Razanskaa oblast_,Pronskaa,0,19,6,193,0,1,1,0,171,220,312,54,171,54,0,0,300,5,75,0,Razanskaa oblast_
313,Razanskaa oblast_,Pronskaa,0,24,23,261,3,1,1,2,275,315,427,42,275,42,0,0,450,2,133,0,Razanskaa oblast_
314,Razanskaa oblast_,Pronskaa,5,61,36,632,5,1,1,0,677,741,969,75,677,75,0,0,1020,11,268,0,Razanskaa oblast_
315,Razanskaa oblast_,Pronskaa,0,10,9,166,2,1,1,0,154,189,263,38,154,38,0,0,290,3,98,0,Razanskaa oblast_
316,Razanskaa oblast_,Pronskaa,0,14,3,106,2,2,0,1,125,128,200,4,125,4,0,0,220,1,91,0,Razanskaa oblast_
317,Razanskaa oblast_,Pronskaa,0,40,15,367,2,1,1,1,352,427,713,77,352,77,0,0,740,2,311,0,Razanskaa oblast_
318,Razanskaa oblast_,Pronskaa,0,9,3,87,0,1,1,2,94,103,170,13,94,13,0,0,160,4,53,0,Razanskaa oblast_
319,Razanskaa oblast_,Pronskaa,0,42,13,165,2,1,0,0,205,223,417,20,205,20,0,0,430,2,205,0,Razanskaa oblast_
320,Razanskaa oblast_,Pronskaa,1,38,17,239,1,3,0,2,272,301,455,35,272,35,0,0,480,6,173,0,Razanskaa oblast_
321,Razanskaa oblast_,Pronskaa,8,54,21,285,4,1,0,0,345,373,684,32,345,32,0,0,710,4,333,0,Razanskaa oblast_
322,Razanskaa oblast_,Pronskaa,2,26,12,172,0,1,1,0,189,214,346,29,189,29,0,0,360,4,142,0,Razanskaa oblast_
323,Razanskaa oblast_,Pronskaa,1,11,7,85,1,0,2,0,84,107,147,23,84,23,0,0,140,0,33,0,Razanskaa oblast_
324,Razanskaa oblast_,Pronskaa,0,3,4,43,0,2,0,0,35,52,100,18,35,18,0,0,100,1,47,0,Razanskaa oblast_
325,Razanskaa oblast_,Pronskaa,1,77,38,392,9,3,3,0,474,523,938,54,474,54,0,0,1020,5,492,0,Razanskaa oblast_
326,Razanskaa oblast_,Pronskaa,4,95,51,494,10,2,2,0,590,658,1247,73,590,73,0,0,1330,5,667,0,Razanskaa oblast_
327,Razanskaa oblast_,Pronskaa,2,101,52,592,5,6,4,1,684,763,1171,86,684,86,0,0,1230,7,460,0,Razanskaa oblast_
328,Razanskaa oblast_,Pronskaa,5,41,33,327,6,1,0,0,370,413,605,52,370,52,0,0,660,9,238,0,Razanskaa oblast_
329,Razanskaa oblast_,Pronskaa,5,143,75,609,12,10,2,3,848,859,1598,31,848,31,0,0,1600,20,721,0,Razanskaa oblast_
330,Razanskaa oblast_,Pronskaa,3,127,68,551,13,12,4,4,762,782,1420,30,762,30,0,0,1370,10,578,0,Razanskaa oblast_
331,Razanskaa oblast_,Pronskaa,6,166,65,643,14,4,7,2,878,907,1434,40,878,40,0,0,1460,11,542,0,Razanskaa oblast_
332,Razanskaa oblast_,Pronskaa,7,172,72,739,12,7,5,5,993,1019,1544,39,993,39,0,0,1550,13,518,0,Razanskaa oblast_
333,Razanskaa oblast_,Pronskaa,7,206,91,778,16,8,4,4,1036,1114,1636,82,1036,82,0,0,1570,4,452,0,Razanskaa oblast_
334,Razanskaa oblast_,Pronskaa,20,283,86,1086,16,18,13,11,1507,1533,2170,37,1507,37,0,0,2140,11,596,0,Razanskaa oblast_
335,Razanskaa oblast_,Pronskaa,13,202,70,714,12,12,4,5,1032,1032,1602,13,1032,13,0,0,1630,13,585,0,Razanskaa oblast_
336,Razanskaa oblast_,Pronskaa,12,175,69,678,11,7,5,7,930,964,1603,49,930,49,0,0,1600,15,621,0,Razanskaa oblast_
337,Razanskaa oblast_,Pronskaa,6,223,76,782,20,8,2,5,1120,1122,1836,16,1120,16,0,0,1870,14,734,0,Razanskaa oblast_
338,Razanskaa oblast_,Putatinskaa,1,16,10,242,0,2,0,0,232,271,332,39,232,39,0,0,327,0,56,0,Razanskaa oblast_
