ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Respublika Adygea,Adygejskaa,0,137,32,1977,14,0,1,5,2107,2166,2256,62,2107,62,0,0,2181,3,12,0,Respublika Adygea
2,Respublika Adygea,Adygejskaa,15,86,65,2389,13,5,6,15,2575,2594,2700,41,2575,41,0,0,2633,22,17,0,Respublika Adygea
3,Respublika Adygea,Adygejskaa,1,62,13,2645,6,3,4,0,2664,2734,2858,75,2664,75,0,0,2752,5,13,0,Respublika Adygea
4,Respublika Adygea,Adygejskaa,5,288,12,1642,21,6,2,2,1857,1978,2066,142,1857,142,0,0,2034,21,35,0,Respublika Adygea
5,Respublika Adygea,Adygejskaa,2,44,6,624,6,0,0,2,676,684,700,11,676,11,0,0,714,3,27,0,Respublika Adygea
6,Respublika Adygea,Adygejskaa,1,38,21,952,2,2,2,1,954,1019,1044,68,954,68,0,0,1036,3,14,0,Respublika Adygea
7,Respublika Adygea,Giaginskaa,9,243,82,1599,18,11,10,0,1792,1972,2474,200,1792,200,0,0,2395,20,403,0,Respublika Adygea
8,Respublika Adygea,Giaginskaa,7,151,69,1388,9,7,2,5,1543,1638,1818,111,1543,111,0,0,1770,16,116,0,Respublika Adygea
9,Respublika Adygea,Giaginskaa,9,284,85,1802,7,17,6,4,2073,2214,2402,173,2073,173,0,0,2318,32,72,0,Respublika Adygea
10,Respublika Adygea,Giaginskaa,12,160,69,1484,10,6,2,3,1640,1746,1772,126,1640,126,0,0,1783,20,17,0,Respublika Adygea
11,Respublika Adygea,Giaginskaa,17,173,57,803,5,6,8,3,966,1072,1604,131,966,131,0,0,1588,25,491,0,Respublika Adygea
12,Respublika Adygea,Giaginskaa,38,107,39,878,16,7,5,6,1008,1096,1243,105,1008,105,0,0,1283,17,170,0,Respublika Adygea
13,Respublika Adygea,Giaginskaa,14,131,83,778,10,20,21,8,944,1065,1217,134,944,134,0,0,1258,13,180,0,Respublika Adygea
14,Respublika Adygea,Giaginskaa,3,111,47,704,1,4,2,3,816,875,943,66,816,66,0,0,892,7,10,0,Respublika Adygea
15,Respublika Adygea,Giaginskaa,1,5,6,118,1,2,0,0,123,133,164,14,123,14,0,0,152,4,15,0,Respublika Adygea
16,Respublika Adygea,Giaginskaa,2,54,30,745,4,3,1,1,780,840,892,66,780,66,0,0,866,6,20,0,Respublika Adygea
17,Respublika Adygea,Giaginskaa,1,17,7,80,0,0,1,0,108,106,123,0,108,0,0,0,120,2,12,0,Respublika Adygea
18,Respublika Adygea,Giaginskaa,0,4,9,40,0,0,1,1,52,55,65,4,52,4,0,0,62,1,6,0,Respublika Adygea
19,Respublika Adygea,Giaginskaa,8,79,39,742,10,9,5,3,852,895,950,57,852,57,0,0,913,14,4,0,Respublika Adygea
20,Respublika Adygea,Giaginskaa,3,82,41,1036,6,1,6,2,1140,1177,1215,45,1140,45,0,0,1190,8,5,0,Respublika Adygea
21,Respublika Adygea,Giaginskaa,5,45,23,641,5,4,2,1,697,726,778,59,697,59,0,0,758,30,2,0,Respublika Adygea
22,Respublika Adygea,Giaginskaa,2,40,24,373,0,1,1,0,409,441,478,33,409,33,0,0,446,1,4,0,Respublika Adygea
23,Respublika Adygea,Giaginskaa,4,73,18,829,4,1,0,0,812,929,1028,126,812,126,0,0,954,9,16,0,Respublika Adygea
24,Respublika Adygea,Giaginskaa,5,76,40,642,1,1,4,0,652,769,950,129,652,129,0,0,879,12,98,0,Respublika Adygea
25,Respublika Adygea,Giaginskaa,1,17,0,118,0,0,0,0,128,136,153,11,128,11,0,0,141,3,2,0,Respublika Adygea
26,Respublika Adygea,Giaginskaa,5,43,31,486,4,4,1,1,523,575,641,63,523,63,0,0,607,11,21,0,Respublika Adygea
27,Respublika Adygea,Giaginskaa,0,11,2,145,1,0,0,0,145,159,178,14,145,14,0,0,162,0,3,0,Respublika Adygea
28,Respublika Adygea,Giaginskaa,14,49,63,407,17,13,7,42,588,612,675,41,588,41,0,0,633,17,4,0,Respublika Adygea
29,Respublika Adygea,Giaginskaa,40,122,50,867,4,4,2,0,1051,1089,1165,49,1051,49,0,0,1115,11,15,0,Respublika Adygea
30,Respublika Adygea,Giaginskaa,1,16,5,84,1,1,0,0,108,108,121,0,108,0,0,0,110,0,2,0,Respublika Adygea
