ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Respublika Altaj,gorodskaa,8,353,72,848,13,8,4,10,1299,1316,2120,35,1299,35,0,0,2000,18,666,0,Respublika Altaj
2,Respublika Altaj,gorodskaa,3,341,74,995,14,7,2,5,1421,1441,2181,33,1421,33,0,0,2000,13,546,0,Respublika Altaj
3,Respublika Altaj,gorodskaa,4,257,69,733,14,3,11,11,1081,1102,1748,30,1081,30,0,0,1700,9,589,0,Respublika Altaj
4,Respublika Altaj,gorodskaa,7,469,102,1098,18,7,9,17,1618,1727,2952,124,1618,124,0,0,2800,15,1058,0,Respublika Altaj
5,Respublika Altaj,gorodskaa,11,356,78,1083,18,9,3,11,1564,1569,2470,15,1564,15,0,0,2200,10,621,0,Respublika Altaj
6,Respublika Altaj,gorodskaa,8,390,70,965,14,6,9,9,1467,1471,2579,14,1467,14,0,0,2600,10,1119,0,Respublika Altaj
7,Respublika Altaj,gorodskaa,7,292,69,858,10,9,6,12,1244,1263,2050,29,1244,29,0,0,2000,10,727,0,Respublika Altaj
8,Respublika Altaj,gorodskaa,4,375,57,954,17,5,5,16,1410,1433,2180,39,1410,39,0,0,2000,16,551,0,Respublika Altaj
9,Respublika Altaj,gorodskaa,7,244,40,596,9,7,4,8,894,915,1372,29,894,29,0,0,1250,8,327,0,Respublika Altaj
10,Respublika Altaj,gorodskaa,7,259,46,684,21,4,2,5,1015,1028,1571,20,1015,20,0,0,1150,7,115,0,Respublika Altaj
11,Respublika Altaj,gorodskaa,3,194,48,710,18,3,7,14,907,997,1435,96,907,96,0,0,1200,6,197,0,Respublika Altaj
12,Respublika Altaj,gorodskaa,6,426,86,1062,25,5,4,20,1607,1634,2570,40,1607,40,0,0,2400,13,753,0,Respublika Altaj
13,Respublika Altaj,gorodskaa,7,292,36,670,17,4,7,17,1024,1050,1554,34,1024,34,0,0,1350,8,292,0,Respublika Altaj
14,Respublika Altaj,gorodskaa,8,365,94,897,21,15,9,13,1405,1422,2464,32,1405,32,0,0,2500,15,1063,0,Respublika Altaj
15,Respublika Altaj,gorodskaa,11,338,60,819,15,7,4,4,1235,1258,1974,33,1235,33,0,0,1800,10,532,0,Respublika Altaj
16,Respublika Altaj,gorodskaa,1,125,52,383,7,4,2,6,562,580,1062,28,562,28,0,0,1100,10,510,0,Respublika Altaj
17,Respublika Altaj,gorodskaa,7,294,96,847,14,2,5,14,1258,1279,2348,33,1258,33,0,0,2400,12,1109,0,Respublika Altaj
18,Respublika Altaj,gorodskaa,3,216,58,522,10,5,2,6,801,822,1457,25,802,25,0,0,1300,4,473,0,Respublika Altaj
19,Respublika Altaj,gorodskaa,7,252,83,754,9,5,5,14,1110,1129,2063,31,1110,31,0,0,2100,12,959,0,Respublika Altaj
20,Respublika Altaj,gorodskaa,5,289,108,667,14,8,5,7,1094,1103,2010,25,1094,25,0,0,2000,16,881,0,Respublika Altaj
21,Respublika Altaj,gorodskaa,10,329,100,798,11,3,9,5,1237,1265,2013,44,1237,44,0,0,2000,16,719,0,Respublika Altaj
22,Respublika Altaj,gorodskaa,4,307,53,684,14,11,6,6,1083,1085,1913,12,1083,12,0,0,1900,10,805,0,Respublika Altaj
23,Respublika Altaj,gorodskaa,3,132,41,483,15,5,2,4,468,685,745,231,468,231,0,0,760,14,61,0,Respublika Altaj
24,Respublika Altaj,Kos-Agacskaa,0,64,7,163,2,3,1,0,228,240,373,15,228,7,8,0,380,3,137,0,Respublika Altaj
25,Respublika Altaj,Kos-Agacskaa,0,47,8,332,7,2,0,0,346,396,569,54,346,21,33,0,640,4,240,0,Respublika Altaj
26,Respublika Altaj,Kos-Agacskaa,1,13,10,226,9,0,2,0,221,261,312,43,221,5,38,0,350,3,86,0,Respublika Altaj
27,Respublika Altaj,Kos-Agacskaa,1,46,2,294,1,3,1,0,280,348,483,68,280,12,56,0,540,0,192,0,Respublika Altaj
28,Respublika Altaj,Kos-Agacskaa,3,83,6,366,5,1,0,1,360,465,659,110,360,17,93,0,700,5,230,0,Respublika Altaj
29,Respublika Altaj,Kos-Agacskaa,3,120,13,499,4,1,7,0,396,647,860,254,396,15,239,0,940,3,290,0,Respublika Altaj
30,Respublika Altaj,Kos-Agacskaa,1,172,18,689,7,0,1,3,864,891,1459,32,864,32,0,0,1600,5,704,0,Respublika Altaj
31,Respublika Altaj,Kos-Agacskaa,3,137,11,551,11,2,0,2,715,717,1407,11,715,11,0,0,1550,9,824,0,Respublika Altaj
32,Respublika Altaj,Kos-Agacskaa,0,94,7,338,4,0,2,0,426,445,683,23,426,23,0,0,650,4,201,0,Respublika Altaj
33,Respublika Altaj,Kos-Agacskaa,3,210,32,797,7,1,3,6,907,1059,1688,161,907,14,147,0,1850,9,782,0,Respublika Altaj
34,Respublika Altaj,Kos-Agacskaa,4,124,15,389,5,1,2,0,537,540,868,9,537,9,0,0,900,6,354,0,Respublika Altaj
35,Respublika Altaj,Kos-Agacskaa,2,46,5,379,6,2,0,0,383,440,516,61,383,20,41,0,550,4,106,0,Respublika Altaj
36,Respublika Altaj,Kos-Agacskaa,5,134,9,416,3,2,1,1,525,571,793,57,525,21,36,0,900,11,318,0,Respublika Altaj
37,Respublika Altaj,Kos-Agacskaa,3,72,3,480,3,0,0,1,492,562,863,71,492,40,31,0,850,1,287,0,Respublika Altaj
38,Respublika Altaj,Kos-Agacskaa,7,30,7,610,5,1,0,2,506,662,737,160,506,19,141,0,800,4,134,0,Respublika Altaj
39,Respublika Altaj,Kos-Agacskaa,0,25,7,173,1,0,1,0,197,207,258,10,197,10,0,0,290,0,83,0,Respublika Altaj
40,Respublika Altaj,Kos-Agacskaa,3,37,5,688,10,2,1,2,592,748,962,168,592,35,133,0,1000,12,240,0,Respublika Altaj
41,Respublika Altaj,Majminskaa,4,192,48,449,4,1,2,6,670,706,1163,45,670,45,0,0,1200,9,485,0,Respublika Altaj
42,Respublika Altaj,Majminskaa,1,131,43,433,7,1,8,7,633,631,964,7,633,7,0,0,900,9,260,0,Respublika Altaj
