ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
754,Respublika Baskortostan,Abzelilovskaa,2,66,14,237,1,2,0,1,312,323,351,11,312,11,0,0,330,0,7,0,Respublika Baskortostan
755,Respublika Baskortostan,Abzelilovskaa,0,77,12,309,2,3,0,2,386,405,451,21,386,21,0,0,430,2,23,0,Respublika Baskortostan
756,Respublika Baskortostan,Abzelilovskaa,0,43,3,48,0,1,0,0,95,95,121,0,95,0,0,0,120,0,25,0,Respublika Baskortostan
757,Respublika Baskortostan,Abzelilovskaa,1,35,15,130,2,2,0,0,175,185,262,11,175,11,0,0,260,1,74,0,Respublika Baskortostan
758,Respublika Baskortostan,Abzelilovskaa,0,12,11,137,2,1,1,0,143,164,197,21,143,21,0,0,180,0,16,0,Respublika Baskortostan
759,Respublika Baskortostan,Abzelilovskaa,4,154,26,540,9,6,6,1,673,746,998,88,673,88,0,0,950,15,189,0,Respublika Baskortostan
760,Respublika Baskortostan,Abzelilovskaa,0,36,6,130,3,1,2,0,172,178,213,9,172,9,0,0,200,3,19,0,Respublika Baskortostan
761,Respublika Baskortostan,Abzelilovskaa,4,147,5,193,11,4,1,0,353,365,460,17,353,17,0,0,450,5,80,0,Respublika Baskortostan
762,Respublika Baskortostan,Abzelilovskaa,2,55,8,236,1,3,2,0,292,307,390,22,292,22,0,0,370,7,56,0,Respublika Baskortostan
763,Respublika Baskortostan,Abzelilovskaa,5,116,21,116,9,0,1,1,263,269,317,10,263,10,0,0,310,4,37,0,Respublika Baskortostan
764,Respublika Baskortostan,Abzelilovskaa,1,120,7,119,4,3,2,1,245,257,321,16,245,16,0,0,300,4,39,0,Respublika Baskortostan
765,Respublika Baskortostan,Abzelilovskaa,8,270,27,901,17,11,9,6,1189,1249,1917,81,1270,81,0,0,1760,21,409,0,Respublika Baskortostan
766,Respublika Baskortostan,Abzelilovskaa,4,237,18,606,12,13,4,3,864,897,1388,43,864,43,0,0,1350,10,443,0,Respublika Baskortostan
767,Respublika Baskortostan,Abzelilovskaa,9,400,56,863,24,12,15,7,1364,1386,2283,38,1364,38,0,0,2150,16,748,0,Respublika Baskortostan
768,Respublika Baskortostan,Abzelilovskaa,1,201,23,511,18,9,6,3,733,772,1113,52,733,52,0,0,1040,13,255,0,Respublika Baskortostan
769,Respublika Baskortostan,Abzelilovskaa,1,41,8,206,1,3,1,0,253,261,283,10,253,10,0,0,280,2,17,0,Respublika Baskortostan
770,Respublika Baskortostan,Abzelilovskaa,7,132,32,740,11,13,1,3,916,939,1136,47,916,47,0,0,1100,24,137,0,Respublika Baskortostan
771,Respublika Baskortostan,Abzelilovskaa,0,32,11,152,3,0,0,0,188,198,215,10,188,10,0,0,210,0,12,0,Respublika Baskortostan
772,Respublika Baskortostan,Abzelilovskaa,2,61,11,126,2,2,0,0,199,204,229,10,199,10,0,0,210,5,1,0,Respublika Baskortostan
773,Respublika Baskortostan,Abzelilovskaa,0,77,6,162,1,3,0,0,244,249,281,9,244,9,0,0,270,4,17,0,Respublika Baskortostan
774,Respublika Baskortostan,Abzelilovskaa,1,56,7,235,2,3,1,1,293,306,330,14,293,14,0,0,320,1,13,0,Respublika Baskortostan
775,Respublika Baskortostan,Abzelilovskaa,0,36,5,121,0,4,1,0,156,167,190,12,156,12,0,0,180,1,12,0,Respublika Baskortostan
776,Respublika Baskortostan,Abzelilovskaa,0,111,9,371,3,2,0,3,470,499,586,38,470,38,0,0,580,9,72,0,Respublika Baskortostan
777,Respublika Baskortostan,Abzelilovskaa,0,57,3,146,4,1,3,0,202,214,240,16,202,16,0,0,230,4,12,0,Respublika Baskortostan
778,Respublika Baskortostan,Abzelilovskaa,2,28,3,66,2,1,0,1,99,103,123,5,99,5,0,0,130,1,26,0,Respublika Baskortostan
779,Respublika Baskortostan,Abzelilovskaa,1,175,29,350,5,4,3,0,544,567,789,29,544,29,0,0,750,6,177,0,Respublika Baskortostan
780,Respublika Baskortostan,Abzelilovskaa,1,64,10,223,8,0,0,0,285,306,384,27,285,27,0,0,370,6,58,0,Respublika Baskortostan
781,Respublika Baskortostan,Abzelilovskaa,0,56,2,124,4,1,0,0,174,187,229,15,174,15,0,0,220,2,31,0,Respublika Baskortostan
782,Respublika Baskortostan,Abzelilovskaa,0,57,4,97,1,3,0,1,154,163,203,10,154,10,0,0,190,1,26,0,Respublika Baskortostan
783,Respublika Baskortostan,Abzelilovskaa,2,133,10,350,8,5,4,3,498,515,756,26,498,26,0,0,720,9,196,0,Respublika Baskortostan
784,Respublika Baskortostan,Abzelilovskaa,1,35,2,197,4,1,0,1,232,241,306,12,232,12,0,0,300,3,56,0,Respublika Baskortostan
785,Respublika Baskortostan,Abzelilovskaa,0,12,5,82,2,3,0,0,94,104,129,14,94,14,0,0,115,4,7,0,Respublika Baskortostan
786,Respublika Baskortostan,Abzelilovskaa,1,29,8,145,3,1,2,1,185,190,225,6,185,6,0,0,210,1,19,0,Respublika Baskortostan
787,Respublika Baskortostan,Abzelilovskaa,0,7,0,66,0,4,0,2,80,79,89,1,80,1,0,0,90,2,9,0,Respublika Baskortostan
788,Respublika Baskortostan,Abzelilovskaa,3,43,17,257,7,1,3,2,337,333,451,15,337,15,0,0,430,19,78,0,Respublika Baskortostan
789,Respublika Baskortostan,Abzelilovskaa,5,216,74,779,18,10,12,7,1118,1121,1637,39,1118,39,0,0,1500,36,343,0,Respublika Baskortostan
790,Respublika Baskortostan,Abzelilovskaa,2,39,14,309,6,0,0,0,360,370,446,19,360,19,0,0,420,9,41,0,Respublika Baskortostan
791,Respublika Baskortostan,Abzelilovskaa,0,90,18,285,13,2,2,5,390,415,498,28,390,28,0,0,450,3,32,0,Respublika Baskortostan
792,Respublika Baskortostan,Abzelilovskaa,0,8,12,83,0,3,0,0,104,106,113,3,104,3,0,0,110,1,3,0,Respublika Baskortostan
793,Respublika Baskortostan,Abzelilovskaa,0,4,4,71,1,0,0,0,78,80,86,2,78,2,0,0,80,0,0,0,Respublika Baskortostan
794,Respublika Baskortostan,Abzelilovskaa,3,128,13,586,10,5,3,3,726,751,810,35,726,35,0,0,780,10,19,0,Respublika Baskortostan
