ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
273,Respublika Dagestan,Gergebil_skaa,7,78,0,1920,0,0,8,15,2018,2028,2165,10,2018,10,0,0,2194,0,166,0,Respublika Dagestan
274,Respublika Dagestan,Gergebil_skaa,0,40,0,869,0,0,4,10,925,923,952,0,925,0,0,2,944,2,19,2,Respublika Dagestan
275,Respublika Dagestan,Gergebil_skaa,2,20,0,576,0,0,1,4,612,603,738,0,612,0,0,0,735,9,123,0,Respublika Dagestan
276,Respublika Dagestan,Gergebil_skaa,5,74,0,1630,0,0,10,15,1723,1734,1765,11,1723,11,0,0,1787,0,53,0,Respublika Dagestan
277,Respublika Dagestan,Gergebil_skaa,0,70,0,2012,0,0,8,10,2081,2100,2208,24,2081,24,0,0,2248,5,143,0,Respublika Dagestan
278,Respublika Dagestan,Gergebil_skaa,0,17,1,196,1,0,0,1,209,216,254,7,209,7,0,0,255,0,39,0,Respublika Dagestan
279,Respublika Dagestan,Gergebil_skaa,0,7,0,54,0,0,0,0,61,61,73,0,63,0,0,2,73,0,10,2,Respublika Dagestan
280,Respublika Dagestan,Gergebil_skaa,3,28,0,582,0,0,0,3,617,616,635,5,617,5,0,0,647,6,25,0,Respublika Dagestan
281,Respublika Dagestan,Gergebil_skaa,1,11,0,398,0,5,2,0,412,417,431,5,412,5,0,0,439,0,22,0,Respublika Dagestan
282,Respublika Dagestan,Gergebil_skaa,0,72,0,1750,0,0,8,10,1840,1840,1877,0,1840,0,0,0,1902,0,62,0,Respublika Dagestan
283,Respublika Dagestan,Gergebil_skaa,0,13,10,347,0,0,0,0,359,370,435,11,359,11,0,0,398,0,28,0,Respublika Dagestan
284,Respublika Dagestan,Gergebil_skaa,0,6,0,43,0,0,0,2,48,51,56,3,48,3,0,0,59,0,8,0,Respublika Dagestan
285,Respublika Dagestan,Gergebil_skaa,0,7,0,56,0,0,0,0,61,63,67,6,61,6,0,6,73,4,6,6,Respublika Dagestan
286,Respublika Dagestan,Gergebil_skaa,0,5,0,195,0,0,0,1,202,201,228,0,202,0,0,0,238,1,36,0,Respublika Dagestan
287,Respublika Dagestan,Gergebil_skaa,0,5,0,47,0,0,0,1,53,53,64,0,53,0,0,0,63,0,10,0,Respublika Dagestan
288,Respublika Dagestan,Gergebil_skaa,0,20,0,503,0,0,3,3,529,529,540,0,529,0,0,0,559,0,30,0,Respublika Dagestan
289,Respublika Dagestan,Gergebil_skaa,0,6,0,45,0,0,0,1,52,52,58,0,52,0,0,0,60,0,8,0,Respublika Dagestan
290,Respublika Dagestan,Gergebil_skaa,0,2,0,15,0,0,0,0,17,17,19,0,17,0,0,0,20,0,3,0,Respublika Dagestan
291,Respublika Dagestan,Gergebil_skaa,0,2,0,45,0,0,0,0,48,47,50,0,48,0,0,0,51,1,3,0,Respublika Dagestan
292,Respublika Dagestan,Gergebil_skaa,0,2,0,64,0,0,0,0,66,66,75,0,66,0,0,0,77,0,11,0,Respublika Dagestan
293,Respublika Dagestan,Gergebil_skaa,1,25,1,351,1,1,1,1,372,382,421,10,372,10,0,0,428,0,46,0,Respublika Dagestan
294,Respublika Dagestan,Gumbetovskaa,1,30,2,746,1,0,0,0,743,780,918,40,743,40,0,0,880,3,97,0,Respublika Dagestan
295,Respublika Dagestan,Gumbetovskaa,0,14,0,637,0,0,15,0,633,666,789,34,633,34,0,0,740,1,73,0,Respublika Dagestan
296,Respublika Dagestan,Gumbetovskaa,0,7,0,159,0,0,3,0,165,169,215,4,165,4,0,0,170,0,1,0,Respublika Dagestan
297,Respublika Dagestan,Gumbetovskaa,0,1,1,26,0,0,0,0,28,28,28,0,28,0,0,0,28,0,0,0,Respublika Dagestan
298,Respublika Dagestan,Gumbetovskaa,0,2,0,275,0,1,0,0,278,278,347,0,278,0,0,0,320,0,42,0,Respublika Dagestan
299,Respublika Dagestan,Gumbetovskaa,0,12,0,410,0,0,6,0,430,428,430,0,430,0,0,0,470,2,40,0,Respublika Dagestan
300,Respublika Dagestan,Gumbetovskaa,0,2,0,62,0,0,2,0,66,66,76,0,66,0,0,0,75,0,9,0,Respublika Dagestan
301,Respublika Dagestan,Gumbetovskaa,0,3,0,68,0,0,0,0,66,71,87,6,66,6,0,0,80,1,8,0,Respublika Dagestan
302,Respublika Dagestan,Gumbetovskaa,0,12,0,136,0,2,0,0,150,150,150,0,150,0,0,0,160,0,10,0,Respublika Dagestan
303,Respublika Dagestan,Gumbetovskaa,0,3,0,244,0,0,3,0,240,250,274,12,240,12,0,0,270,2,18,0,Respublika Dagestan
304,Respublika Dagestan,Gumbetovskaa,2,21,0,777,1,3,19,2,826,825,910,10,826,10,0,0,910,11,74,0,Respublika Dagestan
305,Respublika Dagestan,Gumbetovskaa,0,48,0,225,0,0,0,0,273,273,292,3,273,3,0,0,280,3,4,0,Respublika Dagestan
306,Respublika Dagestan,Gumbetovskaa,0,34,0,1335,0,0,51,0,1435,1420,1540,0,1435,0,0,0,1540,15,105,0,Respublika Dagestan
307,Respublika Dagestan,Gumbetovskaa,0,3,0,171,0,0,0,0,176,174,212,0,176,0,0,0,190,2,14,0,Respublika Dagestan
308,Respublika Dagestan,Gumbetovskaa,0,2,0,173,0,0,5,0,171,180,212,9,171,9,0,0,180,0,0,0,Respublika Dagestan
309,Respublika Dagestan,Gumbetovskaa,1,3,0,144,0,1,0,2,142,151,213,9,142,9,0,0,190,0,39,0,Respublika Dagestan
310,Respublika Dagestan,Gumbetovskaa,0,10,0,159,1,0,0,0,170,170,210,0,170,0,0,0,200,0,30,0,Respublika Dagestan
311,Respublika Dagestan,Gumbetovskaa,0,11,0,70,0,0,2,0,83,83,95,0,83,0,0,0,90,0,7,0,Respublika Dagestan
312,Respublika Dagestan,Gumbetovskaa,0,15,1,215,1,0,0,0,230,232,256,8,230,8,0,0,240,6,2,0,Respublika Dagestan
313,Respublika Dagestan,Gumbetovskaa,0,2,0,61,1,1,0,0,65,65,65,0,65,0,0,0,65,0,0,0,Respublika Dagestan
314,Respublika Dagestan,Gumbetovskaa,0,2,0,26,0,0,0,0,28,28,28,0,28,0,0,0,33,0,5,0,Respublika Dagestan
315,Respublika Dagestan,Gumbetovskaa,0,4,0,263,0,0,3,0,265,270,276,5,265,5,0,0,270,0,0,0,Respublika Dagestan
316,Respublika Dagestan,Gumbetovskaa,0,6,0,193,0,0,11,0,202,210,255,8,202,8,0,0,290,0,80,0,Respublika Dagestan
317,Respublika Dagestan,Gumbetovskaa,0,3,0,101,0,0,1,0,94,105,114,11,94,11,0,0,120,0,15,0,Respublika Dagestan
318,Respublika Dagestan,Gumbetovskaa,0,5,1,165,2,0,5,0,178,178,197,0,178,0,0,0,190,0,12,0,Respublika Dagestan
319,Respublika Dagestan,Gumbetovskaa,0,3,1,230,1,0,15,0,250,250,250,0,250,0,0,0,250,0,0,0,Respublika Dagestan
320,Respublika Dagestan,Gumbetovskaa,0,11,2,859,3,2,0,0,839,877,1040,39,839,39,0,0,1040,1,162,0,Respublika Dagestan
321,Respublika Dagestan,Gumbetovskaa,0,14,0,542,0,0,15,0,544,571,601,27,544,27,0,0,600,0,29,0,Respublika Dagestan
322,Respublika Dagestan,Gumbetovskaa,0,8,1,300,0,0,9,0,318,318,389,0,318,0,0,0,350,0,32,0,Respublika Dagestan
323,Respublika Dagestan,Gumbetovskaa,0,5,0,129,0,0,6,0,140,140,140,0,140,0,0,0,150,0,10,0,Respublika Dagestan
324,Respublika Dagestan,Gumbetovskaa,1,7,0,282,0,0,12,0,296,302,325,7,296,7,0,0,320,1,17,0,Respublika Dagestan
325,Respublika Dagestan,Gumbetovskaa,0,2,0,101,0,0,0,0,105,103,112,0,105,0,0,0,105,2,0,0,Respublika Dagestan
326,Respublika Dagestan,Gunibskaa,0,24,0,394,0,0,0,0,393,418,418,25,393,25,0,0,531,0,113,0,Respublika Dagestan
327,Respublika Dagestan,Gunibskaa,0,2,0,33,0,0,0,0,34,35,35,1,34,1,0,0,39,0,4,0,Respublika Dagestan
328,Respublika Dagestan,Gunibskaa,0,1,0,10,0,0,0,0,11,11,11,0,11,0,0,0,11,0,0,0,Respublika Dagestan
329,Respublika Dagestan,Gunibskaa,0,10,0,151,0,0,0,0,152,161,161,9,152,9,0,0,208,0,47,0,Respublika Dagestan
330,Respublika Dagestan,Gunibskaa,0,18,0,242,2,0,0,0,262,262,280,0,262,0,0,0,280,0,18,0,Respublika Dagestan
331,Respublika Dagestan,Gunibskaa,0,3,0,801,1,0,0,0,801,805,805,4,801,4,0,0,855,0,50,0,Respublika Dagestan
332,Respublika Dagestan,Gunibskaa,3,45,2,1341,1,0,1,0,1079,1393,1643,324,1079,324,0,0,1571,10,168,0,Respublika Dagestan
333,Respublika Dagestan,Gunibskaa,0,18,0,256,0,0,0,0,240,274,275,35,240,35,0,0,275,1,0,0,Respublika Dagestan
334,Respublika Dagestan,Gunibskaa,0,4,0,222,1,2,0,0,219,229,261,10,219,10,0,0,240,0,11,0,Respublika Dagestan
335,Respublika Dagestan,Gunibskaa,0,8,0,122,0,0,0,0,122,130,156,8,122,8,0,0,130,0,0,0,Respublika Dagestan
336,Respublika Dagestan,Gunibskaa,0,3,0,131,2,0,0,0,136,136,143,0,136,0,0,0,143,0,7,0,Respublika Dagestan
337,Respublika Dagestan,Gunibskaa,0,5,4,452,0,0,0,0,381,461,495,80,381,80,0,0,501,0,40,0,Respublika Dagestan
338,Respublika Dagestan,Gunibskaa,0,3,4,227,0,0,0,0,207,234,250,27,207,27,0,0,247,0,13,0,Respublika Dagestan
339,Respublika Dagestan,Gunibskaa,0,9,0,145,1,0,0,0,155,155,155,0,155,0,0,0,185,0,30,0,Respublika Dagestan
340,Respublika Dagestan,Gunibskaa,0,28,0,601,0,0,0,0,615,629,690,20,615,20,0,0,687,6,52,0,Respublika Dagestan
341,Respublika Dagestan,Gunibskaa,0,3,0,97,0,2,0,0,102,102,111,0,102,0,0,0,111,0,9,0,Respublika Dagestan
342,Respublika Dagestan,Gunibskaa,0,6,0,25,0,0,0,1,32,32,39,0,32,0,0,0,32,0,0,0,Respublika Dagestan
343,Respublika Dagestan,Gunibskaa,0,15,0,489,0,0,0,0,450,504,534,62,450,62,0,0,525,8,13,0,Respublika Dagestan
344,Respublika Dagestan,Gunibskaa,0,20,0,456,0,0,0,0,421,476,517,55,421,55,0,0,505,0,29,0,Respublika Dagestan
345,Respublika Dagestan,Gunibskaa,0,12,0,378,0,0,0,0,197,390,405,193,197,193,0,0,390,0,0,0,Respublika Dagestan
346,Respublika Dagestan,Gunibskaa,0,4,0,394,0,0,0,0,392,398,430,6,392,6,0,0,400,0,2,0,Respublika Dagestan
347,Respublika Dagestan,Gunibskaa,0,9,0,43,0,0,0,0,52,52,52,0,52,0,0,0,52,0,0,0,Respublika Dagestan
348,Respublika Dagestan,Gunibskaa,0,5,0,146,0,0,0,0,145,151,161,6,145,6,0,0,155,0,4,0,Respublika Dagestan
349,Respublika Dagestan,Gunibskaa,0,2,0,21,0,0,0,0,23,23,24,0,23,0,0,0,23,0,0,0,Respublika Dagestan
350,Respublika Dagestan,Gunibskaa,1,15,1,578,2,0,0,0,585,597,699,12,585,12,0,0,616,0,19,0,Respublika Dagestan
351,Respublika Dagestan,Gunibskaa,0,24,0,451,0,0,0,0,426,475,524,49,426,49,0,0,475,0,0,0,Respublika Dagestan
352,Respublika Dagestan,Gunibskaa,0,3,0,215,0,0,0,0,205,218,221,16,205,16,0,0,230,3,9,0,Respublika Dagestan
353,Respublika Dagestan,Gunibskaa,0,11,0,417,0,0,0,0,397,428,445,31,397,31,0,0,430,0,2,0,Respublika Dagestan
354,Respublika Dagestan,Gunibskaa,0,0,0,10,0,0,0,0,10,10,10,0,10,0,0,0,10,0,0,0,Respublika Dagestan
355,Respublika Dagestan,Gunibskaa,1,39,2,461,1,1,1,1,470,507,569,39,470,39,0,0,539,2,30,0,Respublika Dagestan
356,Respublika Dagestan,Gunibskaa,0,2,0,49,0,0,0,0,51,51,51,0,51,0,0,0,54,0,3,0,Respublika Dagestan
357,Respublika Dagestan,Gunibskaa,3,101,5,516,5,0,0,0,540,630,660,91,540,91,0,0,631,1,0,0,Respublika Dagestan
358,Respublika Dagestan,Gunibskaa,0,29,1,672,3,1,0,0,673,706,752,38,673,38,0,0,735,5,24,0,Respublika Dagestan
359,Respublika Dagestan,Gunibskaa,0,17,0,649,3,1,0,0,657,670,690,13,657,13,0,0,701,0,31,0,Respublika Dagestan
360,Respublika Dagestan,Gunibskaa,1,15,0,408,1,0,1,0,376,426,464,50,376,50,0,0,456,0,30,0,Respublika Dagestan
361,Respublika Dagestan,Gunibskaa,1,15,2,412,4,1,0,0,426,435,475,9,426,9,0,0,452,0,17,0,Respublika Dagestan
362,Respublika Dagestan,Gunibskaa,0,13,1,168,2,0,0,0,153,184,184,31,153,31,0,0,283,0,99,0,Respublika Dagestan
363,Respublika Dagestan,Gunibskaa,0,25,0,307,0,0,24,0,356,356,376,0,356,0,0,0,376,0,20,0,Respublika Dagestan
