ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
126,Respublika Hakasia,gorodskaa,6,119,56,468,6,5,3,5,619,668,866,50,619,50,0,0,750,1,81,0,Respublika Hakasia
127,Respublika Hakasia,gorodskaa,11,162,68,463,8,8,5,2,666,727,860,70,666,70,0,0,900,9,164,0,Respublika Hakasia
128,Respublika Hakasia,gorodskaa,3,184,102,663,13,2,2,3,928,972,1049,59,928,59,0,0,1000,15,13,0,Respublika Hakasia
129,Respublika Hakasia,gorodskaa,2,100,54,413,5,1,5,3,535,583,916,50,535,50,0,0,900,2,315,0,Respublika Hakasia
130,Respublika Hakasia,gorodskaa,1,99,33,367,6,5,1,4,460,516,837,60,461,60,0,0,800,4,279,0,Respublika Hakasia
131,Respublika Hakasia,gorodskaa,3,101,57,380,7,1,5,1,432,555,810,125,433,125,0,0,800,2,242,0,Respublika Hakasia
132,Respublika Hakasia,gorodskaa,7,219,60,707,18,13,2,6,958,1032,1694,85,958,85,0,0,1700,11,657,0,Respublika Hakasia
133,Respublika Hakasia,gorodskaa,0,52,19,215,4,1,0,0,240,291,500,54,240,54,0,0,450,3,156,0,Respublika Hakasia
134,Respublika Hakasia,gorodskaa,7,149,55,490,14,2,5,6,688,728,1116,49,688,49,0,0,1100,9,363,0,Respublika Hakasia
135,Respublika Hakasia,gorodskaa,1,101,42,393,6,2,4,3,520,552,758,39,520,39,0,0,700,7,141,0,Respublika Hakasia
136,Respublika Hakasia,gorodskaa,2,109,58,419,6,3,6,7,559,610,1079,52,559,52,0,0,1000,1,389,0,Respublika Hakasia
137,Respublika Hakasia,gorodskaa,3,118,75,457,11,5,2,3,635,674,1103,44,636,45,0,0,1000,5,319,0,Respublika Hakasia
138,Respublika Hakasia,gorodskaa,3,133,44,479,12,2,3,4,634,680,1105,54,634,54,0,0,1000,8,312,0,Respublika Hakasia
139,Respublika Hakasia,gorodskaa,5,141,63,524,9,2,7,6,701,757,1220,64,704,65,0,0,1200,8,431,0,Respublika Hakasia
140,Respublika Hakasia,gorodskaa,4,193,47,480,15,2,12,4,705,757,1125,53,706,53,0,0,1300,1,541,0,Respublika Hakasia
141,Respublika Hakasia,gorodskaa,2,141,41,351,10,1,3,1,529,550,961,26,530,26,0,0,788,5,232,0,Respublika Hakasia
142,Respublika Hakasia,gorodskaa,4,101,31,346,6,3,5,0,453,496,702,44,453,44,0,0,700,1,203,0,Respublika Hakasia
143,Respublika Hakasia,gorodskaa,3,156,46,399,8,2,7,1,590,622,920,38,591,38,0,0,900,6,271,0,Respublika Hakasia
144,Respublika Hakasia,gorodskaa,3,187,74,597,23,4,5,11,806,904,1460,101,808,102,0,0,1500,3,590,0,Respublika Hakasia
145,Respublika Hakasia,gorodskaa,1,107,29,349,10,4,3,2,488,505,615,25,488,25,0,0,600,8,87,0,Respublika Hakasia
146,Respublika Hakasia,gorodskaa,1,91,45,403,8,0,4,4,381,556,636,183,381,183,0,0,600,8,36,0,Respublika Hakasia
147,Respublika Hakasia,gorodskaa,3,141,34,389,12,4,5,7,551,595,820,46,551,46,0,0,800,2,203,0,Respublika Hakasia
148,Respublika Hakasia,gorodskaa,7,194,68,652,13,9,5,4,952,952,1508,28,952,28,0,0,1500,28,520,0,Respublika Hakasia
149,Respublika Hakasia,gorodskaa,4,124,51,396,5,1,2,0,555,583,870,36,555,36,0,0,800,8,209,0,Respublika Hakasia
150,Respublika Hakasia,gorodskaa,2,52,29,212,3,2,3,0,266,303,445,40,266,40,0,0,400,3,94,0,Respublika Hakasia
151,Respublika Hakasia,gorodskaa,3,185,49,653,16,6,9,8,849,929,1367,82,850,82,0,0,1300,2,368,0,Respublika Hakasia
152,Respublika Hakasia,gorodskaa,5,171,48,719,8,4,8,4,894,967,1447,77,895,77,0,0,1500,4,528,0,Respublika Hakasia
153,Respublika Hakasia,gorodskaa,8,247,76,966,26,6,5,13,1313,1347,2111,47,1313,47,0,0,2000,13,640,0,Respublika Hakasia
154,Respublika Hakasia,gorodskaa,5,259,84,911,16,9,10,10,1262,1304,1829,51,1263,51,0,0,1900,9,586,0,Respublika Hakasia
155,Respublika Hakasia,gorodskaa,3,290,85,849,20,7,8,7,1209,1269,1980,71,1209,71,0,0,1800,11,519,1,Respublika Hakasia
156,Respublika Hakasia,gorodskaa,4,188,64,680,11,7,3,7,923,964,1277,46,923,46,0,0,1300,5,331,0,Respublika Hakasia
157,Respublika Hakasia,gorodskaa,6,83,36,318,8,0,2,1,443,454,710,18,443,18,0,0,700,7,239,0,Respublika Hakasia
158,Respublika Hakasia,gorodskaa,8,210,90,881,22,8,7,9,1214,1235,1801,33,1233,33,0,0,2000,12,734,0,Respublika Hakasia
159,Respublika Hakasia,gorodskaa,7,161,51,523,15,4,4,8,751,773,1056,34,751,34,0,0,1100,12,315,0,Respublika Hakasia
160,Respublika Hakasia,gorodskaa,6,80,29,260,6,2,5,1,376,389,562,16,376,16,0,0,600,3,208,0,Respublika Hakasia
161,Respublika Hakasia,gorodskaa,4,229,69,793,20,5,5,10,1103,1135,1748,39,1104,39,0,0,1800,7,657,0,Respublika Hakasia
162,Respublika Hakasia,gorodskaa,3,159,44,511,15,2,5,6,724,745,1050,33,724,33,0,0,1000,12,243,0,Respublika Hakasia
163,Respublika Hakasia,gorodskaa,1,95,38,348,2,7,2,1,461,494,729,43,461,43,0,0,700,10,196,0,Respublika Hakasia
164,Respublika Hakasia,gorodskaa,3,140,56,501,11,4,6,6,674,727,1100,54,675,54,0,0,1100,1,371,0,Respublika Hakasia
