ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Respublika Ingusetia,Djejrahskaa,4,15,10,491,2,1,8,8,520,539,606,19,520,19,0,0,550,0,11,0,Respublika Ingusetia
2,Respublika Ingusetia,Djejrahskaa,3,14,9,522,2,2,8,8,562,568,623,6,562,6,0,0,577,0,9,0,Respublika Ingusetia
3,Respublika Ingusetia,Djejrahskaa,3,16,6,191,1,2,5,5,214,229,264,15,214,15,0,0,237,0,8,0,Respublika Ingusetia
4,Respublika Ingusetia,Djejrahskaa,2,6,0,78,14,0,0,0,100,100,114,0,100,0,0,0,103,0,3,0,Respublika Ingusetia
5,Respublika Ingusetia,Djejrahskaa,5,11,9,225,4,2,8,8,269,272,309,3,269,3,0,0,274,0,2,0,Respublika Ingusetia
6,Respublika Ingusetia,Djejrahskaa,1,165,39,555,5,1,1,4,235,771,854,548,235,4,544,0,787,12,4,0,Respublika Ingusetia
7,Respublika Ingusetia,gorodskaa,18,83,21,532,20,4,3,8,701,689,893,1,701,1,0,0,750,13,48,0,Respublika Ingusetia
8,Respublika Ingusetia,gorodskaa,10,62,40,842,12,2,24,35,1033,1027,1310,6,1033,6,0,0,1250,12,211,0,Respublika Ingusetia
9,Respublika Ingusetia,gorodskaa,7,58,36,758,11,2,22,31,782,925,1295,151,782,151,0,0,1100,8,167,0,Respublika Ingusetia
10,Respublika Ingusetia,gorodskaa,14,101,30,1470,11,4,23,140,1796,1793,2270,2,1796,2,0,0,2000,5,202,0,Respublika Ingusetia
11,Respublika Ingusetia,gorodskaa,18,128,88,1868,27,4,54,87,2289,2274,2829,7,2289,7,0,0,2500,22,204,0,Respublika Ingusetia
12,Respublika Ingusetia,gorodskaa,16,99,75,1588,23,3,46,65,1931,1915,2406,1,1931,1,0,0,2100,17,168,0,Respublika Ingusetia
13,Respublika Ingusetia,gorodskaa,9,60,45,955,13,3,27,39,1090,1151,1522,75,1090,75,0,0,1400,14,235,0,Respublika Ingusetia
14,Respublika Ingusetia,gorodskaa,9,225,0,691,71,2,3,45,1062,1046,2566,3,1062,3,0,0,2300,19,1235,0,Respublika Ingusetia
15,Respublika Ingusetia,gorodskaa,2,97,7,692,25,0,6,42,787,871,1175,100,787,100,0,0,1050,16,163,0,Respublika Ingusetia
16,Respublika Ingusetia,gorodskaa,5,59,4,323,32,3,5,20,349,451,865,102,349,102,0,0,799,0,348,0,Respublika Ingusetia
17,Respublika Ingusetia,gorodskaa,16,86,17,286,17,2,6,6,311,436,458,125,311,125,0,0,458,0,22,0,Respublika Ingusetia
18,Respublika Ingusetia,gorodskaa,99,176,45,858,42,15,13,5,1253,1253,1555,0,1253,0,0,0,1555,0,302,0,Respublika Ingusetia
19,Respublika Ingusetia,gorodskaa,2,25,1,461,7,0,1,16,516,513,702,0,516,0,0,0,700,3,184,0,Respublika Ingusetia
20,Respublika Ingusetia,gorodskaa,15,93,81,1268,16,7,25,55,1561,1560,1909,0,1561,0,0,0,1800,1,239,0,Respublika Ingusetia
21,Respublika Ingusetia,gorodskaa,12,78,65,1021,25,5,20,32,1258,1258,1546,2,1258,2,0,0,1500,2,240,0,Respublika Ingusetia
22,Respublika Ingusetia,gorodskaa,7,61,51,851,7,3,15,30,1019,1025,1279,8,1019,8,0,0,1250,2,223,0,Respublika Ingusetia
23,Respublika Ingusetia,gorodskaa,14,82,70,1107,15,6,22,49,1365,1365,1678,2,1365,2,0,0,1600,2,233,0,Respublika Ingusetia
24,Respublika Ingusetia,gorodskaa,9,68,58,945,10,3,23,38,1155,1154,1440,0,1155,0,0,0,1400,1,245,0,Respublika Ingusetia
25,Respublika Ingusetia,gorodskaa,11,85,73,1183,13,8,21,47,1437,1441,1797,6,1437,6,0,0,1700,2,257,0,Respublika Ingusetia
26,Respublika Ingusetia,gorodskaa,11,85,74,1192,22,4,22,48,1459,1458,1818,0,1459,0,0,0,1750,1,291,0,Respublika Ingusetia
27,Respublika Ingusetia,gorodskaa,10,76,66,1071,11,4,19,43,1302,1300,1623,0,1302,0,0,0,1550,2,248,0,Respublika Ingusetia
28,Respublika Ingusetia,gorodskaa,9,69,70,904,10,3,16,36,1103,1117,1393,15,1103,15,0,0,1350,1,232,0,Respublika Ingusetia
29,Respublika Ingusetia,gorodskaa,1,43,0,396,27,1,6,6,492,480,613,0,492,0,0,0,610,12,118,0,Respublika Ingusetia
30,Respublika Ingusetia,gorodskaa,1,16,13,245,3,1,4,9,292,292,365,0,292,0,0,0,360,0,68,0,Respublika Ingusetia
31,Respublika Ingusetia,gorodskaa,3,21,17,308,7,1,5,10,372,372,465,0,372,0,0,0,450,0,78,0,Respublika Ingusetia
32,Respublika Ingusetia,gorodskaa,5,38,32,526,6,2,10,20,640,639,797,0,640,0,0,0,790,1,150,0,Respublika Ingusetia
33,Respublika Ingusetia,gorodskaa,11,82,71,1150,12,4,21,39,1342,1390,1745,50,1342,50,0,0,1650,2,258,0,Respublika Ingusetia
34,Respublika Ingusetia,gorodskaa,3,26,23,369,4,2,7,14,449,448,558,0,449,0,0,0,555,1,106,0,Respublika Ingusetia
35,Respublika Ingusetia,gorodskaa,6,49,42,682,7,2,12,32,834,832,1038,0,834,0,0,0,1000,2,166,0,Respublika Ingusetia
36,Respublika Ingusetia,gorodskaa,8,73,55,887,10,3,16,35,1088,1087,1356,0,1088,0,0,0,1300,1,212,0,Respublika Ingusetia
37,Respublika Ingusetia,gorodskaa,8,63,54,879,9,3,16,42,1076,1074,1340,0,1076,0,0,0,1300,2,224,0,Respublika Ingusetia
38,Respublika Ingusetia,gorodskaa,5,66,8,812,20,7,4,13,935,935,1121,4,935,4,0,0,1100,4,161,0,Respublika Ingusetia
39,Respublika Ingusetia,gorodskaa,2,29,10,340,4,2,5,19,414,411,517,0,414,0,0,0,500,3,86,0,Respublika Ingusetia
40,Respublika Ingusetia,Malgobekskaa,4,64,58,1072,26,8,32,35,1294,1299,1637,5,1294,5,0,0,1500,0,201,0,Respublika Ingusetia
41,Respublika Ingusetia,Malgobekskaa,3,42,38,703,15,6,21,23,847,851,1076,4,847,4,0,0,1000,0,149,0,Respublika Ingusetia
42,Respublika Ingusetia,Malgobekskaa,6,94,84,1575,40,12,46,52,1902,1909,2275,7,1902,7,0,0,2100,0,191,0,Respublika Ingusetia
43,Respublika Ingusetia,Malgobekskaa,3,47,42,785,19,6,23,26,948,951,1184,3,948,3,0,0,1100,0,149,0,Respublika Ingusetia
44,Respublika Ingusetia,Malgobekskaa,4,56,51,944,22,8,28,31,1140,1144,1399,4,1140,4,0,0,1300,0,156,0,Respublika Ingusetia
45,Respublika Ingusetia,Malgobekskaa,3,42,38,703,16,6,21,23,849,852,1104,3,849,3,0,0,1000,0,148,0,Respublika Ingusetia
46,Respublika Ingusetia,Malgobekskaa,2,48,3,600,4,1,4,16,685,678,858,0,685,0,0,0,860,7,175,0,Respublika Ingusetia
47,Respublika Ingusetia,Malgobekskaa,1,46,4,1638,12,1,2,11,1705,1715,2073,15,1705,15,0,0,1950,5,230,0,Respublika Ingusetia
48,Respublika Ingusetia,Malgobekskaa,4,53,48,891,20,8,26,30,1076,1080,1351,4,1076,4,0,0,1300,0,220,0,Respublika Ingusetia
49,Respublika Ingusetia,Malgobekskaa,5,78,70,1306,33,10,38,43,1577,1583,2013,6,1577,6,0,0,2000,0,417,0,Respublika Ingusetia
50,Respublika Ingusetia,Malgobekskaa,1,15,4,294,8,1,1,5,329,329,420,3,329,3,0,0,422,3,90,0,Respublika Ingusetia
51,Respublika Ingusetia,Malgobekskaa,2,34,30,562,13,4,17,19,665,681,823,16,665,16,0,0,800,0,119,0,Respublika Ingusetia
52,Respublika Ingusetia,Malgobekskaa,5,74,66,1237,30,10,36,41,1495,1499,1699,4,1495,4,0,0,1600,0,101,0,Respublika Ingusetia
53,Respublika Ingusetia,Malgobekskaa,0,49,7,1170,25,0,2,12,1268,1265,1627,10,1268,10,0,0,1500,13,222,0,Respublika Ingusetia
54,Respublika Ingusetia,Malgobekskaa,4,57,51,957,23,8,28,32,1157,1160,1451,3,1157,3,0,0,1400,0,240,0,Respublika Ingusetia
55,Respublika Ingusetia,Malgobekskaa,4,62,55,1029,25,8,30,34,1243,1247,1530,4,1243,4,0,0,1400,0,153,0,Respublika Ingusetia
56,Respublika Ingusetia,Malgobekskaa,4,64,58,1079,26,8,32,36,1302,1307,1587,5,1302,5,0,0,1500,0,193,0,Respublika Ingusetia
57,Respublika Ingusetia,Malgobekskaa,3,51,46,849,20,6,25,28,1025,1028,1288,3,1025,3,0,0,1200,0,172,0,Respublika Ingusetia
58,Respublika Ingusetia,Malgobekskaa,4,67,9,801,30,6,6,24,939,947,1163,11,939,11,0,0,1050,3,100,0,Respublika Ingusetia
59,Respublika Ingusetia,Malgobekskaa,4,66,59,1110,28,8,33,37,1340,1345,1618,5,1340,5,0,0,1500,0,155,0,Respublika Ingusetia
60,Respublika Ingusetia,Malgobekskaa,4,64,57,1064,26,8,31,35,1285,1289,1613,4,1285,4,0,0,1500,0,211,0,Respublika Ingusetia
61,Respublika Ingusetia,Malgobekskaa,4,64,58,1075,27,8,32,36,1299,1304,1621,5,1299,5,0,0,1500,0,196,0,Respublika Ingusetia
62,Respublika Ingusetia,Malgobekskaa,2,25,23,420,8,4,13,14,507,509,626,2,507,2,0,0,600,0,91,0,Respublika Ingusetia
63,Respublika Ingusetia,gorodskaa,11,71,65,996,26,2,23,10,1201,1204,1544,13,1201,13,0,0,1500,10,286,0,Respublika Ingusetia
64,Respublika Ingusetia,gorodskaa,6,70,5,1210,34,8,8,26,1309,1367,1688,68,1309,68,0,0,1650,10,273,0,Respublika Ingusetia
65,Respublika Ingusetia,gorodskaa,15,85,90,1388,33,5,26,13,1649,1655,2100,6,1649,6,0,0,2100,0,445,0,Respublika Ingusetia
66,Respublika Ingusetia,gorodskaa,20,114,114,1644,43,5,35,18,2042,1993,2605,0,2042,0,0,0,2600,49,558,0,Respublika Ingusetia
67,Respublika Ingusetia,gorodskaa,18,107,107,1673,44,4,38,20,2011,2011,2500,0,2011,0,0,0,2500,0,489,0,Respublika Ingusetia
68,Respublika Ingusetia,gorodskaa,18,113,105,1615,46,4,42,22,1963,1965,2525,2,1963,2,0,0,2550,0,585,0,Respublika Ingusetia
69,Respublika Ingusetia,gorodskaa,7,61,53,848,20,1,17,7,772,1014,1017,245,772,245,0,0,1300,3,283,0,Respublika Ingusetia
70,Respublika Ingusetia,gorodskaa,12,68,62,986,22,3,22,7,1192,1182,1486,0,1192,0,0,0,1450,10,258,0,Respublika Ingusetia
