ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
193,Respublika Kalmykia,Cernozemel_skaa,1,4,3,625,7,1,1,0,621,642,710,21,621,21,0,0,687,0,45,0,Respublika Kalmykia
194,Respublika Kalmykia,Cernozemel_skaa,4,3,2,667,3,1,2,1,671,683,741,12,671,12,0,0,744,0,61,0,Respublika Kalmykia
195,Respublika Kalmykia,Cernozemel_skaa,2,1,2,602,0,1,2,2,597,612,659,18,597,18,0,0,667,3,52,0,Respublika Kalmykia
196,Respublika Kalmykia,Cernozemel_skaa,4,3,2,599,1,1,1,1,601,612,638,11,601,11,0,0,672,0,60,0,Respublika Kalmykia
197,Respublika Kalmykia,Cernozemel_skaa,0,19,2,573,9,0,1,1,577,605,679,28,577,28,0,0,680,0,75,0,Respublika Kalmykia
198,Respublika Kalmykia,Cernozemel_skaa,7,76,9,640,17,10,3,3,666,765,958,110,666,110,0,0,965,11,189,0,Respublika Kalmykia
199,Respublika Kalmykia,Cernozemel_skaa,1,3,3,521,1,0,0,0,516,529,574,13,516,13,0,0,580,0,51,0,Respublika Kalmykia
200,Respublika Kalmykia,Cernozemel_skaa,6,3,7,828,3,5,3,4,827,859,943,32,827,32,0,0,948,0,89,0,Respublika Kalmykia
201,Respublika Kalmykia,Cernozemel_skaa,1,3,3,416,1,0,1,1,417,426,451,9,417,9,0,0,456,0,30,0,Respublika Kalmykia
202,Respublika Kalmykia,Cernozemel_skaa,4,2,6,361,4,2,0,0,374,379,401,5,374,5,0,0,405,0,26,0,Respublika Kalmykia
203,Respublika Kalmykia,Cernozemel_skaa,0,3,4,404,1,0,1,0,399,413,435,14,399,14,0,0,415,0,2,0,Respublika Kalmykia
204,Respublika Kalmykia,Cernozemel_skaa,0,5,1,639,2,0,0,0,647,647,705,0,647,0,0,0,710,0,63,0,Respublika Kalmykia
205,Respublika Kalmykia,Cernozemel_skaa,0,2,2,278,2,2,1,0,287,287,308,0,287,0,0,0,308,0,21,0,Respublika Kalmykia
1,Respublika Kalmykia,Elistinskaa,7,309,57,1226,56,11,17,32,1673,1715,2969,69,1673,69,0,0,2670,27,928,0,Respublika Kalmykia
2,Respublika Kalmykia,Elistinskaa,0,18,6,146,1,1,0,1,172,173,270,1,172,1,0,0,200,0,27,0,Respublika Kalmykia
3,Respublika Kalmykia,Elistinskaa,2,78,13,651,21,4,9,11,770,789,1112,25,770,25,0,0,1050,6,255,0,Respublika Kalmykia
4,Respublika Kalmykia,Elistinskaa,1,185,19,765,47,7,11,15,1053,1050,1704,17,1053,17,0,0,1770,20,700,0,Respublika Kalmykia
5,Respublika Kalmykia,Elistinskaa,2,22,9,134,17,0,1,0,92,185,278,104,92,104,0,0,250,11,54,0,Respublika Kalmykia
6,Respublika Kalmykia,Elistinskaa,0,8,1,120,2,1,0,1,134,133,188,0,134,0,0,0,180,1,46,0,Respublika Kalmykia
7,Respublika Kalmykia,Elistinskaa,4,120,33,499,18,2,10,12,685,698,1047,24,685,24,0,0,970,11,261,0,Respublika Kalmykia
8,Respublika Kalmykia,Elistinskaa,0,41,7,1016,10,2,1,6,1076,1083,2142,23,1076,23,0,0,1970,16,871,0,Respublika Kalmykia
