ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
341,Respublika Karelia,Olonezkaa,5,114,73,831,10,5,6,24,1023,1068,1922,60,1023,60,0,0,2000,15,917,0,Respublika Karelia
342,Respublika Karelia,Olonezkaa,6,128,84,837,24,9,13,22,1094,1123,1873,45,1094,45,0,0,1980,16,841,0,Respublika Karelia
343,Respublika Karelia,Olonezkaa,5,123,92,753,19,7,4,22,999,1025,2049,39,999,39,0,0,2120,13,1082,0,Respublika Karelia
344,Respublika Karelia,Olonezkaa,10,138,102,843,24,5,12,30,1137,1164,2034,42,1137,42,0,0,2100,15,921,0,Respublika Karelia
345,Respublika Karelia,Olonezkaa,1,11,10,117,3,1,2,0,138,145,311,8,138,8,0,0,300,1,154,0,Respublika Karelia
346,Respublika Karelia,Olonezkaa,9,72,47,405,8,5,4,5,536,555,1088,27,536,27,0,0,1150,8,587,0,Respublika Karelia
347,Respublika Karelia,Olonezkaa,5,72,90,618,16,5,19,16,793,841,1718,58,867,58,0,0,1780,10,855,0,Respublika Karelia
348,Respublika Karelia,Olonezkaa,5,57,41,348,6,1,4,8,458,470,864,22,458,22,0,0,920,10,440,0,Respublika Karelia
349,Respublika Karelia,Olonezkaa,0,4,16,111,0,0,0,1,116,132,253,16,116,16,0,0,250,0,118,0,Respublika Karelia
350,Respublika Karelia,Olonezkaa,0,21,12,99,2,1,1,0,120,136,218,17,120,17,0,0,230,1,93,0,Respublika Karelia
351,Respublika Karelia,Olonezkaa,4,78,57,413,8,3,3,7,545,573,967,33,545,33,0,0,1000,5,422,0,Respublika Karelia
352,Respublika Karelia,Olonezkaa,8,85,50,447,10,5,1,7,562,613,1077,57,562,57,0,0,1150,6,531,0,Respublika Karelia
353,Respublika Karelia,Olonezkaa,2,6,22,263,2,2,4,3,243,304,422,72,243,72,0,0,410,11,95,0,Respublika Karelia
354,Respublika Karelia,Olonezkaa,1,2,8,71,1,2,0,0,68,85,125,21,68,21,0,0,130,4,41,0,Respublika Karelia
355,Respublika Karelia,Olonezkaa,2,17,29,205,2,0,4,2,246,261,478,18,246,18,0,0,500,3,236,0,Respublika Karelia
356,Respublika Karelia,Olonezkaa,0,3,9,15,0,2,0,0,29,29,53,0,29,0,0,0,45,0,16,0,Respublika Karelia
357,Respublika Karelia,Olonezkaa,1,17,20,132,3,2,1,2,92,178,313,89,92,89,0,0,260,3,79,0,Respublika Karelia
358,Respublika Karelia,Olonezkaa,0,11,38,176,2,1,1,2,188,231,425,44,188,44,0,0,430,1,198,0,Respublika Karelia
359,Respublika Karelia,Olonezkaa,2,21,37,376,5,3,2,9,367,455,789,89,367,89,0,0,840,1,384,0,Respublika Karelia
360,Respublika Karelia,Olonezkaa,1,9,12,119,1,2,0,3,123,147,316,25,123,25,0,0,315,1,167,0,Respublika Karelia
361,Respublika Karelia,Olonezkaa,5,23,33,251,9,0,2,4,290,327,743,46,290,46,0,0,790,9,454,0,Respublika Karelia
362,Respublika Karelia,Olonezkaa,0,15,13,207,4,1,1,1,224,242,375,19,224,19,0,0,400,1,157,0,Respublika Karelia
363,Respublika Karelia,Olonezkaa,6,37,49,366,9,1,2,6,434,476,899,49,434,49,0,0,900,7,417,0,Respublika Karelia
1,Respublika Karelia,?1,2,55,45,526,8,3,1,12,634,652,1218,25,634,25,0,0,1170,7,511,0,Respublika Karelia
2,Respublika Karelia,?1,5,118,83,596,27,6,10,15,818,860,1519,51,818,51,0,0,1400,9,531,0,Respublika Karelia
3,Respublika Karelia,?1,7,215,108,1145,41,12,20,23,1545,1571,2692,45,1545,45,0,0,2600,19,1010,0,Respublika Karelia
4,Respublika Karelia,?1,7,186,108,999,41,6,16,37,1386,1400,2629,27,1386,27,0,0,2600,13,1187,0,Respublika Karelia
5,Respublika Karelia,?1,5,66,48,619,17,10,3,14,758,782,1437,37,758,37,0,0,1400,13,605,0,Respublika Karelia
6,Respublika Karelia,?1,9,109,87,838,27,11,21,24,1121,1126,2161,16,1121,16,0,0,2100,11,963,0,Respublika Karelia
7,Respublika Karelia,?1,8,124,65,652,12,7,10,11,876,889,1863,20,876,20,0,0,1800,7,904,0,Respublika Karelia
8,Respublika Karelia,?1,8,140,68,709,34,9,15,35,1012,1018,1686,16,1012,16,0,0,1600,10,572,0,Respublika Karelia
9,Respublika Karelia,?1,9,159,76,836,40,15,25,40,1189,1200,2426,19,1190,19,0,0,2400,8,1191,0,Respublika Karelia
10,Respublika Karelia,?1,7,113,92,727,27,3,6,36,995,1011,1813,28,996,28,0,0,1650,12,626,0,Respublika Karelia
11,Respublika Karelia,?1,12,172,117,1090,58,11,19,32,1490,1511,2812,30,1491,30,0,0,2800,9,1279,0,Respublika Karelia
12,Respublika Karelia,?1,14,209,94,1244,79,8,43,44,1740,1735,2882,20,1741,20,0,0,2900,25,1139,0,Respublika Karelia
13,Respublika Karelia,?1,13,232,90,1068,52,5,14,20,1487,1494,2382,22,1487,22,0,0,2400,15,891,0,Respublika Karelia
14,Respublika Karelia,?1,6,166,80,940,48,12,19,56,1324,1327,2095,14,1324,14,0,0,2000,11,662,0,Respublika Karelia
15,Respublika Karelia,?1,15,172,90,943,38,13,16,42,1321,1329,2031,20,1321,20,0,0,2000,12,659,0,Respublika Karelia
16,Respublika Karelia,?1,12,177,99,978,37,9,22,28,1344,1362,2330,35,1346,35,0,0,2300,17,919,0,Respublika Karelia
17,Respublika Karelia,?1,6,109,59,681,26,5,15,35,927,936,1516,23,927,23,0,0,1400,14,450,0,Respublika Karelia
18,Respublika Karelia,?1,5,126,54,706,27,7,11,32,968,968,1458,9,968,9,0,0,1400,9,423,0,Respublika Karelia
19,Respublika Karelia,?1,5,144,64,810,35,6,14,37,1112,1115,1747,13,1112,13,0,0,1700,10,575,0,Respublika Karelia
20,Respublika Karelia,?1,11,108,76,705,23,9,8,28,964,968,1681,15,964,15,0,0,1600,11,621,0,Respublika Karelia
21,Respublika Karelia,?1,13,187,60,926,39,5,10,32,1263,1272,2105,18,1263,18,0,0,2100,9,819,0,Respublika Karelia
22,Respublika Karelia,?1,11,100,60,759,19,4,11,27,975,991,1653,23,975,23,0,0,1600,7,602,0,Respublika Karelia
23,Respublika Karelia,?1,12,117,58,772,21,3,12,22,1010,1017,1610,15,1010,15,0,0,1600,8,575,0,Respublika Karelia
24,Respublika Karelia,?1,7,114,59,770,25,5,10,24,1007,1014,1629,16,1007,16,0,0,1600,9,577,0,Respublika Karelia
25,Respublika Karelia,?1,10,152,76,899,36,2,12,32,1207,1219,2014,23,1207,23,0,0,2000,11,770,0,Respublika Karelia
26,Respublika Karelia,?1,14,274,93,1415,82,11,33,64,1982,1986,3152,19,1983,19,0,0,3000,15,998,0,Respublika Karelia
27,Respublika Karelia,?1,9,141,47,682,28,9,9,24,954,949,1482,9,955,9,0,0,1400,14,436,0,Respublika Karelia
28,Respublika Karelia,?1,1,138,60,599,25,2,6,31,859,862,1418,12,859,12,0,0,1400,9,529,0,Respublika Karelia
29,Respublika Karelia,?1,6,85,48,631,23,12,9,21,830,835,1377,11,830,11,0,0,1300,6,459,0,Respublika Karelia
30,Respublika Karelia,?1,8,132,64,730,36,8,9,42,1030,1029,1695,11,1030,11,0,0,1600,12,559,0,Respublika Karelia
31,Respublika Karelia,?1,8,103,54,552,12,6,10,15,755,760,1243,15,755,15,0,0,1200,10,430,0,Respublika Karelia
32,Respublika Karelia,?1,6,110,57,591,22,3,17,23,819,829,1400,15,819,15,0,0,1400,5,566,0,Respublika Karelia
