ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
321,Respublika Komi,gorodskaa,7,42,63,381,9,1,2,1,473,506,841,39,473,32,7,0,850,6,338,0,Respublika Komi
322,Respublika Komi,gorodskaa,0,1,7,87,1,0,0,0,54,96,141,42,54,6,36,0,110,0,14,0,Respublika Komi
323,Respublika Komi,gorodskaa,5,80,75,450,16,13,2,3,634,644,1114,22,634,22,0,0,1000,12,344,0,Respublika Komi
324,Respublika Komi,gorodskaa,10,186,120,835,26,14,4,8,1190,1203,1996,38,1191,38,0,0,2000,25,771,0,Respublika Komi
325,Respublika Komi,gorodskaa,10,177,151,895,34,19,14,20,1314,1320,2079,28,1314,28,0,0,2100,22,758,0,Respublika Komi
326,Respublika Komi,gorodskaa,12,155,111,740,19,8,8,9,1053,1062,1811,25,1053,25,0,0,1850,16,772,0,Respublika Komi
327,Respublika Komi,gorodskaa,9,74,62,376,5,6,4,3,546,539,833,6,546,6,0,0,800,13,248,0,Respublika Komi
328,Respublika Komi,gorodskaa,6,155,102,735,28,7,10,9,1052,1052,1595,18,1052,18,0,0,1600,18,530,0,Respublika Komi
329,Respublika Komi,gorodskaa,14,228,184,1144,41,20,14,11,1653,1656,2639,36,1653,36,0,0,2600,33,911,0,Respublika Komi
330,Respublika Komi,gorodskaa,17,255,176,1178,34,22,14,13,1705,1709,2651,29,1705,29,0,0,2700,25,966,0,Respublika Komi
331,Respublika Komi,gorodskaa,4,61,53,286,4,8,2,5,422,423,792,8,422,8,0,0,800,7,370,0,Respublika Komi
332,Respublika Komi,gorodskaa,8,83,70,410,16,8,1,2,594,598,1115,13,594,13,0,0,1100,9,493,0,Respublika Komi
333,Respublika Komi,gorodskaa,7,190,147,924,26,18,16,15,1351,1343,2245,18,1351,18,0,0,2250,26,881,0,Respublika Komi
334,Respublika Komi,gorodskaa,2,147,113,658,14,5,11,2,955,952,1638,15,958,15,0,0,1600,18,627,0,Respublika Komi
335,Respublika Komi,gorodskaa,15,181,148,1121,31,7,5,8,1393,1516,2600,146,1393,90,56,0,2500,23,961,0,Respublika Komi
336,Respublika Komi,gorodskaa,4,162,86,776,16,10,5,7,1051,1066,2378,40,1051,29,11,0,2500,25,1409,0,Respublika Komi
337,Respublika Komi,gorodskaa,17,169,137,1095,24,12,12,9,1411,1475,2660,83,1411,33,50,0,2700,19,1206,0,Respublika Komi
338,Respublika Komi,gorodskaa,11,132,146,828,11,8,2,5,1114,1143,2441,60,1114,54,6,0,2500,31,1326,0,Respublika Komi
339,Respublika Komi,gorodskaa,4,30,40,304,2,0,0,2,340,382,618,50,340,50,0,0,600,8,210,0,Respublika Komi
340,Respublika Komi,gorodskaa,1,42,50,213,2,1,3,1,311,313,530,8,311,8,0,0,550,6,231,0,Respublika Komi
341,Respublika Komi,gorodskaa,3,23,34,117,2,2,0,2,176,183,269,11,176,11,0,0,250,4,63,0,Respublika Komi
342,Respublika Komi,gorodskaa,1,23,22,213,2,0,2,6,248,269,458,23,248,23,0,0,450,2,179,0,Respublika Komi
343,Respublika Komi,gorodskaa,0,9,25,274,3,0,0,0,303,311,366,13,303,13,0,0,350,5,34,0,Respublika Komi
344,Respublika Komi,gorodskaa,2,35,60,226,3,1,1,3,187,331,570,151,187,35,116,0,450,7,112,0,Respublika Komi
345,Respublika Komi,gorodskaa,1,29,59,248,2,4,5,1,296,349,659,55,296,33,22,0,600,2,249,0,Respublika Komi
346,Respublika Komi,gorodskaa,0,2,10,60,0,0,0,0,73,72,73,0,73,0,0,0,73,1,0,0,Respublika Komi
