ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
810,Respublika Krym,Krasnogvardejskaa,3,38,18,1529,13,3,0,6,1535,1610,2294,85,1535,85,0,0,1960,10,340,0,Respublika Krym
811,Respublika Krym,Krasnogvardejskaa,2,48,29,1737,16,4,4,6,1790,1846,2306,77,1790,77,0,0,1960,21,93,0,Respublika Krym
812,Respublika Krym,Krasnogvardejskaa,2,21,13,1414,12,3,2,4,1419,1471,1992,57,1422,57,0,0,1760,5,281,0,Respublika Krym
813,Respublika Krym,Krasnogvardejskaa,6,30,22,1789,34,5,8,11,1868,1905,2329,59,1868,59,0,0,2000,22,73,0,Respublika Krym
814,Respublika Krym,Krasnogvardejskaa,1,10,7,339,12,1,7,7,361,384,613,31,361,31,0,0,500,8,108,0,Respublika Krym
815,Respublika Krym,Krasnogvardejskaa,2,21,35,1540,9,3,1,2,1554,1613,2030,66,1554,66,0,0,1800,7,180,0,Respublika Krym
816,Respublika Krym,Krasnogvardejskaa,3,25,15,1555,33,3,5,8,1615,1647,2289,45,1615,45,0,0,1900,13,240,0,Respublika Krym
817,Respublika Krym,Krasnogvardejskaa,0,21,176,1209,21,3,2,2,1297,1434,1523,149,1297,149,0,0,1470,12,24,0,Respublika Krym
818,Respublika Krym,Krasnogvardejskaa,3,15,9,1340,34,1,3,7,1355,1412,1761,57,1355,57,0,0,1600,0,188,0,Respublika Krym
819,Respublika Krym,Krasnogvardejskaa,1,11,8,922,17,0,1,2,914,962,1122,52,914,52,0,0,1000,4,34,0,Respublika Krym
820,Respublika Krym,Krasnogvardejskaa,1,3,3,317,2,1,0,0,311,327,384,17,311,17,0,0,330,1,2,0,Respublika Krym
821,Respublika Krym,Krasnogvardejskaa,1,4,9,335,6,2,3,1,348,361,441,16,348,16,0,0,400,3,36,0,Respublika Krym
822,Respublika Krym,Krasnogvardejskaa,3,33,14,1096,51,3,3,12,1135,1215,2165,102,1135,102,0,0,1900,22,663,0,Respublika Krym
823,Respublika Krym,Krasnogvardejskaa,1,4,7,417,12,0,0,6,428,447,529,22,428,22,0,0,500,3,50,0,Respublika Krym
824,Respublika Krym,Krasnogvardejskaa,1,16,2,342,7,1,0,3,352,372,478,27,352,27,0,0,410,7,31,0,Respublika Krym
825,Respublika Krym,Krasnogvardejskaa,0,60,23,1431,14,0,0,5,1497,1533,1755,47,1497,47,0,0,1550,11,6,0,Respublika Krym
826,Respublika Krym,Krasnogvardejskaa,1,36,18,1395,22,4,2,4,1371,1482,2057,125,1371,125,0,0,1800,14,304,0,Respublika Krym
827,Respublika Krym,Krasnogvardejskaa,0,14,7,314,4,0,1,0,317,340,364,24,317,24,0,0,350,1,9,0,Respublika Krym
828,Respublika Krym,Krasnogvardejskaa,2,12,6,516,4,4,0,3,510,547,598,43,510,43,0,0,580,6,27,0,Respublika Krym
829,Respublika Krym,Krasnogvardejskaa,0,3,5,214,3,0,1,1,214,227,301,17,214,17,0,0,270,4,39,0,Respublika Krym
830,Respublika Krym,Krasnogvardejskaa,0,3,1,169,9,0,0,0,165,182,210,19,165,19,0,0,190,2,6,0,Respublika Krym
831,Respublika Krym,Krasnogvardejskaa,0,0,1,135,2,0,0,0,132,138,166,8,132,8,0,0,140,2,0,0,Respublika Krym
832,Respublika Krym,Krasnogvardejskaa,0,3,0,203,1,0,0,3,191,210,242,19,191,19,0,0,210,0,0,0,Respublika Krym
833,Respublika Krym,Krasnogvardejskaa,3,12,7,725,6,1,1,0,716,755,916,43,716,43,0,0,800,4,41,0,Respublika Krym
834,Respublika Krym,Krasnogvardejskaa,0,2,4,154,5,2,0,0,156,167,201,11,156,11,0,0,170,0,3,0,Respublika Krym
835,Respublika Krym,Krasnogvardejskaa,0,23,13,1042,21,1,2,6,1019,1108,1286,102,1019,102,0,0,1150,13,29,0,Respublika Krym
836,Respublika Krym,Krasnogvardejskaa,1,7,16,376,4,2,1,7,394,414,467,31,394,31,0,0,430,11,5,0,Respublika Krym
837,Respublika Krym,Krasnogvardejskaa,1,25,11,1300,26,2,2,5,1315,1372,1720,77,1315,77,0,0,1500,20,108,0,Respublika Krym
838,Respublika Krym,Krasnogvardejskaa,5,11,7,534,18,0,2,6,544,583,741,47,544,47,0,0,600,8,9,0,Respublika Krym
839,Respublika Krym,Krasnogvardejskaa,1,8,8,599,14,2,0,3,670,635,853,49,670,49,0,0,750,84,31,0,Respublika Krym
840,Respublika Krym,Krasnogvardejskaa,3,8,8,276,5,0,0,0,237,300,426,65,237,65,0,0,370,2,68,0,Respublika Krym
841,Respublika Krym,Krasnogvardejskaa,0,7,14,716,16,3,3,10,726,769,931,51,726,51,0,0,820,8,43,0,Respublika Krym
842,Respublika Krym,Krasnogvardejskaa,1,8,4,493,3,3,1,0,490,513,599,25,490,25,0,0,550,2,35,0,Respublika Krym
843,Respublika Krym,Krasnogvardejskaa,4,29,20,1163,47,3,2,8,1211,1276,1442,79,1211,79,0,0,1300,14,10,0,Respublika Krym
844,Respublika Krym,Krasnogvardejskaa,0,4,3,295,7,2,1,1,296,313,395,23,296,23,0,0,320,6,1,0,Respublika Krym
845,Respublika Krym,Krasnogvardejskaa,0,19,13,1390,24,9,4,10,1409,1469,1742,71,1409,71,0,0,1500,11,20,0,Respublika Krym
846,Respublika Krym,Krasnogvardejskaa,2,32,18,1211,40,2,4,8,1269,1317,1842,76,1269,76,0,0,1620,28,275,0,Respublika Krym
847,Respublika Krym,Krasnogvardejskaa,1,7,5,338,5,0,1,1,339,358,444,22,339,22,0,0,390,3,29,0,Respublika Krym
848,Respublika Krym,Krasnogvardejskaa,0,4,4,133,1,0,1,0,124,143,173,19,124,19,0,0,150,0,7,0,Respublika Krym
849,Respublika Krym,Krasnogvardejskaa,1,21,6,785,13,1,0,2,755,829,949,75,755,75,0,0,830,1,0,0,Respublika Krym
850,Respublika Krym,Krasnogvardejskaa,1,18,30,866,31,3,0,6,888,955,1170,79,888,79,0,0,1000,12,33,0,Respublika Krym
851,Respublika Krym,Krasnogvardejskaa,3,9,7,1016,10,0,1,3,971,1049,1214,87,971,87,0,0,1060,9,2,0,Respublika Krym
852,Respublika Krym,Krasnogvardejskaa,2,16,16,1064,6,0,5,7,1078,1116,1476,50,1078,50,0,0,1300,12,172,0,Respublika Krym
853,Respublika Krym,Krasnogvardejskaa,1,8,8,797,12,1,2,1,824,830,1107,21,824,21,0,0,970,15,125,0,Respublika Krym
854,Respublika Krym,Krasnogvardejskaa,2,13,17,1063,11,0,0,5,1073,1111,1398,47,1073,47,0,0,1200,9,80,0,Respublika Krym
855,Respublika Krym,Krasnogvardejskaa,6,21,16,961,19,2,5,2,963,1032,1166,90,963,90,0,0,1100,21,47,0,Respublika Krym
856,Respublika Krym,Krasnogvardejskaa,1,8,7,418,8,0,0,1,426,443,536,19,426,19,0,0,450,2,5,0,Respublika Krym
857,Respublika Krym,Krasnogvardejskaa,4,11,16,578,7,2,0,4,595,622,765,33,595,33,0,0,630,6,2,0,Respublika Krym
858,Respublika Krym,Krasnogvardejskaa,2,13,15,642,17,3,1,5,669,698,825,39,669,39,0,0,710,10,2,0,Respublika Krym
859,Respublika Krym,Krasnogvardejskaa,4,15,8,449,23,1,2,5,488,507,650,32,488,32,0,0,540,13,20,0,Respublika Krym
860,Respublika Krym,Krasnogvardejskaa,0,5,2,384,6,1,1,4,374,403,494,35,374,35,0,0,410,6,1,0,Respublika Krym
861,Respublika Krym,Krasnogvardejskaa,2,18,13,464,7,1,2,2,461,509,613,54,461,54,0,0,540,6,25,0,Respublika Krym
862,Respublika Krym,Krasnogvardejskaa,0,0,0,160,7,0,0,2,167,169,215,7,167,7,0,0,190,5,16,0,Respublika Krym
863,Respublika Krym,Krasnogvardejskaa,0,28,22,1166,23,0,3,8,1179,1250,1523,80,1179,80,0,0,1320,9,61,0,Respublika Krym
864,Respublika Krym,Krasnogvardejskaa,3,9,4,378,5,2,5,4,389,410,518,27,389,27,0,0,450,6,34,0,Respublika Krym
865,Respublika Krym,Krasnogvardejskaa,0,67,17,1607,29,6,0,5,1640,1731,2266,111,1640,111,0,0,2020,20,269,0,Respublika Krym
866,Respublika Krym,Krasnogvardejskaa,4,57,17,892,9,1,0,5,914,985,1235,82,914,82,0,0,1080,11,84,0,Respublika Krym
867,Respublika Krym,Krasnogvardejskaa,0,7,7,295,6,0,0,0,319,315,400,8,319,8,0,0,340,12,13,0,Respublika Krym
868,Respublika Krym,Krasnogvardejskaa,1,8,2,254,1,1,1,6,258,274,331,28,258,28,0,0,290,12,4,0,Respublika Krym
869,Respublika Krym,Krasnogvardejskaa,1,18,52,548,25,1,2,6,561,653,840,111,561,111,0,0,700,19,28,0,Respublika Krym
870,Respublika Krym,Krasnogvardejskaa,1,23,19,1370,11,1,2,3,1528,1430,1924,73,1528,73,0,0,1700,171,99,0,Respublika Krym
871,Respublika Krym,Krasnogvardejskaa,0,10,7,388,2,3,0,1,394,411,546,17,394,17,0,0,460,0,49,0,Respublika Krym
872,Respublika Krym,Krasnogvardejskaa,1,1,2,187,0,0,0,1,186,192,244,6,186,6,0,0,220,0,28,0,Respublika Krym
873,Respublika Krym,Krasnogvardejskaa,2,0,6,528,9,0,0,2,520,547,703,27,520,27,0,0,600,0,53,0,Respublika Krym
193,Respublika Krym,gorodskaa,0,21,15,1090,15,3,2,2,1131,1148,1667,23,1131,23,0,0,1480,6,326,0,Respublika Krym
194,Respublika Krym,gorodskaa,4,33,22,1204,11,3,3,7,1258,1287,1895,42,1258,42,0,0,1640,13,340,0,Respublika Krym
195,Respublika Krym,gorodskaa,5,18,32,1423,17,0,3,2,1451,1500,1870,52,1451,52,0,0,1630,3,127,0,Respublika Krym
196,Respublika Krym,gorodskaa,1,24,10,1394,10,1,0,2,1379,1442,1786,73,1379,73,0,0,1550,10,98,0,Respublika Krym
197,Respublika Krym,gorodskaa,2,28,26,1045,19,3,5,7,1120,1135,1691,32,1120,32,0,0,1470,17,318,0,Respublika Krym
198,Respublika Krym,gorodskaa,2,29,22,1180,30,2,1,7,1247,1273,1805,43,1247,43,0,0,1560,17,270,0,Respublika Krym
199,Respublika Krym,gorodskaa,4,22,22,1534,18,5,3,4,1576,1612,1986,51,1576,51,0,0,1740,15,113,0,Respublika Krym
200,Respublika Krym,gorodskaa,11,27,36,1164,29,16,12,14,1287,1309,1645,50,1287,50,0,0,1450,28,113,0,Respublika Krym
201,Respublika Krym,gorodskaa,6,25,27,1367,11,2,1,11,1420,1450,1791,37,1420,37,0,0,1560,7,103,0,Respublika Krym
202,Respublika Krym,gorodskaa,1,34,20,1403,15,3,2,4,1445,1482,1842,50,1445,50,0,0,1600,13,105,0,Respublika Krym
203,Respublika Krym,gorodskaa,3,26,30,1467,25,4,3,8,1557,1566,1964,40,1557,40,0,0,1690,31,93,0,Respublika Krym
204,Respublika Krym,gorodskaa,2,26,16,1068,13,6,1,8,1064,1140,1717,86,1064,86,0,0,1490,10,340,0,Respublika Krym
205,Respublika Krym,gorodskaa,0,1,2,87,4,0,2,2,33,98,98,65,33,65,0,0,200,0,102,0,Respublika Krym
877,Respublika Krym,Krasnoperekopskaa,1,11,6,531,11,3,4,3,544,570,795,32,544,32,0,0,750,6,174,0,Respublika Krym
878,Respublika Krym,Krasnoperekopskaa,2,6,4,353,5,3,1,2,341,376,469,39,341,39,0,0,400,4,20,0,Respublika Krym
879,Respublika Krym,Krasnoperekopskaa,3,17,10,859,19,3,1,8,820,920,1104,112,820,112,0,0,1000,12,68,0,Respublika Krym
880,Respublika Krym,Krasnoperekopskaa,1,11,7,332,13,0,1,1,301,366,501,79,301,79,0,0,500,14,120,0,Respublika Krym
881,Respublika Krym,Krasnoperekopskaa,3,11,14,742,13,1,2,5,712,791,1442,91,712,91,0,0,1300,12,497,0,Respublika Krym
882,Respublika Krym,Krasnoperekopskaa,2,18,7,945,22,2,7,10,928,1013,1527,90,928,90,0,0,1400,5,382,0,Respublika Krym
883,Respublika Krym,Krasnoperekopskaa,0,3,2,482,10,1,0,2,422,500,647,83,422,83,0,0,550,5,45,0,Respublika Krym
884,Respublika Krym,Krasnoperekopskaa,1,14,24,989,6,1,1,6,917,1042,1462,128,917,128,0,0,1300,3,255,0,Respublika Krym
885,Respublika Krym,Krasnoperekopskaa,0,35,20,1459,19,5,5,3,1490,1546,2354,79,1490,79,0,0,2100,23,531,0,Respublika Krym
886,Respublika Krym,Krasnoperekopskaa,3,4,4,300,8,1,1,1,300,322,447,25,300,25,0,0,350,3,25,0,Respublika Krym
887,Respublika Krym,Krasnoperekopskaa,3,16,3,558,36,2,3,6,605,627,799,39,605,39,0,0,800,17,156,0,Respublika Krym
888,Respublika Krym,Krasnoperekopskaa,0,17,7,730,23,0,2,4,713,783,998,85,713,85,0,0,850,15,52,0,Respublika Krym
889,Respublika Krym,Krasnoperekopskaa,0,5,2,352,6,0,1,1,341,367,479,27,341,27,0,0,400,1,32,0,Respublika Krym
890,Respublika Krym,Krasnoperekopskaa,0,2,4,164,7,0,0,0,158,177,236,20,158,20,0,0,200,1,22,0,Respublika Krym
891,Respublika Krym,Krasnoperekopskaa,2,12,19,611,23,0,1,8,624,676,1028,65,624,65,0,0,950,13,261,0,Respublika Krym
892,Respublika Krym,Krasnoperekopskaa,2,5,1,362,5,0,0,1,343,376,470,35,343,35,0,0,400,2,22,0,Respublika Krym
893,Respublika Krym,Krasnoperekopskaa,0,9,5,785,24,2,3,7,777,835,1028,62,777,62,0,0,950,4,111,0,Respublika Krym
894,Respublika Krym,Krasnoperekopskaa,0,5,3,279,3,0,0,0,280,290,363,12,280,12,0,0,300,2,8,0,Respublika Krym
