ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
413,Respublika Marij,Novotor_al_skaa,4,83,35,298,5,1,5,1,404,432,628,32,404,32,0,0,600,4,164,0,Respublika Marij
414,Respublika Marij,Novotor_al_skaa,10,156,89,665,7,5,5,3,901,940,1461,55,901,55,0,0,1500,16,544,0,Respublika Marij
415,Respublika Marij,Novotor_al_skaa,7,119,71,605,3,3,0,2,676,810,1177,138,676,138,0,0,1200,4,386,0,Respublika Marij
416,Respublika Marij,Novotor_al_skaa,5,113,62,547,6,6,3,3,718,745,1137,36,718,36,0,0,1150,9,396,0,Respublika Marij
417,Respublika Marij,Novotor_al_skaa,3,68,44,312,2,4,4,2,423,439,674,20,423,20,0,0,700,4,257,0,Respublika Marij
418,Respublika Marij,Novotor_al_skaa,2,33,26,248,1,0,0,0,240,310,457,71,240,71,0,0,500,1,189,0,Respublika Marij
419,Respublika Marij,Novotor_al_skaa,0,8,16,197,2,1,0,0,173,224,334,52,173,52,0,0,350,1,125,0,Respublika Marij
420,Respublika Marij,Novotor_al_skaa,1,16,14,171,0,1,1,0,183,204,271,21,183,21,0,0,300,0,96,0,Respublika Marij
421,Respublika Marij,Novotor_al_skaa,2,27,20,348,2,2,1,0,274,402,573,128,274,128,0,0,550,0,148,0,Respublika Marij
422,Respublika Marij,Novotor_al_skaa,0,16,12,126,1,1,0,0,125,156,191,31,125,31,0,0,200,0,44,0,Respublika Marij
423,Respublika Marij,Novotor_al_skaa,4,35,24,455,4,2,0,1,445,525,841,81,445,81,0,0,850,1,324,0,Respublika Marij
424,Respublika Marij,Novotor_al_skaa,2,23,19,225,1,1,2,1,165,274,387,110,165,110,0,0,400,1,125,0,Respublika Marij
425,Respublika Marij,Novotor_al_skaa,0,55,37,460,2,2,1,1,424,558,788,134,424,134,0,0,900,0,342,0,Respublika Marij
426,Respublika Marij,Novotor_al_skaa,3,56,32,378,7,0,6,0,321,482,651,162,321,162,0,0,700,1,217,0,Respublika Marij
427,Respublika Marij,Novotor_al_skaa,2,18,25,230,1,3,0,1,241,280,364,39,241,39,0,0,350,0,70,0,Respublika Marij
428,Respublika Marij,Novotor_al_skaa,1,64,49,481,5,0,0,0,467,600,792,133,467,133,0,0,800,0,200,0,Respublika Marij
429,Respublika Marij,Novotor_al_skaa,1,27,31,115,2,0,0,0,164,176,236,12,164,12,0,0,250,0,74,0,Respublika Marij
430,Respublika Marij,Novotor_al_skaa,1,39,33,295,3,5,2,2,304,380,477,78,304,78,0,0,500,2,118,0,Respublika Marij
431,Respublika Marij,Novotor_al_skaa,0,35,53,335,3,1,2,0,279,429,543,153,279,153,0,0,550,3,118,0,Respublika Marij
432,Respublika Marij,Orsanskaa,5,209,100,1236,16,9,5,4,1538,1584,2243,62,1538,62,0,0,2200,16,600,0,Respublika Marij
433,Respublika Marij,Orsanskaa,0,49,30,280,2,1,3,1,348,366,533,19,348,19,0,0,450,1,83,0,Respublika Marij
434,Respublika Marij,Orsanskaa,8,170,94,817,13,8,12,3,1063,1125,1766,71,1063,71,0,0,1750,9,616,0,Respublika Marij
435,Respublika Marij,Orsanskaa,2,39,10,206,1,1,1,0,239,260,416,27,239,27,0,0,450,6,184,0,Respublika Marij
436,Respublika Marij,Orsanskaa,0,37,21,282,2,2,0,0,309,344,428,36,309,36,0,0,450,1,105,0,Respublika Marij
437,Respublika Marij,Orsanskaa,1,29,17,250,1,3,1,1,272,303,468,35,272,35,0,0,450,4,143,0,Respublika Marij
438,Respublika Marij,Orsanskaa,0,33,22,232,3,1,1,1,261,293,492,36,261,36,0,0,500,4,203,0,Respublika Marij
439,Respublika Marij,Orsanskaa,1,23,30,288,3,2,1,1,314,349,513,41,314,41,0,0,500,6,145,0,Respublika Marij
440,Respublika Marij,Orsanskaa,0,17,9,112,1,0,0,0,116,139,225,23,116,23,0,0,250,0,111,0,Respublika Marij
441,Respublika Marij,Orsanskaa,1,20,16,257,2,0,0,1,241,297,425,58,241,58,0,0,450,2,151,0,Respublika Marij
442,Respublika Marij,Orsanskaa,4,62,60,529,1,6,2,0,570,664,985,100,570,100,0,0,1000,6,330,0,Respublika Marij
443,Respublika Marij,Orsanskaa,0,38,44,359,4,4,1,0,400,450,667,51,400,51,0,0,650,1,199,0,Respublika Marij
444,Respublika Marij,Orsanskaa,1,48,25,304,5,5,1,1,331,390,505,63,331,63,0,0,450,4,56,0,Respublika Marij
