ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
259,Respublika Mordovia,Icalkovskaa,0,18,4,242,3,1,0,2,249,270,300,22,249,22,0,0,280,1,9,0,Respublika Mordovia
260,Respublika Mordovia,Icalkovskaa,0,4,5,117,0,1,0,0,117,127,139,10,117,10,0,0,131,0,4,0,Respublika Mordovia
261,Respublika Mordovia,Icalkovskaa,0,7,3,265,1,0,0,0,253,276,299,23,253,23,0,0,288,0,12,0,Respublika Mordovia
262,Respublika Mordovia,Icalkovskaa,1,42,23,662,3,3,1,0,660,735,856,81,660,81,0,0,804,6,63,0,Respublika Mordovia
263,Respublika Mordovia,Icalkovskaa,2,17,15,656,3,5,3,1,641,702,889,61,641,61,0,0,849,0,147,0,Respublika Mordovia
264,Respublika Mordovia,Icalkovskaa,2,28,15,703,3,3,4,2,683,760,816,77,683,77,0,0,770,0,10,0,Respublika Mordovia
265,Respublika Mordovia,Icalkovskaa,0,20,11,469,0,5,0,0,437,505,573,68,437,68,0,0,510,0,5,0,Respublika Mordovia
266,Respublika Mordovia,Icalkovskaa,1,13,10,230,1,4,0,0,235,259,290,24,235,24,0,0,275,0,16,0,Respublika Mordovia
267,Respublika Mordovia,Icalkovskaa,0,15,13,709,1,2,2,0,690,742,832,52,690,52,0,0,780,0,38,0,Respublika Mordovia
268,Respublika Mordovia,Icalkovskaa,1,22,25,636,1,3,0,0,642,688,766,46,642,46,0,0,725,0,37,0,Respublika Mordovia
269,Respublika Mordovia,Icalkovskaa,1,5,12,281,1,2,1,0,280,303,329,23,280,23,0,0,310,0,7,0,Respublika Mordovia
270,Respublika Mordovia,Icalkovskaa,1,17,6,305,1,1,2,1,306,334,365,28,306,28,0,0,345,0,11,0,Respublika Mordovia
271,Respublika Mordovia,Icalkovskaa,1,22,35,498,5,2,1,1,508,565,630,57,508,57,0,0,595,0,30,0,Respublika Mordovia
272,Respublika Mordovia,Icalkovskaa,0,6,3,101,1,0,0,0,106,111,121,5,106,5,0,0,160,0,49,0,Respublika Mordovia
273,Respublika Mordovia,Icalkovskaa,0,6,7,342,1,1,0,0,299,357,381,58,299,58,0,0,360,0,3,0,Respublika Mordovia
274,Respublika Mordovia,Icalkovskaa,0,4,5,154,0,1,0,0,134,164,178,30,134,30,0,0,175,0,11,0,Respublika Mordovia
275,Respublika Mordovia,Icalkovskaa,0,3,2,68,2,2,0,0,65,77,89,12,65,12,0,0,85,0,8,0,Respublika Mordovia
276,Respublika Mordovia,Icalkovskaa,0,18,23,687,1,1,2,1,652,733,862,81,653,81,0,0,810,0,76,0,Respublika Mordovia
277,Respublika Mordovia,Icalkovskaa,0,5,8,343,1,2,0,0,322,359,397,38,322,38,0,0,380,1,20,0,Respublika Mordovia
278,Respublika Mordovia,Icalkovskaa,6,9,13,312,1,2,2,6,317,351,390,34,317,34,0,0,370,0,19,0,Respublika Mordovia
279,Respublika Mordovia,Icalkovskaa,1,42,39,529,2,5,1,0,582,619,734,43,582,43,0,0,700,6,75,0,Respublika Mordovia
280,Respublika Mordovia,Icalkovskaa,0,11,5,162,0,0,0,0,129,178,199,49,129,49,0,0,190,0,12,0,Respublika Mordovia
281,Respublika Mordovia,Icalkovskaa,0,5,9,398,1,2,0,1,393,416,470,23,393,23,0,0,430,0,14,0,Respublika Mordovia
282,Respublika Mordovia,Icalkovskaa,0,21,4,283,0,0,0,0,279,308,342,29,279,29,0,0,330,0,22,0,Respublika Mordovia
283,Respublika Mordovia,Icalkovskaa,0,10,12,287,0,1,1,3,253,314,349,61,253,61,0,0,330,0,16,0,Respublika Mordovia
284,Respublika Mordovia,Icalkovskaa,1,8,17,278,1,2,0,0,261,307,336,46,261,46,0,0,320,0,13,0,Respublika Mordovia
285,Respublika Mordovia,Icalkovskaa,1,7,12,278,3,2,1,1,276,305,336,29,276,29,0,0,320,0,15,0,Respublika Mordovia
286,Respublika Mordovia,Icalkovskaa,1,5,6,201,1,1,0,0,195,215,237,20,195,20,0,0,225,0,10,0,Respublika Mordovia
287,Respublika Mordovia,Icalkovskaa,0,5,5,126,0,0,1,0,127,137,152,10,127,10,0,0,140,0,3,0,Respublika Mordovia
288,Respublika Mordovia,Icalkovskaa,1,5,8,148,2,1,0,0,133,165,177,32,133,32,0,0,170,0,5,0,Respublika Mordovia
289,Respublika Mordovia,Icalkovskaa,0,2,4,64,0,0,1,0,64,71,80,7,64,7,0,0,75,0,4,0,Respublika Mordovia
290,Respublika Mordovia,Icalkovskaa,0,6,4,154,0,0,0,0,144,164,179,20,144,20,0,0,170,0,6,0,Respublika Mordovia
291,Respublika Mordovia,Icalkovskaa,2,4,4,400,0,1,0,1,371,412,449,41,371,41,0,0,430,0,18,0,Respublika Mordovia
292,Respublika Mordovia,Icalkovskaa,0,8,4,226,1,1,0,0,203,240,258,37,203,37,0,0,240,0,0,0,Respublika Mordovia
293,Respublika Mordovia,Icalkovskaa,0,8,4,170,0,0,0,1,167,183,203,16,167,16,0,0,190,0,7,0,Respublika Mordovia
294,Respublika Mordovia,Icalkovskaa,0,0,1,85,1,0,0,0,70,87,94,17,70,17,0,0,90,0,3,0,Respublika Mordovia
295,Respublika Mordovia,Icalkovskaa,0,3,7,104,0,0,0,0,101,114,125,13,101,13,0,0,120,0,6,0,Respublika Mordovia
296,Respublika Mordovia,Kadoskinskaa,0,67,52,700,2,7,1,3,768,832,1098,67,768,67,0,0,1014,3,179,0,Respublika Mordovia
297,Respublika Mordovia,Kadoskinskaa,0,7,64,849,1,2,0,0,871,923,1049,52,871,52,0,0,968,0,45,0,Respublika Mordovia
298,Respublika Mordovia,Kadoskinskaa,0,16,62,977,0,0,0,0,1024,1055,1383,32,1025,32,0,0,1310,1,253,0,Respublika Mordovia
299,Respublika Mordovia,Kadoskinskaa,1,47,28,314,6,7,0,0,366,403,509,41,366,41,0,0,500,4,93,0,Respublika Mordovia
300,Respublika Mordovia,Kadoskinskaa,1,33,16,232,3,3,1,0,264,289,443,30,264,30,0,0,432,5,138,0,Respublika Mordovia
301,Respublika Mordovia,Kadoskinskaa,0,11,9,428,2,3,0,0,430,453,472,23,430,23,0,0,461,0,8,0,Respublika Mordovia
302,Respublika Mordovia,Kadoskinskaa,0,7,6,182,0,0,0,0,175,195,205,22,175,22,0,0,201,2,4,0,Respublika Mordovia
303,Respublika Mordovia,Kadoskinskaa,4,21,7,207,0,2,0,0,227,241,379,17,227,17,0,0,365,3,121,0,Respublika Mordovia
304,Respublika Mordovia,Kadoskinskaa,2,6,9,98,0,1,0,0,109,116,131,8,109,8,0,0,127,1,10,0,Respublika Mordovia
305,Respublika Mordovia,Kadoskinskaa,0,9,7,129,0,0,0,0,131,145,164,14,131,14,0,0,152,0,7,0,Respublika Mordovia
306,Respublika Mordovia,Kadoskinskaa,3,7,4,110,0,1,1,0,117,126,150,11,117,11,0,0,144,2,16,0,Respublika Mordovia
307,Respublika Mordovia,Kadoskinskaa,1,1,3,41,0,2,0,1,43,49,84,7,43,7,0,0,82,1,32,0,Respublika Mordovia
308,Respublika Mordovia,Kovylkinskaa,1,1,8,160,0,0,0,0,163,170,178,7,163,7,0,0,178,0,8,0,Respublika Mordovia
309,Respublika Mordovia,Kovylkinskaa,1,2,2,137,1,1,1,1,140,146,153,6,140,6,0,0,155,0,9,0,Respublika Mordovia
310,Respublika Mordovia,Kovylkinskaa,1,6,5,295,1,1,1,1,293,311,331,18,293,18,0,0,347,0,36,0,Respublika Mordovia
