ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
140,Respublika Saha,Vilujskaa,0,115,2,159,5,2,0,1,271,284,468,18,271,18,0,0,390,5,101,0,Respublika Saha
141,Respublika Saha,Vilujskaa,1,208,6,362,8,1,3,3,565,592,944,33,565,33,0,0,815,6,217,0,Respublika Saha
142,Respublika Saha,Vilujskaa,2,199,7,417,11,3,3,0,620,642,900,26,620,26,0,0,820,4,174,0,Respublika Saha
143,Respublika Saha,Vilujskaa,1,152,3,264,8,1,1,0,420,430,688,11,420,11,0,0,560,1,129,0,Respublika Saha
144,Respublika Saha,Vilujskaa,1,250,2,290,13,0,1,2,542,559,829,20,542,20,0,0,750,3,188,0,Respublika Saha
145,Respublika Saha,Vilujskaa,1,149,4,294,12,0,1,4,442,465,756,28,442,28,0,0,685,5,215,0,Respublika Saha
146,Respublika Saha,Vilujskaa,1,190,3,321,4,1,2,7,507,529,791,29,507,29,0,0,695,7,159,0,Respublika Saha
147,Respublika Saha,Vilujskaa,2,249,1,363,11,1,2,2,614,631,867,20,614,20,0,0,750,3,116,0,Respublika Saha
148,Respublika Saha,Vilujskaa,1,188,5,319,3,1,2,2,459,521,741,64,459,64,0,0,630,2,107,0,Respublika Saha
149,Respublika Saha,Vilujskaa,1,109,0,237,0,0,0,0,335,347,517,14,335,14,0,0,420,2,71,0,Respublika Saha
150,Respublika Saha,Vilujskaa,0,64,27,291,4,3,3,0,364,392,623,35,364,35,0,0,620,7,221,0,Respublika Saha
151,Respublika Saha,Vilujskaa,3,60,29,303,4,0,4,2,356,405,644,52,356,52,0,0,620,3,212,0,Respublika Saha
152,Respublika Saha,Vilujskaa,1,46,31,320,2,1,0,1,362,402,622,42,362,26,16,0,600,2,196,0,Respublika Saha
153,Respublika Saha,Vilujskaa,0,95,1,204,2,0,1,0,277,303,447,27,277,27,0,0,503,1,199,0,Respublika Saha
154,Respublika Saha,Vilujskaa,0,56,1,160,3,0,0,0,200,220,327,22,200,22,0,0,407,2,185,0,Respublika Saha
155,Respublika Saha,Vilujskaa,0,107,3,189,7,1,0,1,277,308,357,33,277,33,0,0,468,2,158,0,Respublika Saha
156,Respublika Saha,Vilujskaa,1,79,2,203,2,0,0,0,256,287,370,31,256,31,0,0,392,0,105,0,Respublika Saha
157,Respublika Saha,Vilujskaa,0,55,2,157,0,1,0,0,194,215,341,21,194,21,0,0,329,0,114,0,Respublika Saha
158,Respublika Saha,Vilujskaa,0,57,0,129,2,1,0,0,183,189,224,8,183,8,0,0,261,2,70,0,Respublika Saha
159,Respublika Saha,Vilujskaa,0,78,4,135,1,0,1,0,210,219,293,9,210,9,0,0,320,0,101,0,Respublika Saha
160,Respublika Saha,Vilujskaa,0,82,3,209,4,1,0,0,263,299,434,38,263,38,0,0,413,2,112,0,Respublika Saha
161,Respublika Saha,Vilujskaa,0,44,2,70,1,0,0,0,115,117,150,2,115,2,0,0,170,0,53,0,Respublika Saha
162,Respublika Saha,Vilujskaa,1,88,1,257,4,1,1,0,338,353,501,17,338,17,0,0,531,2,176,0,Respublika Saha
163,Respublika Saha,Vilujskaa,1,65,1,143,1,1,0,1,198,213,265,15,198,15,0,0,309,0,96,0,Respublika Saha
164,Respublika Saha,Vilujskaa,1,82,2,153,4,0,0,0,237,242,301,6,237,6,0,0,334,1,91,0,Respublika Saha
165,Respublika Saha,Vilujskaa,0,103,3,159,3,0,0,0,247,268,333,22,247,22,0,0,398,1,129,0,Respublika Saha
166,Respublika Saha,Vilujskaa,0,145,1,189,4,0,2,1,317,342,375,26,317,26,0,0,443,1,100,0,Respublika Saha
167,Respublika Saha,Vilujskaa,1,78,3,195,5,1,2,1,244,286,365,42,244,42,0,0,443,0,157,0,Respublika Saha
168,Respublika Saha,Vilujskaa,2,99,1,167,2,1,0,0,257,272,394,16,257,16,0,0,417,1,144,0,Respublika Saha
169,Respublika Saha,Vilujskaa,1,96,3,254,7,1,1,0,318,363,498,47,318,47,0,0,578,2,213,0,Respublika Saha
170,Respublika Saha,Vilujskaa,0,78,1,104,3,1,1,0,180,188,259,9,180,9,0,0,278,1,89,0,Respublika Saha
171,Respublika Saha,Vilujskaa,1,103,2,258,4,0,1,0,352,369,467,17,352,17,0,0,481,0,112,0,Respublika Saha
172,Respublika Saha,Vilujskaa,5,161,4,285,8,0,2,1,443,466,621,26,443,26,0,0,691,3,222,0,Respublika Saha
173,Respublika Saha,Vilujskaa,4,107,1,160,4,1,0,1,261,278,399,19,261,19,0,0,412,2,132,0,Respublika Saha
174,Respublika Saha,Gornaa,1,89,1,215,2,1,0,0,291,309,319,19,291,15,4,0,350,1,40,0,Respublika Saha
175,Respublika Saha,Gornaa,2,400,7,640,14,1,2,1,1010,1067,1262,60,1010,60,0,0,1300,3,230,0,Respublika Saha
176,Respublika Saha,Gornaa,1,328,9,591,14,2,3,4,878,952,1277,81,878,78,3,0,1300,7,341,0,Respublika Saha
177,Respublika Saha,Gornaa,1,425,4,669,11,1,2,7,1073,1120,1236,52,1073,52,0,0,1300,5,175,0,Respublika Saha
178,Respublika Saha,Gornaa,1,65,16,292,4,0,0,2,326,380,406,56,326,17,39,0,500,2,118,0,Respublika Saha
