ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Respublika Severnaa,Alagirskaa,6,238,9,907,18,46,1,0,1240,1225,1416,20,1240,20,0,0,1430,35,170,0,Respublika Severnaa
2,Respublika Severnaa,Alagirskaa,5,295,16,1236,13,39,2,3,1536,1609,1870,102,1536,102,0,0,1860,29,222,0,Respublika Severnaa
3,Respublika Severnaa,Alagirskaa,7,335,23,1215,13,34,2,1,1607,1630,1965,56,1607,56,0,0,1930,33,267,0,Respublika Severnaa
4,Respublika Severnaa,Alagirskaa,6,291,18,1165,7,29,2,2,1442,1520,1537,95,1442,95,0,0,1840,17,303,0,Respublika Severnaa
5,Respublika Severnaa,Alagirskaa,0,35,292,1910,0,52,19,0,2226,2308,2365,83,2226,83,0,0,2340,1,31,0,Respublika Severnaa
6,Respublika Severnaa,Alagirskaa,6,264,20,1113,9,19,3,0,1396,1434,1809,67,1396,67,0,0,1800,29,337,0,Respublika Severnaa
7,Respublika Severnaa,Alagirskaa,7,29,116,1880,0,65,53,20,2115,2170,2317,55,2115,55,0,0,2190,0,20,0,Respublika Severnaa
8,Respublika Severnaa,Alagirskaa,10,15,87,987,0,41,31,1,1095,1172,1220,79,1095,79,0,0,1200,2,26,0,Respublika Severnaa
9,Respublika Severnaa,Alagirskaa,0,28,15,149,0,5,1,1,85,199,200,115,85,115,0,0,200,1,0,0,Respublika Severnaa
10,Respublika Severnaa,Alagirskaa,0,24,0,88,0,0,0,0,104,112,118,9,104,9,0,0,120,1,7,0,Respublika Severnaa
11,Respublika Severnaa,Alagirskaa,0,45,0,510,0,3,0,0,545,558,582,14,545,14,0,0,570,1,11,0,Respublika Severnaa
12,Respublika Severnaa,Alagirskaa,0,37,115,1203,0,19,9,0,1343,1383,1438,41,1343,41,0,0,1420,1,36,0,Respublika Severnaa
13,Respublika Severnaa,Alagirskaa,0,12,0,98,0,2,0,0,98,112,115,14,98,14,0,0,115,0,3,0,Respublika Severnaa
14,Respublika Severnaa,Alagirskaa,0,5,6,502,0,4,5,0,495,522,541,27,495,27,0,0,540,0,18,0,Respublika Severnaa
15,Respublika Severnaa,Alagirskaa,0,19,10,312,0,5,5,0,325,351,369,28,325,28,0,0,370,2,17,0,Respublika Severnaa
16,Respublika Severnaa,Alagirskaa,1,10,9,570,0,12,1,0,580,603,619,25,580,25,0,0,620,2,15,0,Respublika Severnaa
17,Respublika Severnaa,Alagirskaa,0,10,5,263,0,6,4,2,277,290,303,14,277,14,0,0,300,1,9,0,Respublika Severnaa
18,Respublika Severnaa,Alagirskaa,1,3,1,713,0,12,3,0,709,733,759,25,709,25,0,0,750,1,16,0,Respublika Severnaa
19,Respublika Severnaa,Alagirskaa,0,9,0,732,0,11,0,0,734,752,795,19,734,19,0,0,780,1,27,0,Respublika Severnaa
20,Respublika Severnaa,Alagirskaa,0,37,1,958,0,54,0,0,999,1050,1089,52,999,52,0,0,1070,1,19,0,Respublika Severnaa
21,Respublika Severnaa,Alagirskaa,0,13,12,911,0,14,3,0,926,953,999,27,926,27,0,0,980,0,27,0,Respublika Severnaa
22,Respublika Severnaa,Alagirskaa,0,8,0,66,0,2,0,0,68,76,81,8,68,8,0,0,80,0,4,0,Respublika Severnaa
23,Respublika Severnaa,Alagirskaa,2,0,105,785,0,92,104,1,1057,1089,1133,32,1057,32,0,0,1090,0,1,0,Respublika Severnaa
24,Respublika Severnaa,Alagirskaa,0,0,0,123,0,9,0,0,119,132,140,13,119,13,0,0,140,0,8,0,Respublika Severnaa
25,Respublika Severnaa,Alagirskaa,0,6,4,118,0,4,0,0,115,132,139,18,115,18,0,0,140,1,7,0,Respublika Severnaa
26,Respublika Severnaa,Alagirskaa,2,123,26,1299,0,75,65,0,1567,1590,1605,23,1567,23,0,0,1610,0,20,0,Respublika Severnaa
27,Respublika Severnaa,Alagirskaa,1,128,1,946,0,67,19,2,1123,1164,1170,42,1123,42,0,0,1170,1,5,0,Respublika Severnaa
28,Respublika Severnaa,Alagirskaa,0,7,5,92,0,5,0,0,92,109,113,19,92,19,0,0,115,2,4,0,Respublika Severnaa
29,Respublika Severnaa,Alagirskaa,0,0,0,80,0,2,0,0,82,82,84,0,82,0,0,0,85,0,3,0,Respublika Severnaa
30,Respublika Severnaa,Alagirskaa,0,0,0,99,0,12,0,0,99,111,113,12,99,12,0,0,115,0,4,0,Respublika Severnaa
31,Respublika Severnaa,Alagirskaa,0,19,9,370,0,18,0,0,399,416,421,18,347,18,52,0,423,1,6,0,Respublika Severnaa
32,Respublika Severnaa,Alagirskaa,0,12,0,48,0,0,0,0,52,60,65,8,52,8,0,0,65,0,5,0,Respublika Severnaa
33,Respublika Severnaa,Alagirskaa,0,12,1,167,0,6,0,0,174,186,187,12,174,12,0,0,190,0,4,0,Respublika Severnaa
34,Respublika Severnaa,Alagirskaa,0,1,0,41,0,0,0,0,41,42,43,1,41,1,0,0,45,0,3,0,Respublika Severnaa
35,Respublika Severnaa,Ardonskaa,2,35,127,970,0,127,41,7,1249,1309,1923,60,1249,60,0,0,1900,0,591,0,Respublika Severnaa
36,Respublika Severnaa,Ardonskaa,3,43,68,1850,0,76,32,4,2007,2076,2460,69,2007,69,0,0,2450,0,374,0,Respublika Severnaa
37,Respublika Severnaa,Ardonskaa,1,218,13,1171,9,33,1,0,1407,1446,2097,73,1407,73,0,0,2100,34,620,0,Respublika Severnaa
38,Respublika Severnaa,Ardonskaa,7,35,100,1206,0,76,23,2,1401,1449,1964,48,1401,48,0,0,1950,0,501,0,Respublika Severnaa
39,Respublika Severnaa,Ardonskaa,4,145,98,1610,0,89,25,5,1897,1976,2446,79,1897,79,0,0,2400,0,424,0,Respublika Severnaa
