ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
878,Respublika Tatarstan,Apastovskaa,1,4,1,837,1,1,1,1,821,847,856,26,821,26,0,0,877,0,30,0,Respublika Tatarstan
879,Respublika Tatarstan,Apastovskaa,3,12,9,661,0,1,1,1,669,688,713,30,669,30,0,0,725,11,26,0,Respublika Tatarstan
880,Respublika Tatarstan,Apastovskaa,1,31,8,1000,4,2,1,5,1024,1052,1086,39,1033,39,0,0,1150,11,78,0,Respublika Tatarstan
881,Respublika Tatarstan,Apastovskaa,2,103,22,679,16,6,7,3,907,838,977,33,907,33,0,0,1000,102,60,0,Respublika Tatarstan
882,Respublika Tatarstan,Apastovskaa,0,1,1,283,0,0,0,0,257,285,286,28,257,28,0,0,294,0,9,0,Respublika Tatarstan
883,Respublika Tatarstan,Apastovskaa,1,1,1,236,0,0,0,1,225,240,242,15,225,15,0,0,247,0,7,0,Respublika Tatarstan
884,Respublika Tatarstan,Apastovskaa,0,1,0,120,0,0,0,0,118,121,121,3,118,3,0,0,126,0,5,0,Respublika Tatarstan
885,Respublika Tatarstan,Apastovskaa,0,0,0,161,0,2,0,0,155,163,164,8,155,8,0,0,164,0,1,0,Respublika Tatarstan
886,Respublika Tatarstan,Apastovskaa,0,2,2,353,1,0,0,0,347,358,363,14,347,14,0,0,367,3,6,0,Respublika Tatarstan
887,Respublika Tatarstan,Apastovskaa,0,3,0,169,0,0,0,0,155,172,172,17,155,17,0,0,176,0,4,0,Respublika Tatarstan
888,Respublika Tatarstan,Apastovskaa,0,3,1,257,1,0,0,0,248,262,267,14,248,14,0,0,272,0,10,0,Respublika Tatarstan
889,Respublika Tatarstan,Apastovskaa,2,24,6,255,3,2,1,1,255,294,302,41,255,41,0,0,315,2,19,0,Respublika Tatarstan
