ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
109,Respublika Tyva,Pij-Hemskaa,3,30,26,554,9,1,1,2,590,626,640,42,590,42,0,0,660,6,28,0,Respublika Tyva
110,Respublika Tyva,Pij-Hemskaa,0,6,1,659,2,1,1,0,655,670,696,18,655,18,0,0,682,3,9,0,Respublika Tyva
111,Respublika Tyva,Pij-Hemskaa,2,47,48,848,8,3,2,1,931,959,988,32,931,32,0,0,970,4,7,0,Respublika Tyva
112,Respublika Tyva,Pij-Hemskaa,4,66,48,863,10,5,4,1,957,1001,1370,44,958,44,0,0,1348,0,346,0,Respublika Tyva
113,Respublika Tyva,Pij-Hemskaa,0,7,3,288,3,1,0,1,298,303,338,7,298,7,0,0,307,2,2,0,Respublika Tyva
114,Respublika Tyva,Pij-Hemskaa,1,10,3,515,4,2,0,0,507,535,542,32,507,32,0,0,714,4,175,0,Respublika Tyva
115,Respublika Tyva,Pij-Hemskaa,0,3,0,339,2,2,0,0,306,346,352,41,306,41,0,0,358,1,11,0,Respublika Tyva
116,Respublika Tyva,Pij-Hemskaa,0,3,0,440,2,0,1,0,401,446,454,48,401,48,0,0,455,3,6,0,Respublika Tyva
117,Respublika Tyva,Pij-Hemskaa,2,20,5,513,1,2,0,2,503,545,572,50,503,50,0,0,714,8,161,0,Respublika Tyva
118,Respublika Tyva,Pij-Hemskaa,0,2,2,371,0,1,0,0,369,376,377,8,369,8,0,0,407,1,30,0,Respublika Tyva
119,Respublika Tyva,Pij-Hemskaa,0,10,0,610,3,0,0,0,505,623,662,120,505,120,0,0,644,2,19,0,Respublika Tyva
120,Respublika Tyva,Pij-Hemskaa,0,1,1,246,1,0,0,0,214,249,249,35,214,35,0,0,274,0,25,0,Respublika Tyva
121,Respublika Tyva,Pij-Hemskaa,0,1,2,228,1,0,0,0,185,232,239,47,185,47,0,0,258,0,26,0,Respublika Tyva
122,Respublika Tyva,Sut-Hol_skaa,0,0,1,647,0,1,1,1,467,651,655,186,467,39,147,0,733,2,80,0,Respublika Tyva
123,Respublika Tyva,Sut-Hol_skaa,0,2,3,320,0,2,1,0,265,328,336,63,265,22,41,0,350,0,22,0,Respublika Tyva
124,Respublika Tyva,Sut-Hol_skaa,0,0,0,462,0,0,0,0,357,462,465,105,357,33,72,0,540,0,78,0,Respublika Tyva
125,Respublika Tyva,Sut-Hol_skaa,3,40,23,1762,10,3,2,0,1643,1843,1878,221,1643,40,181,0,2163,21,299,0,Respublika Tyva
126,Respublika Tyva,Sut-Hol_skaa,0,1,0,487,0,0,0,0,373,488,491,115,373,35,80,0,504,0,16,0,Respublika Tyva
127,Respublika Tyva,Sut-Hol_skaa,0,3,0,300,3,0,0,0,258,306,315,50,258,8,42,0,328,2,20,0,Respublika Tyva
128,Respublika Tyva,Sut-Hol_skaa,0,1,1,601,0,1,0,0,446,604,609,158,446,21,137,0,615,0,11,0,Respublika Tyva
129,Respublika Tyva,Tandinskaa,6,87,79,1329,18,4,4,3,1554,1530,1648,0,1554,0,0,0,1939,24,385,0,Respublika Tyva
130,Respublika Tyva,Tandinskaa,0,6,5,762,0,0,1,1,730,775,779,47,730,47,0,0,778,2,1,0,Respublika Tyva
131,Respublika Tyva,Tandinskaa,2,29,7,395,1,1,1,0,393,436,444,51,393,18,33,0,444,8,0,0,Respublika Tyva
132,Respublika Tyva,Tandinskaa,0,3,0,102,0,0,0,0,99,105,105,6,99,2,4,0,105,0,0,0,Respublika Tyva
133,Respublika Tyva,Tandinskaa,4,112,96,1237,9,8,2,3,1350,1471,1490,140,1200,140,150,0,1741,19,251,0,Respublika Tyva
134,Respublika Tyva,Tandinskaa,0,1,0,250,0,0,0,0,224,251,251,27,224,7,20,0,251,0,0,0,Respublika Tyva
135,Respublika Tyva,Tandinskaa,1,11,7,133,0,1,0,0,155,153,155,0,155,0,0,0,160,2,5,0,Respublika Tyva
136,Respublika Tyva,Tandinskaa,0,1,1,358,0,0,0,0,336,360,371,35,336,13,22,0,380,11,9,0,Respublika Tyva
137,Respublika Tyva,Tandinskaa,0,1,1,488,0,0,0,0,445,490,500,45,445,15,30,0,528,0,38,0,Respublika Tyva
138,Respublika Tyva,Tandinskaa,0,5,0,195,1,0,0,0,201,201,209,4,201,4,0,0,205,4,0,0,Respublika Tyva
139,Respublika Tyva,Tandinskaa,0,4,0,424,0,0,0,0,311,428,432,119,311,4,115,0,432,2,2,0,Respublika Tyva
142,Respublika Tyva,Tes-Hemskaa,3,71,17,1823,26,2,5,3,1692,1950,1981,284,1692,284,0,0,2354,26,378,0,Respublika Tyva
143,Respublika Tyva,Tes-Hemskaa,0,2,0,565,0,0,0,0,397,567,568,170,397,9,161,0,572,0,5,0,Respublika Tyva
144,Respublika Tyva,Tes-Hemskaa,0,1,0,527,0,0,0,0,317,528,532,211,317,8,203,0,534,0,6,0,Respublika Tyva
145,Respublika Tyva,Tes-Hemskaa,0,1,0,370,0,0,0,0,318,371,371,53,318,53,0,0,372,0,1,0,Respublika Tyva
146,Respublika Tyva,Tes-Hemskaa,1,2,2,184,1,0,0,0,140,190,192,50,140,5,45,0,202,0,12,0,Respublika Tyva
147,Respublika Tyva,Tes-Hemskaa,1,12,3,448,1,0,0,0,341,465,466,124,341,19,105,0,469,0,4,0,Respublika Tyva
148,Respublika Tyva,Tes-Hemskaa,0,3,1,494,0,0,0,0,378,498,500,120,378,10,110,0,516,0,18,0,Respublika Tyva
149,Respublika Tyva,Todjinskaa,5,46,32,1090,23,5,4,2,1140,1207,1479,88,1140,88,0,0,1480,21,252,0,Respublika Tyva
150,Respublika Tyva,Todjinskaa,1,16,14,289,6,3,3,0,296,332,404,43,296,43,0,0,405,7,66,0,Respublika Tyva
151,Respublika Tyva,Todjinskaa,0,0,2,690,2,0,0,0,575,694,707,131,576,21,110,0,708,12,1,0,Respublika Tyva
152,Respublika Tyva,Todjinskaa,2,4,5,682,2,1,0,1,613,697,711,85,613,29,56,0,712,1,14,0,Respublika Tyva
153,Respublika Tyva,Todjinskaa,0,7,8,167,4,0,0,0,171,186,197,15,171,15,0,0,198,0,12,0,Respublika Tyva
154,Respublika Tyva,Todjinskaa,1,0,0,152,0,0,1,0,84,154,167,71,84,1,70,0,168,1,13,0,Respublika Tyva
155,Respublika Tyva,Ulug-Hemskaa,7,45,31,1146,45,0,1,8,1217,1283,1301,84,1217,84,0,0,1616,18,315,0,Respublika Tyva
156,Respublika Tyva,Ulug-Hemskaa,5,51,23,1157,9,3,1,4,1215,1253,1320,51,1266,51,0,0,1629,13,312,0,Respublika Tyva
157,Respublika Tyva,Ulug-Hemskaa,4,80,38,1016,23,3,5,5,1012,1174,1194,176,1012,176,0,0,1288,14,100,0,Respublika Tyva
158,Respublika Tyva,Ulug-Hemskaa,0,35,3,986,15,3,0,4,919,1046,1067,130,919,130,0,0,1309,3,260,0,Respublika Tyva
159,Respublika Tyva,Ulug-Hemskaa,0,0,0,358,0,0,0,0,339,358,358,19,339,19,0,0,424,0,66,0,Respublika Tyva
160,Respublika Tyva,Ulug-Hemskaa,2,17,7,1234,11,0,0,2,1111,1273,1282,169,1111,169,0,0,1406,7,126,0,Respublika Tyva
161,Respublika Tyva,Ulug-Hemskaa,0,1,1,365,1,0,0,0,359,368,413,9,359,7,2,0,413,0,45,0,Respublika Tyva
162,Respublika Tyva,Ulug-Hemskaa,0,3,0,566,2,0,0,0,510,571,575,61,510,61,0,0,571,0,0,0,Respublika Tyva
163,Respublika Tyva,Ulug-Hemskaa,0,0,0,815,0,0,0,0,770,815,818,45,770,45,0,0,818,0,3,0,Respublika Tyva
164,Respublika Tyva,Ulug-Hemskaa,2,3,0,405,1,1,1,0,336,413,413,77,336,34,43,0,452,0,39,0,Respublika Tyva
165,Respublika Tyva,Ulug-Hemskaa,0,0,0,878,0,0,0,0,842,878,881,36,842,36,0,0,879,0,1,0,Respublika Tyva
166,Respublika Tyva,Ulug-Hemskaa,0,0,0,442,3,0,0,0,403,445,445,42,403,42,0,0,447,0,2,0,Respublika Tyva
167,Respublika Tyva,Ulug-Hemskaa,0,0,0,310,0,0,0,0,254,310,312,56,254,56,0,0,310,0,0,0,Respublika Tyva
168,Respublika Tyva,Caa-Hol_skaa,6,64,10,2075,19,4,0,4,2099,2182,2230,110,2099,110,0,0,2405,27,196,0,Respublika Tyva
169,Respublika Tyva,Caa-Hol_skaa,2,14,0,476,0,0,0,0,479,492,515,35,479,35,0,0,522,22,8,0,Respublika Tyva
170,Respublika Tyva,Caa-Hol_skaa,0,2,0,172,1,0,1,0,153,176,184,23,153,4,19,0,184,0,8,0,Respublika Tyva
171,Respublika Tyva,Caa-Hol_skaa,0,11,3,650,1,0,1,0,581,666,674,85,581,85,0,0,666,0,0,0,Respublika Tyva
172,Respublika Tyva,Cedi-Hol_skaa,0,6,15,1847,25,0,0,8,1760,1901,1973,146,1760,146,0,0,2100,5,194,0,Respublika Tyva
173,Respublika Tyva,Cedi-Hol_skaa,1,8,4,607,4,1,0,0,432,625,640,194,432,26,168,0,700,1,74,0,Respublika Tyva
174,Respublika Tyva,Cedi-Hol_skaa,3,9,11,632,5,4,0,1,522,665,687,146,522,39,107,0,770,3,102,0,Respublika Tyva
175,Respublika Tyva,Cedi-Hol_skaa,1,3,0,151,1,1,0,0,129,157,161,28,129,13,15,0,170,0,13,0,Respublika Tyva
176,Respublika Tyva,Cedi-Hol_skaa,0,18,3,618,3,1,0,1,577,644,669,69,577,69,0,0,730,2,84,0,Respublika Tyva
177,Respublika Tyva,Cedi-Hol_skaa,0,1,0,157,3,0,0,0,135,161,161,26,135,14,12,0,170,0,9,0,Respublika Tyva
178,Respublika Tyva,Erzinskaa,0,0,0,568,0,0,0,0,412,568,577,156,412,16,140,0,574,0,6,0,Respublika Tyva
