ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
429,Rostovskaa oblast_,gorodskaa,5,154,93,1144,10,12,8,10,1306,1436,2827,139,1306,139,0,0,2500,9,1055,0,Rostovskaa oblast_
430,Rostovskaa oblast_,gorodskaa,8,200,101,1060,15,21,9,14,1369,1428,2472,75,1369,75,0,0,2100,16,656,0,Rostovskaa oblast_
431,Rostovskaa oblast_,gorodskaa,9,158,97,990,16,14,18,14,1270,1316,2275,61,1270,61,0,0,2000,15,669,0,Rostovskaa oblast_
432,Rostovskaa oblast_,gorodskaa,6,204,105,1124,12,15,10,5,1274,1481,2425,225,1274,225,0,0,2000,18,501,0,Rostovskaa oblast_
433,Rostovskaa oblast_,gorodskaa,10,166,96,977,7,6,7,4,1220,1273,2002,67,1220,67,0,0,1800,14,513,0,Rostovskaa oblast_
434,Rostovskaa oblast_,gorodskaa,10,163,86,1025,8,14,7,11,1290,1324,2382,52,1290,52,0,0,2100,18,758,0,Rostovskaa oblast_
435,Rostovskaa oblast_,gorodskaa,11,132,79,987,16,7,7,3,1181,1242,1977,66,1181,66,0,0,1800,5,553,0,Rostovskaa oblast_
436,Rostovskaa oblast_,gorodskaa,7,198,115,1072,20,17,12,13,1383,1454,2342,71,1383,71,0,0,2100,0,646,0,Rostovskaa oblast_
437,Rostovskaa oblast_,gorodskaa,10,136,74,1210,16,11,11,7,1432,1475,2420,55,1432,55,0,0,2200,12,713,0,Rostovskaa oblast_
438,Rostovskaa oblast_,gorodskaa,9,148,75,852,17,7,6,7,1070,1121,2048,64,1070,64,0,0,1800,13,666,0,Rostovskaa oblast_
439,Rostovskaa oblast_,gorodskaa,2,121,100,919,10,6,3,5,1112,1166,2167,70,1112,70,0,0,2000,16,818,0,Rostovskaa oblast_
440,Rostovskaa oblast_,gorodskaa,3,173,91,995,20,8,16,14,1285,1320,2313,55,1285,55,0,0,2100,20,760,0,Rostovskaa oblast_
441,Rostovskaa oblast_,gorodskaa,9,147,80,1255,15,16,7,14,1482,1543,2168,61,1482,61,0,0,2000,0,457,0,Rostovskaa oblast_
442,Rostovskaa oblast_,gorodskaa,8,163,92,1151,14,14,9,4,1443,1455,2170,27,1443,27,0,0,2000,15,530,0,Rostovskaa oblast_
443,Rostovskaa oblast_,gorodskaa,13,165,74,958,18,8,16,13,1216,1265,1989,61,1277,61,0,0,1800,12,462,0,Rostovskaa oblast_
444,Rostovskaa oblast_,gorodskaa,6,143,73,1230,14,19,11,16,1476,1512,2323,50,1476,50,0,0,2100,14,574,0,Rostovskaa oblast_
445,Rostovskaa oblast_,gorodskaa,4,126,76,901,16,12,5,6,1124,1146,2116,38,1124,38,0,0,1900,16,738,0,Rostovskaa oblast_
446,Rostovskaa oblast_,gorodskaa,10,182,109,1092,21,13,20,7,1423,1454,2302,37,1423,37,0,0,2000,6,540,0,Rostovskaa oblast_
447,Rostovskaa oblast_,gorodskaa,3,83,51,450,15,6,5,5,596,618,1053,22,596,22,0,0,900,0,282,0,Rostovskaa oblast_
448,Rostovskaa oblast_,gorodskaa,10,125,103,1126,10,13,7,1,1334,1395,1990,67,1334,67,0,0,1800,6,399,0,Rostovskaa oblast_
449,Rostovskaa oblast_,gorodskaa,2,33,62,1151,5,3,6,1,1200,1263,1715,66,1200,66,0,0,1600,3,334,0,Rostovskaa oblast_
450,Rostovskaa oblast_,gorodskaa,12,234,81,1252,25,13,15,11,1628,1643,2753,34,1628,34,0,0,2600,19,938,0,Rostovskaa oblast_
451,Rostovskaa oblast_,gorodskaa,13,187,84,1122,26,13,14,19,1424,1478,2625,78,1424,78,0,0,2400,24,898,0,Rostovskaa oblast_
452,Rostovskaa oblast_,gorodskaa,19,146,98,1193,26,13,16,18,1506,1529,2417,44,1506,44,0,0,2200,21,650,0,Rostovskaa oblast_
453,Rostovskaa oblast_,gorodskaa,12,213,90,1469,24,14,16,16,1838,1854,2758,28,1838,28,0,0,2500,12,634,0,Rostovskaa oblast_
454,Rostovskaa oblast_,gorodskaa,15,225,102,1092,26,13,14,12,1482,1499,2475,35,1482,35,0,0,2300,18,783,0,Rostovskaa oblast_
455,Rostovskaa oblast_,gorodskaa,8,175,96,1220,23,13,16,12,1563,1563,2490,22,1563,22,0,0,2200,22,615,0,Rostovskaa oblast_
456,Rostovskaa oblast_,gorodskaa,13,187,89,1253,27,15,12,12,1595,1608,2544,38,1595,38,0,0,2300,25,667,0,Rostovskaa oblast_
457,Rostovskaa oblast_,gorodskaa,23,231,173,1543,19,21,12,11,2001,2033,2790,48,2001,48,0,0,2500,16,451,0,Rostovskaa oblast_
458,Rostovskaa oblast_,gorodskaa,10,212,113,1331,25,9,15,6,1597,1721,2808,145,1597,145,0,0,2600,21,858,0,Rostovskaa oblast_
459,Rostovskaa oblast_,gorodskaa,13,190,86,1155,16,12,16,10,1464,1498,2427,54,1464,54,0,0,2200,20,682,0,Rostovskaa oblast_
460,Rostovskaa oblast_,gorodskaa,10,184,108,1088,14,14,10,6,1425,1434,2287,30,1426,30,0,0,2100,21,644,0,Rostovskaa oblast_
461,Rostovskaa oblast_,gorodskaa,14,198,87,994,28,12,10,8,1343,1351,2219,18,1361,18,0,0,2000,10,621,0,Rostovskaa oblast_
462,Rostovskaa oblast_,gorodskaa,8,248,112,1285,24,8,16,15,1697,1716,2688,36,1697,36,0,0,2400,17,667,0,Rostovskaa oblast_
463,Rostovskaa oblast_,gorodskaa,6,171,85,1328,22,20,13,13,1617,1658,2614,41,1617,41,0,0,2400,0,742,0,Rostovskaa oblast_
464,Rostovskaa oblast_,gorodskaa,7,164,32,920,7,9,7,7,1130,1153,2275,38,1130,38,0,0,2000,15,832,0,Rostovskaa oblast_
465,Rostovskaa oblast_,gorodskaa,9,256,86,1360,16,13,10,11,1730,1761,2594,57,1730,57,0,0,2400,26,613,0,Rostovskaa oblast_
466,Rostovskaa oblast_,gorodskaa,9,225,100,1333,26,18,15,14,1723,1740,2655,36,1723,36,0,0,2400,19,641,0,Rostovskaa oblast_
467,Rostovskaa oblast_,gorodskaa,10,235,117,1493,35,21,19,14,1927,1944,2956,39,1927,39,0,0,2700,22,734,0,Rostovskaa oblast_
468,Rostovskaa oblast_,gorodskaa,14,215,141,1379,27,17,8,15,1667,1816,2773,159,1667,159,0,0,2400,10,574,0,Rostovskaa oblast_
469,Rostovskaa oblast_,gorodskaa,11,249,97,1575,25,19,20,14,2002,2010,2798,37,2002,37,0,0,2600,29,561,0,Rostovskaa oblast_
470,Rostovskaa oblast_,gorodskaa,17,216,112,1302,22,15,16,9,1706,1709,2741,37,1707,37,0,0,2500,34,756,0,Rostovskaa oblast_
471,Rostovskaa oblast_,gorodskaa,12,207,103,1183,21,17,8,13,1542,1564,2555,35,1542,35,0,0,2300,13,723,0,Rostovskaa oblast_
472,Rostovskaa oblast_,gorodskaa,10,176,82,1158,12,8,17,10,1453,1473,2314,38,1453,38,0,0,2100,18,609,0,Rostovskaa oblast_
473,Rostovskaa oblast_,gorodskaa,16,237,93,1259,26,16,7,13,1656,1667,2760,27,1656,27,0,0,2500,16,817,0,Rostovskaa oblast_
474,Rostovskaa oblast_,gorodskaa,9,211,92,1192,25,12,14,12,1555,1567,2285,12,1555,12,0,0,2100,0,533,0,Rostovskaa oblast_
475,Rostovskaa oblast_,gorodskaa,6,194,83,993,15,8,13,8,1312,1320,2444,28,1312,28,0,0,2200,20,860,0,Rostovskaa oblast_
476,Rostovskaa oblast_,gorodskaa,7,161,78,976,14,6,6,8,1247,1256,2048,20,1247,20,0,0,1900,11,633,0,Rostovskaa oblast_
477,Rostovskaa oblast_,gorodskaa,3,242,88,907,19,10,11,7,1273,1287,1920,21,1273,21,0,0,1700,7,406,0,Rostovskaa oblast_
478,Rostovskaa oblast_,gorodskaa,7,248,145,961,12,7,7,5,1377,1392,1989,24,1401,24,0,0,1800,9,375,0,Rostovskaa oblast_
479,Rostovskaa oblast_,gorodskaa,5,154,88,1102,16,18,9,12,1400,1404,1852,17,1400,17,0,0,1700,13,283,0,Rostovskaa oblast_
480,Rostovskaa oblast_,gorodskaa,12,247,142,1549,28,17,17,12,2019,2024,2669,28,2019,28,0,0,2500,23,453,0,Rostovskaa oblast_
481,Rostovskaa oblast_,gorodskaa,8,216,126,1173,17,17,11,6,1574,1574,2214,20,1574,20,0,0,1900,20,306,0,Rostovskaa oblast_
482,Rostovskaa oblast_,Volgodonskaa,2,31,11,317,3,1,1,0,358,366,443,8,358,8,0,0,420,0,54,0,Rostovskaa oblast_
