ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
141,Sahalinskaa oblast_,Poronajskaa,9,302,143,911,12,6,8,9,1401,1400,2434,38,1401,38,0,0,2521,39,1082,0,Sahalinskaa oblast_
142,Sahalinskaa oblast_,Poronajskaa,7,162,103,575,14,6,6,5,802,878,1566,96,802,96,0,0,1508,20,610,0,Sahalinskaa oblast_
143,Sahalinskaa oblast_,Poronajskaa,6,225,152,796,7,11,10,12,1202,1219,2143,50,1202,50,0,0,2196,33,944,0,Sahalinskaa oblast_
144,Sahalinskaa oblast_,Poronajskaa,12,220,101,843,18,9,6,4,1179,1213,1970,57,1179,57,0,0,2060,23,824,0,Sahalinskaa oblast_
145,Sahalinskaa oblast_,Poronajskaa,10,235,118,769,19,4,5,7,1169,1167,2023,35,1169,35,0,0,2084,37,880,0,Sahalinskaa oblast_
146,Sahalinskaa oblast_,Poronajskaa,8,154,100,579,11,3,5,5,856,865,1626,34,856,34,0,0,1616,25,726,0,Sahalinskaa oblast_
147,Sahalinskaa oblast_,Poronajskaa,3,82,49,345,5,5,2,3,480,494,931,24,480,24,0,0,969,10,465,0,Sahalinskaa oblast_
149,Sahalinskaa oblast_,Poronajskaa,2,202,124,582,14,10,6,2,835,942,1624,120,835,120,0,0,1806,13,851,0,Sahalinskaa oblast_
150,Sahalinskaa oblast_,Poronajskaa,9,263,113,685,13,9,8,1,1073,1101,1922,63,1073,63,0,0,1973,35,837,0,Sahalinskaa oblast_
151,Sahalinskaa oblast_,Poronajskaa,0,60,48,369,1,2,0,4,375,484,714,119,375,119,0,0,695,10,201,0,Sahalinskaa oblast_
152,Sahalinskaa oblast_,Poronajskaa,2,21,12,171,6,1,2,0,199,215,328,18,199,18,0,0,392,2,175,0,Sahalinskaa oblast_
153,Sahalinskaa oblast_,Poronajskaa,7,55,45,531,3,4,5,4,642,654,871,57,642,57,0,0,969,45,270,0,Sahalinskaa oblast_
154,Sahalinskaa oblast_,Poronajskaa,0,9,5,44,1,1,0,0,54,60,77,7,54,7,0,0,91,1,30,0,Sahalinskaa oblast_
155,Sahalinskaa oblast_,Poronajskaa,1,9,10,109,1,2,1,0,135,133,149,0,135,0,0,0,183,2,48,0,Sahalinskaa oblast_
157,Sahalinskaa oblast_,Poronajskaa,0,28,23,156,0,0,1,0,186,208,260,23,186,23,0,0,299,1,90,0,Sahalinskaa oblast_
160,Sahalinskaa oblast_,Severo-Kuril_skaa,1,116,99,727,10,8,10,5,949,976,1712,40,951,29,11,0,1750,13,759,0,Sahalinskaa oblast_
163,Sahalinskaa oblast_,Smirnyhovskaa,2,105,66,379,10,6,1,0,472,569,884,110,472,110,0,0,900,13,318,0,Sahalinskaa oblast_
164,Sahalinskaa oblast_,Smirnyhovskaa,3,69,46,163,1,1,0,0,216,283,385,71,216,71,0,0,350,4,63,0,Sahalinskaa oblast_
165,Sahalinskaa oblast_,Smirnyhovskaa,2,83,38,279,3,3,1,2,353,411,639,67,353,67,0,0,750,9,330,0,Sahalinskaa oblast_
166,Sahalinskaa oblast_,Smirnyhovskaa,4,128,61,247,6,5,4,0,449,455,672,22,449,22,0,0,700,16,229,0,Sahalinskaa oblast_
168,Sahalinskaa oblast_,Smirnyhovskaa,2,35,18,118,5,1,2,0,155,181,185,30,155,30,0,0,300,4,115,0,Sahalinskaa oblast_
169,Sahalinskaa oblast_,Smirnyhovskaa,6,90,41,245,2,2,0,1,360,387,603,38,360,38,0,0,600,11,202,0,Sahalinskaa oblast_
170,Sahalinskaa oblast_,Smirnyhovskaa,10,351,142,807,19,9,6,5,1267,1349,1890,128,1269,128,0,0,2000,46,603,0,Sahalinskaa oblast_
171,Sahalinskaa oblast_,Smirnyhovskaa,8,281,113,714,6,15,10,8,1118,1155,1701,64,1118,64,0,0,1800,27,618,0,Sahalinskaa oblast_
172,Sahalinskaa oblast_,Smirnyhovskaa,1,51,32,185,7,1,2,1,216,280,350,71,216,71,0,0,400,7,113,0,Sahalinskaa oblast_
173,Sahalinskaa oblast_,Smirnyhovskaa,4,73,33,227,5,3,1,2,277,348,375,81,277,81,0,0,500,10,142,0,Sahalinskaa oblast_
174,Sahalinskaa oblast_,Smirnyhovskaa,0,19,17,49,1,3,0,1,93,90,93,0,93,0,0,0,120,3,27,0,Sahalinskaa oblast_
177,Sahalinskaa oblast_,Tomarinskaa,0,65,41,544,6,6,2,8,564,672,1259,117,564,117,0,0,1200,9,519,0,Sahalinskaa oblast_
178,Sahalinskaa oblast_,Tomarinskaa,2,23,25,336,4,3,0,2,344,395,613,61,344,44,17,0,600,10,195,0,Sahalinskaa oblast_
179,Sahalinskaa oblast_,Tomarinskaa,5,65,47,343,2,0,1,2,398,465,727,71,398,71,0,0,700,4,231,0,Sahalinskaa oblast_
180,Sahalinskaa oblast_,Tomarinskaa,0,23,11,123,1,1,2,0,161,161,179,0,161,0,0,0,200,0,39,0,Sahalinskaa oblast_
181,Sahalinskaa oblast_,Tomarinskaa,5,159,145,657,19,4,6,5,269,1000,1107,734,270,16,718,0,1100,3,96,0,Sahalinskaa oblast_
182,Sahalinskaa oblast_,Tomarinskaa,0,13,25,93,1,1,2,1,121,136,162,15,121,15,0,0,160,0,24,0,Sahalinskaa oblast_
183,Sahalinskaa oblast_,Tomarinskaa,2,16,45,244,3,1,0,0,291,311,384,24,291,24,0,0,390,4,75,0,Sahalinskaa oblast_
184,Sahalinskaa oblast_,Tomarinskaa,0,6,10,163,1,0,0,0,175,180,277,9,175,9,0,0,300,4,116,0,Sahalinskaa oblast_
185,Sahalinskaa oblast_,Tomarinskaa,3,71,48,172,3,0,2,7,240,306,471,75,240,75,0,0,450,9,135,0,Sahalinskaa oblast_
187,Sahalinskaa oblast_,Tomarinskaa,11,110,90,692,14,12,6,3,783,938,1579,185,783,153,32,0,1500,30,532,0,Sahalinskaa oblast_
188,Sahalinskaa oblast_,Tomarinskaa,11,209,124,689,20,10,5,18,1049,1086,1787,62,1049,62,0,0,1600,25,489,0,Sahalinskaa oblast_
192,Sahalinskaa oblast_,Tymovskaa,7,75,48,269,3,1,4,2,374,409,779,40,374,40,0,0,746,5,332,0,Sahalinskaa oblast_
194,Sahalinskaa oblast_,Tymovskaa,1,9,8,140,0,1,2,1,128,162,236,35,128,35,0,0,227,1,64,0,Sahalinskaa oblast_
196,Sahalinskaa oblast_,Tymovskaa,3,39,38,193,3,3,2,5,273,286,428,19,273,19,0,0,398,6,106,0,Sahalinskaa oblast_
198,Sahalinskaa oblast_,Tymovskaa,2,71,58,289,6,3,2,4,416,435,741,26,416,26,0,0,713,7,271,0,Sahalinskaa oblast_
199,Sahalinskaa oblast_,Tymovskaa,3,69,38,221,1,3,1,0,291,336,621,57,291,57,0,0,593,12,245,0,Sahalinskaa oblast_
201,Sahalinskaa oblast_,Tymovskaa,6,155,87,446,7,6,10,8,702,725,1327,35,703,35,0,0,1250,12,511,1,Sahalinskaa oblast_
202,Sahalinskaa oblast_,Tymovskaa,6,157,63,505,8,7,10,4,740,760,1203,32,740,32,0,0,1115,12,343,0,Sahalinskaa oblast_
203,Sahalinskaa oblast_,Tymovskaa,4,114,36,314,2,8,5,1,473,484,865,17,473,17,0,0,800,6,310,0,Sahalinskaa oblast_
204,Sahalinskaa oblast_,Tymovskaa,7,159,83,478,6,8,5,5,745,751,1583,32,745,32,0,0,1476,26,699,0,Sahalinskaa oblast_
206,Sahalinskaa oblast_,Tymovskaa,11,91,69,322,6,2,3,4,460,508,915,58,460,58,0,0,832,10,314,0,Sahalinskaa oblast_
207,Sahalinskaa oblast_,Tymovskaa,3,42,32,212,5,2,0,0,257,296,513,43,257,43,0,0,485,4,185,0,Sahalinskaa oblast_
209,Sahalinskaa oblast_,Tymovskaa,1,55,47,245,4,2,2,3,335,359,536,28,335,28,0,0,512,4,149,0,Sahalinskaa oblast_
210,Sahalinskaa oblast_,Tymovskaa,9,87,75,364,4,7,2,9,491,557,885,76,491,76,0,0,814,10,247,0,Sahalinskaa oblast_
211,Sahalinskaa oblast_,Tymovskaa,1,26,12,115,1,2,0,1,148,158,250,12,148,12,0,0,236,2,76,0,Sahalinskaa oblast_
212,Sahalinskaa oblast_,Tymovskaa,4,85,69,375,5,2,4,3,535,547,954,21,535,21,0,0,900,9,344,0,Sahalinskaa oblast_
213,Sahalinskaa oblast_,Tymovskaa,0,5,5,33,0,0,0,0,39,43,91,4,39,4,0,0,104,0,61,0,Sahalinskaa oblast_
214,Sahalinskaa oblast_,Uglegorskaa,0,34,19,181,2,1,1,3,236,241,421,10,236,10,0,0,460,5,214,0,Sahalinskaa oblast_
215,Sahalinskaa oblast_,Uglegorskaa,0,28,22,209,4,2,0,0,265,265,419,4,265,4,0,0,410,4,141,0,Sahalinskaa oblast_
216,Sahalinskaa oblast_,Uglegorskaa,2,13,20,112,2,1,0,0,143,150,329,11,143,11,0,0,370,4,216,0,Sahalinskaa oblast_
218,Sahalinskaa oblast_,Uglegorskaa,0,53,13,108,0,0,0,0,141,174,356,33,141,33,0,0,400,0,226,0,Sahalinskaa oblast_
219,Sahalinskaa oblast_,Uglegorskaa,3,140,59,286,6,5,5,0,503,504,1000,7,503,7,0,0,1070,6,560,0,Sahalinskaa oblast_
220,Sahalinskaa oblast_,Uglegorskaa,0,175,47,346,11,5,1,3,578,588,1285,21,578,21,0,0,1400,11,801,0,Sahalinskaa oblast_
221,Sahalinskaa oblast_,Uglegorskaa,1,95,41,206,1,4,2,2,353,352,719,5,353,5,0,0,800,6,442,0,Sahalinskaa oblast_
222,Sahalinskaa oblast_,Uglegorskaa,5,119,66,350,2,3,4,3,542,552,1166,14,542,14,0,0,1230,4,674,0,Sahalinskaa oblast_
223,Sahalinskaa oblast_,Uglegorskaa,3,126,63,305,6,3,6,4,518,516,966,10,518,10,0,0,950,12,422,0,Sahalinskaa oblast_
224,Sahalinskaa oblast_,Uglegorskaa,2,126,39,252,6,3,2,3,426,433,911,21,426,21,0,0,1000,14,553,0,Sahalinskaa oblast_
226,Sahalinskaa oblast_,Uglegorskaa,5,163,69,478,10,4,2,2,712,733,1421,28,712,28,0,0,1550,7,810,0,Sahalinskaa oblast_
227,Sahalinskaa oblast_,Uglegorskaa,5,191,59,601,5,5,3,4,846,873,1833,44,846,44,0,0,1920,17,1030,0,Sahalinskaa oblast_
228,Sahalinskaa oblast_,Uglegorskaa,6,191,76,550,9,9,2,7,781,850,1500,87,781,87,0,0,1600,18,732,0,Sahalinskaa oblast_
229,Sahalinskaa oblast_,Uglegorskaa,5,133,52,447,4,4,1,4,641,650,1321,25,641,25,0,0,1400,16,734,0,Sahalinskaa oblast_
230,Sahalinskaa oblast_,Uglegorskaa,4,101,43,358,7,4,2,1,514,520,1078,13,514,13,0,0,1120,7,593,0,Sahalinskaa oblast_
232,Sahalinskaa oblast_,Uglegorskaa,2,89,74,360,3,8,4,1,520,541,1146,30,520,30,0,0,1200,9,650,0,Sahalinskaa oblast_
235,Sahalinskaa oblast_,Uglegorskaa,5,64,44,298,1,4,0,5,397,421,752,33,397,33,0,0,730,9,300,0,Sahalinskaa oblast_
236,Sahalinskaa oblast_,Uglegorskaa,0,8,10,88,0,1,0,1,102,108,210,7,102,7,0,0,230,1,121,0,Sahalinskaa oblast_
237,Sahalinskaa oblast_,Uglegorskaa,1,33,8,90,0,1,0,0,122,133,283,11,122,11,0,0,320,0,187,0,Sahalinskaa oblast_
238,Sahalinskaa oblast_,Uglegorskaa,1,30,8,133,0,2,0,0,167,174,333,12,167,12,0,0,380,5,201,0,Sahalinskaa oblast_
239,Sahalinskaa oblast_,Uglegorskaa,0,6,3,51,2,0,0,0,58,62,136,4,58,4,0,0,160,0,98,0,Sahalinskaa oblast_
240,Sahalinskaa oblast_,Holmskaa,3,7,1,42,0,0,1,0,51,54,128,5,51,5,0,0,150,2,94,0,Sahalinskaa oblast_
241,Sahalinskaa oblast_,Holmskaa,4,191,66,616,8,2,6,0,868,893,1978,43,868,43,0,0,2100,18,1189,0,Sahalinskaa oblast_
243,Sahalinskaa oblast_,Holmskaa,8,94,41,265,6,3,3,4,374,424,1022,52,374,52,0,0,1000,2,574,0,Sahalinskaa oblast_
244,Sahalinskaa oblast_,Holmskaa,5,105,37,450,6,2,1,1,572,607,1007,46,572,46,0,0,950,11,332,0,Sahalinskaa oblast_
245,Sahalinskaa oblast_,Holmskaa,3,25,34,271,5,0,1,2,291,341,506,56,291,56,0,0,450,6,103,0,Sahalinskaa oblast_
247,Sahalinskaa oblast_,Holmskaa,1,28,13,71,1,0,0,0,104,114,201,13,104,13,0,0,200,3,83,0,Sahalinskaa oblast_
248,Sahalinskaa oblast_,Holmskaa,12,73,61,422,6,5,6,5,572,590,1124,27,572,27,0,0,1100,9,501,0,Sahalinskaa oblast_
249,Sahalinskaa oblast_,Holmskaa,0,18,13,68,1,0,0,0,98,100,222,4,98,4,0,0,200,2,98,0,Sahalinskaa oblast_
250,Sahalinskaa oblast_,Holmskaa,2,34,26,144,4,3,3,1,167,217,467,55,167,55,0,0,400,5,178,0,Sahalinskaa oblast_
251,Sahalinskaa oblast_,Holmskaa,8,146,57,517,10,9,4,5,751,756,1504,17,751,17,0,0,1550,12,782,0,Sahalinskaa oblast_
253,Sahalinskaa oblast_,Holmskaa,9,182,76,694,17,5,10,3,975,996,1924,36,975,36,0,0,2000,15,989,0,Sahalinskaa oblast_
254,Sahalinskaa oblast_,Holmskaa,5,82,48,281,3,3,3,5,423,430,818,16,423,16,0,0,800,9,361,0,Sahalinskaa oblast_
256,Sahalinskaa oblast_,Holmskaa,14,216,91,817,13,8,12,10,1168,1181,2506,33,1168,33,0,0,2500,20,1299,0,Sahalinskaa oblast_
257,Sahalinskaa oblast_,Holmskaa,5,175,90,620,14,3,8,5,891,920,1805,53,891,53,0,0,1700,24,756,0,Sahalinskaa oblast_
258,Sahalinskaa oblast_,Holmskaa,3,94,52,408,8,6,4,6,577,581,1107,21,577,21,0,0,1100,17,502,0,Sahalinskaa oblast_
259,Sahalinskaa oblast_,Holmskaa,6,188,97,680,16,5,5,11,991,1008,1890,33,991,33,0,0,1850,16,826,0,Sahalinskaa oblast_
260,Sahalinskaa oblast_,Holmskaa,8,205,81,740,23,4,8,9,1089,1078,1925,11,1089,11,0,0,2000,22,900,0,Sahalinskaa oblast_
261,Sahalinskaa oblast_,Holmskaa,10,211,107,782,15,8,9,7,1115,1149,2138,53,1115,53,0,0,2200,19,1032,0,Sahalinskaa oblast_
262,Sahalinskaa oblast_,Holmskaa,3,116,38,389,10,3,6,2,555,567,1058,17,555,17,0,0,1100,5,528,0,Sahalinskaa oblast_
264,Sahalinskaa oblast_,Holmskaa,9,242,81,852,30,4,4,12,1221,1234,1980,63,1221,63,0,0,1950,50,666,0,Sahalinskaa oblast_
265,Sahalinskaa oblast_,Holmskaa,2,73,31,222,3,1,1,4,336,337,743,6,336,6,0,0,700,5,358,0,Sahalinskaa oblast_
266,Sahalinskaa oblast_,Holmskaa,11,189,97,701,14,6,11,5,1006,1034,1994,48,1006,48,0,0,2050,20,996,0,Sahalinskaa oblast_
267,Sahalinskaa oblast_,Holmskaa,5,183,107,790,12,12,8,7,1111,1124,2268,35,1111,35,0,0,2350,22,1204,0,Sahalinskaa oblast_
269,Sahalinskaa oblast_,Holmskaa,7,169,102,695,8,8,1,9,927,999,1978,91,927,91,0,0,1900,19,882,0,Sahalinskaa oblast_
271,Sahalinskaa oblast_,Holmskaa,4,125,72,355,8,5,2,3,565,574,1171,20,565,20,0,0,1100,11,515,0,Sahalinskaa oblast_
274,Sahalinskaa oblast_,Ujno-Kuril_skaa,6,76,62,569,13,5,3,6,721,740,1265,23,721,23,0,0,1216,4,472,0,Sahalinskaa oblast_
275,Sahalinskaa oblast_,Ujno-Kuril_skaa,2,71,51,1009,5,3,7,8,856,1156,1156,300,856,0,300,0,1156,0,0,0,Sahalinskaa oblast_
276,Sahalinskaa oblast_,Ujno-Kuril_skaa,3,53,63,547,14,1,2,1,482,684,708,211,482,0,211,0,715,9,22,0,Sahalinskaa oblast_
277,Sahalinskaa oblast_,Ujno-Kuril_skaa,6,40,83,445,9,1,4,1,563,589,844,37,563,37,0,0,733,11,133,0,Sahalinskaa oblast_
278,Sahalinskaa oblast_,Ujno-Kuril_skaa,5,44,65,463,9,2,1,5,571,594,845,30,571,30,0,0,859,7,258,0,Sahalinskaa oblast_
279,Sahalinskaa oblast_,Ujno-Kuril_skaa,0,8,4,190,8,1,0,0,209,211,218,5,209,5,0,0,228,3,14,0,Sahalinskaa oblast_
