ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Samarskaa oblast_,Isaklinskaa,9,264,117,991,17,5,7,4,1307,1414,1774,123,1307,123,0,0,1878,16,448,0,Samarskaa oblast_
1002,Samarskaa oblast_,Isaklinskaa,9,199,87,842,5,12,9,6,1067,1169,1470,108,1067,108,0,0,1603,6,428,0,Samarskaa oblast_
1003,Samarskaa oblast_,Isaklinskaa,1,7,17,191,1,0,0,0,177,217,234,43,177,43,0,0,254,3,34,0,Samarskaa oblast_
1004,Samarskaa oblast_,Isaklinskaa,0,5,2,114,0,0,0,1,112,122,132,11,112,11,0,0,141,1,18,0,Samarskaa oblast_
1005,Samarskaa oblast_,Isaklinskaa,0,24,26,244,2,1,0,0,258,297,308,39,258,39,0,0,332,0,35,0,Samarskaa oblast_
1006,Samarskaa oblast_,Isaklinskaa,0,14,5,93,0,1,0,0,98,113,121,18,98,18,0,0,140,3,24,0,Samarskaa oblast_
1007,Samarskaa oblast_,Isaklinskaa,2,28,16,195,2,2,3,1,209,249,279,43,209,43,0,0,311,3,59,0,Samarskaa oblast_
1008,Samarskaa oblast_,Isaklinskaa,1,14,5,169,1,1,1,0,169,192,202,23,169,23,0,0,222,0,30,0,Samarskaa oblast_
1009,Samarskaa oblast_,Isaklinskaa,1,4,2,102,2,0,0,0,104,111,114,7,104,7,0,0,119,0,8,0,Samarskaa oblast_
1010,Samarskaa oblast_,Isaklinskaa,2,11,13,159,0,1,0,0,144,186,186,42,144,42,0,0,195,0,9,0,Samarskaa oblast_
1011,Samarskaa oblast_,Isaklinskaa,1,14,2,75,0,0,0,0,75,92,96,17,75,17,0,0,99,0,7,0,Samarskaa oblast_
1012,Samarskaa oblast_,Isaklinskaa,0,13,7,103,0,1,2,0,112,126,128,14,112,14,0,0,151,0,25,0,Samarskaa oblast_
1013,Samarskaa oblast_,Isaklinskaa,0,12,19,102,1,1,0,0,103,135,148,35,103,35,0,0,164,3,26,0,Samarskaa oblast_
1014,Samarskaa oblast_,Isaklinskaa,0,11,11,56,0,1,0,0,60,79,81,19,60,19,0,0,83,0,4,0,Samarskaa oblast_
1015,Samarskaa oblast_,Isaklinskaa,5,54,38,518,5,0,2,3,582,625,677,48,582,48,0,0,776,5,146,0,Samarskaa oblast_
1016,Samarskaa oblast_,Isaklinskaa,1,32,33,374,3,1,0,2,415,446,458,34,415,34,0,0,518,3,69,0,Samarskaa oblast_
1017,Samarskaa oblast_,Isaklinskaa,2,21,19,284,2,1,1,0,272,330,351,58,272,58,0,0,401,0,71,0,Samarskaa oblast_
1018,Samarskaa oblast_,Isaklinskaa,1,61,44,413,7,6,8,1,519,541,607,28,519,28,0,0,710,6,163,0,Samarskaa oblast_
1019,Samarskaa oblast_,Isaklinskaa,0,11,7,142,1,2,2,1,146,166,175,20,146,20,0,0,205,0,39,0,Samarskaa oblast_
1020,Samarskaa oblast_,Isaklinskaa,1,34,21,248,4,3,2,0,259,313,346,57,259,57,0,0,348,3,32,0,Samarskaa oblast_
1021,Samarskaa oblast_,Isaklinskaa,2,18,14,126,2,1,1,0,149,164,174,17,149,17,0,0,200,2,34,0,Samarskaa oblast_
1022,Samarskaa oblast_,Isaklinskaa,2,22,11,204,2,1,0,0,211,242,263,33,211,33,0,0,265,2,21,0,Samarskaa oblast_
1023,Samarskaa oblast_,Isaklinskaa,3,31,19,190,2,1,2,1,217,249,262,33,217,33,0,0,284,1,34,0,Samarskaa oblast_
1024,Samarskaa oblast_,Isaklinskaa,2,18,15,187,0,2,0,0,189,224,259,35,189,35,0,0,335,0,111,0,Samarskaa oblast_
1025,Samarskaa oblast_,Isaklinskaa,2,67,30,441,7,0,1,1,469,549,582,87,469,87,0,0,654,7,98,0,Samarskaa oblast_
1101,Samarskaa oblast_,Kamyslinskaa,3,28,2,183,0,1,0,0,197,217,222,21,197,21,0,0,229,1,11,0,Samarskaa oblast_
1102,Samarskaa oblast_,Kamyslinskaa,0,21,7,127,1,0,0,1,131,157,173,26,131,26,0,0,178,0,21,0,Samarskaa oblast_
