ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
778,Saratovskaa oblast_,Voskresenskaa,3,13,3,319,1,2,0,1,324,342,360,19,324,19,0,0,356,1,13,0,Saratovskaa oblast_
779,Saratovskaa oblast_,Voskresenskaa,2,16,12,353,4,4,0,1,375,392,515,45,375,45,0,0,487,28,67,0,Saratovskaa oblast_
780,Saratovskaa oblast_,Voskresenskaa,0,6,5,164,2,2,0,1,157,180,180,23,157,23,0,0,192,0,12,0,Saratovskaa oblast_
781,Saratovskaa oblast_,Voskresenskaa,8,160,73,804,10,9,3,9,1024,1076,1702,76,1024,76,0,0,1716,24,616,0,Saratovskaa oblast_
782,Saratovskaa oblast_,Voskresenskaa,1,5,9,266,4,0,0,1,234,286,361,55,234,55,0,0,341,3,52,0,Saratovskaa oblast_
783,Saratovskaa oblast_,Voskresenskaa,2,4,10,276,1,1,0,0,282,294,331,16,282,16,0,0,336,4,38,0,Saratovskaa oblast_
784,Saratovskaa oblast_,Voskresenskaa,2,14,10,176,3,2,0,4,187,211,275,26,187,26,0,0,272,2,59,0,Saratovskaa oblast_
785,Saratovskaa oblast_,Voskresenskaa,3,38,27,356,3,3,2,1,346,433,709,90,346,90,0,0,755,3,319,0,Saratovskaa oblast_
786,Saratovskaa oblast_,Voskresenskaa,1,3,12,263,1,2,0,0,206,282,343,76,206,76,0,0,336,0,54,0,Saratovskaa oblast_
787,Saratovskaa oblast_,Voskresenskaa,7,33,6,188,3,0,2,0,185,239,302,54,185,54,0,0,312,0,73,0,Saratovskaa oblast_
788,Saratovskaa oblast_,Voskresenskaa,0,11,7,75,1,1,0,0,71,95,171,26,71,26,0,0,171,2,74,0,Saratovskaa oblast_
789,Saratovskaa oblast_,Voskresenskaa,2,4,3,214,0,0,0,0,195,223,235,28,195,28,0,0,261,0,38,0,Saratovskaa oblast_
790,Saratovskaa oblast_,Voskresenskaa,1,14,11,249,1,0,0,0,204,276,336,76,204,76,0,0,347,4,67,0,Saratovskaa oblast_
791,Saratovskaa oblast_,Voskresenskaa,0,2,17,198,2,0,0,0,197,219,259,23,197,23,0,0,266,1,46,0,Saratovskaa oblast_
792,Saratovskaa oblast_,Voskresenskaa,0,10,6,77,2,1,0,0,80,96,137,16,80,16,0,0,138,0,42,0,Saratovskaa oblast_
793,Saratovskaa oblast_,Voskresenskaa,0,8,3,84,0,0,1,0,79,96,105,17,79,17,0,0,106,0,10,0,Saratovskaa oblast_
794,Saratovskaa oblast_,Voskresenskaa,3,75,60,543,6,2,2,2,601,693,927,100,601,100,0,0,990,8,289,0,Saratovskaa oblast_
795,Saratovskaa oblast_,Voskresenskaa,5,97,66,872,5,6,4,5,953,1060,1469,115,953,115,0,0,1513,8,445,0,Saratovskaa oblast_
796,Saratovskaa oblast_,Dergacevskaa,6,142,37,623,2,6,5,2,662,823,974,171,662,171,0,0,1016,10,183,0,Saratovskaa oblast_
797,Saratovskaa oblast_,Dergacevskaa,1,105,33,355,4,4,3,0,406,505,634,104,406,104,0,0,690,5,180,0,Saratovskaa oblast_
798,Saratovskaa oblast_,Dergacevskaa,6,141,42,421,1,4,1,2,531,618,963,94,531,94,0,0,1015,7,390,0,Saratovskaa oblast_
799,Saratovskaa oblast_,Dergacevskaa,0,52,30,450,1,2,0,1,438,536,611,100,438,100,0,0,672,2,134,0,Saratovskaa oblast_
800,Saratovskaa oblast_,Dergacevskaa,2,105,20,637,2,3,1,3,586,773,953,190,586,190,0,0,1000,3,224,0,Saratovskaa oblast_
801,Saratovskaa oblast_,Dergacevskaa,1,103,14,570,3,4,2,1,567,698,944,138,567,138,0,0,925,7,220,0,Saratovskaa oblast_
802,Saratovskaa oblast_,Dergacevskaa,0,20,1,212,0,1,0,0,188,234,257,46,188,46,0,0,265,0,31,0,Saratovskaa oblast_
803,Saratovskaa oblast_,Dergacevskaa,4,121,41,466,3,5,2,3,513,645,987,149,513,149,0,0,1050,17,388,0,Saratovskaa oblast_
804,Saratovskaa oblast_,Dergacevskaa,5,136,42,535,2,8,1,2,553,731,1162,189,553,190,0,0,1231,11,488,0,Saratovskaa oblast_
805,Saratovskaa oblast_,Dergacevskaa,0,39,3,455,0,0,0,1,435,498,536,63,435,63,0,0,590,0,92,0,Saratovskaa oblast_
806,Saratovskaa oblast_,Dergacevskaa,0,15,13,470,1,3,3,0,452,505,525,53,452,53,0,0,565,0,60,0,Saratovskaa oblast_
