ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
211,Smolenskaa oblast_,Ersicskaa,10,210,85,945,6,13,6,8,1194,1283,1880,94,1194,94,0,0,1962,5,674,0,Smolenskaa oblast_
212,Smolenskaa oblast_,Ersicskaa,7,90,52,460,3,8,3,2,488,625,979,141,488,141,0,0,1003,4,374,0,Smolenskaa oblast_
213,Smolenskaa oblast_,Ersicskaa,3,12,11,82,1,0,0,0,77,109,134,32,77,32,0,0,140,0,31,0,Smolenskaa oblast_
214,Smolenskaa oblast_,Ersicskaa,2,14,3,143,0,0,1,0,120,163,211,47,120,47,0,0,208,4,41,0,Smolenskaa oblast_
215,Smolenskaa oblast_,Ersicskaa,7,40,41,373,2,5,0,3,375,471,704,99,375,99,0,0,708,3,234,0,Smolenskaa oblast_
216,Smolenskaa oblast_,Ersicskaa,1,29,6,123,2,1,0,0,105,162,208,58,105,58,0,0,214,1,51,0,Smolenskaa oblast_
217,Smolenskaa oblast_,Ersicskaa,0,17,8,134,0,2,2,0,137,163,216,27,137,27,0,0,238,1,74,0,Smolenskaa oblast_
218,Smolenskaa oblast_,Ersicskaa,0,7,8,69,0,2,0,1,68,87,119,19,68,19,0,0,113,0,26,0,Smolenskaa oblast_
219,Smolenskaa oblast_,Ersicskaa,1,5,11,92,1,1,0,0,56,111,165,55,56,55,0,0,146,0,35,0,Smolenskaa oblast_
220,Smolenskaa oblast_,Ersicskaa,0,17,18,145,3,0,1,0,144,184,284,43,144,43,0,0,316,3,129,0,Smolenskaa oblast_
221,Smolenskaa oblast_,Ersicskaa,0,9,9,59,0,0,3,0,69,80,105,11,69,11,0,0,107,0,27,0,Smolenskaa oblast_
222,Smolenskaa oblast_,Ersicskaa,0,12,8,118,0,1,0,1,105,140,167,35,106,35,0,0,174,0,33,0,Smolenskaa oblast_
223,Smolenskaa oblast_,Ersicskaa,0,12,6,62,0,1,0,0,73,81,110,8,73,8,0,0,112,0,31,0,Smolenskaa oblast_
224,Smolenskaa oblast_,Kardymovskaa,5,111,82,765,8,3,9,5,976,988,1664,29,976,29,0,0,1600,17,595,0,Smolenskaa oblast_
225,Smolenskaa oblast_,Kardymovskaa,5,69,45,376,9,3,3,3,456,513,870,66,456,66,0,0,800,9,278,0,Smolenskaa oblast_
226,Smolenskaa oblast_,Kardymovskaa,6,104,66,611,11,7,9,4,784,818,1366,43,784,43,0,0,1300,9,473,0,Smolenskaa oblast_
227,Smolenskaa oblast_,Kardymovskaa,1,10,6,103,2,2,0,0,117,124,179,7,117,7,0,0,160,0,36,0,Smolenskaa oblast_
228,Smolenskaa oblast_,Kardymovskaa,6,30,28,211,2,2,2,2,246,283,513,44,246,44,0,0,450,7,160,0,Smolenskaa oblast_
229,Smolenskaa oblast_,Kardymovskaa,0,4,6,62,0,0,0,0,60,72,141,12,60,12,0,0,140,0,68,0,Smolenskaa oblast_
230,Smolenskaa oblast_,Kardymovskaa,1,33,39,371,5,2,3,3,348,457,645,111,348,111,0,0,600,2,141,0,Smolenskaa oblast_
231,Smolenskaa oblast_,Kardymovskaa,4,45,39,260,2,4,2,0,262,356,582,94,262,94,0,0,500,0,144,0,Smolenskaa oblast_
232,Smolenskaa oblast_,Kardymovskaa,1,21,14,183,1,1,0,2,192,223,350,36,192,36,0,0,300,5,72,0,Smolenskaa oblast_
233,Smolenskaa oblast_,Kardymovskaa,0,13,14,119,0,0,0,1,124,147,280,24,124,24,0,0,250,1,102,0,Smolenskaa oblast_
234,Smolenskaa oblast_,Kardymovskaa,0,21,15,133,3,0,2,0,151,174,319,23,151,23,0,0,300,0,126,0,Smolenskaa oblast_
235,Smolenskaa oblast_,Kardymovskaa,0,18,21,198,1,0,1,0,192,239,370,50,192,50,0,0,300,3,58,0,Smolenskaa oblast_
236,Smolenskaa oblast_,Kardymovskaa,1,35,23,239,1,1,1,0,232,301,466,71,232,71,0,0,450,2,147,0,Smolenskaa oblast_
237,Smolenskaa oblast_,Kardymovskaa,0,8,15,91,0,0,1,0,91,115,166,24,91,24,0,0,150,0,35,0,Smolenskaa oblast_
238,Smolenskaa oblast_,Kardymovskaa,2,32,25,145,0,2,0,0,180,206,370,30,180,30,0,0,350,4,140,0,Smolenskaa oblast_
239,Smolenskaa oblast_,Kardymovskaa,1,11,13,94,0,0,1,1,84,121,272,38,84,38,0,0,250,1,128,0,Smolenskaa oblast_
240,Smolenskaa oblast_,Krasninskaa,5,134,85,758,11,10,4,1,981,1008,1752,38,981,38,0,0,1790,11,771,0,Smolenskaa oblast_
241,Smolenskaa oblast_,Krasninskaa,4,83,60,541,6,3,3,2,616,702,1068,91,616,91,0,0,1010,5,303,0,Smolenskaa oblast_
242,Smolenskaa oblast_,Krasninskaa,1,10,18,103,1,3,0,0,76,136,208,62,76,62,0,0,212,2,74,0,Smolenskaa oblast_
243,Smolenskaa oblast_,Krasninskaa,0,8,16,124,2,2,0,2,112,154,226,42,112,42,0,0,230,0,76,0,Smolenskaa oblast_
244,Smolenskaa oblast_,Krasninskaa,1,9,10,73,0,1,1,0,81,95,156,14,81,14,0,0,143,0,48,0,Smolenskaa oblast_
245,Smolenskaa oblast_,Krasninskaa,0,5,5,77,4,0,1,0,73,92,148,19,73,19,0,0,132,0,40,0,Smolenskaa oblast_
246,Smolenskaa oblast_,Krasninskaa,1,20,19,128,0,0,1,0,95,169,281,74,95,74,0,0,277,0,108,0,Smolenskaa oblast_
247,Smolenskaa oblast_,Krasninskaa,2,14,4,58,0,0,1,0,55,79,190,25,55,25,0,0,177,1,97,0,Smolenskaa oblast_
248,Smolenskaa oblast_,Krasninskaa,2,23,24,173,0,1,2,0,217,225,432,12,217,12,0,0,383,4,154,0,Smolenskaa oblast_
249,Smolenskaa oblast_,Krasninskaa,6,119,50,533,9,5,6,3,722,731,1228,21,722,21,0,0,1260,12,517,0,Smolenskaa oblast_
250,Smolenskaa oblast_,Krasninskaa,0,26,23,247,3,3,1,1,284,304,559,26,284,26,0,0,553,6,243,0,Smolenskaa oblast_
251,Smolenskaa oblast_,Krasninskaa,2,26,17,150,0,2,1,2,143,200,390,59,143,59,0,0,411,2,209,0,Smolenskaa oblast_
252,Smolenskaa oblast_,Krasninskaa,0,7,11,85,1,1,0,1,77,106,189,29,77,29,0,0,177,0,71,0,Smolenskaa oblast_
253,Smolenskaa oblast_,Krasninskaa,3,29,14,252,2,4,1,2,257,307,583,51,257,51,0,0,577,1,269,0,Smolenskaa oblast_
254,Smolenskaa oblast_,Krasninskaa,1,11,5,93,0,1,1,0,87,112,188,25,87,25,0,0,162,0,50,0,Smolenskaa oblast_
255,Smolenskaa oblast_,Krasninskaa,1,8,17,116,4,0,0,0,108,146,214,38,108,38,0,0,208,0,62,0,Smolenskaa oblast_
256,Smolenskaa oblast_,Krasninskaa,0,34,29,236,2,0,1,0,199,302,432,104,199,104,0,0,419,1,116,0,Smolenskaa oblast_
257,Smolenskaa oblast_,Krasninskaa,0,29,13,254,1,3,0,0,257,300,538,45,257,45,0,0,532,2,230,0,Smolenskaa oblast_
258,Smolenskaa oblast_,Krasninskaa,0,7,7,103,1,0,0,0,69,118,175,50,69,50,0,0,172,1,53,0,Smolenskaa oblast_
259,Smolenskaa oblast_,Krasninskaa,1,3,6,58,0,2,0,0,48,70,111,22,48,22,0,0,109,0,39,0,Smolenskaa oblast_
260,Smolenskaa oblast_,Krasninskaa,0,4,3,88,3,1,0,0,67,99,120,32,67,32,0,0,121,0,22,0,Smolenskaa oblast_
261,Smolenskaa oblast_,Krasninskaa,1,3,7,99,0,2,0,0,81,112,182,32,81,32,0,0,181,1,68,0,Smolenskaa oblast_
262,Smolenskaa oblast_,Krasninskaa,4,14,16,185,0,0,0,0,138,219,320,84,138,84,0,0,315,3,93,0,Smolenskaa oblast_
800,Smolenskaa oblast_,Krasninskaa,8,94,55,443,10,7,3,4,600,624,1038,28,600,28,0,0,1050,4,422,0,Smolenskaa oblast_
263,Smolenskaa oblast_,Monastyrsinskaa,3,26,19,110,0,1,1,0,129,160,248,31,129,31,0,0,220,0,60,0,Smolenskaa oblast_
264,Smolenskaa oblast_,Monastyrsinskaa,2,23,18,101,0,0,2,0,124,146,184,24,124,24,0,0,170,2,22,0,Smolenskaa oblast_
265,Smolenskaa oblast_,Monastyrsinskaa,4,34,33,247,2,2,1,1,264,324,576,62,264,62,0,0,550,2,224,0,Smolenskaa oblast_
266,Smolenskaa oblast_,Monastyrsinskaa,0,21,23,158,2,0,0,2,165,206,319,41,165,41,0,0,290,0,84,0,Smolenskaa oblast_
267,Smolenskaa oblast_,Monastyrsinskaa,1,15,19,99,1,0,1,2,114,138,211,24,114,24,0,0,180,0,42,0,Smolenskaa oblast_
268,Smolenskaa oblast_,Monastyrsinskaa,1,14,12,73,0,1,0,0,89,101,114,12,89,12,0,0,110,0,9,0,Smolenskaa oblast_
269,Smolenskaa oblast_,Monastyrsinskaa,2,8,21,174,1,1,0,0,164,207,280,44,164,44,0,0,260,1,52,0,Smolenskaa oblast_
270,Smolenskaa oblast_,Monastyrsinskaa,0,14,13,112,0,1,0,1,115,141,251,26,115,26,0,0,230,0,89,0,Smolenskaa oblast_
271,Smolenskaa oblast_,Monastyrsinskaa,1,21,7,129,1,1,0,0,118,160,242,42,118,42,0,0,220,0,60,0,Smolenskaa oblast_
272,Smolenskaa oblast_,Monastyrsinskaa,7,29,48,322,6,3,1,0,357,416,666,65,357,65,0,0,620,6,198,0,Smolenskaa oblast_
273,Smolenskaa oblast_,Monastyrsinskaa,2,21,8,102,0,0,0,0,113,133,208,20,113,20,0,0,200,0,67,0,Smolenskaa oblast_
274,Smolenskaa oblast_,Monastyrsinskaa,0,5,8,75,0,0,0,2,72,90,145,19,72,19,0,0,140,1,49,0,Smolenskaa oblast_
275,Smolenskaa oblast_,Monastyrsinskaa,1,17,9,102,1,0,0,0,106,130,178,24,106,24,0,0,160,0,30,0,Smolenskaa oblast_
276,Smolenskaa oblast_,Monastyrsinskaa,2,28,5,129,0,1,0,0,134,165,293,31,134,31,0,0,280,0,115,0,Smolenskaa oblast_
277,Smolenskaa oblast_,Monastyrsinskaa,2,29,19,300,2,3,2,3,286,360,541,77,286,77,0,0,520,3,157,0,Smolenskaa oblast_
