ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
407,Stavropol_skij kraj,gorodskaa,8,330,88,1132,30,11,18,16,1635,1633,2662,31,1635,31,0,0,2800,33,1134,0,Stavropol_skij kraj
408,Stavropol_skij kraj,gorodskaa,6,87,31,556,4,3,1,2,646,690,911,51,646,51,0,0,900,7,203,0,Stavropol_skij kraj
409,Stavropol_skij kraj,gorodskaa,9,167,63,930,3,5,7,12,1131,1196,1540,89,1131,89,0,0,1500,24,280,0,Stavropol_skij kraj
410,Stavropol_skij kraj,gorodskaa,4,152,57,752,12,5,5,5,974,992,1332,36,974,36,0,0,1350,18,340,0,Stavropol_skij kraj
411,Stavropol_skij kraj,gorodskaa,2,215,65,1132,15,10,10,9,1297,1458,1698,175,1297,175,0,0,1800,14,328,0,Stavropol_skij kraj
412,Stavropol_skij kraj,gorodskaa,2,71,29,465,5,3,1,3,578,579,699,22,578,22,0,0,700,21,100,0,Stavropol_skij kraj
413,Stavropol_skij kraj,gorodskaa,5,101,43,736,8,8,6,3,731,910,1079,190,731,190,0,0,1100,11,179,0,Stavropol_skij kraj
414,Stavropol_skij kraj,gorodskaa,19,105,60,1382,4,12,4,12,1364,1598,1835,234,1364,234,0,0,1850,0,252,0,Stavropol_skij kraj
415,Stavropol_skij kraj,gorodskaa,4,144,73,1181,24,5,5,11,1247,1447,1613,223,1247,223,0,0,1550,23,80,0,Stavropol_skij kraj
416,Stavropol_skij kraj,gorodskaa,3,57,50,1087,12,5,10,4,1224,1228,1394,18,1224,18,0,0,1350,14,108,0,Stavropol_skij kraj
417,Stavropol_skij kraj,gorodskaa,2,87,7,679,3,0,0,4,735,782,854,51,735,51,0,0,800,4,14,0,Stavropol_skij kraj
418,Stavropol_skij kraj,gorodskaa,6,60,9,927,9,1,5,5,885,1022,1151,150,885,150,0,0,1100,13,65,0,Stavropol_skij kraj
419,Stavropol_skij kraj,gorodskaa,1,36,24,223,1,5,2,2,246,294,330,49,246,49,0,0,300,1,5,0,Stavropol_skij kraj
420,Stavropol_skij kraj,gorodskaa,10,209,66,1090,20,9,7,5,1363,1416,1991,75,1363,75,0,0,1950,22,512,0,Stavropol_skij kraj
421,Stavropol_skij kraj,gorodskaa,0,47,85,1268,57,21,8,0,1390,1486,1746,102,1390,102,0,0,1900,6,408,0,Stavropol_skij kraj
422,Stavropol_skij kraj,gorodskaa,3,55,17,476,4,4,7,3,505,569,680,71,505,71,0,0,600,7,24,0,Stavropol_skij kraj
423,Stavropol_skij kraj,gorodskaa,13,151,49,1157,14,9,12,8,1316,1413,1670,113,1316,113,0,0,1700,16,271,0,Stavropol_skij kraj
424,Stavropol_skij kraj,gorodskaa,8,247,30,1861,3,5,3,10,1722,2167,2587,458,1722,458,0,0,2600,13,420,0,Stavropol_skij kraj
425,Stavropol_skij kraj,gorodskaa,9,140,39,594,12,1,4,6,736,805,1240,75,736,75,0,0,1250,6,439,0,Stavropol_skij kraj
426,Stavropol_skij kraj,gorodskaa,7,145,42,1327,12,13,1,5,1319,1552,1736,246,1319,246,0,0,1750,13,185,0,Stavropol_skij kraj
427,Stavropol_skij kraj,gorodskaa,8,86,27,776,10,3,2,2,705,914,1260,219,705,219,0,0,1300,10,376,0,Stavropol_skij kraj
428,Stavropol_skij kraj,gorodskaa,0,3,6,428,0,0,0,0,437,437,442,0,437,0,0,0,450,0,13,0,Stavropol_skij kraj
429,Stavropol_skij kraj,gorodskaa,5,139,60,801,10,5,4,7,988,1031,1694,58,988,58,0,0,1700,15,654,0,Stavropol_skij kraj
430,Stavropol_skij kraj,gorodskaa,3,155,35,1102,2,2,3,3,1118,1305,1930,190,1118,190,0,0,1950,3,642,0,Stavropol_skij kraj
431,Stavropol_skij kraj,gorodskaa,2,157,67,646,11,11,8,8,882,910,1475,45,883,45,0,0,1450,17,522,0,Stavropol_skij kraj
432,Stavropol_skij kraj,gorodskaa,9,190,46,777,17,6,8,12,1021,1065,1965,66,1021,66,0,0,1800,22,713,0,Stavropol_skij kraj
433,Stavropol_skij kraj,gorodskaa,0,17,1,64,5,1,1,2,91,91,95,0,91,0,0,0,500,0,409,0,Stavropol_skij kraj
434,Stavropol_skij kraj,gorodskaa,0,23,7,92,1,0,1,1,127,125,129,0,127,0,0,0,500,2,373,0,Stavropol_skij kraj
435,Stavropol_skij kraj,gorodskaa,2,11,1,76,1,2,5,2,101,100,105,0,101,0,0,0,500,1,399,0,Stavropol_skij kraj
437,Stavropol_skij kraj,Izobil_nenskaa,7,124,45,684,3,6,2,1,781,872,1361,99,781,99,0,0,1300,8,420,0,Stavropol_skij kraj
438,Stavropol_skij kraj,Izobil_nenskaa,5,116,50,642,7,7,8,5,782,840,1402,72,782,72,0,0,1400,14,546,0,Stavropol_skij kraj
439,Stavropol_skij kraj,Izobil_nenskaa,4,120,71,570,4,6,5,3,725,783,1274,67,725,67,0,0,1200,9,408,0,Stavropol_skij kraj
440,Stavropol_skij kraj,Izobil_nenskaa,7,103,37,512,7,6,1,2,616,675,1133,76,617,76,0,0,1000,17,307,0,Stavropol_skij kraj
441,Stavropol_skij kraj,Izobil_nenskaa,6,93,34,652,6,3,5,7,666,806,1262,159,666,159,0,0,1200,19,375,0,Stavropol_skij kraj
442,Stavropol_skij kraj,Izobil_nenskaa,7,138,52,726,12,4,3,4,914,946,1410,46,914,46,0,0,1300,14,340,0,Stavropol_skij kraj
443,Stavropol_skij kraj,Izobil_nenskaa,8,105,40,717,7,5,6,3,768,891,1298,133,768,133,0,0,1300,10,399,0,Stavropol_skij kraj
444,Stavropol_skij kraj,Izobil_nenskaa,4,84,48,550,7,8,8,3,665,712,1211,56,665,56,0,0,1200,9,479,0,Stavropol_skij kraj
445,Stavropol_skij kraj,Izobil_nenskaa,8,95,41,696,7,15,3,5,757,870,1400,117,757,117,0,0,1300,4,426,0,Stavropol_skij kraj
446,Stavropol_skij kraj,Izobil_nenskaa,2,128,43,623,5,8,8,4,776,821,1316,55,776,55,0,0,1200,10,369,0,Stavropol_skij kraj
447,Stavropol_skij kraj,Izobil_nenskaa,3,108,53,626,14,1,4,7,763,816,1245,63,763,63,0,0,1200,10,374,0,Stavropol_skij kraj
448,Stavropol_skij kraj,Izobil_nenskaa,5,113,65,579,4,4,5,5,743,780,1255,48,743,48,0,0,1200,11,409,0,Stavropol_skij kraj
449,Stavropol_skij kraj,Izobil_nenskaa,6,150,47,678,8,3,5,7,788,904,1379,127,788,127,0,0,1100,11,185,0,Stavropol_skij kraj
450,Stavropol_skij kraj,Izobil_nenskaa,3,101,42,553,4,10,1,4,666,718,1199,58,666,58,0,0,1100,6,376,0,Stavropol_skij kraj
451,Stavropol_skij kraj,Izobil_nenskaa,5,131,62,589,6,8,10,5,734,816,1348,86,734,86,0,0,1300,4,480,0,Stavropol_skij kraj
452,Stavropol_skij kraj,Izobil_nenskaa,6,56,24,742,4,6,4,1,761,843,1195,94,761,94,0,0,1100,12,245,0,Stavropol_skij kraj
453,Stavropol_skij kraj,Izobil_nenskaa,12,270,96,1171,16,12,10,9,1567,1596,2604,65,1567,65,0,0,2500,36,868,0,Stavropol_skij kraj
454,Stavropol_skij kraj,Izobil_nenskaa,7,165,45,651,6,8,6,4,852,892,1499,52,852,52,0,0,1500,12,596,0,Stavropol_skij kraj
455,Stavropol_skij kraj,Izobil_nenskaa,3,63,39,726,5,4,5,3,696,848,1319,159,696,159,0,0,1300,7,445,0,Stavropol_skij kraj
456,Stavropol_skij kraj,Izobil_nenskaa,6,152,62,661,12,6,7,4,878,910,1499,49,878,49,0,0,1400,17,473,0,Stavropol_skij kraj
457,Stavropol_skij kraj,Izobil_nenskaa,6,149,77,917,15,9,11,5,1133,1189,1988,81,1135,81,0,0,2000,25,784,0,Stavropol_skij kraj
458,Stavropol_skij kraj,Izobil_nenskaa,12,209,74,887,19,11,13,17,1199,1242,2028,65,1199,65,0,0,2000,22,736,0,Stavropol_skij kraj
459,Stavropol_skij kraj,Izobil_nenskaa,12,219,83,1183,14,10,13,17,1485,1551,2340,86,1485,86,0,0,2200,20,629,0,Stavropol_skij kraj
462,Stavropol_skij kraj,Izobil_nenskaa,6,158,73,1096,12,7,8,10,1260,1370,2161,132,1260,132,0,0,2000,22,608,0,Stavropol_skij kraj
463,Stavropol_skij kraj,Izobil_nenskaa,6,212,85,1442,14,14,10,6,1735,1789,2524,76,1735,76,0,0,2500,22,689,0,Stavropol_skij kraj
464,Stavropol_skij kraj,Izobil_nenskaa,7,173,98,1019,9,11,6,6,1297,1329,1875,54,1297,54,0,0,1800,22,449,0,Stavropol_skij kraj
465,Stavropol_skij kraj,Izobil_nenskaa,3,70,49,535,7,6,8,2,645,680,1017,44,645,44,0,0,1000,9,311,0,Stavropol_skij kraj
466,Stavropol_skij kraj,Izobil_nenskaa,7,119,64,791,6,2,1,1,806,991,1334,191,806,191,0,0,1300,6,303,0,Stavropol_skij kraj
467,Stavropol_skij kraj,Izobil_nenskaa,2,93,81,925,6,11,3,1,887,1122,1525,241,887,241,0,0,1500,6,372,0,Stavropol_skij kraj
468,Stavropol_skij kraj,Izobil_nenskaa,0,62,30,405,0,6,0,1,397,504,613,121,397,121,0,0,600,14,82,0,Stavropol_skij kraj
469,Stavropol_skij kraj,Izobil_nenskaa,2,159,93,961,20,9,6,8,1091,1258,1854,186,1091,186,0,0,1500,19,223,0,Stavropol_skij kraj
470,Stavropol_skij kraj,Izobil_nenskaa,3,92,49,548,2,5,3,2,609,704,1037,101,609,101,0,0,1000,6,290,0,Stavropol_skij kraj
471,Stavropol_skij kraj,Izobil_nenskaa,8,93,46,616,5,5,7,3,565,783,1242,226,565,226,0,0,1200,8,409,0,Stavropol_skij kraj
472,Stavropol_skij kraj,Izobil_nenskaa,0,16,12,204,4,2,0,1,148,239,313,92,148,92,0,0,300,1,60,0,Stavropol_skij kraj
473,Stavropol_skij kraj,Izobil_nenskaa,3,40,24,241,2,1,1,2,251,314,428,67,251,67,0,0,400,4,82,0,Stavropol_skij kraj
474,Stavropol_skij kraj,Izobil_nenskaa,2,111,33,614,5,3,1,0,716,769,775,59,716,59,0,0,850,6,75,0,Stavropol_skij kraj
475,Stavropol_skij kraj,Izobil_nenskaa,1,43,28,382,4,5,2,2,384,467,547,87,384,87,0,0,500,4,29,0,Stavropol_skij kraj
476,Stavropol_skij kraj,Izobil_nenskaa,5,61,34,352,3,5,2,1,358,463,606,113,358,113,0,0,550,8,79,0,Stavropol_skij kraj
477,Stavropol_skij kraj,Izobil_nenskaa,14,243,106,1294,3,11,8,3,1853,1682,2452,141,1853,141,0,0,2200,312,206,0,Stavropol_skij kraj
478,Stavropol_skij kraj,Izobil_nenskaa,14,203,99,1224,17,14,14,4,1169,1589,2258,450,1169,450,0,0,2000,30,381,0,Stavropol_skij kraj
479,Stavropol_skij kraj,Izobil_nenskaa,6,160,87,976,3,8,1,2,1025,1243,1841,233,1025,233,0,0,1700,15,442,0,Stavropol_skij kraj
480,Stavropol_skij kraj,Izobil_nenskaa,3,12,8,169,0,0,0,0,152,192,223,40,152,40,0,0,230,0,38,0,Stavropol_skij kraj
481,Stavropol_skij kraj,Izobil_nenskaa,4,113,66,898,4,3,1,0,883,1089,1393,222,883,222,0,0,1300,16,195,0,Stavropol_skij kraj
482,Stavropol_skij kraj,Izobil_nenskaa,11,187,121,1215,11,9,5,3,1320,1562,2569,261,1320,261,0,0,2500,19,919,0,Stavropol_skij kraj
483,Stavropol_skij kraj,Izobil_nenskaa,3,36,30,396,4,4,2,0,370,475,581,108,370,108,0,0,550,3,72,0,Stavropol_skij kraj
484,Stavropol_skij kraj,Izobil_nenskaa,1,31,16,567,4,1,1,3,502,624,717,126,502,126,0,0,700,4,72,0,Stavropol_skij kraj
485,Stavropol_skij kraj,Izobil_nenskaa,7,108,42,815,4,5,4,1,894,986,1239,98,894,98,0,0,1100,6,108,0,Stavropol_skij kraj
486,Stavropol_skij kraj,Izobil_nenskaa,3,114,36,485,6,4,1,2,601,651,946,58,601,58,0,0,930,8,271,0,Stavropol_skij kraj
487,Stavropol_skij kraj,Izobil_nenskaa,3,161,76,1155,4,7,8,0,1200,1414,1814,231,1200,231,0,0,1700,17,269,0,Stavropol_skij kraj
488,Stavropol_skij kraj,Izobil_nenskaa,2,7,9,99,1,0,0,0,103,118,142,16,103,16,0,0,140,1,21,0,Stavropol_skij kraj
489,Stavropol_skij kraj,Izobil_nenskaa,2,22,12,100,2,1,0,0,110,139,159,29,110,29,0,0,150,0,11,0,Stavropol_skij kraj
1271,Stavropol_skij kraj,Izobil_nenskaa,4,103,53,1687,5,8,3,6,1733,1869,2162,153,1733,153,0,0,2100,17,214,0,Stavropol_skij kraj
460,Stavropol_skij kraj,Ipatovskaa,2,15,13,143,4,4,0,0,67,181,183,116,67,116,0,0,200,2,17,0,Stavropol_skij kraj
490,Stavropol_skij kraj,Ipatovskaa,8,163,59,1460,8,10,5,2,1399,1715,2179,326,1399,326,0,0,2000,10,275,0,Stavropol_skij kraj
491,Stavropol_skij kraj,Ipatovskaa,21,154,122,1271,10,24,7,3,1366,1612,2159,261,1366,261,0,0,2000,15,373,0,Stavropol_skij kraj
492,Stavropol_skij kraj,Ipatovskaa,12,162,17,1416,12,12,7,2,1552,1640,2189,95,1552,95,0,0,2000,7,353,0,Stavropol_skij kraj
493,Stavropol_skij kraj,Ipatovskaa,14,218,129,1051,15,13,15,6,1175,1461,2102,314,1175,314,0,0,2000,28,511,0,Stavropol_skij kraj
494,Stavropol_skij kraj,Ipatovskaa,15,221,88,1166,11,10,5,9,1236,1525,1984,306,1239,306,0,0,2000,17,455,0,Stavropol_skij kraj
